突破ID	有效标志位	星级	灵宠等级要求	消耗道具	消耗数量	战斗属性ID	遣散返还灵宠币数量
100040	1	10	3120	0	0	991002	230
200010	1	10	3120	0	0	992001	460
200020	1	10	3120	0	0	992001	460
200030	1	10	3120	0	0	992002	460
200040	1	10	3120	0	0	992002	460
200050	1	10	3120	0	0	992003	460
200060	1	10	3120	0	0	992001	460
300010	1	10	3120	0	0	993001	2300
300020	1	10	3120	0	0	993001	2300
300030	1	10	3120	0	0	993001	2300
300040	1	10	3120	0	0	993002	2300
300050	1	10	3120	0	0	993002	2300
300060	1	10	3120	0	0	993002	2300
300070	1	10	3120	0	0	993003	2300
300080	1	10	3120	0	0	993003	2300
300090	1	10	3120	0	0	993003	2300
300100	1	10	3120	0	0	993003	2300
300110	1	10	3120	0	0	993003	2300
300120	1	10	3120	0	0	993003	2300
300130	1	10	3120	0	0	993003	2300
300140	1	10	3120	0	0	993003	2300
300150	1	10	3120	0	0	993003	2300
400010	1	10	4140	0	0	994011	23000
400020	1	10	3120	0	0	994001	23000
400030	1	10	4140	0	0	994013	23000
400040	1	10	4140	0	0	994012	23000
400050	1	10	3120	0	0	994002	23000
400060	1	10	3120	0	0	994002	23000
400070	1	10	3120	0	0	994002	23000
400080	1	10	3120	0	0	994003	23000
400090	1	10	4140	0	0	994013	23000
400100	1	10	3120	0	0	994001	23000
400110	1	10	3120	0	0	994101	23000
400120	1	10	3120	0	0	994111	23000
400130	1	10	4140	0	0	994121	23000
400140	1	10	4140	0	0	994131	23000
400150	1	10	5180	0	0	994141	46000
400210	1	10	3120	0	0	994102	23000
400220	1	10	3120	0	0	994112	23000
400230	1	10	4140	0	0	994122	23000
400240	1	10	4140	0	0	994132	23000
400250	1	10	5180	0	0	994142	46000
600010	1	10	6180	0	0	996021	17250
600020	1	10	3120	0	0	996001	17250
600030	1	10	3120	0	0	996002	17250
600040	1	10	4140	0	0	996011	17250
600050	1	10	4140	0	0	996012	17250
600060	1	10	4140	0	0	996013	17250
600070	1	10	3120	0	0	996002	17250
600080	1	10	4140	0	0	996011	17250
600090	1	10	6180	0	0	996022	17250
600100	1	10	6180	0	0	996023	17250
600110	1	10	3120	0	0	996101	17250
600120	1	10	3120	0	0	996111	17250
600130	1	10	4140	0	0	996121	17250
600140	1	10	4140	0	0	996131	17250
600150	1	10	5180	0	0	996141	17250
600160	1	10	6180	0	0	996151	22125
600170	1	10	7200	0	0	996161	22125
600180	1	10	7200	0	0	996171	26500
600190	1	10	7220	0	0	996181	26500
600200	1	10	9240	0	0	996191	30250
