系统邮件主键	有效标志位	系统署名（不能超过20个汉字）	邮件标题（不能超过20个汉字）	邮件内容(通配符最多支持7个)换行：<Enter>（不能超过1000个汉字）	附加金钱	附加铜币	附加贡献	附加元宝	附加绑定元宝	附加师德	附加其他货币	附加其他货币	附加道具ID类型（绑定与否）	附加道具ID	附加道具数量	附加道具ID类型	附加道具ID	附加道具数量	附加道具ID类型	附加道具ID	附加道具数量	附加道具ID类型	附加道具ID	附加道具数量 
2123	1	"|C|系统|T|長生訣"	"|C|外观提醒|T|外觀提醒"	"|C|感谢少侠对时装的支持。温馨提醒，您的<color=#7e00ff>刀锋刺盾</color>外观还有<color=#7e00ff>30</color>分钟就要过期了。您可以在<color=#7e00ff>外观商店</color>内购买以获得该外观的<color=#7e00ff>永久版</color>，提升尊享等级至<color=#7e00ff>尊享3级</color>还可获得<color=#7e00ff>雪霁晴岚</color>永久版。|T|感謝少俠對時裝的支持。溫馨提醒，您的<color=#7e00ff>刀鋒刺盾</color>外觀還有<color=#7e00ff>30</color>分鐘就要過期了。您可以在<color=#7e00ff>外觀商店</color>內購買以獲得該外觀的<color=#7e00ff>永久版</color>，提升尊享等級至<color=#7e00ff>尊享3級</color>還可獲得<color=#7e00ff>雪霽晴嵐</color>永久版。"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2124	1	"|C|系统|T|長生訣"	"|C|外观提醒|T|外觀提醒"	"|C|感谢少侠对时装的支持。温馨提醒，您的<color=#7e00ff>银风箭筒</color>外观还有<color=#7e00ff>30</color>分钟就要过期了。您可以在<color=#7e00ff>外观商店</color>内购买以获得该外观的<color=#7e00ff>永久版</color>，提升尊享等级至<color=#7e00ff>尊享3级</color>还可获得<color=#7e00ff>雪霁晴岚</color>永久版。|T|感謝少俠對時裝的支持。溫馨提醒，您的<color=#7e00ff>銀風箭筒</color>外觀還有<color=#7e00ff>30</color>分鐘就要過期了。您可以在<color=#7e00ff>外觀商店</color>內購買以獲得該外觀的<color=#7e00ff>永久版</color>，提升尊享等級至<color=#7e00ff>尊享3級</color>還可獲得<color=#7e00ff>雪霽晴嵐</color>永久版。"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2125	1	"|C|系统|T|長生訣"	"|C|外观提醒|T|外觀提醒"	"|C|感谢少侠对时装的支持。温馨提醒，您的<color=#7e00ff>魅音琵琶</color>外观还有<color=#7e00ff>30</color>分钟就要过期了。您可以在<color=#7e00ff>外观商店</color>内购买以获得该外观的<color=#7e00ff>永久版</color>，提升尊享等级至<color=#7e00ff>尊享3级</color>还可获得<color=#7e00ff>雪霁晴岚</color>永久版。|T|感謝少俠對時裝的支持。溫馨提醒，您的<color=#7e00ff>魅音琵琶</color>外觀還有<color=#7e00ff>30</color>分鐘就要過期了。您可以在<color=#7e00ff>外觀商店</color>內購買以獲得該外觀的<color=#7e00ff>永久版</color>，提升尊享等級至<color=#7e00ff>尊享3級</color>還可獲得<color=#7e00ff>雪霽晴嵐</color>永久版。"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2126	1	"|C|系统|T|長生訣"	"|C|外观提醒|T|外觀提醒"	"|C|感谢少侠对时装的支持。温馨提醒，您的<color=#7e00ff>墨魂画笔</color>外观还有<color=#7e00ff>30</color>分钟就要过期了。您可以在<color=#7e00ff>外观商店</color>内购买以获得该外观的<color=#7e00ff>永久版</color>，提升尊享等级至<color=#7e00ff>尊享3级</color>还可获得<color=#7e00ff>雪霁晴岚</color>永久版。|T|感謝少俠對時裝的支持。溫馨提醒，您的<color=#7e00ff>墨魂畫筆</color>外觀還有<color=#7e00ff>30</color>分鐘就要過期了。您可以在<color=#7e00ff>外觀商店</color>內購買以獲得該外觀的<color=#7e00ff>永久版</color>，提升尊享等級至<color=#7e00ff>尊享3級</color>還可獲得<color=#7e00ff>雪霽晴嵐</color>永久版。"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2127	1	"|C|系统|T|長生訣"	"|C|外观提醒|T|外觀提醒"	"|C|感谢少侠对时装的支持。温馨提醒，您的<color=#7e00ff>酒鬼葫芦</color>外观还有<color=#7e00ff>30</color>分钟就要过期了。您可以在<color=#7e00ff>外观商店</color>内购买以获得该外观的<color=#7e00ff>永久版</color>，提升尊享等级至<color=#7e00ff>尊享3级</color>还可获得<color=#7e00ff>雪霁晴岚</color>永久版。|T|感謝少俠對時裝的支持。溫馨提醒，您的<color=#7e00ff>酒鬼葫蘆</color>外觀還有<color=#7e00ff>30</color>分鐘就要過期了。您可以在<color=#7e00ff>外觀商店</color>內購買以獲得該外觀的<color=#7e00ff>永久版</color>，提升尊享等級至<color=#7e00ff>尊享3級</color>還可獲得<color=#7e00ff>雪霽晴嵐</color>永久版。"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2128	1	"|C|系统|T|長生訣"	"|C|外观提醒|T|外觀提醒"	"|C|感谢少侠对时装的支持。温馨提醒，您的<color=#7e00ff>饰金太刀</color>外观还有<color=#7e00ff>30</color>分钟就要过期了。您可以在<color=#7e00ff>外观商店</color>内购买以获得该外观的<color=#7e00ff>永久版</color>，提升尊享等级至<color=#7e00ff>尊享3级</color>还可获得<color=#7e00ff>雪霁晴岚</color>永久版。|T|感謝少俠對時裝的支持。溫馨提醒，您的<color=#7e00ff>飾金太刀</color>外觀還有<color=#7e00ff>30</color>分鐘就要過期了。您可以在<color=#7e00ff>外觀商店</color>內購買以獲得該外觀的<color=#7e00ff>永久版</color>，提升尊享等級至<color=#7e00ff>尊享3級</color>還可獲得<color=#7e00ff>雪霽晴嵐</color>永久版。"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2129	1	"|C|系统|T|長生訣"	"|C|外观提醒|T|外觀提醒"	"|C|感谢少侠对时装的支持。温馨提醒，您的<color=#7e00ff>瞌睡兔</color>外观还有<color=#7e00ff>30</color>分钟就要过期了。您可以在<color=#7e00ff>外观商店</color>内购买以获得该外观的<color=#7e00ff>永久版</color>，提升尊享等级至<color=#7e00ff>尊享3级</color>还可获得<color=#7e00ff>雪霁晴岚</color>永久版。|T|感謝少俠對時裝的支持。溫馨提醒，您的<color=#7e00ff>瞌睡兔</color>外觀還有<color=#7e00ff>30</color>分鐘就要過期了。您可以在<color=#7e00ff>外觀商店</color>內購買以獲得該外觀的<color=#7e00ff>永久版</color>，提升尊享等級至<color=#7e00ff>尊享3級</color>還可獲得<color=#7e00ff>雪霽晴嵐</color>永久版。"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2130	1	"|C|系统|T|長生訣"	"|C|外观提醒|T|外觀提醒"	"|C|感谢少侠对时装的支持。温馨提醒，您的<color=#7e00ff>童趣花鼓</color>外观还有<color=#7e00ff>30</color>分钟就要过期了。您可以在<color=#7e00ff>外观商店</color>内购买以获得该外观的<color=#7e00ff>永久版</color>，提升尊享等级至<color=#7e00ff>尊享3级</color>还可获得<color=#7e00ff>雪霁晴岚</color>永久版。|T|感謝少俠對時裝的支持。溫馨提醒，您的<color=#7e00ff>童趣花鼓</color>外觀還有<color=#7e00ff>30</color>分鐘就要過期了。您可以在<color=#7e00ff>外觀商店</color>內購買以獲得該外觀的<color=#7e00ff>永久版</color>，提升尊享等級至<color=#7e00ff>尊享3級</color>還可獲得<color=#7e00ff>雪霽晴嵐</color>永久版。"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2131	1	"|C|系统|T|長生訣"	"|C|外观提醒|T|外觀提醒"	"|C|感谢少侠对时装的支持。温馨提醒，您的<color=#7e00ff>冲浪板</color>外观还有<color=#7e00ff>30</color>分钟就要过期了。您可以在<color=#7e00ff>外观商店</color>内购买以获得该外观的<color=#7e00ff>永久版</color>，提升尊享等级至<color=#7e00ff>尊享3级</color>还可获得<color=#7e00ff>雪霁晴岚</color>永久版。|T|感謝少俠對時裝的支持。溫馨提醒，您的<color=#7e00ff>衝浪板</color>外觀還有<color=#7e00ff>30</color>分鐘就要過期了。您可以在<color=#7e00ff>外觀商店</color>內購買以獲得該外觀的<color=#7e00ff>永久版</color>，提升尊享等級至<color=#7e00ff>尊享3級</color>還可獲得<color=#7e00ff>雪霽晴嵐</color>永久版。"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2132	1	"|C|系统|T|長生訣"	"|C|外观提醒|T|外觀提醒"	"|C|感谢少侠对时装的支持。温馨提醒，您的<color=#7e00ff>海豚</color>外观还有<color=#7e00ff>30</color>分钟就要过期了。您可以在<color=#7e00ff>外观商店</color>内购买以获得该外观的<color=#7e00ff>永久版</color>，提升尊享等级至<color=#7e00ff>尊享3级</color>还可获得<color=#7e00ff>雪霁晴岚</color>永久版。|T|感謝少俠對時裝的支持。溫馨提醒，您的<color=#7e00ff>海豚</color>外觀還有<color=#7e00ff>30</color>分鐘就要過期了。您可以在<color=#7e00ff>外觀商店</color>內購買以獲得該外觀的<color=#7e00ff>永久版</color>，提升尊享等級至<color=#7e00ff>尊享3級</color>還可獲得<color=#7e00ff>雪霽晴嵐</color>永久版。"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2133	1	"|C|系统|T|長生訣"	"|C|外观提醒|T|外觀提醒"	"|C|感谢少侠对时装的支持。温馨提醒，您的<color=#7e00ff>月饼</color>外观还有<color=#7e00ff>30</color>分钟就要过期了。您可以在<color=#7e00ff>外观商店</color>内购买以获得该外观的<color=#7e00ff>永久版</color>，提升尊享等级至<color=#7e00ff>尊享3级</color>还可获得<color=#7e00ff>雪霁晴岚</color>永久版。|T|感謝少俠對時裝的支持。溫馨提醒，您的<color=#7e00ff>月餅</color>外觀還有<color=#7e00ff>30</color>分鐘就要過期了。您可以在<color=#7e00ff>外觀商店</color>內購買以獲得該外觀的<color=#7e00ff>永久版</color>，提升尊享等級至<color=#7e00ff>尊享3級</color>還可獲得<color=#7e00ff>雪霽晴嵐</color>永久版。"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2134	1	"|C|系统|T|長生訣"	"|C|外观提醒|T|外觀提醒"	"|C|感谢少侠对时装的支持。温馨提醒，您的<color=#7e00ff>桃花箭筒</color>外观还有<color=#7e00ff>30</color>分钟就要过期了。您可以在<color=#7e00ff>外观商店</color>内购买以获得该外观的<color=#7e00ff>永久版</color>，提升尊享等级至<color=#7e00ff>尊享3级</color>还可获得<color=#7e00ff>雪霁晴岚</color>永久版。|T|感謝少俠對時裝的支持。溫馨提醒，您的<color=#7e00ff>桃花箭筒</color>外觀還有<color=#7e00ff>30</color>分鐘就要過期了。您可以在<color=#7e00ff>外觀商店</color>內購買以獲得該外觀的<color=#7e00ff>永久版</color>，提升尊享等級至<color=#7e00ff>尊享3級</color>還可獲得<color=#7e00ff>雪霽晴嵐</color>永久版。"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2135	1	"|C|系统|T|長生訣"	"|C|外观提醒|T|外觀提醒"	"|C|感谢少侠对时装的支持。温馨提醒，您的<color=#7e00ff>墨徽笔筒</color>外观还有<color=#7e00ff>30</color>分钟就要过期了。您可以在<color=#7e00ff>外观商店</color>内购买以获得该外观的<color=#7e00ff>永久版</color>，提升尊享等级至<color=#7e00ff>尊享3级</color>还可获得<color=#7e00ff>雪霁晴岚</color>永久版。|T|感謝少俠對時裝的支持。溫馨提醒，您的<color=#7e00ff>墨徽筆筒</color>外觀還有<color=#7e00ff>30</color>分鐘就要過期了。您可以在<color=#7e00ff>外觀商店</color>內購買以獲得該外觀的<color=#7e00ff>永久版</color>，提升尊享等級至<color=#7e00ff>尊享3級</color>還可獲得<color=#7e00ff>雪霽晴嵐</color>永久版。"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2136	1	"|C|系统|T|長生訣"	"|C|外观提醒|T|外觀提醒"	"|C|感谢少侠对时装的支持。温馨提醒，您的<color=#7e00ff>玄银重剑</color>外观还有<color=#7e00ff>30</color>分钟就要过期了。您可以在<color=#7e00ff>外观商店</color>内购买以获得该外观的<color=#7e00ff>永久版</color>，提升尊享等级至<color=#7e00ff>尊享3级</color>还可获得<color=#7e00ff>雪霁晴岚</color>永久版。|T|感謝少俠對時裝的支持。溫馨提醒，您的<color=#7e00ff>玄銀重劍</color>外觀還有<color=#7e00ff>30</color>分鐘就要過期了。您可以在<color=#7e00ff>外觀商店</color>內購買以獲得該外觀的<color=#7e00ff>永久版</color>，提升尊享等級至<color=#7e00ff>尊享3級</color>還可獲得<color=#7e00ff>雪霽晴嵐</color>永久版。"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2137	1	"|C|系统|T|長生訣"	"|C|外观提醒|T|外觀提醒"	"|C|感谢少侠对时装的支持。温馨提醒，您的<color=#7e00ff>玄银轻剑</color>外观还有<color=#7e00ff>30</color>分钟就要过期了。您可以在<color=#7e00ff>外观商店</color>内购买以获得该外观的<color=#7e00ff>永久版</color>，提升尊享等级至<color=#7e00ff>尊享3级</color>还可获得<color=#7e00ff>雪霁晴岚</color>永久版。|T|感謝少俠對時裝的支持。溫馨提醒，您的<color=#7e00ff>玄銀輕劍</color>外觀還有<color=#7e00ff>30</color>分鐘就要過期了。您可以在<color=#7e00ff>外觀商店</color>內購買以獲得該外觀的<color=#7e00ff>永久版</color>，提升尊享等級至<color=#7e00ff>尊享3級</color>還可獲得<color=#7e00ff>雪霽晴嵐</color>永久版。"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2138	1	"|C|系统|T|長生訣"	"|C|外观提醒|T|外觀提醒"	"|C|感谢少侠对时装的支持。温馨提醒，您的<color=#7e00ff>箜羽箭</color>外观还有<color=#7e00ff>30</color>分钟就要过期了。您可以在<color=#7e00ff>外观商店</color>内购买以获得该外观的<color=#7e00ff>永久版</color>，提升尊享等级至<color=#7e00ff>尊享3级</color>还可获得<color=#7e00ff>雪霁晴岚</color>永久版。|T|感謝少俠對時裝的支持。溫馨提醒，您的<color=#7e00ff>箜羽箭</color>外觀還有<color=#7e00ff>30</color>分鐘就要過期了。您可以在<color=#7e00ff>外觀商店</color>內購買以獲得該外觀的<color=#7e00ff>永久版</color>，提升尊享等級至<color=#7e00ff>尊享3級</color>還可獲得<color=#7e00ff>雪霽晴嵐</color>永久版。"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2139	1	"|C|系统|T|長生訣"	"|C|外观提醒|T|外觀提醒"	"|C|感谢少侠对时装的支持。温馨提醒，您的<color=#7e00ff>翡翎手杖</color>外观还有<color=#7e00ff>30</color>分钟就要过期了。您可以在<color=#7e00ff>外观商店</color>内购买以获得该外观的<color=#7e00ff>永久版</color>，提升尊享等级至<color=#7e00ff>尊享3级</color>还可获得<color=#7e00ff>雪霁晴岚</color>永久版。|T|感謝少俠對時裝的支持。溫馨提醒，您的<color=#7e00ff>翡翎手杖</color>外觀還有<color=#7e00ff>30</color>分鐘就要過期了。您可以在<color=#7e00ff>外觀商店</color>內購買以獲得該外觀的<color=#7e00ff>永久版</color>，提升尊享等級至<color=#7e00ff>尊享3級</color>還可獲得<color=#7e00ff>雪霽晴嵐</color>永久版。"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2140	1	"|C|系统|T|長生訣"	"|C|外观提醒|T|外觀提醒"	"|C|感谢少侠对时装的支持。温馨提醒，您的<color=#7e00ff>风车鱼</color>外观还有<color=#7e00ff>30</color>分钟就要过期了。您可以在<color=#7e00ff>外观商店</color>内购买以获得该外观的<color=#7e00ff>永久版</color>，提升尊享等级至<color=#7e00ff>尊享3级</color>还可获得<color=#7e00ff>雪霁晴岚</color>永久版。|T|感謝少俠對時裝的支持。溫馨提醒，您的<color=#7e00ff>風車魚</color>外觀還有<color=#7e00ff>30</color>分鐘就要過期了。您可以在<color=#7e00ff>外觀商店</color>內購買以獲得該外觀的<color=#7e00ff>永久版</color>，提升尊享等級至<color=#7e00ff>尊享3級</color>還可獲得<color=#7e00ff>雪霽晴嵐</color>永久版。"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2141	1	"|C|系统|T|長生訣"	"|C|外观提醒|T|外觀提醒"	"|C|感谢少侠对时装的支持。温馨提醒，您的<color=#7e00ff>素洁之翼</color>外观还有<color=#7e00ff>30</color>分钟就要过期了。您可以在<color=#7e00ff>外观商店</color>内购买以获得该外观的<color=#7e00ff>永久版</color>，提升尊享等级至<color=#7e00ff>尊享3级</color>还可获得<color=#7e00ff>雪霁晴岚</color>永久版。|T|感謝少俠對時裝的支持。溫馨提醒，您的<color=#7e00ff>素潔之翼</color>外觀還有<color=#7e00ff>30</color>分鐘就要過期了。您可以在<color=#7e00ff>外觀商店</color>內購買以獲得該外觀的<color=#7e00ff>永久版</color>，提升尊享等級至<color=#7e00ff>尊享3級</color>還可獲得<color=#7e00ff>雪霽晴嵐</color>永久版。"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2142	1	"|C|系统|T|長生訣"	"|C|外观提醒|T|外觀提醒"	"|C|感谢少侠对时装的支持。温馨提醒，您的<color=#7e00ff>宝宝风车鱼</color>外观还有<color=#7e00ff>30</color>分钟就要过期了。您可以在<color=#7e00ff>外观商店</color>内购买以获得该外观的<color=#7e00ff>永久版</color>，提升尊享等级至<color=#7e00ff>尊享3级</color>还可获得<color=#7e00ff>雪霁晴岚</color>永久版。|T|感謝少俠對時裝的支持。溫馨提醒，您的<color=#7e00ff>寶寶風車魚</color>外觀還有<color=#7e00ff>30</color>分鐘就要過期了。您可以在<color=#7e00ff>外觀商店</color>內購買以獲得該外觀的<color=#7e00ff>永久版</color>，提升尊享等級至<color=#7e00ff>尊享3級</color>還可獲得<color=#7e00ff>雪霽晴嵐</color>永久版。"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2143	1	"|C|系统|T|長生訣"	"|C|外观提醒|T|外觀提醒"	"|C|感谢少侠对时装的支持。温馨提醒，您的<color=#7e00ff>寂寞的凝视</color>外观还有<color=#7e00ff>30</color>分钟就要过期了。您可以在<color=#7e00ff>外观商店</color>内购买以获得该外观的<color=#7e00ff>永久版</color>，提升尊享等级至<color=#7e00ff>尊享3级</color>还可获得<color=#7e00ff>雪霁晴岚</color>永久版。|T|感謝少俠對時裝的支持。溫馨提醒，您的<color=#7e00ff>寂寞的凝視</color>外觀還有<color=#7e00ff>30</color>分鐘就要過期了。您可以在<color=#7e00ff>外觀商店</color>內購買以獲得該外觀的<color=#7e00ff>永久版</color>，提升尊享等級至<color=#7e00ff>尊享3級</color>還可獲得<color=#7e00ff>雪霽晴嵐</color>永久版。"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2144	1	"|C|系统|T|長生訣"	"|C|外观提醒|T|外觀提醒"	"|C|感谢少侠对时装的支持。温馨提醒，您的<color=#7e00ff>白帝</color>外观还有<color=#7e00ff>30</color>分钟就要过期了。您可以在<color=#7e00ff>外观商店</color>内购买以获得该外观的<color=#7e00ff>永久版</color>，提升尊享等级至<color=#7e00ff>尊享3级</color>还可获得<color=#7e00ff>雪霁晴岚</color>永久版。|T|感謝少俠對時裝的支持。溫馨提醒，您的<color=#7e00ff>白帝</color>外觀還有<color=#7e00ff>30</color>分鐘就要過期了。您可以在<color=#7e00ff>外觀商店</color>內購買以獲得該外觀的<color=#7e00ff>永久版</color>，提升尊享等級至<color=#7e00ff>尊享3級</color>還可獲得<color=#7e00ff>雪霽晴嵐</color>永久版。"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2145	1	"|C|系统|T|長生訣"	"|C|外观提醒|T|外觀提醒"	"|C|感谢少侠对时装的支持。温馨提醒，您的<color=#7e00ff>灵狐</color>外观还有<color=#7e00ff>30</color>分钟就要过期了。您可以在<color=#7e00ff>外观商店</color>内购买以获得该外观的<color=#7e00ff>永久版</color>，提升尊享等级至<color=#7e00ff>尊享3级</color>还可获得<color=#7e00ff>雪霁晴岚</color>永久版。|T|感謝少俠對時裝的支持。溫馨提醒，您的<color=#7e00ff>靈狐</color>外觀還有<color=#7e00ff>30</color>分鐘就要過期了。您可以在<color=#7e00ff>外觀商店</color>內購買以獲得該外觀的<color=#7e00ff>永久版</color>，提升尊享等級至<color=#7e00ff>尊享3級</color>還可獲得<color=#7e00ff>雪霽晴嵐</color>永久版。"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2146	1	"|C|系统|T|長生訣"	"|C|外观提醒|T|外觀提醒"	"|C|感谢少侠对时装的支持。温馨提醒，您的<color=#7e00ff>黑毛羊驼</color>外观还有<color=#7e00ff>30</color>分钟就要过期了。您可以在<color=#7e00ff>外观商店</color>内购买以获得该外观的<color=#7e00ff>永久版</color>，提升尊享等级至<color=#7e00ff>尊享3级</color>还可获得<color=#7e00ff>雪霁晴岚</color>永久版。|T|感謝少俠對時裝的支持。溫馨提醒，您的<color=#7e00ff>黑毛羊駝</color>外觀還有<color=#7e00ff>30</color>分鐘就要過期了。您可以在<color=#7e00ff>外觀商店</color>內購買以獲得該外觀的<color=#7e00ff>永久版</color>，提升尊享等級至<color=#7e00ff>尊享3級</color>還可獲得<color=#7e00ff>雪霽晴嵐</color>永久版。"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2147	1	"|C|系统|T|長生訣"	"|C|外观提醒|T|外觀提醒"	"|C|感谢少侠对时装的支持。温馨提醒，您的<color=#7e00ff>白毛羊驼</color>外观还有<color=#7e00ff>30</color>分钟就要过期了。您可以在<color=#7e00ff>外观商店</color>内购买以获得该外观的<color=#7e00ff>永久版</color>，提升尊享等级至<color=#7e00ff>尊享3级</color>还可获得<color=#7e00ff>雪霁晴岚</color>永久版。|T|感謝少俠對時裝的支持。溫馨提醒，您的<color=#7e00ff>白毛羊駝</color>外觀還有<color=#7e00ff>30</color>分鐘就要過期了。您可以在<color=#7e00ff>外觀商店</color>內購買以獲得該外觀的<color=#7e00ff>永久版</color>，提升尊享等級至<color=#7e00ff>尊享3級</color>還可獲得<color=#7e00ff>雪霽晴嵐</color>永久版。"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2148	1	"|C|系统|T|長生訣"	"|C|外观提醒|T|外觀提醒"	"|C|感谢少侠对时装的支持。温馨提醒，您的<color=#7e00ff>紫毛雪兔</color>外观还有<color=#7e00ff>30</color>分钟就要过期了。您可以在<color=#7e00ff>外观商店</color>内购买以获得该外观的<color=#7e00ff>永久版</color>，提升尊享等级至<color=#7e00ff>尊享3级</color>还可获得<color=#7e00ff>雪霁晴岚</color>永久版。|T|感謝少俠對時裝的支持。溫馨提醒，您的<color=#7e00ff>紫毛雪兔</color>外觀還有<color=#7e00ff>30</color>分鐘就要過期了。您可以在<color=#7e00ff>外觀商店</color>內購買以獲得該外觀的<color=#7e00ff>永久版</color>，提升尊享等級至<color=#7e00ff>尊享3級</color>還可獲得<color=#7e00ff>雪霽晴嵐</color>永久版。"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2149	1	"|C|系统|T|長生訣"	"|C|外观提醒|T|外觀提醒"	"|C|感谢少侠对时装的支持。温馨提醒，您的<color=#7e00ff>雪兔</color>外观还有<color=#7e00ff>30</color>分钟就要过期了。您可以在<color=#7e00ff>外观商店</color>内购买以获得该外观的<color=#7e00ff>永久版</color>，提升尊享等级至<color=#7e00ff>尊享3级</color>还可获得<color=#7e00ff>雪霁晴岚</color>永久版。|T|感謝少俠對時裝的支持。溫馨提醒，您的<color=#7e00ff>雪兔</color>外觀還有<color=#7e00ff>30</color>分鐘就要過期了。您可以在<color=#7e00ff>外觀商店</color>內購買以獲得該外觀的<color=#7e00ff>永久版</color>，提升尊享等級至<color=#7e00ff>尊享3級</color>還可獲得<color=#7e00ff>雪霽晴嵐</color>永久版。"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2150	1	"|C|系统|T|長生訣"	"|C|外观提醒|T|外觀提醒"	"|C|感谢少侠对时装的支持。温馨提醒，您的<color=#7e00ff>怒焰麒麟</color>外观还有<color=#7e00ff>30</color>分钟就要过期了。您可以在<color=#7e00ff>外观商店</color>内购买以获得该外观的<color=#7e00ff>永久版</color>，提升尊享等级至<color=#7e00ff>尊享3级</color>还可获得<color=#7e00ff>雪霁晴岚</color>永久版。|T|感謝少俠對時裝的支持。溫馨提醒，您的<color=#7e00ff>怒焰麒麟</color>外觀還有<color=#7e00ff>30</color>分鐘就要過期了。您可以在<color=#7e00ff>外觀商店</color>內購買以獲得該外觀的<color=#7e00ff>永久版</color>，提升尊享等級至<color=#7e00ff>尊享3級</color>還可獲得<color=#7e00ff>雪霽晴嵐</color>永久版。"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2151	1	"|C|系统|T|長生訣"	"|C|外观提醒|T|外觀提醒"	"|C|感谢少侠对时装的支持。温馨提醒，您的<color=#7e00ff>素月</color>外观还有<color=#7e00ff>30</color>分钟就要过期了。您可以在<color=#7e00ff>外观商店</color>内购买以获得该外观的<color=#7e00ff>永久版</color>，提升尊享等级至<color=#7e00ff>尊享3级</color>还可获得<color=#7e00ff>雪霁晴岚</color>永久版。|T|感謝少俠對時裝的支持。溫馨提醒，您的<color=#7e00ff>素月</color>外觀還有<color=#7e00ff>30</color>分鐘就要過期了。您可以在<color=#7e00ff>外觀商店</color>內購買以獲得該外觀的<color=#7e00ff>永久版</color>，提升尊享等級至<color=#7e00ff>尊享3級</color>還可獲得<color=#7e00ff>雪霽晴嵐</color>永久版。"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2152	1	"|C|系统|T|長生訣"	"|C|外观提醒|T|外觀提醒"	"|C|感谢少侠对时装的支持。温馨提醒，您的<color=#7e00ff>留影</color>外观还有<color=#7e00ff>30</color>分钟就要过期了。您可以在<color=#7e00ff>外观商店</color>内购买以获得该外观的<color=#7e00ff>永久版</color>，提升尊享等级至<color=#7e00ff>尊享3级</color>还可获得<color=#7e00ff>雪霁晴岚</color>永久版。|T|感謝少俠對時裝的支持。溫馨提醒，您的<color=#7e00ff>留影</color>外觀還有<color=#7e00ff>30</color>分鐘就要過期了。您可以在<color=#7e00ff>外觀商店</color>內購買以獲得該外觀的<color=#7e00ff>永久版</color>，提升尊享等級至<color=#7e00ff>尊享3級</color>還可獲得<color=#7e00ff>雪霽晴嵐</color>永久版。"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2153	1	"|C|系统|T|長生訣"	"|C|外观提醒|T|外觀提醒"	"|C|感谢少侠对时装的支持。温馨提醒，您的<color=#7e00ff>熊宝</color>外观还有<color=#7e00ff>30</color>分钟就要过期了。您可以在<color=#7e00ff>外观商店</color>内购买以获得该外观的<color=#7e00ff>永久版</color>，提升尊享等级至<color=#7e00ff>尊享3级</color>还可获得<color=#7e00ff>雪霁晴岚</color>永久版。|T|感謝少俠對時裝的支持。溫馨提醒，您的<color=#7e00ff>熊寶</color>外觀還有<color=#7e00ff>30</color>分鐘就要過期了。您可以在<color=#7e00ff>外觀商店</color>內購買以獲得該外觀的<color=#7e00ff>永久版</color>，提升尊享等級至<color=#7e00ff>尊享3級</color>還可獲得<color=#7e00ff>雪霽晴嵐</color>永久版。"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
