掉落ID	有效标志位	副ID（超过300的部分将会无效，请注意）	副ID随机几率，-1为必定随出来	掉落类型	随机规则	地图掉落限制周期	地图掉落限制次数	掉落时间限制	分配角色限制	分配等级下限	分配等级上限	次数限制	状态限制	世界科技系数（对应world_civ_mod表)	掉落广播类型（位域,0不广播,1掉落拾取,2开宝箱,4制造广播,2^3~2^12(8184)世界科技1~10广播,2^13全世界广播,2^14当前地图广播,2^15本阵营广播,2^16上品广播,2^17极品广播,2^18帮派广播,2^19小队广播)	掉落次数下限	掉落次数上限	单人分配最大数量	掉落几率	掉落保底	是否绑定	品质系数	参数1（固定掉落时，道具为type_id，货币为货币枚举；随机掉落时，为表现类型1的performance_id）	参数2（固定掉落时，道具为随机几率，货币为货币数量；随机掉落时，为表现类型1的随机概率）	参数3（随机掉落时，为表现类型2的performance_id）	参数4（随机掉落时，为表现类型2的随机概率）	参数5（随机掉落时，为表现类型3的performance_id）	参数6（随机掉落时，为表现类型3的随机概率）	参数7（随机掉落时，为表现类型4的performance_id）	参数8（随机掉落时，为表现类型4的随机概率）	参数9（随机掉落时，为表现类型5的performance_id）	参数10（随机掉落时，为表现类型5的随机概率）	参数11（随机掉落时，为等级区间下限）	参数12（随机掉落时，为等级区间上限）	参数13（随机掉落时，为流水区间下限）	参数14（随机掉落时，为流水区间上限）	参数15	参数16	参数17	参数18	参数19	参数20	参数21	参数22	参数23	参数24 
60231	1	197	-1	1	0	0	0	0	0	3131	4160	0	0	0	0	10000	10000	10000	12	0	0	0	300140660	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60231	1	198	-1	1	0	0	0	0	0	4151	5180	0	0	0	0	10000	10000	10000	12	0	0	0	300140670	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60231	1	199	-1	1	0	0	0	0	0	5171	6200	0	0	0	0	10000	10000	10000	12	0	0	0	300140680	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60231	1	200	-1	1	0	0	0	0	0	6191	7220	0	0	0	0	10000	10000	10000	12	0	0	0	300140690	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60231	1	201	-1	4	0	0	0	0	0	1	7999	0	0	1203001	0	10000	10000	10000	20000	0	10000	0	203	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60231	1	202	-1	0	0	0	0	4000101	0	1081	1089	190	90000035	0	0	10000	10000	10000	1500	0	10000	0	500103202	2000	500103204	2000	500103205	2000	500103207	2000	500103208	2000	500103210	2000	500103213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	203	-1	0	0	0	0	4000101	0	1081	1089	190	90000036	0	0	10000	10000	10000	1500	0	10000	0	500103203	2000	500103204	2000	500103205	2000	500103207	2000	500103208	2000	500103210	2000	500103213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	204	-1	0	0	0	0	4000101	0	1090	1099	190	90000035	0	0	10000	10000	10000	750	0	10000	0	500103202	2000	500103204	2000	500103205	2000	500103207	2000	500103208	2000	500103210	2000	500103213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	205	-1	0	0	0	0	4000101	0	1090	1099	190	90000036	0	0	10000	10000	10000	750	0	10000	0	500103203	2000	500103204	2000	500103205	2000	500103207	2000	500103208	2000	500103210	2000	500103213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	206	-1	0	0	0	0	4000101	0	1090	1099	190	0	0	0	10000	10000	10000	750	0	10000	0	500103206	2500	500103209	2500	500103211	2500	500103212	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60231	1	207	-1	0	0	0	0	4000101	0	1100	3120	190	90000035	0	0	10000	10000	10000	750	0	10000	0	500103202	2000	500103204	2000	500103205	2000	500103207	2000	500103208	2000	500103210	2000	500103213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	208	-1	0	0	0	0	4000101	0	1100	3120	190	90000036	0	0	10000	10000	10000	750	0	10000	0	500103203	2000	500103204	2000	500103205	2000	500103207	2000	500103208	2000	500103210	2000	500103213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	209	-1	0	0	0	0	4000101	0	1100	3120	190	0	0	0	10000	10000	10000	750	0	10000	0	500103206	2000	500103209	2000	500103211	2000	500103212	2000	500103201	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60231	1	210	-1	0	0	0	0	4000101	0	3121	3129	190	0	0	0	10000	10000	10000	500	0	10000	0	500103206	2000	500103209	2000	500103211	2000	500103212	2000	500103201	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60231	1	211	-1	0	0	0	0	4000101	0	3130	3139	190	0	0	0	10000	10000	10000	500	0	10000	0	500103201	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60231	1	212	-1	0	0	0	0	4000101	0	3121	3129	190	90000035	0	0	10000	10000	10000	1500	0	10000	0	500104202	2000	500104204	2000	500104205	2000	500104207	2000	500104208	2000	500104210	2000	500104213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	213	-1	0	0	0	0	4000101	0	3121	3129	190	90000036	0	0	10000	10000	10000	1500	0	10000	0	500104203	2000	500104204	2000	500104205	2000	500104207	2000	500104208	2000	500104210	2000	500104213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	214	-1	0	0	0	0	4000101	0	3130	3139	190	90000035	0	0	10000	10000	10000	750	0	10000	0	500104202	2000	500104204	2000	500104205	2000	500104207	2000	500104208	2000	500104210	2000	500104213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	215	-1	0	0	0	0	4000101	0	3130	3139	190	90000036	0	0	10000	10000	10000	750	0	10000	0	500104203	2000	500104204	2000	500104205	2000	500104207	2000	500104208	2000	500104210	2000	500104213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	216	-1	0	0	0	0	4000101	0	3130	3139	190	0	0	0	10000	10000	10000	750	0	10000	0	500104206	2500	500104209	2500	500104211	2500	500104212	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60231	1	217	-1	0	0	0	0	4000101	0	3140	5160	190	90000035	0	0	10000	10000	10000	750	0	10000	0	500104202	2000	500104204	2000	500104205	2000	500104207	2000	500104208	2000	500104210	2000	500104213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	218	-1	0	0	0	0	4000101	0	3140	5160	190	90000036	0	0	10000	10000	10000	750	0	10000	0	500104203	2000	500104204	2000	500104205	2000	500104207	2000	500104208	2000	500104210	2000	500104213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	219	-1	0	0	0	0	4000101	0	3140	5160	190	0	0	0	10000	10000	10000	750	0	10000	0	500104206	2000	500104209	2000	500104211	2000	500104212	2000	500104201	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60231	1	220	-1	0	0	0	0	4000101	0	5161	5169	190	0	0	0	10000	10000	10000	500	0	10000	0	500104206	2000	500104209	2000	500104211	2000	500104212	2000	500104201	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60231	1	221	-1	0	0	0	0	4000101	0	5170	5179	190	0	0	0	10000	10000	10000	500	0	10000	0	500104201	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60231	1	222	-1	0	0	0	0	4000101	0	5161	5169	190	90000035	0	0	10000	10000	10000	1500	0	10000	0	500105202	2000	500105204	2000	500105205	2000	500105207	2000	500105208	2000	500105210	2000	500105213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	223	-1	0	0	0	0	4000101	0	5161	5169	190	90000036	0	0	10000	10000	10000	1500	0	10000	0	500105203	2000	500105204	2000	500105205	2000	500105207	2000	500105208	2000	500105210	2000	500105213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	224	-1	0	0	0	0	4000101	0	5170	5179	190	90000035	0	0	10000	10000	10000	750	0	10000	0	500105202	2000	500105204	2000	500105205	2000	500105207	2000	500105208	2000	500105210	2000	500105213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	225	-1	0	0	0	0	4000101	0	5170	5179	190	90000036	0	0	10000	10000	10000	750	0	10000	0	500105203	2000	500105204	2000	500105205	2000	500105207	2000	500105208	2000	500105210	2000	500105213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	226	-1	0	0	0	0	4000101	0	5170	5179	190	0	0	0	10000	10000	10000	750	0	10000	0	500105206	2500	500105209	2500	500105211	2500	500105212	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60231	1	227	-1	0	0	0	0	4000101	0	5180	9999	190	90000035	0	0	10000	10000	10000	750	0	10000	0	500105202	2000	500105204	2000	500105205	2000	500105207	2000	500105208	2000	500105210	2000	500105213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	228	-1	0	0	0	0	4000101	0	5180	9999	190	90000036	0	0	10000	10000	10000	750	0	10000	0	500105203	2000	500105204	2000	500105205	2000	500105207	2000	500105208	2000	500105210	2000	500105213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	229	-1	0	0	0	0	4000101	0	5180	9999	190	0	0	0	10000	10000	10000	750	0	10000	0	500105206	2000	500105209	2000	500105211	2000	500105212	2000	500105201	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60231	1	230	-1	0	0	0	0	4000101	0	1081	1089	0	90000035	0	0	10000	10000	10000	30	0	10000	0	500103202	2000	500103204	2000	500103205	2000	500103207	2000	500103208	2000	500103210	2000	500103213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	231	-1	0	0	0	0	4000101	0	1081	1089	0	90000036	0	0	10000	10000	10000	30	0	10000	0	500103203	2000	500103204	2000	500103205	2000	500103207	2000	500103208	2000	500103210	2000	500103213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	232	-1	0	0	0	0	4000101	0	1090	1099	0	90000035	0	0	10000	10000	10000	15	0	10000	0	500103202	2000	500103204	2000	500103205	2000	500103207	2000	500103208	2000	500103210	2000	500103213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	233	-1	0	0	0	0	4000101	0	1090	1099	0	90000036	0	0	10000	10000	10000	15	0	10000	0	500103203	2000	500103204	2000	500103205	2000	500103207	2000	500103208	2000	500103210	2000	500103213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	234	-1	0	0	0	0	4000101	0	1090	1099	0	0	0	0	10000	10000	10000	15	0	10000	0	500103206	2500	500103209	2500	500103211	2500	500103212	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60231	1	235	-1	0	0	0	0	4000101	0	1100	3120	0	90000035	0	0	10000	10000	10000	15	0	10000	0	500103202	2000	500103204	2000	500103205	2000	500103207	2000	500103208	2000	500103210	2000	500103213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	236	-1	0	0	0	0	4000101	0	1100	3120	0	90000036	0	0	10000	10000	10000	15	0	10000	0	500103203	2000	500103204	2000	500103205	2000	500103207	2000	500103208	2000	500103210	2000	500103213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	237	-1	0	0	0	0	4000101	0	1100	3120	0	0	0	0	10000	10000	10000	15	0	10000	0	500103206	2000	500103209	2000	500103211	2000	500103212	2000	500103201	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60231	1	238	-1	0	0	0	0	4000101	0	3121	3129	0	0	0	0	10000	10000	10000	10	0	10000	0	500103206	2000	500103209	2000	500103211	2000	500103212	2000	500103201	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60231	1	239	-1	0	0	0	0	4000101	0	3130	3139	0	0	0	0	10000	10000	10000	10	0	10000	0	500103201	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60231	1	240	-1	0	0	0	0	4000101	0	3121	3129	0	90000035	0	0	10000	10000	10000	30	0	10000	0	500104202	2000	500104204	2000	500104205	2000	500104207	2000	500104208	2000	500104210	2000	500104213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	241	-1	0	0	0	0	4000101	0	3121	3129	0	90000036	0	0	10000	10000	10000	30	0	10000	0	500104203	2000	500104204	2000	500104205	2000	500104207	2000	500104208	2000	500104210	2000	500104213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	242	-1	0	0	0	0	4000101	0	3130	3139	0	90000035	0	0	10000	10000	10000	15	0	10000	0	500104202	2000	500104204	2000	500104205	2000	500104207	2000	500104208	2000	500104210	2000	500104213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	243	-1	0	0	0	0	4000101	0	3130	3139	0	90000036	0	0	10000	10000	10000	15	0	10000	0	500104203	2000	500104204	2000	500104205	2000	500104207	2000	500104208	2000	500104210	2000	500104213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	244	-1	0	0	0	0	4000101	0	3130	3139	0	0	0	0	10000	10000	10000	15	0	10000	0	500104206	2500	500104209	2500	500104211	2500	500104212	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60231	1	245	-1	0	0	0	0	4000101	0	3140	5160	0	90000035	0	0	10000	10000	10000	15	0	10000	0	500104202	2000	500104204	2000	500104205	2000	500104207	2000	500104208	2000	500104210	2000	500104213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	246	-1	0	0	0	0	4000101	0	3140	5160	0	90000036	0	0	10000	10000	10000	15	0	10000	0	500104203	2000	500104204	2000	500104205	2000	500104207	2000	500104208	2000	500104210	2000	500104213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	247	-1	0	0	0	0	4000101	0	3140	5160	0	0	0	0	10000	10000	10000	15	0	10000	0	500104206	2000	500104209	2000	500104211	2000	500104212	2000	500104201	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60231	1	248	-1	0	0	0	0	4000101	0	5161	5169	0	0	0	0	10000	10000	10000	10	0	10000	0	500104206	2000	500104209	2000	500104211	2000	500104212	2000	500104201	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60231	1	249	-1	0	0	0	0	4000101	0	5170	5179	0	0	0	0	10000	10000	10000	10	0	10000	0	500104201	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60231	1	250	-1	0	0	0	0	4000101	0	5161	5169	0	90000035	0	0	10000	10000	10000	30	0	10000	0	500105202	2000	500105204	2000	500105205	2000	500105207	2000	500105208	2000	500105210	2000	500105213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	251	-1	0	0	0	0	4000101	0	5161	5169	0	90000036	0	0	10000	10000	10000	30	0	10000	0	500105203	2000	500105204	2000	500105205	2000	500105207	2000	500105208	2000	500105210	2000	500105213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	252	-1	0	0	0	0	4000101	0	5170	5179	0	90000035	0	0	10000	10000	10000	15	0	10000	0	500105202	2000	500105204	2000	500105205	2000	500105207	2000	500105208	2000	500105210	2000	500105213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	253	-1	0	0	0	0	4000101	0	5170	5179	0	90000036	0	0	10000	10000	10000	15	0	10000	0	500105203	2000	500105204	2000	500105205	2000	500105207	2000	500105208	2000	500105210	2000	500105213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	254	-1	0	0	0	0	4000101	0	5170	5179	0	0	0	0	10000	10000	10000	15	0	10000	0	500105206	2500	500105209	2500	500105211	2500	500105212	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60231	1	255	-1	0	0	0	0	4000101	0	5180	9999	0	90000035	0	0	10000	10000	10000	15	0	10000	0	500105202	2000	500105204	2000	500105205	2000	500105207	2000	500105208	2000	500105210	2000	500105213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	256	-1	0	0	0	0	4000101	0	5180	9999	0	90000036	0	0	10000	10000	10000	15	0	10000	0	500105203	2000	500105204	2000	500105205	2000	500105207	2000	500105208	2000	500105210	2000	500105213	2000	0	0	0	0	0	0	0	0	0	0
60231	1	257	-1	0	0	0	0	4000101	0	5180	9999	0	0	0	0	10000	10000	10000	15	0	10000	0	500105206	2000	500105209	2000	500105211	2000	500105212	2000	500105201	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60231	1	258	-1	0	0	0	0	4007000	0	2101	4140	581	0	0	0	10000	10000	10000	300	0	0	0	330100201	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60231	1	259	-1	0	0	0	0	4007000	0	4141	6180	581	0	0	0	10000	10000	10000	300	0	0	0	330100202	6667	330100201	3333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60231	1	260	-1	0	0	0	0	4007000	0	6181	9999	581	0	0	0	10000	10000	10000	300	0	0	0	330100203	3334	330100202	3333	330100201	3333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	12	-1	4	0	0	0	0	0	1	7200	0	90003205	1200001	0	50000	50000	10000	10000	0	10000	0	200	1364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	13	-1	4	0	0	0	0	0	1	7200	0	90003205	1203001	0	50000	50000	10000	10000	0	10000	0	203	505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	14	-1	0	0	0	0	2052500	0	1	7200	0	90003205	0	0	10000	10000	10000	3636	0	0	0	310251625	5000	310251626	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	15	-1	0	0	0	0	0	0	1	7200	0	90003205	0	0	10000	10000	10000	740	10	10000	0	321700104	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	16	-1	0	0	0	0	0	0	1	7200	0	90003205	0	0	10000	10000	10000	612	12	10000	0	322100001	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	17	-1	0	0	0	0	0	0	1	7200	0	90003205	0	0	10000	10000	10000	2212	3	10000	0	322100002	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	18	-1	0	1	0	0	0	0	1	7200	0	90003205	0	0	10000	10000	10000	925	10	0	0	4221	10000	0	0	0	0	0	0	10100	10103	2667	20100	20103	2666	30100	30103	2000	40100	40103	2667	0	0	0	0
60241	1	19	-1	0	0	0	0	0	0	10	59	0	90003205	0	0	10000	10000	10000	360	20	0	0	300120020	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	20	-1	0	0	0	0	0	0	20	60	0	90003205	0	0	10000	10000	10000	360	20	0	0	300120120	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	21	-1	0	0	0	0	0	0	40	65	0	90003205	0	0	10000	10000	10000	360	20	0	0	300120220	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	22	-1	0	0	0	0	0	0	30	62	0	90003205	0	0	10000	10000	10000	360	20	0	0	300120320	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	23	-1	0	0	0	0	0	0	60	1079	0	90003205	0	0	10000	10000	10000	270	26	0	0	300140030	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	24	-1	0	0	0	0	0	0	61	1080	0	90003205	0	0	10000	10000	10000	270	26	0	0	300140130	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	25	-1	0	0	0	0	0	0	66	1085	0	90003205	0	0	10000	10000	10000	270	26	0	0	300140230	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	26	-1	0	0	0	0	0	0	63	1082	0	90003205	0	0	10000	10000	10000	270	26	0	0	300140330	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	27	-1	0	0	0	0	0	0	1080	2099	0	90003205	0	0	10000	10000	10000	180	40	0	0	300140040	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	28	-1	0	0	0	0	0	0	1081	2100	0	90003205	0	0	10000	10000	10000	180	40	0	0	300140140	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	29	-1	0	0	0	0	0	0	1086	2105	0	90003205	0	0	10000	10000	10000	180	40	0	0	300140240	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	30	-1	0	0	0	0	0	0	1083	2102	0	90003205	0	0	10000	10000	10000	180	40	0	0	300140340	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	31	-1	0	0	0	0	0	0	2100	3119	0	90003205	0	0	10000	10000	10000	180	40	0	0	300140050	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	32	-1	0	0	0	0	0	0	2101	3120	0	90003205	0	0	10000	10000	10000	180	40	0	0	300140150	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	33	-1	0	0	0	0	0	0	2106	3125	0	90003205	0	0	10000	10000	10000	180	40	0	0	300140250	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	34	-1	0	0	0	0	0	0	2103	3122	0	90003205	0	0	10000	10000	10000	180	40	0	0	300140350	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	35	-1	0	0	0	0	0	0	3120	4139	0	90003205	0	0	10000	10000	10000	180	40	0	0	300140060	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	36	-1	0	0	0	0	0	0	3121	4140	0	90003205	0	0	10000	10000	10000	180	40	0	0	300140160	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	37	-1	0	0	0	0	0	0	3126	4145	0	90003205	0	0	10000	10000	10000	180	40	0	0	300140260	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	38	-1	0	0	0	0	0	0	3123	4142	0	90003205	0	0	10000	10000	10000	180	40	0	0	300140360	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	39	-1	0	0	0	0	0	0	4140	5159	0	90003205	0	0	10000	10000	10000	180	40	0	0	300140070	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	40	-1	0	0	0	0	0	0	4141	5160	0	90003205	0	0	10000	10000	10000	180	40	0	0	300140170	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	41	-1	0	0	0	0	0	0	4146	5165	0	90003205	0	0	10000	10000	10000	180	40	0	0	300140270	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	42	-1	0	0	0	0	0	0	4143	5162	0	90003205	0	0	10000	10000	10000	180	40	0	0	300140370	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	43	-1	0	0	0	0	0	0	5160	6179	0	90003205	0	0	10000	10000	10000	180	40	0	0	300140080	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	44	-1	0	0	0	0	0	0	5161	6185	0	90003205	0	0	10000	10000	10000	180	40	0	0	300140180	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	45	-1	0	0	0	0	0	0	5166	6195	0	90003205	0	0	10000	10000	10000	180	40	0	0	300140280	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	46	-1	0	0	0	0	0	0	5163	6192	0	90003205	0	0	10000	10000	10000	180	40	0	0	300140380	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	47	-1	0	0	0	0	0	0	6180	7200	0	90003205	0	0	10000	10000	10000	180	40	0	0	300140090	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	48	-1	0	0	0	0	0	0	6181	7200	0	90003205	0	0	10000	10000	10000	180	40	0	0	300140190	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	49	-1	0	0	0	0	0	0	6186	7200	0	90003205	0	0	10000	10000	10000	180	40	0	0	300140290	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	50	-1	0	0	0	0	0	0	6183	7200	0	90003205	0	0	10000	10000	10000	180	40	0	0	300140390	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	51	-1	0	0	0	0	0	0	10	59	0	90003205	0	0	10000	10000	10000	216	33	0	0	300130020	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	52	-1	0	0	0	0	0	0	20	60	0	90003205	0	0	10000	10000	10000	216	33	0	0	300130120	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	53	-1	0	0	0	0	0	0	40	65	0	90003205	0	0	10000	10000	10000	216	33	0	0	300130220	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	54	-1	0	0	0	0	0	0	30	62	0	90003205	0	0	10000	10000	10000	216	33	0	0	300130320	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	55	-1	0	0	0	0	0	0	60	1079	0	90003205	0	0	10000	10000	10000	162	44	0	0	300150030	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	56	-1	0	0	0	0	0	0	61	1080	0	90003205	0	0	10000	10000	10000	162	44	0	0	300150130	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	57	-1	0	0	0	0	0	0	66	1085	0	90003205	0	0	10000	10000	10000	162	44	0	0	300150230	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	58	-1	0	0	0	0	0	0	63	1082	0	90003205	0	0	10000	10000	10000	162	44	0	0	300150330	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	59	-1	0	0	0	0	0	0	1080	2099	0	90003205	0	0	10000	10000	10000	108	66	0	0	300150040	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	60	-1	0	0	0	0	0	0	1081	2100	0	90003205	0	0	10000	10000	10000	108	66	0	0	300150140	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	61	-1	0	0	0	0	0	0	1086	2105	0	90003205	0	0	10000	10000	10000	108	66	0	0	300150240	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	62	-1	0	0	0	0	0	0	1083	2102	0	90003205	0	0	10000	10000	10000	108	66	0	0	300150340	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60241	1	63	-1	0	0	0	0	0	0	2100	3119	0	90003205	0	0	10000	10000	10000	108	66	0	0	300150050	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
