祝福ID(祝福的ID，部分行为指定四位ID，其余的ID命名规则：祝福编号1~N+两位子类型+三位流水号；1等级，2装备(强化01、魂装02、精炼03、重铸04、品质05)，3闲置编号，4副本（长生碑01，封魔塔02），5闲置，6灵宠，7转生，8经文，9武学，10排行榜，11符印，12好友数量，13坐骑，14活动（赏花01），15充值，16红包)	有效标志	祝福名称（这个祝福的文字名称）	发送对象（1发送到好友，2发送到帮派成员，3好友和帮派都发送）	普通奖励（普通祝福的奖励ID）	绑元奖励（使用绑元祝福的奖励ID）	被普通祝福奖励（被普通祝福奖励获得的奖励ID）	被绑元祝福奖励（被绑元祝福奖励获得的奖励ID）	通关塔层（通关层数）	红包数额	红包个数	祝福能触发的次数上限（次数限制ID）	触发祝福的时间间隔（时间，单位：秒）	祝福红包说明（祝福面板中的文字描述）	收到祝福说明（玩家收到祝福后再聊天信息里收到的提示）
401007	1	帮派祝福	2	40070101	40070103	40070102	40070104	10	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功通关<color=#4ac6ff>听雨碑第10关</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>通过听雨碑第10关，长生之路更进一步！<color=#00dbaa>%s</color>送上一份祝福！
401008	1	帮派祝福	2	40070101	40070103	40070102	40070104	10	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功通关<color=#4ac6ff>烟暖碑第10关</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>通过烟暖碑第10关，长生之路更进一步！<color=#00dbaa>%s</color>送上一份祝福！
401009	1	帮派祝福	2	40070101	40070103	40070102	40070104	10	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功通关<color=#4ac6ff>白山碑第10关</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>通过白山碑第10关，长生之路更进一步！<color=#00dbaa>%s</color>送上一份祝福！
401010	1	帮派祝福	2	40070101	40070103	40070102	40070104	10	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功通关<color=#4ac6ff>孤松碑第10关</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>通过孤松碑第10关，长生之路更进一步！<color=#00dbaa>%s</color>送上一份祝福！
401011	1	帮派祝福	2	40070101	40070103	40070102	40070104	10	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功通关<color=#4ac6ff>梧桐碑第10关</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>通过梧桐碑第10关，长生之路更进一步！<color=#00dbaa>%s</color>送上一份祝福！
401012	1	帮派祝福	2	40070101	40070103	40070102	40070104	10	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功通关<color=#4ac6ff>风雪碑第10关</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>通过风雪碑第10关，长生之路更进一步！<color=#00dbaa>%s</color>送上一份祝福！
401013	1	帮派祝福	2	40070101	40070103	40070102	40070104	10	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功通关<color=#4ac6ff>云霞碑第10关</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>通过云霞碑第10关，长生之路更进一步！<color=#00dbaa>%s</color>送上一份祝福！
401014	1	帮派祝福	2	40070101	40070103	40070102	40070104	10	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功通关<color=#4ac6ff>梦泽碑第10关</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>通过梦泽碑第10关，长生之路更进一步！<color=#00dbaa>%s</color>送上一份祝福！
401015	1	帮派祝福	2	40070101	40070103	40070102	40070104	10	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功通关<color=#4ac6ff>青烟碑第10关</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>通过青烟碑第10关，长生之路更进一步！<color=#00dbaa>%s</color>送上一份祝福！
401016	1	帮派祝福	2	40070101	40070103	40070102	40070104	10	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功通关<color=#4ac6ff>星辰碑第10关</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>通过星辰碑第10关，长生之路更进一步！<color=#00dbaa>%s</color>送上一份祝福！
401017	1	帮派祝福	2	40070101	40070103	40070102	40070104	10	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功通关<color=#4ac6ff>慕寒碑第10关</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>通过慕寒碑第10关，长生之路更进一步！<color=#00dbaa>%s</color>送上一份祝福！
402001	1	帮派祝福	2	40070101	40070103	40070102	40070104	3	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功通关<color=#4ac6ff>封魔塔第3层</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>通过封魔塔3层，修为令人侧目，<color=#00dbaa>%s</color>送上一份祝福！
402002	1	帮派祝福	2	40070101	40070103	40070102	40070104	6	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功通关<color=#4ac6ff>封魔塔第6层</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>通过封魔塔6层，修为旷世绝伦，<color=#00dbaa>%s</color>送上一份祝福！
402003	1	帮派祝福	2	40070101	40070103	40070102	40070104	10	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功通关<color=#4ac6ff>封魔塔</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>通过封魔塔10层，修为震古烁今，<color=#00dbaa>%s</color>送上一份祝福！
501001	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>将境界提升到<color=#4ac6ff>筑基境界</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>突破瓶颈达到筑基期，从此纵横长生仙界！<color=#00dbaa>%s</color>送上一份祝福！
501002	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	116	60	您的帮派成员<color=#fd8e06>%s</color>将境界提升到<color=#4ac6ff>虚丹境界</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>突破瓶颈达到虚丹期，从此纵横长生仙界！<color=#00dbaa>%s</color>送上一份祝福！
501003	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>将境界提升到<color=#4ac6ff>金丹境界</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>突破瓶颈达到金丹期，从此纵横长生仙界！<color=#00dbaa>%s</color>送上一份祝福！
501004	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>将境界提升到<color=#4ac6ff>婴变境界</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>突破瓶颈达到婴变期，从此纵横长生仙界！<color=#00dbaa>%s</color>送上一份祝福！
501005	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>将境界提升到<color=#4ac6ff>元婴境界</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>突破瓶颈达到元婴期，从此纵横长生仙界！<color=#00dbaa>%s</color>送上一份祝福！
501006	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>将境界提升到<color=#4ac6ff>凝液境界</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>突破瓶颈达到凝液期，从此纵横长生仙界！<color=#00dbaa>%s</color>送上一份祝福！
501007	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>将境界提升到<color=#4ac6ff>炼虚境界</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>突破瓶颈达到炼虚境，从此纵横长生仙界！<color=#00dbaa>%s</color>送上一份祝福！
501008	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>将境界提升到<color=#4ac6ff>化神境界</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>突破瓶颈达到化神期，从此纵横长生仙界！<color=#00dbaa>%s</color>送上一份祝福！
501009	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>将境界提升到<color=#4ac6ff>合体境界</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>突破瓶颈达到合体期，从此纵横长生仙界！<color=#00dbaa>%s</color>送上一份祝福！
501010	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>将境界提升到<color=#4ac6ff>小乘境界</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>突破瓶颈达到小乘境，从此纵横长生仙界！<color=#00dbaa>%s</color>送上一份祝福！
501011	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>将境界提升到<color=#4ac6ff>大乘境界</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>突破瓶颈达到大乘境，从此纵横长生仙界！<color=#00dbaa>%s</color>送上一份祝福！
501012	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>将境界提升到<color=#4ac6ff>渡劫境界</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>突破瓶颈达到渡劫境，从此纵横长生仙界！<color=#00dbaa>%s</color>送上一份祝福！
501013	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>将境界提升到<color=#4ac6ff>飞升境界</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>突破瓶颈达到飞升境，从此纵横长生仙界！<color=#00dbaa>%s</color>送上一份祝福！
501014	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>将境界提升到<color=#4ac6ff>化真境界</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>突破瓶颈达到化真境，从此纵横长生仙界！<color=#00dbaa>%s</color>送上一份祝福！
501015	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>将境界提升到<color=#4ac6ff>大罗境界</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>突破瓶颈达到大罗境，从此纵横长生仙界！<color=#00dbaa>%s</color>送上一份祝福！
501016	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>将境界提升到<color=#4ac6ff>太乙境界</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>突破瓶颈达到太乙境，从此纵横长生仙界！<color=#00dbaa>%s</color>送上一份祝福！
601001	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功获得<color=#4ac6ff>1只S级灵宠</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>获得1只S级灵宠，从此仙路畅通无阻，<color=#00dbaa>%s</color>送上一份祝福！
601002	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功获得<color=#4ac6ff>4只S级灵宠</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>获得4只S级灵宠，从此仙路畅通无阻，<color=#00dbaa>%s</color>送上一份祝福！
601003	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功获得<color=#4ac6ff>7只S级灵宠</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>获得7只S级灵宠，从此仙路畅通无阻，<color=#00dbaa>%s</color>送上一份祝福！
601004	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功获得<color=#4ac6ff>1只SS级灵宠</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>获得SS级灵宠，从此仙路畅通无阻，<color=#00dbaa>%s</color>送上一份祝福！
602001	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功获得1只<color=#4ac6ff>异化·灵宠</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>获得异化灵宠，从此仙路畅通无阻，<color=#00dbaa>%s</color>送上一份祝福！
602002	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功获得1只<color=#4ac6ff>魂化·灵宠</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>获得魂化灵宠，从此仙路畅通无阻，<color=#00dbaa>%s</color>送上一份祝福！
602003	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功获得1只<color=#4ac6ff>神化·灵宠</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>获得神化灵宠，从此仙路畅通无阻，<color=#00dbaa>%s</color>送上一份祝福！
701001	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功完成<color=#4ac6ff>第1次转生</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>1转成功，<color=#00dbaa>%s</color>送上一份祝福！，愿仙途光明，一往无前！
701002	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功完成<color=#4ac6ff>第2次转生</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>2转成功，<color=#00dbaa>%s</color>送上一份祝福！，愿仙途光明，一往无前！
701003	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功完成<color=#4ac6ff>第3次转生</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>3转成功，<color=#00dbaa>%s</color>送上一份祝福！，愿仙途光明，一往无前！
701004	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功完成<color=#4ac6ff>第4次转生</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>4转成功，<color=#00dbaa>%s</color>送上一份祝福！，愿仙途光明，一往无前！
701005	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功完成<color=#4ac6ff>第5次转生</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>5转成功，<color=#00dbaa>%s</color>送上一份祝福！，愿仙途光明，一往无前！
801001	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功合成<color=#4ac6ff>第1本经文书籍</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>合成第一本书籍，<color=#00dbaa>%s</color>送上一份祝福！愿博闻强识，前途无量！
801002	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功开启了<color=#4ac6ff>6种经文</color>，赶快送上你的祝福吧！	恭喜<color=#fd8e06>%s</color>集齐6本经文，<color=#00dbaa>%s</color>送上一份祝福！愿博闻强识，前途无量！
901001	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功将所有技能提升到<color=#4ac6ff>2级以上</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>技能升到2级，<color=#00dbaa>%s</color>送上一份祝福！愿熟能生巧，征服仙路！
901002	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功将所有技能提升到<color=#4ac6ff>10级以上</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>技能升到10级，<color=#00dbaa>%s</color>送上一份祝福！愿熟能生巧，征服仙路！
901003	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功将所有技能提升到<color=#4ac6ff>15级以上</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>技能升到15级，<color=#00dbaa>%s</color>送上一份祝福！愿熟能生巧，征服仙路！
901004	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功将所有技能提升到<color=#4ac6ff>20级以上</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>技能升到20级，<color=#00dbaa>%s</color>送上一份祝福！愿熟能生巧，征服仙路！
1001001	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功入选<color=#4ac6ff>光荣榜</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>进入光荣榜，<color=#00dbaa>%s</color>送上一份祝福！从此成为长生名人，名垂千古！
1101001	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功装备了<color=#4ac6ff>第1个符印</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>装备一个符印，<color=#00dbaa>%s</color>送上一份祝福！
1201001	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功结交到<color=#4ac6ff>5位好友</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>结交5位好友，<color=#00dbaa>%s</color>送上一份祝福！愿携手共进，共创辉煌！
1201002	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功结交到<color=#4ac6ff>20位好友</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>结交20位好友，<color=#00dbaa>%s</color>送上一份祝福！愿携手共进，共创辉煌！
1201003	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功结交到<color=#4ac6ff>50位好友</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>结交50位好友，<color=#00dbaa>%s</color>送上一份祝福！愿携手共进，共创辉煌！
1301001	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功<color=#4ac6ff>获得3只坐骑</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>获得3只坐骑，<color=#00dbaa>%s</color>送上一份祝福！从此畅游长生，成就仙路之梦！
1301002	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功<color=#4ac6ff>获得5只坐骑</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>获得5只坐骑，<color=#00dbaa>%s</color>送上一份祝福！从此畅游长生，成就仙路之梦！
1301003	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>成功<color=#4ac6ff>获得7只坐骑</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>获得7只坐骑，<color=#00dbaa>%s</color>送上一份祝福！从此畅游长生，成就仙路之梦！
1401001	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>和有缘人完成了<color=#4ac6ff>1次赏花活动</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>赏花1次，<color=#00dbaa>%s</color>送上一份祝福！长生不孤单，结识有缘人！
1401002	1	帮派祝福	2	40070101	40070103	40070102	40070104	0	0	0	0	0	您的帮派成员<color=#fd8e06>%s</color>和有缘人完成了<color=#4ac6ff>5次赏花活动</color>，赶快送上您的祝福吧！	恭喜<color=#fd8e06>%s</color>赏花5次，<color=#00dbaa>%s</color>送上一份祝福！长生不孤单，结识有缘人！
1601001	1	帮派红包	2	0	0	0	0	0	200	20	0	0	<color=#fd8e06>%s</color>购买3040元宝礼包！	无
1601002	1	帮派红包	2	0	0	0	0	0	200	20	0	0	<color=#fd8e06>%s</color>购买4080元宝礼包！	无
1601003	1	帮派红包	2	0	0	0	0	0	300	20	0	0	<color=#fd8e06>%s</color>购买6280元宝礼包！	无
1601004	1	帮派红包	2	0	0	0	0	0	100	10	0	0	<color=#fd8e06>%s</color>神魔古墓斩首魔主！	无
1601005	1	帮派红包	2	0	0	0	0	0	60	10	0	0	<color=#fd8e06>%s</color>购买超值礼包！	无
1601006	1	帮派红包	2	0	0	0	0	0	200	20	0	0	<color=#fd8e06>%s</color>购买12480元宝礼包！	无
1601007	1	帮派红包	2	0	0	0	0	0	200	20	0	0	<color=#fd8e06>%s</color>购买4000元宝礼包！	无
1601008	1	帮派红包	2	0	0	0	0	0	300	20	0	0	<color=#fd8e06>%s</color>购买6000元宝礼包！	无
1601009	1	帮派红包	2	0	0	0	0	0	500	20	0	0	<color=#fd8e06>%s</color>购买10000元宝礼包！	无
1601010	1	帮派红包	2	0	0	0	0	0	500	20	0	0	<color=#fd8e06>%s</color>购买20000元宝礼包！	无
