灵宠技能ID	技能等级	有效标志位	类型（0天赋、1金、2木、3水、4火、5土、6天（光）、7地（暗），大于1000为兽诀，客户端显示用）	颜色（0白，1绿，2蓝，3紫，4橙）	学习类型（同类型的学习上限共同）	学习上限	升级消耗道具	升级消耗道具数量	技能名字	出战对应技能ID	出战对应技能等级	出战属性池	技能释放几率	技能类型，0自动，1被动，2天赋	针对目标，位域：0无效，1灵宠，2主角	不出战对应属性池ID	灵宠等级要求	111标准剑客-该技能对此职业的修为	121高血-该技能对此职业的修为	131高防-该技能对此职业的修为	141高攻-该技能对此职业的修为	是否奥义	奥义转化技能（普通就填奥义，奥义就填普通）	奥义转化几率	出战技能描述	不战技能描述	技能图标前景	技能图标	是否合体技能 
33050	2	1	0	3	1	1	410300000	6	中级乱木丛生	23202	7	0	10000	0	0	93305022	80	3155	3155	3155	3155	0	0	0	对目标造成36%双攻击+514点伤害，并减速50%，持续2秒，冷却6秒	主角攻击法球：对目标造成36%双攻击+514点伤害，并减速50%，持续2秒，冷却6秒	0	partner01_205	1
33060	2	1	0	3	1	1	410300000	6	中级老树盘根	23201	7	0	10000	0	0	93306022	80	3155	3155	3155	3155	0	0	0	对目标造成91%双攻击+1285点伤害，并定身3秒，冷却15秒	主角破招法球：对目标造成91%双攻击+1285点伤害，并定身3秒，冷却15秒	0	partner01_201	1
33070	2	1	0	3	1	1	410300000	6	中级木语凝噎	23204	7	0	10000	0	0	93307022	80	3155	3155	3155	3155	0	0	0	对目标造成91%双攻击+1285点伤害，并沉默2.5秒，冷却15秒	主角被击法球：对目标造成91%双攻击+1285点伤害，并沉默2.5秒，冷却15秒	0	partner01_204	1
33080	2	1	0	3	1	1	410300000	6	中级巨木击顶	23203	7	0	10000	0	0	93308022	80	3155	3155	3155	3155	0	0	0	对目标造成91%双攻击+1285点伤害，并眩晕2秒，冷却15秒	主角格挡法球：对目标造成91%双攻击+1285点伤害，并眩晕2秒，冷却15秒	0	partner01_203	1
33090	2	1	0	4	1	1	410300000	12	高级乱木丛生	23202	12	0	10000	0	0	93309022	80	7525	7525	7525	7525	0	0	0	对目标造成42%双攻击+940点伤害，并减速50%，持续2秒，冷却6秒	主角攻击法球：对目标造成42%双攻击+940点伤害，并减速50%，持续2秒，冷却6秒	0	partner01_205	1
33100	2	1	0	4	1	1	410300000	12	高级老树盘根	23201	12	0	10000	0	0	93310022	80	7525	7525	7525	7525	0	0	0	对目标造成105%双攻击+2351点伤害，并定身3秒，冷却15秒	主角破招法球：对目标造成105%双攻击+2351点伤害，并定身3秒，冷却15秒	0	partner01_201	1
33110	2	1	0	4	1	1	410300000	12	高级木语凝噎	23204	12	0	10000	0	0	93311022	80	7525	7525	7525	7525	0	0	0	对目标造成105%双攻击+2351点伤害，并沉默2.5秒，冷却15秒	主角被击法球：对目标造成105%双攻击+2351点伤害，并沉默2.5秒，冷却15秒	0	partner01_204	1
33120	2	1	0	4	1	1	410300000	12	高级巨木击顶	23203	12	0	10000	0	0	93312022	80	7525	7525	7525	7525	0	0	0	对目标造成105%双攻击+2351点伤害，并眩晕2秒，冷却15秒	主角格挡法球：对目标造成105%双攻击+2351点伤害，并眩晕2秒，冷却15秒	0	partner01_203	1
34010	2	1	0	2	1	1	410300000	3	低级群嘲	23008	3	0	10000	0	0	93401022	80	1392	1392	1392	1392	0	0	0	嘲讽周围多个怪物，增加自身25%+303点防御，持续3秒，冷却10秒	主角被击法玩：嘲讽目标，并增加自身25%+303点防御，持续3秒，冷却10秒	0	partner01_002	1
34020	2	1	0	3	1	1	410300000	6	中级群嘲	23008	7	0	10000	0	0	93402022	80	3155	3155	3155	3155	0	0	0	嘲讽周围多个怪物，增加自身30%+418点防御，持续3秒，冷却10秒	主角被击法玩：嘲讽目标，并增加自身30%+418点防御，持续3秒，冷却10秒	0	partner01_002	1
34030	2	1	0	4	1	1	410300000	12	高级群嘲	23008	12	0	10000	0	0	93403022	80	7525	7525	7525	7525	0	0	0	嘲讽周围多个怪物，增加自身35%+1518点防御，持续3秒，冷却10秒	主角被击法玩：嘲讽目标，并增加自身35%+1518点防御，持续3秒，冷却10秒	0	partner01_401	1
35010	2	1	0	2	1	1	410300000	3	低级虚弱	23013	3	0	10000	0	0	93501022	80	1392	1392	1392	1392	0	0	0	减少目标38%+910点攻击，持续5秒，冷却15秒	主角被击法球：减少目标38%+910点攻击，持续5秒，冷却15秒	0	partner01_013	1
35020	2	1	0	2	1	1	410300000	3	低级幽冥诅咒	23701	3	0	10000	0	0	93502022	80	1392	1392	1392	1392	0	0	0	减少目标38%+455点防御，持续5秒，冷却15秒	主角攻击法球：减少目标38%+455点攻击，持续5秒，冷却15秒	0	partner01_029	1
35030	2	1	0	3	1	1	410300000	6	中级虚弱	23013	7	0	10000	0	0	93503022	80	3155	3155	3155	3155	0	0	0	减少目标45%+1257点攻击，持续5秒，冷却15秒	主角被击法球：减少目标45%+1257点攻击，持续5秒，冷却15秒	0	partner01_013	1
35040	2	1	0	3	1	1	410300000	6	中级幽冥诅咒	23701	7	0	10000	0	0	93504022	80	3155	3155	3155	3155	0	0	0	减少目标45%+628点防御，持续5秒，冷却15秒	主角攻击法球：减少目标45%+628点攻击，持续5秒，冷却15秒	0	partner01_029	1
35050	2	1	0	4	1	1	410300000	12	高级虚弱	23013	12	0	10000	0	0	93505022	80	7525	7525	7525	7525	0	0	0	减少目标53%+4555点攻击，持续5秒，冷却15秒	主角被击法球：减少目标53%+4555点攻击，持续5秒，冷却15秒	0	partner01_013	1
35060	2	1	0	4	1	1	410300000	12	高级幽冥诅咒	23701	12	0	10000	0	0	93506022	80	7525	7525	7525	7525	0	0	0	减少目标53%+2277点防御，持续5秒，冷却15秒	主角攻击法球：减少目标53%+2277点攻击，持续5秒，冷却15秒	0	partner01_029	1
36010	2	1	0	2	1	1	410300000	3	低级祝福	0	0	93601002	10000	1	2	0	80	1392	1392	1392	1392	0	0	0	提升主人12%+303点攻击	提升主人12%+303点攻击	0	partner01_026	1
36020	2	1	0	2	1	1	410300000	3	低级庇护	0	0	93602002	10000	1	2	0	80	1392	1392	1392	1392	0	0	0	提升主人12%+151点防御	提升主人12%+151点防御	0	partner01_503	1
36030	2	1	0	3	1	1	410300000	6	中级祝福	0	0	93603002	10000	1	2	0	80	3155	3155	3155	3155	0	0	0	提升主人15%+419点攻击	提升主人15%+419点攻击	0	partner01_026	1
36040	2	1	0	3	1	1	410300000	6	中级庇护	0	0	93604002	10000	1	2	0	80	3155	3155	3155	3155	0	0	0	提升主人15%+209点防御	提升主人15%+209点防御	0	partner01_503	1
36050	2	1	0	4	1	1	410300000	12	高级祝福	0	0	93605002	10000	1	2	0	80	7525	7525	7525	7525	0	0	0	提升主人17%+1518点攻击	提升主人17%+1518点攻击	0	partner01_026	1
36060	2	1	0	4	1	1	410300000	12	高级庇护	0	0	93606002	10000	1	2	0	80	7525	7525	7525	7525	0	0	0	提升主人17%+759点防御	提升主人17%+759点防御	0	partner01_503	1
37010	2	1	0	2	1	1	410300000	3	低级治疗	23305	3	0	10000	0	1	93701022	80	1392	1392	1392	1392	0	0	0	恢复灵宠自身5%+14270点生命，冷却15秒	主角被击法球：恢复5%+14270点生命，冷却15秒	0	partner01_303	1
37020	2	1	0	2	1	1	410300000	3	低级血祭	23012	3	0	10000	0	2	93701022	80	1392	1392	1392	1392	0	0	0	将自身当前血量的6%转给主人，冷却15秒	主角被击法球：恢复5%+14270点生命，冷却15秒	0	partner01_028	1
37040	2	1	0	2	1	1	410300000	3	低级鼓舞	23021	3	0	10000	0	1	93704022	80	1392	1392	1392	1392	0	0	0	增加自身38%+910攻击，持续5秒，冷却15秒	主角攻击法球：增加自身38%+910攻击，持续5秒，冷却15秒	0	partner01_104	1
37050	2	1	0	2	1	1	410300000	3	低级战歌	23022	3	0	10000	0	1	93705022	80	1392	1392	1392	1392	0	0	0	增加自身38%+455防御，持续5秒，冷却15秒	主角被击法球：增加自身38%+455防御，持续5秒，冷却15秒	0	partner01_601	1
37070	2	1	0	2	1	1	410300000	3	低级精准	23024	3	0	10000	0	1	93707022	80	1392	1392	1392	1392	0	0	0	增加自身38%+354命中，持续5秒，冷却15秒	主角攻击法球：增加自身38%+354命中，持续5秒，冷却15秒	0	partner01_106	1
37080	2	1	0	3	1	1	410300000	6	中级治疗	23305	7	0	10000	0	1	93708022	80	3155	3155	3155	3155	0	0	0	恢复灵宠自身5%+22177点生命，冷却15秒	主角被击法球：恢复5%+22177点生命，冷却15秒	0	partner01_303	1
37090	2	1	0	3	1	1	410300000	6	中级血祭	23012	7	0	10000	0	2	93708022	80	3155	3155	3155	3155	0	0	0	将自身当前血量的8%转给主人，冷却15秒	主角被击法球：恢复5%+22177点生命，冷却15秒	0	partner01_028	1
37110	2	1	0	3	1	1	410300000	6	中级鼓舞	23021	7	0	10000	0	1	93711022	80	3155	3155	3155	3155	0	0	0	增加自身45%+1256攻击，持续5秒，冷却15秒	主角攻击法球：增加自身45%+1256攻击，持续5秒，冷却15秒	0	partner01_104	1
37120	2	1	0	3	1	1	410300000	6	中级战歌	23022	7	0	10000	0	1	93712022	80	3155	3155	3155	3155	0	0	0	增加自身45%+628防御，持续5秒，冷却15秒	主角被击法球：增加自身45%+628防御，持续5秒，冷却15秒	0	partner01_601	1
37140	2	1	0	3	1	1	410300000	6	中级精准	23024	7	0	10000	0	1	93714022	80	3155	3155	3155	3155	0	0	0	增加自身41%+818命中，持续5秒，冷却15秒	主角攻击法球：增加自身41%+818命中，持续5秒，冷却15秒	0	partner01_106	1
37150	2	1	0	4	1	1	410300000	12	高级治疗	23305	12	0	10000	0	1	93715022	80	7525	7525	7525	7525	0	0	0	恢复灵宠自身5%+44476点生命，冷却15秒	主角被击法球：恢复5%+44476点生命，冷却15秒	0	partner01_303	1
37160	2	1	0	4	1	1	410300000	12	高级血祭	23012	12	0	10000	0	2	93715022	80	7525	7525	7525	7525	0	0	0	将自身当前血量的10.5%转给主人，冷却15秒	主角被击法球：恢复5%+44476点生命，冷却15秒	0	partner01_028	1
37180	2	1	0	4	1	1	410300000	12	高级鼓舞	23021	12	0	10000	0	1	93718022	80	7525	7525	7525	7525	0	0	0	增加自身53%+4554攻击，持续5秒，冷却15秒	主角攻击法球：增加自身53%+4554攻击，持续5秒，冷却15秒	0	partner01_104	1
37190	2	1	0	4	1	1	410300000	12	高级战歌	23022	12	0	10000	0	1	93719022	80	7525	7525	7525	7525	0	0	0	增加自身53%+2277防御，持续5秒，冷却15秒	主角被击法球：增加自身53%+2277防御，持续5秒，冷却15秒	0	partner01_601	1
37210	2	1	0	4	1	1	410300000	12	高级精准	23024	12	0	10000	0	1	93721022	80	7525	7525	7525	7525	0	0	0	增加自身44%+1381命中，持续5秒，冷却15秒	主角攻击法球：增加自身44%+1381命中，持续5秒，冷却15秒	0	partner01_106	1
31010	3	1	0	2	1	1	410300000	4	低级炎皇火刹	23401	5	0	10000	0	0	93101023	1100	1738	1738	1738	1738	0	0	0	对目标造成182%双攻击+2379点伤害，冷却15秒	主角攻击法球：对目标造成182%双攻击+2379点伤害，冷却15秒	0	partner01_405	1
31020	3	1	0	2	1	1	410300000	4	低级狂击	23005	5	0	10000	0	0	93102023	1100	1738	1738	1738	1738	0	0	0	对目标造成73%双攻击+952点伤害，冷却6秒	主角攻击法球：对目标造成73%双攻击+952点伤害，冷却6秒	0	partner01_101	1
31030	3	1	0	2	1	1	410300000	4	低级离火之灼	23502	5	0	10000	0	0	93103023	1100	1738	1738	1738	1738	0	0	0	对目标造成58%双攻击+763点伤害，冷却12秒	主角攻击法球：对目标造成58%双攻击+763点伤害，冷却12秒	0	partner01_402	1
31040	3	1	0	3	1	1	410300000	8	中级炎皇火刹	23401	10	0	10000	0	0	93104023	1100	4382	4382	4382	4382	0	0	0	对目标造成210%双攻击+3913点伤害，冷却15秒	主角攻击法球：对目标造成210%双攻击+3913点伤害，冷却15秒	0	partner01_405	1
31050	3	1	0	3	1	1	410300000	8	中级狂击	23005	10	0	10000	0	0	93105023	1100	4382	4382	4382	4382	0	0	0	对目标造成84%双攻击+1565点伤害，冷却6秒	主角攻击法球：对目标造成84%双攻击+1565点伤害，冷却6秒	0	partner01_101	1
31060	3	1	0	3	1	1	410300000	8	中级离火之灼	23502	10	0	10000	0	0	93106023	1100	4382	4382	4382	4382	0	0	0	对目标造成67%双攻击+1248点伤害，冷却12秒	主角攻击法球：对目标造成67%双攻击+1248点伤害，冷却12秒	0	partner01_402	1
31070	3	1	0	4	1	1	410300000	16	高级炎皇火刹	23401	16	0	10000	0	0	93107023	1100	10937	10937	10937	10937	0	0	0	对目标造成239%双攻击+7267点伤害，冷却15秒	主角攻击法球：对目标造成239%双攻击+7267点伤害，冷却15秒	0	partner01_405	1
31080	3	1	0	4	1	1	410300000	16	高级狂击	23005	16	0	10000	0	0	93108023	1100	10937	10937	10937	10937	0	0	0	对目标造成95%双攻击+2898点伤害，冷却6秒	主角攻击法球：对目标造成95%双攻击+2898点伤害，冷却6秒	0	partner01_101	1
31090	3	1	0	4	1	1	410300000	16	高级离火之灼	23502	16	0	10000	0	0	93109023	1100	10937	10937	10937	10937	0	0	0	对目标造成76%双攻击+2321点伤害，冷却12秒	主角攻击法球：对目标造成76%双攻击+2321点伤害，冷却12秒	0	partner01_402	1
31100	3	1	0	4	1	1	410300000	16	高级天罡雷罚	23602	16	0	10000	0	0	93110023	1100	10937	10937	10937	10937	0	0	0	造成目标最大生命值5%+77336点真实伤害，冷却15秒（对怪物无效）	主角攻击法球：造成目标最大生命值5%+77336点真实伤害，冷却15秒（对怪物无效）	0	partner01_602	1
31110	3	1	0	4	1	1	410300000	16	高级三尸狱蛊	23702	16	0	10000	0	0	93111023	1100	10937	10937	10937	10937	0	0	0	对目标每秒造成23%双攻击+698点伤害，并恢复自身1%+15467点生命，持续5秒，冷却12秒	主角攻击法球：对目标每秒造成23%双攻击+698点伤害，并恢复自身1%+15467点生命，持续5秒，冷却12秒	0	partner01_702	1
32010	3	1	0	2	1	1	410300000	4	低级震地	23006	5	0	10000	0	0	93201023	1100	1738	1738	1738	1738	0	0	0	对范围内多个目标造成109%双攻击+1427点伤害，冷却15秒	主角攻击法球：对目标造成109%双攻击+1427点伤害，冷却15秒	0	partner01_022	1
32020	3	1	0	2	1	1	410300000	4	低级怒浪涛天	23007	5	0	10000	0	0	93202023	1100	1738	1738	1738	1738	0	0	0	对范围内多个目标造成44%双攻击+571点伤害，冷却6秒	主角攻击法球：对目标造成44%双攻击+571点伤害，冷却6秒	0	partner01_023	1
32030	3	1	0	2	1	1	410300000	4	低级业火焚心	23404	5	0	10000	0	0	93203023	1100	1738	1738	1738	1738	0	0	0	对范围内多个目标每秒造成35%双攻击+458点伤害，持续3秒，冷却12秒	主角攻击法球：对目标每秒造成35%双攻击+458点伤害，持续3秒，冷却12秒	0	partner01_403	1
32040	3	1	0	3	1	1	410300000	8	中级震地	23006	10	0	10000	0	0	93204023	1100	4382	4382	4382	4382	0	0	0	对范围内多个目标造成126%双攻击+2348点伤害，冷却15秒	主角攻击法球：对目标造成126%双攻击+2348点伤害，冷却15秒	0	partner01_022	1
32050	3	1	0	3	1	1	410300000	8	中级怒浪涛天	23007	10	0	10000	0	0	93205023	1100	4382	4382	4382	4382	0	0	0	对范围内多个目标造成50%双攻击+939点伤害，冷却6秒	主角攻击法球：对目标造成50%双攻击+939点伤害，冷却6秒	0	partner01_023	1
32060	3	1	0	3	1	1	410300000	8	中级业火焚心	23404	10	0	10000	0	0	93206023	1100	4382	4382	4382	4382	0	0	0	对范围内多个目标每秒造成40%双攻击+749点伤害，持续3秒，冷却12秒	主角攻击法球：对目标每秒造成40%双攻击+749点伤害，持续3秒，冷却12秒	0	partner01_403	1
32070	3	1	0	4	1	1	410300000	16	高级震地	23006	16	0	10000	0	0	93207023	1100	10937	10937	10937	10937	0	0	0	对范围内多个目标造成143%双攻击+4360点伤害，冷却15秒	主角攻击法球：对目标造成143%双攻击+4360点伤害，冷却15秒	0	partner01_022	1
32080	3	1	0	4	1	1	410300000	16	高级怒浪涛天	23007	16	0	10000	0	0	93208023	1100	10937	10937	10937	10937	0	0	0	对范围内多个目标造成57%双攻击+1739点伤害，冷却6秒	主角攻击法球：对目标造成57%双攻击+1739点伤害，冷却6秒	0	partner01_023	1
32090	3	1	0	4	1	1	410300000	16	高级业火焚心	23404	16	0	10000	0	0	93209023	1100	10937	10937	10937	10937	0	0	0	对范围内多个目标每秒造成46%双攻击+1393点伤害，持续3秒，冷却12秒	主角攻击法球：对目标每秒造成46%双攻击+1393点伤害，持续3秒，冷却12秒	0	partner01_403	1
33010	3	1	0	2	1	1	410300000	4	低级乱木丛生	23202	5	0	10000	0	0	93301023	1100	1738	1738	1738	1738	0	0	0	对目标造成36%双攻击+476点伤害，并减速50%，持续2秒，冷却6秒	主角攻击法球：对目标造成36%双攻击+476点伤害，并减速50%，持续2秒，冷却6秒	0	partner01_205	1
33020	3	1	0	2	1	1	410300000	4	低级老树盘根	23201	5	0	10000	0	0	93302023	1100	1738	1738	1738	1738	0	0	0	对目标造成91%双攻击+1189点伤害，并定身3秒，冷却15秒	主角破招法球：对目标造成91%双攻击+1189点伤害，并定身3秒，冷却15秒	0	partner01_201	1
33030	3	1	0	2	1	1	410300000	4	低级木语凝噎	23204	5	0	10000	0	0	93303023	1100	1738	1738	1738	1738	0	0	0	对目标造成91%双攻击+1189点伤害，并沉默2.5秒，冷却15秒	主角被击法球：对目标造成91%双攻击+1189点伤害，并沉默2.5秒，冷却15秒	0	partner01_204	1
33040	3	1	0	2	1	1	410300000	4	低级巨木击顶	23203	5	0	10000	0	0	93304023	1100	1738	1738	1738	1738	0	0	0	对目标造成91%双攻击+1189点伤害，并眩晕2秒，冷却15秒	主角格挡法球：对目标造成91%双攻击+1189点伤害，并眩晕2秒，冷却15秒	0	partner01_203	1
33050	3	1	0	3	1	1	410300000	8	中级乱木丛生	23202	10	0	10000	0	0	93305023	1100	4382	4382	4382	4382	0	0	0	对目标造成42%双攻击+782点伤害，并减速50%，持续2秒，冷却6秒	主角攻击法球：对目标造成42%双攻击+782点伤害，并减速50%，持续2秒，冷却6秒	0	partner01_205	1
33060	3	1	0	3	1	1	410300000	8	中级老树盘根	23201	10	0	10000	0	0	93306023	1100	4382	4382	4382	4382	0	0	0	对目标造成105%双攻击+1956点伤害，并定身3秒，冷却15秒	主角破招法球：对目标造成105%双攻击+1956点伤害，并定身3秒，冷却15秒	0	partner01_201	1
33070	3	1	0	3	1	1	410300000	8	中级木语凝噎	23204	10	0	10000	0	0	93307023	1100	4382	4382	4382	4382	0	0	0	对目标造成105%双攻击+1956点伤害，并沉默2.5秒，冷却15秒	主角被击法球：对目标造成105%双攻击+1956点伤害，并沉默2.5秒，冷却15秒	0	partner01_204	1
33080	3	1	0	3	1	1	410300000	8	中级巨木击顶	23203	10	0	10000	0	0	93308023	1100	4382	4382	4382	4382	0	0	0	对目标造成105%双攻击+1956点伤害，并眩晕2秒，冷却15秒	主角格挡法球：对目标造成105%双攻击+1956点伤害，并眩晕2秒，冷却15秒	0	partner01_203	1
33090	3	1	0	4	1	1	410300000	16	高级乱木丛生	23202	16	0	10000	0	0	93309023	1100	10937	10937	10937	10937	0	0	0	对目标造成47%双攻击+1449点伤害，并减速50%，持续2秒，冷却6秒	主角攻击法球：对目标造成47%双攻击+1449点伤害，并减速50%，持续2秒，冷却6秒	0	partner01_205	1
33100	3	1	0	4	1	1	410300000	16	高级老树盘根	23201	16	0	10000	0	0	93310023	1100	10937	10937	10937	10937	0	0	0	对目标造成119%双攻击+3633点伤害，并定身3秒，冷却15秒	主角破招法球：对目标造成119%双攻击+3633点伤害，并定身3秒，冷却15秒	0	partner01_201	1
33110	3	1	0	4	1	1	410300000	16	高级木语凝噎	23204	16	0	10000	0	0	93311023	1100	10937	10937	10937	10937	0	0	0	对目标造成119%双攻击+3633点伤害，并沉默2.5秒，冷却15秒	主角被击法球：对目标造成119%双攻击+3633点伤害，并沉默2.5秒，冷却15秒	0	partner01_204	1
33120	3	1	0	4	1	1	410300000	16	高级巨木击顶	23203	16	0	10000	0	0	93312023	1100	10937	10937	10937	10937	0	0	0	对目标造成119%双攻击+3633点伤害，并眩晕2秒，冷却15秒	主角格挡法球：对目标造成119%双攻击+3633点伤害，并眩晕2秒，冷却15秒	0	partner01_203	1
34010	3	1	0	2	1	1	410300000	4	低级群嘲	23008	5	0	10000	0	0	93401023	1100	1738	1738	1738	1738	0	0	0	嘲讽周围多个怪物，增加自身30%+388点防御，持续3秒，冷却10秒	主角被击法玩：嘲讽目标，并增加自身30%+388点防御，持续3秒，冷却10秒	0	partner01_002	1
34020	3	1	0	3	1	1	410300000	8	中级群嘲	23008	10	0	10000	0	0	93402023	1100	4382	4382	4382	4382	0	0	0	嘲讽周围多个怪物，增加自身35%+626点防御，持续3秒，冷却10秒	主角被击法玩：嘲讽目标，并增加自身35%+626点防御，持续3秒，冷却10秒	0	partner01_002	1
34030	3	1	0	4	1	1	410300000	16	高级群嘲	23008	16	0	10000	0	0	93403023	1100	10937	10937	10937	10937	0	0	0	嘲讽周围多个怪物，增加自身40%+2651点防御，持续3秒，冷却10秒	主角被击法玩：嘲讽目标，并增加自身40%+2651点防御，持续3秒，冷却10秒	0	partner01_401	1
35010	3	1	0	2	1	1	410300000	4	低级虚弱	23013	5	0	10000	0	0	93501023	1100	1738	1738	1738	1738	0	0	0	减少目标45%+1167点攻击，持续5秒，冷却15秒	主角被击法球：减少目标45%+1167点攻击，持续5秒，冷却15秒	0	partner01_013	1
35020	3	1	0	2	1	1	410300000	4	低级幽冥诅咒	23701	5	0	10000	0	0	93502023	1100	1738	1738	1738	1738	0	0	0	减少目标45%+583点防御，持续5秒，冷却15秒	主角攻击法球：减少目标45%+583点攻击，持续5秒，冷却15秒	0	partner01_029	1
35030	3	1	0	3	1	1	410300000	8	中级虚弱	23013	10	0	10000	0	0	93503023	1100	4382	4382	4382	4382	0	0	0	减少目标53%+1880点攻击，持续5秒，冷却15秒	主角被击法球：减少目标53%+1880点攻击，持续5秒，冷却15秒	0	partner01_013	1
35040	3	1	0	3	1	1	410300000	8	中级幽冥诅咒	23701	10	0	10000	0	0	93504023	1100	4382	4382	4382	4382	0	0	0	减少目标53%+940点防御，持续5秒，冷却15秒	主角攻击法球：减少目标53%+940点攻击，持续5秒，冷却15秒	0	partner01_029	1
35050	3	1	0	4	1	1	410300000	16	高级虚弱	23013	16	0	10000	0	0	93505023	1100	10937	10937	10937	10937	0	0	0	减少目标60%+7955点攻击，持续5秒，冷却15秒	主角被击法球：减少目标60%+7955点攻击，持续5秒，冷却15秒	0	partner01_013	1
35060	3	1	0	4	1	1	410300000	16	高级幽冥诅咒	23701	16	0	10000	0	0	93506023	1100	10937	10937	10937	10937	0	0	0	减少目标60%+3977点防御，持续5秒，冷却15秒	主角攻击法球：减少目标60%+3977点攻击，持续5秒，冷却15秒	0	partner01_029	1
36010	3	1	0	2	1	1	410300000	4	低级祝福	0	0	93601003	10000	1	2	0	1100	1738	1738	1738	1738	0	0	0	提升主人15%+389点攻击	提升主人15%+389点攻击	0	partner01_026	1
36020	3	1	0	2	1	1	410300000	4	低级庇护	0	0	93602003	10000	1	2	0	1100	1738	1738	1738	1738	0	0	0	提升主人15%+194点防御	提升主人15%+194点防御	0	partner01_503	1
36030	3	1	0	3	1	1	410300000	8	中级祝福	0	0	93603003	10000	1	2	0	1100	4382	4382	4382	4382	0	0	0	提升主人17%+626点攻击	提升主人17%+626点攻击	0	partner01_026	1
36040	3	1	0	3	1	1	410300000	8	中级庇护	0	0	93604003	10000	1	2	0	1100	4382	4382	4382	4382	0	0	0	提升主人17%+313点防御	提升主人17%+313点防御	0	partner01_503	1
36050	3	1	0	4	1	1	410300000	16	高级祝福	0	0	93605003	10000	1	2	0	1100	10937	10937	10937	10937	0	0	0	提升主人20%+2651点攻击	提升主人20%+2651点攻击	0	partner01_026	1
36060	3	1	0	4	1	1	410300000	16	高级庇护	0	0	93606003	10000	1	2	0	1100	10937	10937	10937	10937	0	0	0	提升主人20%+1325点防御	提升主人20%+1325点防御	0	partner01_503	1
37010	3	1	0	2	1	1	410300000	4	低级治疗	23305	5	0	10000	0	1	93701023	1100	1738	1738	1738	1738	0	0	0	恢复灵宠自身5%+20490点生命，冷却15秒	主角被击法球：恢复5%+20490点生命，冷却15秒	0	partner01_303	1
37020	3	1	0	2	1	1	410300000	4	低级血祭	23012	5	0	10000	0	2	93701023	1100	1738	1738	1738	1738	0	0	0	将自身当前血量的7%转给主人，冷却15秒	主角被击法球：恢复5%+20490点生命，冷却15秒	0	partner01_028	1
37040	3	1	0	2	1	1	410300000	4	低级鼓舞	23021	5	0	10000	0	1	93704023	1100	1738	1738	1738	1738	0	0	0	增加自身45%+1166攻击，持续5秒，冷却15秒	主角攻击法球：增加自身45%+1166攻击，持续5秒，冷却15秒	0	partner01_104	1
37050	3	1	0	2	1	1	410300000	4	低级战歌	23022	5	0	10000	0	1	93705023	1100	1738	1738	1738	1738	0	0	0	增加自身45%+583防御，持续5秒，冷却15秒	主角被击法球：增加自身45%+583防御，持续5秒，冷却15秒	0	partner01_601	1
37070	3	1	0	2	1	1	410300000	4	低级精准	23024	5	0	10000	0	1	93707023	1100	1738	1738	1738	1738	0	0	0	增加自身41%+590命中，持续5秒，冷却15秒	主角攻击法球：增加自身41%+590命中，持续5秒，冷却15秒	0	partner01_106	1
37080	3	1	0	3	1	1	410300000	8	中级治疗	23305	10	0	10000	0	1	93708023	1100	4382	4382	4382	4382	0	0	0	恢复灵宠自身5%+33580点生命，冷却15秒	主角被击法球：恢复5%+33580点生命，冷却15秒	0	partner01_303	1
37090	3	1	0	3	1	1	410300000	8	中级血祭	23012	10	0	10000	0	2	93708023	1100	4382	4382	4382	4382	0	0	0	将自身当前血量的9.5%转给主人，冷却15秒	主角被击法球：恢复5%+33580点生命，冷却15秒	0	partner01_028	1
37110	3	1	0	3	1	1	410300000	8	中级鼓舞	23021	10	0	10000	0	1	93711023	1100	4382	4382	4382	4382	0	0	0	增加自身53%+1880攻击，持续5秒，冷却15秒	主角攻击法球：增加自身53%+1880攻击，持续5秒，冷却15秒	0	partner01_104	1
37120	3	1	0	3	1	1	410300000	8	中级战歌	23022	10	0	10000	0	1	93712023	1100	4382	4382	4382	4382	0	0	0	增加自身53%+940防御，持续5秒，冷却15秒	主角被击法球：增加自身53%+940防御，持续5秒，冷却15秒	0	partner01_601	1
37140	3	1	0	3	1	1	410300000	8	中级精准	23024	10	0	10000	0	1	93714023	1100	4382	4382	4382	4382	0	0	0	增加自身44%+1148命中，持续5秒，冷却15秒	主角攻击法球：增加自身44%+1148命中，持续5秒，冷却15秒	0	partner01_106	1
37150	3	1	0	4	1	1	410300000	16	高级治疗	23305	16	0	10000	0	1	93715023	1100	10937	10937	10937	10937	0	0	0	恢复灵宠自身5%+77336点生命，冷却15秒	主角被击法球：恢复5%+77336点生命，冷却15秒	0	partner01_303	1
37160	3	1	0	4	1	1	410300000	16	高级血祭	23012	16	0	10000	0	2	93715023	1100	10937	10937	10937	10937	0	0	0	将自身当前血量的12.5%转给主人，冷却15秒	主角被击法球：恢复5%+77336点生命，冷却15秒	0	partner01_028	1
37180	3	1	0	4	1	1	410300000	16	高级鼓舞	23021	16	0	10000	0	1	93718023	1100	10937	10937	10937	10937	0	0	0	增加自身60%+7954攻击，持续5秒，冷却15秒	主角攻击法球：增加自身60%+7954攻击，持续5秒，冷却15秒	0	partner01_104	1
37190	3	1	0	4	1	1	410300000	16	高级战歌	23022	16	0	10000	0	1	93719023	1100	10937	10937	10937	10937	0	0	0	增加自身60%+3977防御，持续5秒，冷却15秒	主角被击法球：增加自身60%+3977防御，持续5秒，冷却15秒	0	partner01_601	1
