id	valid	name	pro	level	等级系数（关联world_civ_mod)	模型路径	模型名字	"npc功能类型,服务器没用(1对话npc，2战斗npc，3服务器采集，4动态障碍，5陷阱，6客户端采集)"	AI_ID（服务器战斗AI）	公共掉落ID1	公共掉落ID2	公共掉落ID3	单人掉落ID	出生时间	出生表现（技能id）	行为ID（NPC_BASE_ACTION）	缩放scale	reserve_1(0小兵1基地2普通塔3安全塔)	reserve_2(碰撞触发事件)	reserve_3(用来更新哪一个任务ID进度，默认第一条进度，为0，则不更新)	reserve_4(NPC动态血量机制触发时的玩家数量下限)	reserve_5(NPC动态血量控制触发后每增减一个玩家的血量百分比变化，总血量暂时程序写死最多3倍)	reserve_6(特殊NPC位域：0正常npc，1该npc不能被机器人攻击，2经验宝宝，但是只是触发一次掉落，4出现和消失是否需要全地图通知，8不攻击NPC的NPC，16是否属于家族掉落，32是否有采集累计次数，64是否属于个人独占掉落)	reserve_7（攻击指定NPC，需要两个NPC间都这里有配置，以三位数来代表，表示只打和我相同十位和个位的怪物。百位没有数字：打任何怪物，十位和个位为被固定打怪NPC的匹配参数，例如A配了23，B配了123，则B可以打A，但是A不能打B）	reserve_8(客户端触发的服务器事件ID，检测用)	reserve_9(黑户触发事件)	reserve_10（虚拟血量计算方式，1默认计算正常血量，2只按虚拟血量计算，3虚拟血量和正常血量同时扣除）	客户端AI	缩放前的被击范围（缩放后的是就是乘缩放倍数）	死亡表现（技能ID）	出生自带buff（buffID）(客户端服务器都有效)	buff持续时间（服务器有效）	NPC血量变化自动全地图广播【最大血量百分比】，配置100以下为服务器主动广播，100以上则需要客户端主动拉取	npc类别（0为非专属，1为个人专属，2为队伍专属，3为帮派专属）	reserve_11（预留字段）	reserve_12（预留字段）	reserve_13（预留字段）	reserve_14（预留字段）	reserve_15（预留字段）	收集的任务ID	任务的第几个条件	血条UI	死亡灰尘延迟（早填负值）	步伐速度	"hud类型（0无hud，1角色hud，2NPChud,3NPC大血条与血条显示互斥）"	血条缩放	死亡音效	出生音效	被击音效	点击音效1	点击音效2	点击音效3	是否显示名字（0不显示，1显示）	是否可以被击浮空（1不击飞）	npc称号	npc血条显示(0不显示，1显示)	npc是否跟随玩家点击而旋转(0旋转，1不旋转)	npc品质（1绿，2蓝，3紫，4橙）	npc专属名字（显示在称号下）	低端机模型路径	低端机模型名字	展示模型名字	展示模型名字（ioS点击问题，标1会有虚拟框） 
19999048	1	永恒烟火	9999	100	0	npc/zuoqi/baozhu	zuoqi_baozhu	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/zuoqi/baozhu	zuoqi_baozhu	zuoqi_baozhu	0
19999049	1	青月飞虹	9999	100	0	actors/nan	JK_wuqi01	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	actors/nan	JK_wuqi01	JK_wuqi01	0
19999050	1	青冥龙眸	9999	100	0	actors/zhengtai	LL_wuqi01	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	actors/nan	LL_wuqi01	LL_wuqi01	0
19999051	1	血炎狂刃	9999	100	0	actors/nan	DK_wuqi01	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	actors/nan	DK_wuqi01	DK_wuqi01	0
19999052	1	秀丽鸣弓	9999	100	0	actors/nan	GS_wuqi01	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	actors/nan	GS_wuqi01	GS_wuqi01	0
19999053	1	新月流光	9999	100	0	actors/nan	JK_wuqi02	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	actors/nan	JK_wuqi02	JK_wuqi02	0
19999054	1	凝霜犀翠	9999	100	0	actors/zhengtai	LL_wuqi02	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	actors/nan	LL_wuqi02	LL_wuqi02	0
19999055	1	炼魂鬼斩	9999	100	0	actors/nan	DK_wuqi02	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	actors/nan	DK_wuqi02	DK_wuqi02	0
19999056	1	荆棘之怒	9999	100	0	actors/nan	GS_wuqi02	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	actors/nan	GS_wuqi02	GS_wuqi02	0
19999057	1	醺红如醉	9999	100	0	actors/nan	JK_wuqi03	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	actors/nan	JK_wuqi03	JK_wuqi03	0
19999058	1	醺红如醉	9999	100	0	actors/zhengtai	LL_wuqi03	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	actors/nan	LL_wuqi03	LL_wuqi03	0
19999059	1	醺红如醉	9999	100	0	actors/nan	DK_wuqi03	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	actors/nan	DK_wuqi03	DK_wuqi03	0
19999060	1	醺红如醉	9999	100	0	actors/nan	GS_wuqi03	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	actors/nan	GS_wuqi03	GS_wuqi03	0
19999061	1	雪霁晴蓝	9999	100	0	actors/nan	JK_wuqi04	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	actors/nan	JK_wuqi04	JK_wuqi04	0
19999062	1	雪霁晴蓝	9999	100	0	actors/zhengtai	LL_wuqi04	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	actors/nan	LL_wuqi04	LL_wuqi04	0
19999063	1	雪霁晴蓝	9999	100	0	actors/nan	DK_wuqi04	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	actors/nan	DK_wuqi04	DK_wuqi04	0
19999064	1	雪霁晴蓝	9999	100	0	actors/nan	GS_wuqi04	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	actors/nan	GS_wuqi04	GS_wuqi04	0
19999065	1	狐言	9999	100	0	actors/nan	JK_wuqi05	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	actors/nan	JK_wuqi05	JK_wuqi05	0
19999066	1	狐言	9999	100	0	actors/zhengtai	LL_wuqi05	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	actors/nan	LL_wuqi05	LL_wuqi05	0
19999067	1	狐言	9999	100	0	actors/nan	DK_wuqi05	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	actors/nan	DK_wuqi05	DK_wuqi05	0
19999068	1	狐言	9999	100	0	actors/nan	GS_wuqi05	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	actors/nan	GS_wuqi05	GS_wuqi05	0
19999069	1	狐言·风雪	9999	100	0	actors/nan	JK_wuqi06	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	actors/nan	JK_wuqi06	JK_wuqi06	0
19999070	1	狐言·风雪	9999	100	0	actors/zhengtai	LL_wuqi06	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	actors/nan	LL_wuqi06	LL_wuqi06	0
19999071	1	狐言·风雪	9999	100	0	actors/nan	DK_wuqi06	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	actors/nan	DK_wuqi06	DK_wuqi06	0
19999072	1	狐言·风雪	9999	100	0	actors/nan	GS_wuqi06	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	actors/nan	GS_wuqi06	GS_wuqi06	0
19999073	1	雪麒麟	9999	100	0	npc/zuoqi/qilin	zuoqi_qilin	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/zuoqi/qilin	zuoqi_qilin	zuoqi_qilin	0
19999074	1	霜落舆	9999	100	0	npc/zuoqi/qilinmache	zuoqi_qilinmache	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/zuoqi/qilinmache	zuoqi_qilinmache	zuoqi_qilinmache	0
19999075	1	圣诞雪橇	9999	100	0	npc/zuoqi/xueqiao	zuoqi_xueqiao	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/zuoqi/xueqiao	zuoqi_xueqiao	zuoqi_xueqiao	0
19999076	1	武器碎片	9999	100	0	base_effect	HZ_jianke_wuqi	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	base_effect	HZ_jianke_wuqi	HZ_jianke_wuqi	0
19999077	1	衣服碎片	9999	100	0	base_effect	jianke_yifu	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	base_effect	jianke_yifu	jianke_yifu	0
19999078	1	腰带碎片	9999	100	0	base_effect	jianke_yaodai	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	base_effect	jianke_yaodai	jianke_yaodai	0
19999079	1	裤子碎片	9999	100	0	base_effect	jianke_kuzi	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	base_effect	jianke_kuzi	jianke_kuzi	0
19999080	1	手套碎片	9999	100	0	base_effect	daoke_shoutao	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	base_effect	daoke_shoutao	daoke_shoutao	0
19999081	1	项链碎片	9999	100	0	base_effect	daoke_xianglian 	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	base_effect	daoke_xianglian 	daoke_xianglian 	0
19999082	1	戒指碎片	9999	100	0	base_effect	daoke_jiezhi	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	base_effect	daoke_jiezhi	daoke_jiezhi	0
19999083	1	护肩碎片	9999	100	0	base_effect	daoke_hujian	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	base_effect	daoke_hujian	daoke_hujian	0
19999084	1	头盔碎片	9999	100	0	base_effect	daoke_maozi	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	base_effect	daoke_maozi	daoke_maozi	0
19999085	1	鞋子碎片	9999	100	0	base_effect	daoke_xiezi	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	base_effect	daoke_xiezi	daoke_xiezi	0
19999086	1	蕴灵珠碎片	9999	100	0	npc/wujian/baoxiang	baoxiang03	1	0	0	0	0	0	0	0	2999003	0.8	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/wujian/baoxiang	npc/wujian/baoxiang	npc/wujian/baoxiang	0
19999087	1	穿天梭碎片	9999	100	0	npc/wujian/baoxiang	baoxiang03	1	0	0	0	0	0	0	0	2999003	0.8	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/wujian/baoxiang	npc/wujian/baoxiang	npc/wujian/baoxiang	0
19999088	1	弑龙剑碎片	9999	100	0	npc/wujian/baoxiang	baoxiang03	1	0	0	0	0	0	0	0	2999003	0.8	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/wujian/baoxiang	npc/wujian/baoxiang	npc/wujian/baoxiang	0
19999089	1	封魔图碎片	9999	100	0	npc/wujian/baoxiang	baoxiang03	1	0	0	0	0	0	0	0	2999003	0.8	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/wujian/baoxiang	npc/wujian/baoxiang	npc/wujian/baoxiang	0
19999090	1	金刚琢碎片	9999	100	0	npc/wujian/baoxiang	baoxiang03	1	0	0	0	0	0	0	0	2999003	0.8	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/wujian/baoxiang	npc/wujian/baoxiang	npc/wujian/baoxiang	0
19999091	1	混元伞碎片	9999	100	0	npc/wujian/baoxiang	baoxiang03	1	0	0	0	0	0	0	0	2999003	0.8	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/wujian/baoxiang	npc/wujian/baoxiang	npc/wujian/baoxiang	0
19999092	1	苍龙牧雪碎片	9999	100	0	npc/wujian/baoxiang	baoxiang03	1	0	0	0	0	0	0	0	2999003	0.8	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/wujian/baoxiang	npc/wujian/baoxiang	npc/wujian/baoxiang	0
19999093	1	虎爪煞影碎片	9999	100	0	npc/wujian/baoxiang	baoxiang03	1	0	0	0	0	0	0	0	2999003	0.8	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/wujian/baoxiang	npc/wujian/baoxiang	npc/wujian/baoxiang	0
19999094	1	天罡兽神碎片	9999	100	0	npc/wujian/baoxiang	baoxiang03	1	0	0	0	0	0	0	0	2999003	0.8	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/wujian/baoxiang	npc/wujian/baoxiang	npc/wujian/baoxiang	0
19999095	1	涅槃神火碎片	9999	100	0	npc/wujian/baoxiang	baoxiang03	1	0	0	0	0	0	0	0	2999003	0.8	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/wujian/baoxiang	npc/wujian/baoxiang	npc/wujian/baoxiang	0
19999096	1	摄魂棒碎片	9999	100	0	npc/wujian/baoxiang	baoxiang03	1	0	0	0	0	0	0	0	2999003	0.8	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/wujian/baoxiang	npc/wujian/baoxiang	npc/wujian/baoxiang	0
19999097	1	天魔碑碎片	9999	100	0	npc/wujian/baoxiang	baoxiang03	1	0	0	0	0	0	0	0	2999003	0.8	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/wujian/baoxiang	npc/wujian/baoxiang	npc/wujian/baoxiang	0
19999098	1	灵台之祭	9999	100	0	npc/shuben	shuben	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/shuben	npc/shuben	npc/shuben	0
19999099	1	尔虞我诈	9999	100	0	npc/shuben	shuben	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/shuben	npc/shuben	npc/shuben	0
19999100	1	霸王气息	9999	100	0	npc/shuben	shuben	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/shuben	npc/shuben	npc/shuben	0
19999101	1	吸血	9999	100	0	npc/shuben	shuben	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/shuben	npc/shuben	npc/shuben	0
19999102	1	连击	9999	100	0	npc/shuben	shuben	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/shuben	npc/shuben	npc/shuben	0
19999103	1	震荡	9999	100	0	npc/shuben	shuben	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/shuben	npc/shuben	npc/shuben	0
19999104	1	禁锢	9999	100	0	npc/shuben	shuben	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/shuben	npc/shuben	npc/shuben	0
19999105	1	沉默	9999	100	0	npc/shuben	shuben	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/shuben	npc/shuben	npc/shuben	0
19999106	1	减速	9999	100	0	npc/shuben	shuben	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/shuben	npc/shuben	npc/shuben	0
19999107	1	回复	9999	100	0	npc/shuben	shuben	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/shuben	npc/shuben	npc/shuben	0
19999108	1	反弹	9999	100	0	npc/shuben	shuben	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/shuben	npc/shuben	npc/shuben	0
19999109	1	灵台之祭·奥义	9999	100	0	npc/shuben	shuben	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/shuben	npc/shuben	npc/shuben	0
19999110	1	尔虞我诈·奥义	9999	100	0	npc/shuben	shuben	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/shuben	npc/shuben	npc/shuben	0
19999111	1	霸王气息·奥义	9999	100	0	npc/shuben	shuben	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/shuben	npc/shuben	npc/shuben	0
19999112	1	吸血·奥义	9999	100	0	npc/shuben	shuben	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/shuben	npc/shuben	npc/shuben	0
19999113	1	连击·奥义	9999	100	0	npc/shuben	shuben	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/shuben	npc/shuben	npc/shuben	0
19999114	1	震荡·奥义	9999	100	0	npc/shuben	shuben	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/shuben	npc/shuben	npc/shuben	0
19999115	1	禁锢·奥义	9999	100	0	npc/shuben	shuben	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/shuben	npc/shuben	npc/shuben	0
19999116	1	沉默·奥义	9999	100	0	npc/shuben	shuben	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/shuben	npc/shuben	npc/shuben	0
19999117	1	减速·奥义	9999	100	0	npc/shuben	shuben	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/shuben	npc/shuben	npc/shuben	0
19999118	1	回复·奥义	9999	100	0	npc/shuben	shuben	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/shuben	npc/shuben	npc/shuben	0
19999119	1	反弹·奥义	9999	100	0	npc/shuben	shuben	1	0	0	0	0	0	0	0	2999003	1	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/shuben	npc/shuben	npc/shuben	0
19999120	1	武器之魂	9999	100	0	npc/wujian/baoxiang	baoxiang03	1	0	0	0	0	0	0	0	2999003	0.8	0	0	0	0	0	0	0	0	0	1	1001	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	npc/wujian/baoxiang	npc/wujian/baoxiang	npc/wujian/baoxiang	0
