主类型（等级1，境界2，道藏3，道藏数量4，穿装备11，强化12，精炼13，宝石14，附加属性数15，完美属性数16，宝石数17，技能21，法器数22，血脉数23，等级武学数量24，伙伴数31，伙伴境界32，74宝石雕琢）	有效标志	副类型	流水ID（主、副类型都相同时，通过这个来区分）	条件参数1	条件参数2	条件参数3	触发成就1	触发成就2	触发成就3	触发成就4	触发成就5
11	1	44101140	1	0	0	0	2025	0	0	0	0
11	1	51100140	2	3	0	0	839	0	0	0	0
11	1	52100140	2	3	0	0	839	0	0	0	0
11	1	53100140	2	3	0	0	839	0	0	0	0
11	1	54100140	2	3	0	0	839	0	0	0	0
11	1	51101140	1	0	0	0	2026	0	0	0	0
11	1	52101140	1	0	0	0	2026	0	0	0	0
11	1	53101140	1	0	0	0	2026	0	0	0	0
11	1	54101140	1	0	0	0	2026	0	0	0	0
11	1	61100140	2	3	0	0	845	0	0	0	0
11	1	62100140	2	3	0	0	845	0	0	0	0
11	1	63100140	2	3	0	0	845	0	0	0	0
11	1	64100140	2	3	0	0	845	0	0	0	0
11	1	61101140	1	0	0	0	2027	0	0	0	0
11	1	62101140	1	0	0	0	2027	0	0	0	0
11	1	63101140	1	0	0	0	2027	0	0	0	0
11	1	64101140	1	0	0	0	2027	0	0	0	0
11	1	71100140	1	3	0	0	840	0	0	0	0
11	1	72100140	1	3	0	0	840	0	0	0	0
11	1	73100140	1	3	0	0	840	0	0	0	0
11	1	74100140	1	3	0	0	840	0	0	0	0
11	1	71101140	1	0	0	0	2028	0	0	0	0
11	1	72101140	1	0	0	0	2028	0	0	0	0
11	1	73101140	1	0	0	0	2028	0	0	0	0
11	1	74101140	1	0	0	0	2028	0	0	0	0
11	1	81100140	1	3	0	0	838	0	0	0	0
11	1	82100140	1	3	0	0	838	0	0	0	0
11	1	83100140	1	3	0	0	838	0	0	0	0
11	1	84100140	1	3	0	0	838	0	0	0	0
11	1	81101140	1	0	0	0	2029	0	0	0	0
11	1	82101140	1	0	0	0	2029	0	0	0	0
11	1	83101140	1	0	0	0	2029	0	0	0	0
11	1	84101140	1	0	0	0	2029	0	0	0	0
11	1	91100140	1	3	0	0	848	0	0	0	0
11	1	92100140	1	3	0	0	848	0	0	0	0
11	1	93100140	1	3	0	0	848	0	0	0	0
11	1	94100140	1	3	0	0	848	0	0	0	0
11	1	91101140	1	0	0	0	2030	0	0	0	0
11	1	92101140	1	0	0	0	2030	0	0	0	0
11	1	93101140	1	0	0	0	2030	0	0	0	0
11	1	94101140	1	0	0	0	2030	0	0	0	0
11	1	1101150	2	0	0	0	854	2031	0	0	0
11	1	2101150	2	0	0	0	854	2031	0	0	0
11	1	3101150	2	0	0	0	854	2031	0	0	0
11	1	4101150	2	0	0	0	854	2031	0	0	0
11	1	11101150	2	0	0	0	855	2032	0	0	0
11	1	12101150	2	0	0	0	855	2032	0	0	0
11	1	13101150	2	0	0	0	855	2032	0	0	0
11	1	14101150	2	0	0	0	855	2032	0	0	0
11	1	21101150	2	0	0	0	861	2033	0	0	0
11	1	22101150	2	0	0	0	861	2033	0	0	0
11	1	23101150	2	0	0	0	861	2033	0	0	0
11	1	24101150	2	0	0	0	861	2033	0	0	0
11	1	31101150	2	0	0	0	860	2034	0	0	0
11	1	32101150	2	0	0	0	860	2034	0	0	0
11	1	33101150	2	0	0	0	860	2034	0	0	0
11	1	34101150	2	0	0	0	860	2034	0	0	0
11	1	41100150	1	3	0	0	862	0	0	0	0
11	1	42100150	1	3	0	0	862	0	0	0	0
11	1	43100150	1	3	0	0	862	0	0	0	0
11	1	44100150	1	3	0	0	862	0	0	0	0
11	1	41101150	1	0	0	0	2035	0	0	0	0
11	1	42101150	1	0	0	0	2035	0	0	0	0
11	1	43101150	1	0	0	0	2035	0	0	0	0
11	1	44101150	1	0	0	0	2035	0	0	0	0
11	1	51100150	2	3	0	0	857	0	0	0	0
11	1	52100150	2	3	0	0	857	0	0	0	0
11	1	53100150	2	3	0	0	857	0	0	0	0
11	1	54100150	2	3	0	0	857	0	0	0	0
11	1	51101150	1	0	0	0	2036	0	0	0	0
11	1	52101150	1	0	0	0	2036	0	0	0	0
11	1	53101150	1	0	0	0	2036	0	0	0	0
11	1	54101150	1	0	0	0	2036	0	0	0	0
11	1	61100150	2	3	0	0	863	0	0	0	0
11	1	62100150	2	3	0	0	863	0	0	0	0
11	1	63100150	2	3	0	0	863	0	0	0	0
11	1	64100150	2	3	0	0	863	0	0	0	0
11	1	61101150	1	0	0	0	2037	0	0	0	0
11	1	62101150	1	0	0	0	2037	0	0	0	0
11	1	63101150	1	0	0	0	2037	0	0	0	0
11	1	64101150	1	0	0	0	2037	0	0	0	0
11	1	71100150	1	3	0	0	858	0	0	0	0
11	1	72100150	1	3	0	0	858	0	0	0	0
11	1	73100150	1	3	0	0	858	0	0	0	0
11	1	74100150	1	3	0	0	858	0	0	0	0
11	1	71101150	1	0	0	0	2038	0	0	0	0
11	1	72101150	1	0	0	0	2038	0	0	0	0
11	1	73101150	1	0	0	0	2038	0	0	0	0
11	1	74101150	1	0	0	0	2038	0	0	0	0
11	1	81100150	1	3	0	0	856	0	0	0	0
11	1	82100150	1	3	0	0	856	0	0	0	0
11	1	83100150	1	3	0	0	856	0	0	0	0
11	1	84100150	1	3	0	0	856	0	0	0	0
11	1	81101150	1	0	0	0	2039	0	0	0	0
11	1	82101150	1	0	0	0	2039	0	0	0	0
11	1	83101150	1	0	0	0	2039	0	0	0	0
11	1	84101150	1	0	0	0	2039	0	0	0	0
11	1	91101150	1	3	0	0	866	2040	0	0	0
11	1	92101150	1	3	0	0	866	2040	0	0	0
11	1	93101150	1	3	0	0	866	2040	0	0	0
11	1	94101150	1	3	0	0	866	2040	0	0	0
11	1	1101160	1	0	0	0	872	2041	0	0	0
11	1	2101160	1	0	0	0	872	2041	0	0	0
11	1	3101160	1	0	0	0	872	2041	0	0	0
11	1	4101160	1	0	0	0	872	2041	0	0	0
11	1	11101160	1	0	0	0	2042	0	0	0	0
11	1	12101160	1	0	0	0	2042	0	0	0	0
11	1	13101160	1	0	0	0	2042	0	0	0	0
11	1	14101160	1	0	0	0	2042	0	0	0	0
11	1	21101160	1	0	0	0	2043	0	0	0	0
11	1	22101160	1	0	0	0	2043	0	0	0	0
11	1	23101160	1	0	0	0	2043	0	0	0	0
11	1	24101160	1	0	0	0	2043	0	0	0	0
11	1	31101160	1	0	0	0	2044	0	0	0	0
11	1	32101160	1	0	0	0	2044	0	0	0	0
11	1	33101160	1	0	0	0	2044	0	0	0	0
11	1	34101160	1	0	0	0	2044	0	0	0	0
11	1	41101160	1	0	0	0	2045	0	0	0	0
11	1	42101160	1	0	0	0	2045	0	0	0	0
11	1	43101160	1	0	0	0	2045	0	0	0	0
11	1	44101160	1	0	0	0	2045	0	0	0	0
11	1	51101160	1	0	0	0	2046	0	0	0	0
11	1	52101160	1	0	0	0	2046	0	0	0	0
11	1	53101160	1	0	0	0	2046	0	0	0	0
11	1	54101160	1	0	0	0	2046	0	0	0	0
11	1	61101160	1	0	0	0	2047	0	0	0	0
11	1	62101160	1	0	0	0	2047	0	0	0	0
11	1	63101160	1	0	0	0	2047	0	0	0	0
11	1	64101160	1	0	0	0	2047	0	0	0	0
11	1	71101160	1	0	0	0	2048	0	0	0	0
11	1	72101160	1	0	0	0	2048	0	0	0	0
11	1	73101160	1	0	0	0	2048	0	0	0	0
11	1	74101160	1	0	0	0	2048	0	0	0	0
11	1	81101160	1	0	0	0	2049	0	0	0	0
11	1	82101160	1	0	0	0	2049	0	0	0	0
11	1	83101160	1	0	0	0	2049	0	0	0	0
11	1	84101160	1	0	0	0	2049	0	0	0	0
11	1	91101160	1	0	0	0	2050	0	0	0	0
11	1	92101160	1	0	0	0	2050	0	0	0	0
11	1	93101160	1	0	0	0	2050	0	0	0	0
11	1	94101160	1	0	0	0	2050	0	0	0	0
11	1	1101170	1	0	0	0	2051	0	0	0	0
11	1	2101170	1	0	0	0	2051	0	0	0	0
11	1	3101170	1	0	0	0	2051	0	0	0	0
11	1	4101170	1	0	0	0	2051	0	0	0	0
11	1	11101170	1	0	0	0	2052	0	0	0	0
11	1	12101170	1	0	0	0	2052	0	0	0	0
11	1	13101170	1	0	0	0	2052	0	0	0	0
11	1	14101170	1	0	0	0	2052	0	0	0	0
11	1	21101170	1	0	0	0	2053	0	0	0	0
11	1	22101170	1	0	0	0	2053	0	0	0	0
11	1	23101170	1	0	0	0	2053	0	0	0	0
11	1	24101170	1	0	0	0	2053	0	0	0	0
11	1	31101170	1	0	0	0	2054	0	0	0	0
11	1	32101170	1	0	0	0	2054	0	0	0	0
11	1	33101170	1	0	0	0	2054	0	0	0	0
11	1	34101170	1	0	0	0	2054	0	0	0	0
11	1	41101170	1	0	0	0	2055	0	0	0	0
11	1	42101170	1	0	0	0	2055	0	0	0	0
11	1	43101170	1	0	0	0	2055	0	0	0	0
11	1	44101170	1	0	0	0	2055	0	0	0	0
11	1	51101170	1	0	0	0	2056	0	0	0	0
11	1	52101170	1	0	0	0	2056	0	0	0	0
11	1	53101170	1	0	0	0	2056	0	0	0	0
11	1	54101170	1	0	0	0	2056	0	0	0	0
11	1	61101170	1	0	0	0	2057	0	0	0	0
11	1	62101170	1	0	0	0	2057	0	0	0	0
11	1	63101170	1	0	0	0	2057	0	0	0	0
11	1	64101170	1	0	0	0	2057	0	0	0	0
11	1	71101170	1	0	0	0	2058	0	0	0	0
11	1	72101170	1	0	0	0	2058	0	0	0	0
11	1	73101170	1	0	0	0	2058	0	0	0	0
11	1	74101170	1	0	0	0	2058	0	0	0	0
11	1	81101170	1	0	0	0	2059	0	0	0	0
11	1	82101170	1	0	0	0	2059	0	0	0	0
11	1	83101170	1	0	0	0	2059	0	0	0	0
11	1	84101170	1	0	0	0	2059	0	0	0	0
11	1	91101170	1	0	0	0	2060	0	0	0	0
11	1	92101170	1	0	0	0	2060	0	0	0	0
11	1	93101170	1	0	0	0	2060	0	0	0	0
11	1	94101170	1	0	0	0	2060	0	0	0	0
11	1	1101180	1	0	0	0	2061	0	0	0	0
11	1	2101180	1	0	0	0	2061	0	0	0	0
11	1	3101180	1	0	0	0	2061	0	0	0	0
11	1	4101180	1	0	0	0	2061	0	0	0	0
11	1	11101180	1	0	0	0	2062	0	0	0	0
11	1	12101180	1	0	0	0	2062	0	0	0	0
11	1	13101180	1	0	0	0	2062	0	0	0	0
11	1	14101180	1	0	0	0	2062	0	0	0	0
11	1	21101180	1	0	0	0	2063	0	0	0	0
11	1	22101180	1	0	0	0	2063	0	0	0	0
11	1	23101180	1	0	0	0	2063	0	0	0	0
11	1	24101180	1	0	0	0	2063	0	0	0	0
11	1	31101180	1	0	0	0	2064	0	0	0	0
11	1	32101180	1	0	0	0	2064	0	0	0	0
11	1	33101180	1	0	0	0	2064	0	0	0	0
11	1	34101180	1	0	0	0	2064	0	0	0	0
11	1	41101180	1	0	0	0	2065	0	0	0	0
11	1	42101180	1	0	0	0	2065	0	0	0	0
11	1	43101180	1	0	0	0	2065	0	0	0	0
11	1	44101180	1	0	0	0	2065	0	0	0	0
11	1	51101180	1	0	0	0	2066	0	0	0	0
11	1	52101180	1	0	0	0	2066	0	0	0	0
11	1	53101180	1	0	0	0	2066	0	0	0	0
11	1	54101180	1	0	0	0	2066	0	0	0	0
11	1	61101180	1	0	0	0	2067	0	0	0	0
11	1	62101180	1	0	0	0	2067	0	0	0	0
11	1	63101180	1	0	0	0	2067	0	0	0	0
11	1	64101180	1	0	0	0	2067	0	0	0	0
11	1	71101180	1	0	0	0	2068	0	0	0	0
11	1	72101180	1	0	0	0	2068	0	0	0	0
11	1	73101180	1	0	0	0	2068	0	0	0	0
11	1	74101180	1	0	0	0	2068	0	0	0	0
11	1	81101180	1	0	0	0	2069	0	0	0	0
11	1	82101180	1	0	0	0	2069	0	0	0	0
11	1	83101180	1	0	0	0	2069	0	0	0	0
11	1	84101180	1	0	0	0	2069	0	0	0	0
11	1	91101180	1	0	0	0	2070	0	0	0	0
11	1	92101180	1	0	0	0	2070	0	0	0	0
11	1	93101180	1	0	0	0	2070	0	0	0	0
11	1	94101180	1	0	0	0	2070	0	0	0	0
11	1	101100120	1	0	0	0	2071	718	2154	0	0
11	1	102100120	1	0	0	0	2071	718	2154	0	0
11	1	103100120	1	0	0	0	2071	718	2154	0	0
11	1	104100120	1	0	0	0	2071	718	2154	0	0
11	1	101100130	1	0	0	0	2072	2071	2444	718	2154
11	1	102100130	1	0	0	0	2072	2071	2444	718	2154
11	1	103100130	1	0	0	0	2072	2071	2444	718	2154
11	1	104100130	1	0	0	0	2072	2071	2444	718	2154
11	1	101100140	1	0	0	0	2073	2071	718	2154	0
11	1	102100140	1	0	0	0	2073	2071	718	2154	0
11	1	103100140	1	0	0	0	2073	2071	718	2154	0
11	1	104100140	1	0	0	0	2073	2071	718	2154	0
11	1	101100150	1	0	0	0	2074	2071	718	2154	0
11	1	102100150	1	0	0	0	2074	2071	718	2154	0
11	1	103100150	1	0	0	0	2074	2071	718	2154	0
11	1	104100150	1	0	0	0	2074	2071	718	2154	0
11	1	101100160	1	0	0	0	2075	2071	718	2154	0
11	1	102100160	1	0	0	0	2075	2071	718	2154	0
11	1	103100160	1	0	0	0	2075	2071	718	2154	0
11	1	104100160	1	0	0	0	2075	2071	718	2154	0
11	1	101101120	1	0	0	0	2081	0	0	0	0
11	1	102101120	1	0	0	0	2081	0	0	0	0
11	1	103101120	1	0	0	0	2081	0	0	0	0
11	1	104101120	1	0	0	0	2081	0	0	0	0
11	1	101101130	1	0	0	0	2082	0	0	0	0
11	1	102101130	1	0	0	0	2082	0	0	0	0
11	1	103101130	1	0	0	0	2082	0	0	0	0
11	1	104101130	1	0	0	0	2082	0	0	0	0
11	1	101101140	1	0	0	0	2083	0	0	0	0
11	1	102101140	1	0	0	0	2083	0	0	0	0
11	1	103101140	1	0	0	0	2083	0	0	0	0
11	1	104101140	1	0	0	0	2083	0	0	0	0
11	1	101101150	1	0	0	0	2084	0	0	0	0
11	1	102101150	1	0	0	0	2084	0	0	0	0
11	1	103101150	1	0	0	0	2084	0	0	0	0
11	1	104101150	1	0	0	0	2084	0	0	0	0
11	1	101101160	1	0	0	0	2085	0	0	0	0
11	1	102101160	1	0	0	0	2085	0	0	0	0
11	1	103101160	1	0	0	0	2085	0	0	0	0
11	1	104101160	1	0	0	0	2085	0	0	0	0
11	1	111100120	1	0	0	0	2076	0	0	0	0
11	1	112100120	1	0	0	0	2076	0	0	0	0
11	1	113100120	1	0	0	0	2076	0	0	0	0
11	1	114100120	1	0	0	0	2076	0	0	0	0
11	1	111100130	1	0	0	0	2077	0	0	0	0
11	1	112100130	1	0	0	0	2077	0	0	0	0
11	1	113100130	1	0	0	0	2077	0	0	0	0
11	1	114100130	1	0	0	0	2077	0	0	0	0
11	1	111100140	1	0	0	0	2078	0	0	0	0
11	1	112100140	1	0	0	0	2078	0	0	0	0
11	1	113100140	1	0	0	0	2078	0	0	0	0
11	1	114100140	1	0	0	0	2078	0	0	0	0
11	1	111100150	1	0	0	0	2079	0	0	0	0
11	1	112100150	1	0	0	0	2079	0	0	0	0
11	1	113100150	1	0	0	0	2079	0	0	0	0
11	1	114100150	1	0	0	0	2079	0	0	0	0
11	1	111100160	1	0	0	0	2080	0	0	0	0
11	1	112100160	1	0	0	0	2080	0	0	0	0
11	1	113100160	1	0	0	0	2080	0	0	0	0
11	1	114100160	1	0	0	0	2080	0	0	0	0
11	1	111101120	1	0	0	0	2086	0	0	0	0
11	1	112101120	1	0	0	0	2086	0	0	0	0
11	1	113101120	1	0	0	0	2086	0	0	0	0
11	1	114101120	1	0	0	0	2086	0	0	0	0
11	1	111101130	1	0	0	0	2087	0	0	0	0
11	1	112101130	1	0	0	0	2087	0	0	0	0
11	1	113101130	1	0	0	0	2087	0	0	0	0
11	1	114101130	1	0	0	0	2087	0	0	0	0
11	1	111101140	1	0	0	0	2088	0	0	0	0
11	1	112101140	1	0	0	0	2088	0	0	0	0
11	1	113101140	1	0	0	0	2088	0	0	0	0
11	1	114101140	1	0	0	0	2088	0	0	0	0
11	1	111101150	1	0	0	0	2089	0	0	0	0
11	1	112101150	1	0	0	0	2089	0	0	0	0
11	1	113101150	1	0	0	0	2089	0	0	0	0
11	1	114101150	1	0	0	0	2089	0	0	0	0
11	1	111101160	1	0	0	0	2090	0	0	0	0
11	1	112101160	1	0	0	0	2090	0	0	0	0
11	1	113101160	1	0	0	0	2090	0	0	0	0
11	1	114101160	1	0	0	0	2090	0	0	0	0
11	1	1101190	1	0	0	0	2091	0	0	0	0
11	1	2101190	1	0	0	0	2091	0	0	0	0
11	1	3101190	1	0	0	0	2091	0	0	0	0
11	1	4101190	1	0	0	0	2091	0	0	0	0
11	1	11101190	1	0	0	0	2092	0	0	0	0
11	1	12101190	1	0	0	0	2092	0	0	0	0
11	1	13101190	1	0	0	0	2092	0	0	0	0
11	1	14101190	1	0	0	0	2092	0	0	0	0
11	1	21101190	1	0	0	0	2093	0	0	0	0
11	1	22101190	1	0	0	0	2093	0	0	0	0
11	1	23101190	1	0	0	0	2093	0	0	0	0
11	1	24101190	1	0	0	0	2093	0	0	0	0
11	1	31101190	1	0	0	0	2094	0	0	0	0
11	1	32101190	1	0	0	0	2094	0	0	0	0
11	1	33101190	1	0	0	0	2094	0	0	0	0
11	1	34101190	1	0	0	0	2094	0	0	0	0
11	1	41101190	1	0	0	0	2095	0	0	0	0
11	1	42101190	1	0	0	0	2095	0	0	0	0
11	1	43101190	1	0	0	0	2095	0	0	0	0
11	1	44101190	1	0	0	0	2095	0	0	0	0
11	1	51101190	1	0	0	0	2096	0	0	0	0
11	1	52101190	1	0	0	0	2096	0	0	0	0
11	1	53101190	1	0	0	0	2096	0	0	0	0
11	1	54101190	1	0	0	0	2096	0	0	0	0
11	1	61101190	1	0	0	0	2097	0	0	0	0
11	1	62101190	1	0	0	0	2097	0	0	0	0
11	1	63101190	1	0	0	0	2097	0	0	0	0
11	1	64101190	1	0	0	0	2097	0	0	0	0
11	1	71101190	1	0	0	0	2098	0	0	0	0
11	1	72101190	1	0	0	0	2098	0	0	0	0
11	1	73101190	1	0	0	0	2098	0	0	0	0
11	1	74101190	1	0	0	0	2098	0	0	0	0
11	1	81101190	1	0	0	0	2099	0	0	0	0
11	1	82101190	1	0	0	0	2099	0	0	0	0
11	1	83101190	1	0	0	0	2099	0	0	0	0
11	1	84101190	1	0	0	0	2099	0	0	0	0
11	1	91101190	1	0	0	0	2100	0	0	0	0
11	1	92101190	1	0	0	0	2100	0	0	0	0
11	1	93101190	1	0	0	0	2100	0	0	0	0
11	1	94101190	1	0	0	0	2100	0	0	0	0
11	1	1102130	1	0	0	0	1944	0	0	0	0
11	1	11102130	1	0	0	0	1944	0	0	0	0
11	1	21102130	1	0	0	0	1944	0	0	0	0
11	1	31102130	1	0	0	0	1944	0	0	0	0
11	1	41102130	1	0	0	0	1944	0	0	0	0
11	1	51102130	1	0	0	0	1944	0	0	0	0
11	1	61102130	1	0	0	0	1944	0	0	0	0
11	1	71102130	1	0	0	0	1944	0	0	0	0
11	1	81102130	1	0	0	0	1944	0	0	0	0
11	1	91102130	1	0	0	0	1944	0	0	0	0
11	1	2102130	1	0	0	0	1944	0	0	0	0
11	1	12102130	1	0	0	0	1944	0	0	0	0
11	1	22102130	1	0	0	0	1944	0	0	0	0
11	1	32102130	1	0	0	0	1944	0	0	0	0
11	1	42102130	1	0	0	0	1944	0	0	0	0
11	1	52102130	1	0	0	0	1944	0	0	0	0
11	1	62102130	1	0	0	0	1944	0	0	0	0
11	1	72102130	1	0	0	0	1944	0	0	0	0
11	1	82102130	1	0	0	0	1944	0	0	0	0
11	1	92102130	1	0	0	0	1944	0	0	0	0
11	1	3102130	1	0	0	0	1944	0	0	0	0
11	1	13102130	1	0	0	0	1944	0	0	0	0
11	1	23102130	1	0	0	0	1944	0	0	0	0
11	1	33102130	1	0	0	0	1944	0	0	0	0
11	1	43102130	1	0	0	0	1944	0	0	0	0
11	1	53102130	1	0	0	0	1944	0	0	0	0
11	1	63102130	1	0	0	0	1944	0	0	0	0
11	1	73102130	1	0	0	0	1944	0	0	0	0
11	1	83102130	1	0	0	0	1944	0	0	0	0
11	1	93102130	1	0	0	0	1944	0	0	0	0
11	1	4102130	1	0	0	0	1944	0	0	0	0
11	1	14102130	1	0	0	0	1944	0	0	0	0
11	1	24102130	1	0	0	0	1944	0	0	0	0
11	1	34102130	1	0	0	0	1944	0	0	0	0
11	1	44102130	1	0	0	0	1944	0	0	0	0
11	1	54102130	1	0	0	0	1944	0	0	0	0
11	1	64102130	1	0	0	0	1944	0	0	0	0
11	1	74102130	1	0	0	0	1944	0	0	0	0
11	1	84102130	1	0	0	0	1944	0	0	0	0
11	1	94102130	1	0	0	0	1944	0	0	0	0
11	1	1102140	1	0	0	0	1944	0	0	0	0
11	1	11102140	1	0	0	0	1944	0	0	0	0
11	1	21102140	1	0	0	0	1944	0	0	0	0
11	1	31102140	1	0	0	0	1944	0	0	0	0
11	1	41102140	1	0	0	0	1944	0	0	0	0
11	1	51102140	1	0	0	0	1944	0	0	0	0
11	1	61102140	1	0	0	0	1944	0	0	0	0
11	1	71102140	1	0	0	0	1944	0	0	0	0
11	1	81102140	1	0	0	0	1944	0	0	0	0
11	1	91102140	1	0	0	0	1944	0	0	0	0
11	1	2102140	1	0	0	0	1944	0	0	0	0
11	1	12102140	1	0	0	0	1944	0	0	0	0
11	1	22102140	1	0	0	0	1944	0	0	0	0
11	1	32102140	1	0	0	0	1944	0	0	0	0
11	1	42102140	1	0	0	0	1944	0	0	0	0
11	1	52102140	1	0	0	0	1944	0	0	0	0
11	1	62102140	1	0	0	0	1944	0	0	0	0
11	1	72102140	1	0	0	0	1944	0	0	0	0
11	1	82102140	1	0	0	0	1944	0	0	0	0
11	1	92102140	1	0	0	0	1944	0	0	0	0
11	1	3102140	1	0	0	0	1944	0	0	0	0
11	1	13102140	1	0	0	0	1944	0	0	0	0
11	1	23102140	1	0	0	0	1944	0	0	0	0
11	1	33102140	1	0	0	0	1944	0	0	0	0
11	1	43102140	1	0	0	0	1944	0	0	0	0
11	1	53102140	1	0	0	0	1944	0	0	0	0
11	1	63102140	1	0	0	0	1944	0	0	0	0
11	1	73102140	1	0	0	0	1944	0	0	0	0
11	1	83102140	1	0	0	0	1944	0	0	0	0
11	1	93102140	1	0	0	0	1944	0	0	0	0
11	1	4102140	1	0	0	0	1944	0	0	0	0
11	1	14102140	1	0	0	0	1944	0	0	0	0
11	1	24102140	1	0	0	0	1944	0	0	0	0
11	1	34102140	1	0	0	0	1944	0	0	0	0
11	1	44102140	1	0	0	0	1944	0	0	0	0
11	1	54102140	1	0	0	0	1944	0	0	0	0
11	1	64102140	1	0	0	0	1944	0	0	0	0
11	1	74102140	1	0	0	0	1944	0	0	0	0
11	1	84102140	1	0	0	0	1944	0	0	0	0
11	1	94102140	1	0	0	0	1944	0	0	0	0
12	1	0	1	2	0	0	701	0	0	0	0
12	1	0	2	5	0	0	2631	0	0	0	0
12	1	10	1	10	0	0	2445	0	0	0	0
12	1	10	2	15	0	0	2446	0	0	0	0
13	1	4	1	2	4	0	1709	0	0	0	0
13	1	9	1	2	4	0	1710	0	0	0	0
16	1	0	1	1	1	0	1848	2619	0	0	0
16	1	1	1	1	1	0	1849	2619	0	0	0
16	1	2	1	1	1	0	1850	2619	0	0	0
16	1	3	1	1	1	0	1851	2619	0	0	0
16	1	4	1	1	1	0	1852	2619	0	0	0
16	1	5	1	1	1	0	1853	2619	0	0	0
16	1	6	1	1	1	0	1854	2619	0	0	0
16	1	9	1	1	1	0	1855	2619	0	0	0
16	1	8	1	1	1	0	1721	2619	0	0	0
16	1	7	1	1	1	0	1722	2619	0	0	0
16	1	0	2	1	2	0	1723	1838	2619	2623	2627
16	1	1	2	1	2	0	1724	1839	2619	2623	2627
16	1	3	2	1	2	0	1725	1840	2619	2623	2627
16	1	2	2	1	2	0	1726	1841	2619	2623	2627
16	1	8	2	1	2	0	1727	1842	2619	2623	2627
16	1	7	2	1	2	0	1728	1843	2619	2623	2627
16	1	4	2	1	2	0	1729	1844	2619	2623	2627
16	1	9	2	1	2	0	1730	1845	2619	2623	2627
16	1	5	2	1	2	0	1731	1846	2619	2623	2627
16	1	6	2	1	2	0	1732	1847	2619	2623	2627
16	1	0	3	1	3	0	1733	2619	2623	2627	0
16	1	1	3	1	3	0	1734	2619	2623	2627	0
16	1	3	3	1	3	0	1735	2619	2623	2627	0
16	1	2	3	1	3	0	1736	2619	2623	2627	0
16	1	8	3	1	3	0	1737	2619	2623	2627	0
16	1	7	3	1	3	0	1738	2619	2623	2627	0
16	1	4	3	1	3	0	1739	2619	2623	2627	0
16	1	9	3	1	3	0	1740	2619	2623	2627	0
16	1	5	3	1	3	0	1741	2619	2623	2627	0
16	1	6	3	1	3	0	1742	2619	2623	2627	0
16	1	0	4	1	4	0	1743	0	0	0	0
16	1	1	4	1	4	0	1744	0	0	0	0
16	1	3	4	1	4	0	1745	0	0	0	0
16	1	2	4	1	4	0	1746	0	0	0	0
16	1	8	4	1	4	0	1747	0	0	0	0
16	1	7	4	1	4	0	1748	0	0	0	0
16	1	4	4	1	4	0	1749	0	0	0	0
16	1	9	4	1	4	0	1750	0	0	0	0
16	1	5	4	1	4	0	1751	0	0	0	0
16	1	6	4	1	4	0	1752	0	0	0	0
16	1	0	5	1	5	0	1753	0	0	0	0
16	1	1	5	1	5	0	1754	0	0	0	0
16	1	3	5	1	5	0	1755	0	0	0	0
16	1	2	5	1	5	0	1756	0	0	0	0
16	1	8	5	1	5	0	1757	0	0	0	0
16	1	7	5	1	5	0	1758	0	0	0	0
16	1	4	5	1	5	0	1759	0	0	0	0
16	1	9	5	1	5	0	1760	0	0	0	0
16	1	5	5	1	5	0	1761	0	0	0	0
16	1	6	5	1	5	0	1762	0	0	0	0
16	1	0	6	1	6	0	1860	0	0	0	0
16	1	1	6	1	6	0	1861	0	0	0	0
16	1	3	6	1	6	0	1862	0	0	0	0
16	1	2	6	1	6	0	1863	0	0	0	0
16	1	8	6	1	6	0	1864	0	0	0	0
16	1	7	6	1	6	0	1865	0	0	0	0
16	1	4	6	1	6	0	1866	0	0	0	0
16	1	9	6	1	6	0	1867	0	0	0	0
16	1	5	6	1	6	0	1868	0	0	0	0
16	1	6	6	1	6	0	1869	0	0	0	0
16	1	0	7	1	7	0	1870	0	0	0	0
16	1	1	7	1	7	0	1871	0	0	0	0
16	1	3	7	1	7	0	1872	0	0	0	0
16	1	2	7	1	7	0	1873	0	0	0	0
16	1	8	7	1	7	0	1874	0	0	0	0
16	1	7	7	1	7	0	1875	0	0	0	0
16	1	4	7	1	7	0	1876	0	0	0	0
16	1	9	7	1	7	0	1877	0	0	0	0
16	1	5	7	1	7	0	1878	0	0	0	0
16	1	6	7	1	7	0	1879	0	0	0	0
16	1	0	8	2	2	0	1880	0	0	0	0
16	1	1	8	2	2	0	1881	0	0	0	0
16	1	3	8	2	2	0	1882	0	0	0	0
16	1	2	8	2	2	0	1883	0	0	0	0
16	1	8	8	2	2	0	1884	0	0	0	0
16	1	7	8	2	2	0	1885	0	0	0	0
16	1	4	8	2	2	0	1886	0	0	0	0
16	1	9	8	2	2	0	1887	0	0	0	0
16	1	5	8	2	2	0	1888	0	0	0	0
16	1	6	8	2	2	0	1889	0	0	0	0
16	1	0	9	2	3	0	1890	0	0	0	0
16	1	1	9	2	3	0	1891	0	0	0	0
16	1	3	9	2	3	0	1892	0	0	0	0
16	1	2	9	2	3	0	1893	0	0	0	0
16	1	8	9	2	3	0	1894	0	0	0	0
16	1	7	9	2	3	0	1895	0	0	0	0
16	1	4	9	2	3	0	1896	0	0	0	0
16	1	9	9	2	3	0	1897	0	0	0	0
