宝石类型	宝石颜色	雕琢等级	有效字段	货币类型(1紫魂三角，2绿魂方形，3彩魂圆形)	货币数量	道具id	道具数量	属性类型1	剑客数值1	御灵数值1	刀客数值1	弓手数值1	属性类型2	剑客数值2	御灵数值2	刀客数值2	弓手数值2	属性类型3	剑客数值3	御灵数值3	刀客数值3	弓手数值3	属性类型4	剑客数值4	御灵数值4	刀客数值4	弓手数值4	增加修为	直升金元	属性类型3	剑客数值3	御灵数值3	刀客数值3	弓手数值3	属性类型4	剑客数值4	御灵数值4	刀客数值4	弓手数值4	宝石名字
7	4	7	1	1	3611	401300302	36	1005	900	900	900	900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13105	6500	0	0	0	0	0	0	0	0	0	0	上古心眼石
7	4	8	1	1	7500	401300302	54	1005	1100	1100	1100	1100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19659	13500	0	0	0	0	0	0	0	0	0	0	上古心眼石
7	4	9	1	1	15556	401300302	72	1005	1300	1300	1300	1300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27522	28000	0	0	0	0	0	0	0	0	0	0	上古心眼石
7	5	0	1	1	0	401300102	0	1005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	神赐心眼石
7	5	1	1	1	28	401300102	2	1005	300	300	300	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2065	50	0	0	0	0	0	0	0	0	0	0	神赐心眼石
7	5	2	1	1	72	401300102	6	1005	350	350	350	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4131	130	0	0	0	0	0	0	0	0	0	0	神赐心眼石
7	5	3	1	1	194	401300102	18	1005	400	400	400	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6196	350	0	0	0	0	0	0	0	0	0	0	神赐心眼石
7	5	4	1	1	500	401300202	18	1005	500	500	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9295	900	0	0	0	0	0	0	0	0	0	0	神赐心眼石
7	5	5	1	1	944	401300202	27	1005	600	600	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13942	1700	0	0	0	0	0	0	0	0	0	0	神赐心眼石
7	5	6	1	1	1778	401300202	36	1005	800	800	800	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20914	3200	0	0	0	0	0	0	0	0	0	0	神赐心眼石
7	5	7	1	1	3611	401300302	36	1005	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31371	6500	0	0	0	0	0	0	0	0	0	0	神赐心眼石
7	5	8	1	1	7500	401300302	54	1005	1200	1200	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43919	13500	0	0	0	0	0	0	0	0	0	0	神赐心眼石
7	5	9	1	1	15556	401300302	72	1005	1400	1400	1400	1400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61487	28000	0	0	0	0	0	0	0	0	0	0	神赐心眼石
8	3	0	1	2	0	401300103	0	1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	瞬影石
8	3	1	1	2	42	401300103	2	1006	50	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	75	0	0	0	0	0	0	0	0	0	0	瞬影石
8	3	2	1	2	111	401300103	6	1006	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	200	0	0	0	0	0	0	0	0	0	0	瞬影石
8	3	3	1	2	278	401300103	18	1006	150	150	150	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	384	500	0	0	0	0	0	0	0	0	0	0	瞬影石
8	3	4	1	2	722	401300203	18	1006	250	250	250	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	768	1300	0	0	0	0	0	0	0	0	0	0	瞬影石
8	3	5	1	2	1444	401300203	27	1006	400	400	400	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1536	2600	0	0	0	0	0	0	0	0	0	0	瞬影石
8	3	6	1	2	2722	401300203	36	1006	600	600	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2304	4900	0	0	0	0	0	0	0	0	0	0	瞬影石
8	3	7	1	2	5278	401300303	36	1006	800	800	800	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3456	9500	0	0	0	0	0	0	0	0	0	0	瞬影石
8	3	8	1	2	11111	401300303	54	1006	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5184	20000	0	0	0	0	0	0	0	0	0	0	瞬影石
8	3	9	1	2	23333	401300303	72	1006	1200	1200	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7257	42000	0	0	0	0	0	0	0	0	0	0	瞬影石
8	4	0	1	2	0	401300103	0	1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	上古瞬影石
8	4	1	1	2	42	401300103	2	1006	150	150	150	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	75	0	0	0	0	0	0	0	0	0	0	上古瞬影石
8	4	2	1	2	111	401300103	6	1006	200	200	200	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	970	200	0	0	0	0	0	0	0	0	0	0	上古瞬影石
8	4	3	1	2	278	401300103	18	1006	250	250	250	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1941	500	0	0	0	0	0	0	0	0	0	0	上古瞬影石
8	4	4	1	2	722	401300203	18	1006	350	350	350	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3883	1300	0	0	0	0	0	0	0	0	0	0	上古瞬影石
8	4	5	1	2	1444	401300203	27	1006	500	500	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5824	2600	0	0	0	0	0	0	0	0	0	0	上古瞬影石
8	4	6	1	2	2722	401300203	36	1006	700	700	700	700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8737	4900	0	0	0	0	0	0	0	0	0	0	上古瞬影石
8	4	7	1	2	5278	401300303	36	1006	900	900	900	900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13105	9500	0	0	0	0	0	0	0	0	0	0	上古瞬影石
8	4	8	1	2	11111	401300303	54	1006	1100	1100	1100	1100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19659	20000	0	0	0	0	0	0	0	0	0	0	上古瞬影石
8	4	9	1	2	23333	401300303	72	1006	1300	1300	1300	1300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27522	42000	0	0	0	0	0	0	0	0	0	0	上古瞬影石
8	5	0	1	2	0	401300103	0	1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	神赐瞬影石
8	5	1	1	2	42	401300103	2	1006	300	300	300	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2065	75	0	0	0	0	0	0	0	0	0	0	神赐瞬影石
8	5	2	1	2	111	401300103	6	1006	350	350	350	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4131	200	0	0	0	0	0	0	0	0	0	0	神赐瞬影石
8	5	3	1	2	278	401300103	18	1006	400	400	400	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6196	500	0	0	0	0	0	0	0	0	0	0	神赐瞬影石
8	5	4	1	2	722	401300203	18	1006	500	500	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9295	1300	0	0	0	0	0	0	0	0	0	0	神赐瞬影石
8	5	5	1	2	1444	401300203	27	1006	600	600	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13942	2600	0	0	0	0	0	0	0	0	0	0	神赐瞬影石
8	5	6	1	2	2722	401300203	36	1006	800	800	800	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20914	4900	0	0	0	0	0	0	0	0	0	0	神赐瞬影石
8	5	7	1	2	5278	401300303	36	1006	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31371	9500	0	0	0	0	0	0	0	0	0	0	神赐瞬影石
8	5	8	1	2	11111	401300303	54	1006	1200	1200	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43919	20000	0	0	0	0	0	0	0	0	0	0	神赐瞬影石
8	5	9	1	2	23333	401300303	72	1006	1400	1400	1400	1400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61487	42000	0	0	0	0	0	0	0	0	0	0	神赐瞬影石
9	3	0	1	3	0	401300101	0	1011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	斩铁石
9	3	1	1	3	28	401300101	2	1011	50	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	50	0	0	0	0	0	0	0	0	0	0	斩铁石
9	3	2	1	3	72	401300101	6	1011	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	130	0	0	0	0	0	0	0	0	0	0	斩铁石
9	3	3	1	3	194	401300101	18	1011	150	150	150	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	384	350	0	0	0	0	0	0	0	0	0	0	斩铁石
9	3	4	1	3	500	401300201	18	1011	250	250	250	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	768	900	0	0	0	0	0	0	0	0	0	0	斩铁石
9	3	5	1	3	944	401300201	27	1011	400	400	400	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1536	1700	0	0	0	0	0	0	0	0	0	0	斩铁石
9	3	6	1	3	1778	401300201	36	1011	600	600	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2304	3200	0	0	0	0	0	0	0	0	0	0	斩铁石
9	3	7	1	3	3611	401300301	36	1011	800	800	800	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3456	6500	0	0	0	0	0	0	0	0	0	0	斩铁石
9	3	8	1	3	7500	401300301	54	1011	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5184	13500	0	0	0	0	0	0	0	0	0	0	斩铁石
9	3	9	1	3	15556	401300301	72	1011	1200	1200	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7257	28000	0	0	0	0	0	0	0	0	0	0	斩铁石
9	4	0	1	3	0	401300101	0	1011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	上古斩铁石
9	4	1	1	3	28	401300101	2	1011	150	150	150	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	50	0	0	0	0	0	0	0	0	0	0	上古斩铁石
9	4	2	1	3	72	401300101	6	1011	200	200	200	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	970	130	0	0	0	0	0	0	0	0	0	0	上古斩铁石
9	4	3	1	3	194	401300101	18	1011	250	250	250	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1941	350	0	0	0	0	0	0	0	0	0	0	上古斩铁石
9	4	4	1	3	500	401300201	18	1011	350	350	350	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3883	900	0	0	0	0	0	0	0	0	0	0	上古斩铁石
9	4	5	1	3	944	401300201	27	1011	500	500	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5824	1700	0	0	0	0	0	0	0	0	0	0	上古斩铁石
9	4	6	1	3	1778	401300201	36	1011	700	700	700	700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8737	3200	0	0	0	0	0	0	0	0	0	0	上古斩铁石
9	4	7	1	3	3611	401300301	36	1011	900	900	900	900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13105	6500	0	0	0	0	0	0	0	0	0	0	上古斩铁石
9	4	8	1	3	7500	401300301	54	1011	1100	1100	1100	1100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19659	13500	0	0	0	0	0	0	0	0	0	0	上古斩铁石
9	4	9	1	3	15556	401300301	72	1011	1300	1300	1300	1300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27522	28000	0	0	0	0	0	0	0	0	0	0	上古斩铁石
9	5	0	1	3	0	401300101	0	1011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	神赐斩铁石
9	5	1	1	3	28	401300101	2	1011	300	300	300	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2065	50	0	0	0	0	0	0	0	0	0	0	神赐斩铁石
9	5	2	1	3	72	401300101	6	1011	350	350	350	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4131	130	0	0	0	0	0	0	0	0	0	0	神赐斩铁石
9	5	3	1	3	194	401300101	18	1011	400	400	400	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6196	350	0	0	0	0	0	0	0	0	0	0	神赐斩铁石
9	5	4	1	3	500	401300201	18	1011	500	500	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9295	900	0	0	0	0	0	0	0	0	0	0	神赐斩铁石
9	5	5	1	3	944	401300201	27	1011	600	600	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13942	1700	0	0	0	0	0	0	0	0	0	0	神赐斩铁石
9	5	6	1	3	1778	401300201	36	1011	800	800	800	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20914	3200	0	0	0	0	0	0	0	0	0	0	神赐斩铁石
9	5	7	1	3	3611	401300301	36	1011	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31371	6500	0	0	0	0	0	0	0	0	0	0	神赐斩铁石
9	5	8	1	3	7500	401300301	54	1011	1200	1200	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43919	13500	0	0	0	0	0	0	0	0	0	0	神赐斩铁石
9	5	9	1	3	15556	401300301	72	1011	1400	1400	1400	1400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61487	28000	0	0	0	0	0	0	0	0	0	0	神赐斩铁石
10	3	0	1	3	0	401300101	0	1010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	守御石
10	3	1	1	3	42	401300101	2	1010	50	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	75	0	0	0	0	0	0	0	0	0	0	守御石
10	3	2	1	3	111	401300101	6	1010	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	200	0	0	0	0	0	0	0	0	0	0	守御石
10	3	3	1	3	278	401300101	18	1010	150	150	150	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	384	500	0	0	0	0	0	0	0	0	0	0	守御石
10	3	4	1	3	722	401300201	18	1010	250	250	250	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	768	1300	0	0	0	0	0	0	0	0	0	0	守御石
10	3	5	1	3	1444	401300201	27	1010	400	400	400	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1536	2600	0	0	0	0	0	0	0	0	0	0	守御石
10	3	6	1	3	2722	401300201	36	1010	600	600	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2304	4900	0	0	0	0	0	0	0	0	0	0	守御石
10	3	7	1	3	5278	401300301	36	1010	800	800	800	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3456	9500	0	0	0	0	0	0	0	0	0	0	守御石
10	3	8	1	3	11111	401300301	54	1010	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5184	20000	0	0	0	0	0	0	0	0	0	0	守御石
10	3	9	1	3	23333	401300301	72	1010	1200	1200	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7257	42000	0	0	0	0	0	0	0	0	0	0	守御石
10	4	0	1	3	0	401300101	0	1010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	上古守御石
10	4	1	1	3	42	401300101	2	1010	150	150	150	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	75	0	0	0	0	0	0	0	0	0	0	上古守御石
10	4	2	1	3	111	401300101	6	1010	200	200	200	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	970	200	0	0	0	0	0	0	0	0	0	0	上古守御石
10	4	3	1	3	278	401300101	18	1010	250	250	250	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1941	500	0	0	0	0	0	0	0	0	0	0	上古守御石
10	4	4	1	3	722	401300201	18	1010	350	350	350	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3883	1300	0	0	0	0	0	0	0	0	0	0	上古守御石
10	4	5	1	3	1444	401300201	27	1010	500	500	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5824	2600	0	0	0	0	0	0	0	0	0	0	上古守御石
10	4	6	1	3	2722	401300201	36	1010	700	700	700	700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8737	4900	0	0	0	0	0	0	0	0	0	0	上古守御石
10	4	7	1	3	5278	401300301	36	1010	900	900	900	900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13105	9500	0	0	0	0	0	0	0	0	0	0	上古守御石
10	4	8	1	3	11111	401300301	54	1010	1100	1100	1100	1100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19659	20000	0	0	0	0	0	0	0	0	0	0	上古守御石
10	4	9	1	3	23333	401300301	72	1010	1300	1300	1300	1300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27522	42000	0	0	0	0	0	0	0	0	0	0	上古守御石
10	5	0	1	3	0	401300101	0	1010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	神赐守御石
10	5	1	1	3	42	401300101	2	1010	300	300	300	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2065	75	0	0	0	0	0	0	0	0	0	0	神赐守御石
10	5	2	1	3	111	401300101	6	1010	350	350	350	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4131	200	0	0	0	0	0	0	0	0	0	0	神赐守御石
10	5	3	1	3	278	401300101	18	1010	400	400	400	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6196	500	0	0	0	0	0	0	0	0	0	0	神赐守御石
10	5	4	1	3	722	401300201	18	1010	500	500	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9295	1300	0	0	0	0	0	0	0	0	0	0	神赐守御石
10	5	5	1	3	1444	401300201	27	1010	600	600	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13942	2600	0	0	0	0	0	0	0	0	0	0	神赐守御石
10	5	6	1	3	2722	401300201	36	1010	800	800	800	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20914	4900	0	0	0	0	0	0	0	0	0	0	神赐守御石
10	5	7	1	3	5278	401300301	36	1010	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31371	9500	0	0	0	0	0	0	0	0	0	0	神赐守御石
10	5	8	1	3	11111	401300301	54	1010	1200	1200	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43919	20000	0	0	0	0	0	0	0	0	0	0	神赐守御石
10	5	9	1	3	23333	401300301	72	1010	1400	1400	1400	1400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61487	42000	0	0	0	0	0	0	0	0	0	0	神赐守御石
11	3	0	1	3	0	401300101	0	1074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	雷动石
11	3	1	1	3	28	401300101	2	1074	50	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	50	0	0	0	0	0	0	0	0	0	0	雷动石
11	3	2	1	3	72	401300101	6	1074	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	130	0	0	0	0	0	0	0	0	0	0	雷动石
11	3	3	1	3	194	401300101	18	1074	150	150	150	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	384	350	0	0	0	0	0	0	0	0	0	0	雷动石
11	3	4	1	3	500	401300201	18	1074	250	250	250	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	768	900	0	0	0	0	0	0	0	0	0	0	雷动石
11	3	5	1	3	944	401300201	27	1074	400	400	400	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1536	1700	0	0	0	0	0	0	0	0	0	0	雷动石
11	3	6	1	3	1778	401300201	36	1074	600	600	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2304	3200	0	0	0	0	0	0	0	0	0	0	雷动石
11	3	7	1	3	3611	401300301	36	1074	800	800	800	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3456	6500	0	0	0	0	0	0	0	0	0	0	雷动石
11	3	8	1	3	7500	401300301	54	1074	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5184	13500	0	0	0	0	0	0	0	0	0	0	雷动石
11	3	9	1	3	15556	401300301	72	1074	1200	1200	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7257	28000	0	0	0	0	0	0	0	0	0	0	雷动石
11	4	0	1	3	0	401300101	0	1074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	上古雷动石
11	4	1	1	3	28	401300101	2	1074	150	150	150	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	50	0	0	0	0	0	0	0	0	0	0	上古雷动石
11	4	2	1	3	72	401300101	6	1074	200	200	200	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	970	130	0	0	0	0	0	0	0	0	0	0	上古雷动石
11	4	3	1	3	194	401300101	18	1074	250	250	250	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1941	350	0	0	0	0	0	0	0	0	0	0	上古雷动石
11	4	4	1	3	500	401300201	18	1074	350	350	350	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3883	900	0	0	0	0	0	0	0	0	0	0	上古雷动石
11	4	5	1	3	944	401300201	27	1074	500	500	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5824	1700	0	0	0	0	0	0	0	0	0	0	上古雷动石
11	4	6	1	3	1778	401300201	36	1074	700	700	700	700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8737	3200	0	0	0	0	0	0	0	0	0	0	上古雷动石
11	4	7	1	3	3611	401300301	36	1074	900	900	900	900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13105	6500	0	0	0	0	0	0	0	0	0	0	上古雷动石
11	4	8	1	3	7500	401300301	54	1074	1100	1100	1100	1100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19659	13500	0	0	0	0	0	0	0	0	0	0	上古雷动石
11	4	9	1	3	15556	401300301	72	1074	1300	1300	1300	1300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27522	28000	0	0	0	0	0	0	0	0	0	0	上古雷动石
11	5	0	1	3	0	401300101	0	1074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	神赐雷动石
11	5	1	1	3	28	401300101	2	1074	300	300	300	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2065	50	0	0	0	0	0	0	0	0	0	0	神赐雷动石
11	5	2	1	3	72	401300101	6	1074	350	350	350	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4131	130	0	0	0	0	0	0	0	0	0	0	神赐雷动石
11	5	3	1	3	194	401300101	18	1074	400	400	400	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6196	350	0	0	0	0	0	0	0	0	0	0	神赐雷动石
11	5	4	1	3	500	401300201	18	1074	500	500	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9295	900	0	0	0	0	0	0	0	0	0	0	神赐雷动石
11	5	5	1	3	944	401300201	27	1074	600	600	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13942	1700	0	0	0	0	0	0	0	0	0	0	神赐雷动石
11	5	6	1	3	1778	401300201	36	1074	800	800	800	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20914	3200	0	0	0	0	0	0	0	0	0	0	神赐雷动石
11	5	7	1	3	3611	401300301	36	1074	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31371	6500	0	0	0	0	0	0	0	0	0	0	神赐雷动石
11	5	8	1	3	7500	401300301	54	1074	1200	1200	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43919	13500	0	0	0	0	0	0	0	0	0	0	神赐雷动石
11	5	9	1	3	15556	401300301	72	1074	1400	1400	1400	1400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61487	28000	0	0	0	0	0	0	0	0	0	0	神赐雷动石
12	3	0	1	3	0	401300101	0	1075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	冥思石
12	3	1	1	3	28	401300101	2	1075	50	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	50	0	0	0	0	0	0	0	0	0	0	冥思石
12	3	2	1	3	72	401300101	6	1075	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	130	0	0	0	0	0	0	0	0	0	0	冥思石
12	3	3	1	3	194	401300101	18	1075	150	150	150	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	384	350	0	0	0	0	0	0	0	0	0	0	冥思石
12	3	4	1	3	500	401300201	18	1075	250	250	250	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	768	900	0	0	0	0	0	0	0	0	0	0	冥思石
12	3	5	1	3	944	401300201	27	1075	400	400	400	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1536	1700	0	0	0	0	0	0	0	0	0	0	冥思石
12	3	6	1	3	1778	401300201	36	1075	600	600	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2304	3200	0	0	0	0	0	0	0	0	0	0	冥思石
12	3	7	1	3	3611	401300301	36	1075	800	800	800	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3456	6500	0	0	0	0	0	0	0	0	0	0	冥思石
12	3	8	1	3	7500	401300301	54	1075	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5184	13500	0	0	0	0	0	0	0	0	0	0	冥思石
12	3	9	1	3	15556	401300301	72	1075	1200	1200	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7257	28000	0	0	0	0	0	0	0	0	0	0	冥思石
12	4	0	1	3	0	401300101	0	1075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	上古冥思石
12	4	1	1	3	28	401300101	2	1075	150	150	150	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	50	0	0	0	0	0	0	0	0	0	0	上古冥思石
12	4	2	1	3	72	401300101	6	1075	200	200	200	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	970	130	0	0	0	0	0	0	0	0	0	0	上古冥思石
12	4	3	1	3	194	401300101	18	1075	250	250	250	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1941	350	0	0	0	0	0	0	0	0	0	0	上古冥思石
12	4	4	1	3	500	401300201	18	1075	350	350	350	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3883	900	0	0	0	0	0	0	0	0	0	0	上古冥思石
