地图ID（公共地图ID要少于1000）	有效标志	地图名字	"地图类型(2单人普通历练，3单人精英历练；5001王城，5002新手村,5003夺旗，5004边境；10001MOBA3V3，10002世界BOSS，10003虚空之界，10004特殊虚空之界，10005教院驻地，10006剑池，破境副本10007,观灵阁服务器10012，10013巨兽，10014守望先锋MOBA，10015双路MOBA，10016新世界BOSS,10017盟主争夺战场，10018婚礼地图,10019九层妖塔,10020多人竞技场，10021转生副本,10022城池争夺战,10023神魔古墓，10024离线竞技场，10026武试准备场，10025夫妻副本，10027宝岛地宫,10028师徒副本,10029吃鸡副本,10030仙侣PK准备场,10031仙侣PK擂台，10032跨服吃鸡准备场,10033跨服吃鸡比赛场)"	队伍目标	地图路径	场景流水号（寻路相关，关联total_nav_name表，单人地图随便填个很大的值）	广播区域等级（0范围38.4*28.8，1范围10*10王城特殊处理了，2范围2000*2000，3范围8*8，4范围3*3）	最大横坐标	最大纵坐标	需要的最大人数（有需求的地图这个字段才有处理，攻城战为地图最大人数上限+单方人数上限不能超过该值一半）	需要的最小人数（MOBA检测的是单方人数）	需要的人物等级	需要的修为等级	状态限制ID	个人消耗限制ID	队长消耗限制ID	奖励次数限制ID	扫荡消耗	时间限制ID	复活点	副本超时时间	副本结束后持续时间	掉落ID1	掉落ID2	出生点	成就限制ID	奖励成就ID	副本buff	buff持续时间	"扩展功能，原轻功(0不可用轻功，1是可用轻功，2可以上坐骑，4坐骑可以飞，8经验衰减，16官员buff不生效，32是否可上交通坐骑,64是否根据固定的阵营关系计算PK关系，128灵兽是否出战，256是否允许队伍操作，512地图是否禁止祝福，1024是可用双人交互动作,2048原地复活是否可以加无敌）(只要可用轻功、坐骑可飞行、可上交通坐骑，服务器就不会做位置检测，可开加速)"	副本复活次数（现在只对服务器观灵阁有效）	三星成就（针对于服务器观灵阁生效）	进入地图触发事件（针对单人）	跳转地图读条时间	是否禁止PK（0不禁，1禁止）	阵营平衡阈值	阵营平衡人数差值	"副本进入方式（0个人队伍均可，这种不检测人数，不够就补其他的人或者机器人；1组队才能,组队才能匹配的需要检测人数，只有人数够了之后才能匹配；2个人匹配，只能个人匹配，组队点击的时候只会个人加入匹配队列）"	多少人开始分线，0代表不分线（仅公共地图可用）	异常回跳点	地图战利品等级	副本是否评分（0否，1是）	这个地图结束刷出的篝火NPC(个体ID)	地图最低战力	提升战力buffID	玩家这个副本的助战礼包的奖励id	副本正常跳出点（trans_pointID)	天地异变1天气	天地异变2天气	天地异变3天气	天地异变4天气	天地异变5天气	天地异变6天气	天地异变7天气	天地异变8天气	天地异变9天气	天地异变10天气
3930	1	[师徒]幻境试炼	10028	0	daqingshan.txt	14	1	10000	10000	20	1	1	1	90005100	0	0	0	0	0	393001	1800	30	0	0	393001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	1002	0	0	0	0	0	0	0	0	0	0
3931	1	[师徒]幻境试炼	10028	0	daqingshan.txt	14	1	10000	10000	20	1	1	1	90005101	0	0	0	0	0	393101	1800	30	0	0	393101	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	140000	393001	0	1002	0	0	0	0	0	0	0	0	0	0
3932	1	[师徒]幻境试炼	10028	0	daqingshan.txt	14	1	10000	10000	20	1	1	1	90005102	0	0	0	0	0	393201	1800	30	0	0	393201	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	270000	393002	0	1002	0	0	0	0	0	0	0	0	0	0
3933	1	[师徒]幻境试炼	10028	0	daqingshan.txt	14	1	10000	10000	20	1	1	1	90005103	0	0	0	0	0	393301	1800	30	0	0	393301	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	600000	393003	0	1002	0	0	0	0	0	0	0	0	0	0
3934	1	[师徒]幻境试炼	10028	0	daqingshan.txt	14	1	10000	10000	20	1	1	1	90005104	0	0	0	0	0	393401	1800	30	0	0	393401	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	1100000	393004	0	1002	0	0	0	0	0	0	0	0	0	0
3935	1	[师徒]幻境试炼	10028	0	daqingshan.txt	14	1	10000	10000	20	1	1	1	90005105	0	0	0	0	0	393501	1800	30	0	0	393501	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	1800000	393005	0	1002	0	0	0	0	0	0	0	0	0	0
3936	1	[师徒]幻境试炼	10028	0	daqingshan.txt	14	1	10000	10000	20	1	1	1	90005106	0	0	0	0	0	393601	1800	30	0	0	393601	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	3300000	393006	0	1002	0	0	0	0	0	0	0	0	0	0
3937	1	[师徒]幻境试炼	10028	0	daqingshan.txt	14	1	10000	10000	20	1	1	1	90005107	0	0	0	0	0	393701	1800	30	0	0	393701	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	5521600	393007	0	1002	0	0	0	0	0	0	0	0	0	0
3938	1	[师徒]幻境试炼	10028	0	daqingshan.txt	14	1	10000	10000	20	1	1	1	90005108	0	0	0	0	0	393801	1800	30	0	0	393801	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	5521600	393007	0	1002	0	0	0	0	0	0	0	0	0	0
3939	1	[师徒]幻境试炼	10028	0	daqingshan.txt	14	1	10000	10000	20	1	1	1	90005108	0	0	0	0	0	393901	1800	30	0	0	393901	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	5521600	393007	0	1002	0	0	0	0	0	0	0	0	0	0
4100	1	[战场]士林宴	10001	0	moba.txt	6	2	10000	10000	10	5	1	1	90000100	30501	0	0	0	0	410001	600	10	0	0	410001	0	205	0	0	16	0	0	70000201	5000	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4101	1	[战场]士林宴	10001	0	moba.txt	6	2	10000	10000	10	5	1	1	90000090	0	0	0	0	0	410101	600	10	0	0	410101	0	205	0	0	16	0	0	70000201	5000	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4102	1	[战场]守望先锋	10014	0	f_shouwangxianfeng.txt	19	2	10000	10000	10	5	1	1	90000090	0	0	0	0	0	410201	600	10	0	0	410201	0	205	0	0	16	0	0	70000201	5000	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4103	1	[战场]兽灵大典	10015	0	xinmoba.txt	22	2	10000	10000	10	5	1	1	90000090	0	0	0	0	0	410301	600	10	0	0	410301	0	205	0	0	16	0	0	70000201	5000	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4104	1	[战场]生死斗	10020	0	f_shouwangxianfeng.txt	19	2	10000	10000	10	5	1	1	90000090	0	0	0	0	0	410401	600	10	0	0	410401	0	205	0	0	16	0	0	70000201	5000	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4200	1	[战场]血凝城	10002	0	boss.txt	1	2	10000	10000	10	8	1	1	90000101	0	0	0	0	0	420101	1800	5	0	0	420101	0	202	0	0	16	0	0	70000301	5000	0	1000	100	2	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4201	1	[战场]血凝城	10002	0	boss.txt	1	2	10000	10000	10	8	1	1	90000091	30202	0	0	0	0	420101	1800	5	0	0	420101	0	202	0	0	16	0	0	70000301	5000	0	1000	100	2	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4203	1	[战场]血凝城	10016	0	f_shijieboss.txt	28	2	10000	10000	3	2	1	1	90000102	30202	0	0	0	0	420301	1800	5	0	0	420301	0	202	0	0	16	0	0	70000301	5000	0	1000	100	2	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4301	1	[擂台]绝尘阁	10010	0	xichenlou.txt	13	2	10000	10000	2	2	1	1	90000103	0	0	0	0	1000201	430301	85	30	0	0	430101	0	0	0	0	144	0	0	0	5000	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4302	1	[擂台]离线竞技场	10024	0	xichenlou.txt	13	2	10000	10000	2	2	1	1	0	0	0	0	0	0	1001	60	20	0	0	430201	0	0	0	0	144	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4303	1	[擂台]准备场	10026	0	xichenlou.txt	13	3	10000	10000	400	1	1	1	0	0	0	0	0	1000201	430301	3600	15	0	0	430301	0	0	0	0	338	0	0	0	5000	1	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4304	1	[仙侣]准备场	10030	0	xichenlou.txt	13	3	10000	10000	400	1	1	1	0	0	0	0	0	4009401	430401	3600	15	0	0	430401	0	0	0	0	338	0	0	0	5000	1	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4305	1	[仙侣]竞技场	10031	0	xichenlou.txt	13	2	10000	10000	2	2	1	1	0	0	0	0	0	4009401	430401	85	30	0	0	430501	0	0	0	0	144	0	0	0	5000	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4401	1	[争夺]盟主战	10017	0	f_mengzhuzhengduo.txt	34	2	10000	10000	100	1	1	1	0	0	0	0	0	0	440101	1800	15	0	0	440101	0	0	0	0	16	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4402	1	攻城战场	10022	0	gongchengzhan.txt	37	3	10000	10000	400	1	1	1	30004501	0	0	0	0	0	440201	900	15	0	0	440201	0	0	0	0	274	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4501	1	神魔古墓	10023	0	f_shenmogumu.txt	38	3	10000	10000	400	1	1	1	30005002	0	0	0	0	0	450101	1800	30	0	0	450101	0	0	0	0	272	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4502	1	吃鸡准备场	5001	0	f_qifubaodao.txt	41	3	10000	10000	400	1	1	1	20450201	0	0	0	0	1006601	450201	1800	30	0	0	450201	0	0	0	0	272	0	0	64503003	0	1	1000	100	0	0	1001	0	0	0	0	0	0	1002	0	0	0	0	0	0	0	0	0	0
4503	1	吃鸡副本	10029	0	bianjing.txt	33	3	10000	10000	20	1	1	1	20450301	30801	0	0	0	1006601	450301	900	30	0	0	450301	0	0	1110	999999999	272	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	1002	0	0	0	0	0	0	0	0	0	0
4504	1	跨服单人吃鸡准备场	10032	0	f_qifubaodao.txt	41	3	10000	10000	400	1	1	1	0	0	0	0	0	0	450401	1800	30	0	0	450401	0	0	0	0	272	0	0	64503003	0	1	1000	100	0	0	1001	0	0	0	0	0	0	1002	0	0	0	0	0	0	0	0	0	0
4505	1	跨服单人吃鸡副本	10033	0	bianjing.txt	33	3	10000	10000	100	1	1	1	0	0	0	0	0	0	450501	900	30	0	0	450501	0	0	1110	999999999	272	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	1002	0	0	0	0	0	0	0	0	0	0
4506	1	跨服情侣吃鸡准备场	10034	0	f_qifubaodao.txt	41	3	10000	10000	400	1	1	1	0	0	0	0	0	0	450601	1800	30	0	0	450601	0	0	0	0	272	0	0	64503003	0	1	1000	100	0	0	1001	0	0	0	0	0	0	1002	0	0	0	0	0	0	0	0	0	0
4507	1	跨服情侣吃鸡副本	10035	0	bianjing.txt	33	3	10000	10000	100	1	1	1	0	0	0	0	0	0	450701	900	30	0	0	450701	0	0	1110	999999999	272	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	1002	0	0	0	0	0	0	0	0	0	0
5011	1	魔域	2	0	daqingshan.txt	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	1	0	0	0	5	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6001	1	酒楼风波	2	0	shendu6.txt	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6002	1	大闹士林宴	2	0	f_zhucheng.txt	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	110005	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6003	1	神国七律	2	0	weiyanggong.txt	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6005	1	天海袭来	2	0	f_dixiacheng.txt	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	110008	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6007	1	过神道	2	0	ligong2.txt	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	110008	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6008	1	青云榜	2	0	tonggongmizhen.txt	1000	1	10000	10000	5	1	1	1	0	0	0	0	0	0	1001	300	30	110011	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6009	1	金丹失败	2	0	heilongtan.txt	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	110011	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6010	1	第一战	2	0	f_cangshuge.txt	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6011	1	笨拙向前	2	0	f_xuedi.txt	1000	1	10000	10000	5	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6012	1	百剑生	2	0	moba.txt	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6013	1	陨石的结界	2	0	f_dixiacheng.txt	24	1	10000	10000	5	1	1	1	0	0	0	0	0	0	601301	300	30	0	0	601301	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6014	1	迷幻森林	2	0	daqingshan.txt	1000	3	10000	10000	5	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6015	1	血族夺宝	2	0	ligong2.txt	1000	1	10000	10000	5	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6016	1	保镖来袭	2	0	ligong2.txt	1000	1	10000	10000	5	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6017	1	西宫	2	0	weiyanggong.txt	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6018	1	陨石的结界	2	0	f_dixiacheng.txt	1000	1	10000	10000	5	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6019	1	陨石的结界	2	0	f_dixiacheng.txt	1000	1	10000	10000	5	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6020	1	巾帼奇女子	2	0	xinligong	5	1	10000	10000	5	1	1	1	0	0	0	0	0	0	602001	300	30	0	0	602001	0	0	0	0	129	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6021	1	金龙	2	0	f_yunshi	1000	1	10000	10000	5	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	129	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6022	1	桃源秘境	2	0	f_taoyuan	1000	1	10000	10000	5	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	129	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6101	1	王林发病	2	0	daqingshan.txt	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	110002	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6102	1	下山考验	2	0	daqingshan.txt	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	110003	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6103	1	国子监打架	2	0	f_shujichu	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	110004	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6104	1	巫马锦川	2	0	ligong	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6105	1	虎虎生风	2	0	daqingshan.txt	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	110008	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6106	1	禁宫迷阵	2	0	daqingshan.txt	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	110005	0	1001	0	0	0	0	128	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6107	1	星月阁夜晚	2	0	guojiaocancan.txt	1000	1	10000	10000	1	1	1	1	0	0	0	0	0	0	1001	300	30	0	0	1001	0	0	0	0	135	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7001	1	教院驻地	10005	0	guojiaoxueyuan1.txt	2	1	10000	10000	5	1	10	1	10500011	0	0	0	0	0	700101	300	30	0	0	700101	0	0	0	0	1282	0	0	0	5000	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7002	1	[教院]流氓袭扰	2	0	f_zhucheng.txt	1000	1	10000	10000	1	1	10	1	10500011	0	0	0	0	0	7002	300	30	0	0	1001	0	0	0	0	384	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7003	1	[教院]切磋	2	0	f_zhucheng.txt	1000	1	10000	10000	1	1	10	1	10500011	0	0	0	0	0	7003	300	30	0	0	1001	0	0	0	0	384	0	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7010	1	[教院]宝库	10008	0	xueyuanbaoku.txt	17	1	10000	10000	80	1	40	1	10500012	0	0	0	0	0	701001	3600	10	0	0	701001	0	0	0	0	258	0	0	70100016	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7100	1	[筑基]剑池	10006	52301	zhouyuan.txt	8	3	10000	10000	5	3	1	1	90003011	0	0	0	0	0	710001	300	30	0	0	1001	0	0	0	0	2370	0	0	0	5000	0	100	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7101	1	[金丹]剑池	10006	52302	zhouyuan.txt	8	3	10000	10000	5	3	1	1	90003012	0	0	0	0	0	710101	300	30	0	0	1001	0	0	0	0	2370	0	0	0	5000	0	100	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7102	1	[元婴]剑池	10006	52303	zhouyuan.txt	8	3	10000	10000	5	3	1	1	90003013	0	0	0	0	0	710201	300	30	0	0	1001	0	0	0	0	2370	0	0	0	5000	0	100	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7103	1	[化神]剑池	10006	52304	zhouyuan.txt	8	3	10000	10000	5	3	1	1	90003014	0	0	0	0	0	710301	300	30	0	0	1001	0	0	0	0	2370	0	0	0	5000	0	100	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7104	1	[合体]剑池	10006	52305	zhouyuan.txt	8	3	10000	10000	5	3	1	1	90003015	0	0	0	0	0	710401	300	30	0	0	1001	0	0	0	0	2370	0	0	0	5000	0	100	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7105	1	[大乘]剑池	10006	52306	zhouyuan.txt	8	3	10000	10000	5	3	1	1	90003016	0	0	0	0	0	710501	300	30	0	0	1001	0	0	0	0	2370	0	0	0	5000	0	100	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7106	1	[渡劫]剑池	10006	52307	zhouyuan.txt	8	3	10000	10000	5	3	1	1	90003017	0	0	0	0	0	710601	300	30	0	0	1001	0	0	0	0	2370	0	0	0	5000	0	100	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7107	1	[渡劫]剑池	10006	52307	zhouyuan.txt	8	3	10000	10000	5	3	1	1	90003054	0	0	0	0	0	710701	300	30	0	0	1001	0	0	0	0	2370	0	0	0	5000	0	100	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7108	1	[渡劫]剑池	10006	52307	zhouyuan.txt	8	3	10000	10000	5	3	1	1	90003055	0	0	0	0	0	710801	300	30	0	0	1001	0	0	0	0	2370	0	0	0	5000	0	100	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7110	1	[筑基]剑池	10013	0	f_jueshou.txt	29	3	10000	10000	5	3	1	1	30000401	0	0	0	0	0	711001	300	30	0	0	1001	0	0	0	0	2370	0	0	60030021	5000	0	100	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7111	1	[金丹]剑池	10013	0	f_jueshou.txt	29	3	10000	10000	5	3	1	1	30000402	0	0	0	0	0	711101	300	30	0	0	1001	0	0	0	0	2370	0	0	60030021	5000	0	100	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7112	1	[元婴]剑池	10013	0	f_jueshou.txt	29	3	10000	10000	5	3	1	1	30000403	0	0	0	0	0	711201	300	30	0	0	1001	0	0	0	0	2370	0	0	60030021	5000	0	100	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7113	1	[化神]剑池	10013	0	f_jueshou.txt	29	3	10000	10000	5	3	1	1	30000404	0	0	0	0	0	711301	300	30	0	0	1001	0	0	0	0	2370	0	0	60030021	5000	0	100	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7114	1	[合体]剑池	10013	0	f_jueshou.txt	29	3	10000	10000	5	3	1	1	30000405	0	0	0	0	0	711401	300	30	0	0	1001	0	0	0	0	2370	0	0	60030021	5000	0	100	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7115	1	[大乘]剑池	10013	0	f_jueshou.txt	29	3	10000	10000	5	3	1	1	30000406	0	0	0	0	0	711501	300	30	0	0	1001	0	0	0	0	2370	0	0	60030021	5000	0	100	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7116	1	[渡劫]剑池	10013	0	f_jueshou.txt	29	3	10000	10000	5	3	1	1	30000407	0	0	0	0	0	711601	300	30	0	0	1001	0	0	0	0	2370	0	0	60030021	5000	0	100	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7200	1	[新手]剑池	10006	0	zhouyuan.txt	8	3	10000	10000	5	3	1	1	90003018	0	0	0	0	0	720001	300	30	0	0	1001	0	0	0	0	2410	0	0	0	5000	0	100	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8001	1	赤日碑-第1关	2	0	daqingshan.txt	1000	1	10000	10000	1	1	1	1	0	30101	0	0	31101	0	1001	600	30	0	0	1001	0	1	0	0	144	5	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8002	1	赤日碑-第2关	2	0	daqingshan.txt	1000	1	10000	10000	1	1	1	1	0	30101	0	0	31101	0	1001	600	30	0	0	1001	1	2	0	0	144	5	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8003	1	赤日碑-第3关	2	0	daqingshan.txt	1000	1	10000	10000	1	1	1	1	0	30101	0	0	31101	0	1001	600	30	0	0	1001	2	3	0	0	144	5	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8004	1	赤日碑-第4关	2	0	daqingshan.txt	1000	1	10000	10000	1	1	1	1	0	30101	0	0	31101	0	1001	600	30	0	0	1001	3	4	0	0	144	5	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8005	1	赤日碑-第5关	2	0	daqingshan.txt	1000	1	10000	10000	1	1	1	1	0	30101	0	0	31101	0	1001	600	30	0	0	1001	4	5	0	0	144	5	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8006	1	赤日碑-第6关	2	0	daqingshan.txt	1000	1	10000	10000	1	1	1	1	0	30101	0	0	31101	0	1001	600	30	0	0	1001	5	6	0	0	144	5	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8007	1	赤日碑-第7关	2	0	daqingshan.txt	1000	1	10000	10000	1	1	1	1	0	30101	0	0	31101	0	1001	600	30	0	0	1001	6	7	0	0	144	5	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8008	1	赤日碑-第8关	2	0	daqingshan.txt	1000	1	10000	10000	1	1	1	1	0	30101	0	0	31101	0	1001	600	30	0	0	1001	7	8	0	0	144	5	0	0	0	0	1000	100	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
