效果备注，仅供策划管理查阅	效果id（1000~1999伤害类效果；2000~2999控制类效果；3000~3999属性影响类效果；4000~4999免疫效果；5000~5999各种盾效果；6000~6999变身效果；7000~7999驱散效果；9000~9999其他效果；100000~399999职业天赋效果；10000000~99999999职业魔纹效果；）	有效标志位	属性类型：(看属性枚举那一页)	效果枚举(看效果枚举那一页)	攻击属性枚举（与最终伤害计算的防御相关1、物理伤害|2、法术伤害|3、神圣伤害|11、属性1伤害|12、属性2伤害|13、属性3伤害|14、属性4伤害|15、属性5伤害）	关联对象：（1、施法方|2、目标|3、技能ID|4、技能类型|5、当前伤害|6、自己与对方属性差|7、对方与自己属性差|若为光环效果此处填写光环触发的技能ID|8、关联施法方阵法属性（只有在伙伴未出战，且施法者为主角才能生效）	当前or基础（0为关联当前属性，1为关联基础属性(无BUFF下人物属性)）	关联属性（计算效果时关联的属性枚举|光环时为触发技能等级）	效果参数1（当属性类型为10，表示盾破时释放的技能id|效果为牵引的时候，标识牵引随机落点半径|击退代表击退距离）	效果参数2（驱散类时代表2级分类|伤害吸收盾时代表技能等级,反弹是代表固定值）	效果目标：（1、施法方|2、目标|3、技能ID|4、技能类型|5、当前伤害|6、自己与对方属性差|7、对方与自己属性差）	效果有效目标(字段无效，现在是在skill.lua里的弹道里配置的，0、所有目标|1、玩家|2、宠物|4、NPC|8、幻象)	是否关联聚气（0、无关联|1、关联聚气|2、关联距离，无效字段	是否移动触发（1、移动触发|0、非移动触发，无效字段）
特殊：给寒冰-陷阱加无敌和光环	9034	1	0	13	0	0	0	0	32006	0	2	0	0	0
特殊：寒冰-陷阱光环	9035	1	0	13	0	0	0	0	32007	0	2	0	0	0
特殊：天书陵-攻击光环	9036	1	0	13	0	0	0	0	32008	0	2	0	0	0
特殊：天书陵-防御光环	9037	1	0	13	0	0	0	0	32009	0	2	0	0	0
特殊：天书陵-闪避光环	9038	1	0	13	0	0	0	0	32010	0	2	0	0	0
特殊：天书陵-回复光环	9039	1	0	13	0	0	0	0	32011	0	2	0	0	0
特殊：天书陵-减速光环	9040	1	0	13	0	0	0	0	32012	0	2	0	0	0
特殊：天书陵-加速光环	9041	1	0	13	0	0	0	0	32013	0	2	0	0	0
特殊：天书陵-沉默光环	9042	1	0	13	0	0	0	0	32014	0	2	0	0	0
特殊：天书陵-反弹光环	9043	1	0	13	0	0	0	0	32015	0	2	0	0	0
特殊：天书陵-死火触发火焰	9044	1	0	13	0	0	0	0	32016	0	2	0	0	0
特殊：天书陵-旋风斩光环	9045	1	0	13	0	0	0	0	32017	0	2	0	0	0
特殊：天书陵-减速图腾光环	9046	1	0	13	0	0	0	0	32018	0	2	0	0	0
群体物理提升光环	9047	1	0	13	0	0	0	0	23301	0	2	0	0	0
群体法攻提升光环	9048	1	0	13	0	0	0	0	23302	0	2	0	0	0
群体生命提升光环	9049	1	0	13	0	0	0	0	23303	0	2	0	0	0
自身吸血	9050	1	0	43	0	1	1	0	0	0	2	0	0	0
伤害反弹	9051	1	0	44	0	1	1	0	0	0	2	0	0	0
伙伴获得嘲讽被击法球效果	9052	1	0	48	0	0	0	0	40000005	1	0	0	0	0
伙伴单攻攻击法球	9053	1	0	48	0	0	0	0	40000006	1	0	0	0	0
伙伴命中降低被击法球	9054	1	0	48	0	0	0	0	40000007	1	0	0	0	0
伙伴吸血攻击法球	9055	1	0	48	0	0	0	0	40000008	1	0	0	0	0
伙伴暴攻攻击法球	9056	1	0	48	0	0	0	0	40000009	1	0	0	0	0
伙伴小法群攻攻击法球	9057	1	0	48	0	0	0	0	40000010	1	0	0	0	0
伙伴火球攻击法球	9058	1	0	48	0	0	0	0	40000011	1	0	0	0	0
伙伴治疗被击法球	9059	1	0	48	0	0	0	0	40000012	1	0	0	0	0
特殊：木图腾-解毒	9060	1	0	13	0	0	0	0	32019	0	2	0	0	0
特殊：火图腾-解冰	9061	1	0	13	0	0	0	0	32020	0	2	0	0	0
特殊：金图腾-解降攻	9062	1	0	13	0	0	0	0	32021	0	2	0	0	0
特殊：土图腾-解降防	9063	1	0	13	0	0	0	0	32022	0	2	0	0	0
特殊：周陵-攻击光环	9064	1	0	13	0	0	0	0	32023	0	2	0	0	0
特殊：天书陵-无敌光环	9065	1	0	13	0	0	0	0	32024	0	2	0	0	0
特殊：升龙击飞技能-符文1	9066	1	0	13	0	0	0	0	101201	0	2	0	0	0
特殊：升龙击飞技能-符文2	9067	1	0	13	0	0	0	0	101301	0	2	0	0	0
特殊：魔族盾兵防御光环	9068	1	0	13	0	0	0	0	21104	0	2	0	0	0
特殊：真灵水减速光环	9069	1	0	13	0	0	0	0	21095	0	2	0	0	0
特殊：怪物攻击光环	9070	1	0	13	0	0	0	0	21096	0	2	0	0	0
特殊：七间恢复光环	9071	1	0	13	0	0	0	0	21101	0	2	0	0	0
特殊：魔息燃烧	9072	1	0	13	0	0	0	0	220451	0	2	0	0	0
特殊：释放技能闪电跳跃	9073	1	0	13	0	0	0	0	21155	0	2	0	0	0
特殊：玉如意伤害减速法球-橙色	9074	1	0	48	0	0	0	0	45002022	1	0	0	0	0
特殊：天书陵-死火触发火焰-百分比掉血	9075	1	0	13	0	0	0	0	25074	0	2	0	0	0
特殊：战役-嗜血光环	9076	1	0	13	0	0	0	0	32025	0	2	0	0	0
特殊：周陵1南客魂木光环	9077	1	0	13	0	0	0	0	21231	0	2	0	0	0
特殊：玄冰刃-宝库陷阱	9078	1	0	13	0	0	0	0	32026	0	2	0	0	0
特殊：黑暗爆裂-宝库陷阱	9079	1	0	13	0	0	0	0	32027	0	2	0	0	0
特殊：守护法阵-宝库陷阱	9080	1	0	13	0	0	0	0	32028	0	2	0	0	0
特殊：经验宝宝	9081	1	0	51	0	2	0	0	0	0	2	0	0	0
特殊：变身光环物理	9082	1	0	13	0	0	0	0	21239	0	2	0	0	0
特殊：变身光环真元	9083	1	0	13	0	0	0	0	21240	0	2	0	0	0
特殊：岩浆光环	9084	1	0	13	0	0	0	0	21254	0	2	0	0	0
特殊：侧面喷火光环	9085	1	0	13	0	0	0	0	21255	0	2	0	0	0
特殊：妖族神珠光环	9086	1	0	13	0	0	0	0	21017	0	2	0	0	0
特殊：篝火经验BUFF-九层妖塔	9087	1	0	13	0	0	0	0	21258	0	2	0	0	0
特殊：篝火经验BUFF-归墟	9088	1	0	13	0	0	0	0	21260	0	2	0	0	0
特殊：篝火经验BUFF-秘境	9089	1	0	13	0	0	0	0	21261	0	2	0	0	0
特殊：升龙击飞技能-符文3	9090	1	0	13	0	0	0	0	101401	0	2	0	0	0
特殊：释放技能旋风斩符文3	9091	1	0	13	0	0	0	0	303401	0	2	0	0	0
特殊：伤害减免光环	9092	1	0	13	0	0	0	0	21269	0	2	0	0	0
特殊：九层妖塔-死火触发火焰	9093	1	0	13	0	0	0	0	21273	0	2	0	0	0
特殊：九层妖塔-毒素	9094	1	0	13	0	0	0	0	21277	0	2	0	0	0
特殊：灵宠：击退5米	9095	1	0	14	0	1	1	0	50	10000	2	0	0	0
特殊：九层妖塔-旋风斩光环	9096	1	0	13	0	0	0	0	21304	0	2	0	0	0
特殊：缴械-武器	9097	1	0	52	0	0	0	0	0	0	2	0	0	0
特殊：缴械-衣服	9098	1	0	52	0	0	0	0	1	0	2	0	0	0
特殊：缴械-腰带	9099	1	0	52	0	0	0	0	2	0	2	0	0	0
特殊：缴械-裤子	9100	1	0	52	0	0	0	0	3	0	2	0	0	0
特殊：缴械-手套	9101	1	0	52	0	0	0	0	4	0	2	0	0	0
特殊：缴械-戒指	9102	1	0	52	0	0	0	0	5	0	2	0	0	0
特殊：缴械-项链	9103	1	0	52	0	0	0	0	6	0	2	0	0	0
特殊：缴械-护肩	9104	1	0	52	0	0	0	0	7	0	2	0	0	0
特殊：缴械-头盔	9105	1	0	52	0	0	0	0	8	0	2	0	0	0
特殊：缴械-鞋子	9106	1	0	52	0	0	0	0	9	0	2	0	0	0
特殊：篝火经验BUFF-神魔古墓	9107	1	0	13	0	0	0	0	32029	0	2	0	0	0
特殊：灵兽普攻触发嘲讽	9108	1	0	13	0	0	0	0	23025	0	2	0	0	0
特殊：篝火经验BUFF-结婚副本	9109	1	0	13	0	0	0	0	21342	0	2	0	0	0
特殊：篝火经验BUFF-结婚副本	9110	1	0	13	0	0	0	0	21352	0	2	0	0	0
特殊：攻城战守卫NPC光环	9111	1	0	13	0	0	0	0	32030	0	2	0	0	0
特殊：地宫魔像-旋风斩	9112	1	0	13	0	0	0	0	21358	0	2	0	0	0
