装备ID(2位部位，2位职业，3位区分，1位颜色，1位流水)	有效标志位客户端无用	名称	部位(0武器，1衣服，2腰带，3裤子，4手套，5项链，6戒指，7护肩，8头盔，9鞋子,10翅膀，11VIP装备)	颜色(0白，1绿，2蓝，3紫，4金,5红,6暗金)	门派职业限制(0通用职业，11昆仑，21琉璃，31乾坤，41凤鸣)	等级下限	等级上限	境界下限	境界上限	表现类型	性别限制(0不限，1男，2女)	有效期限(填-1为无限期，单位秒)	允许续费(0到期删除，1到期不删除)	时间限制ID	允许超时(0不允许，1允许)	地点限制ID	允许离开(0不允许，1允许)	变身模板限制ID	绑定方式(0不绑定，1拾取绑，2使用绑)	出售设置(0随意出售，1提示出售，2不可出售)	出售货币	金币价格	鉴定规则ID	精炼规则ID	精炼上限	注魂规则ID	强化规则ID(1位颜色，1位类型，2位部位<0武器，1衣服，2腰带，3裤子，4手套，5项链，6戒指，7徽章，8头盔，9鞋子>，1位流水)	基础属性池ID	蓝色属性条数上限	附加属性池ID1	精炼属性池ID	魂装属性池ID	套装ID	模型路径(路径要用/，用\时，\n**会被识别为换行)	模型类别(0轻剑；1重剑；2弓；3飞剑)	模型缩放(浮点数)	男图标前景ID（后面要把名字改为FontImageID_male）	男图标背景ID（后面要把名字改成BackImageID_male）	装备特效规则ID(2部位+2为职业+3位等级，只有武器和衣服)	装备描述	武器攻击间隔	是否广播	掉落特效	来源对象ID	掉落飞入特效	拍卖分类	拍卖价格	装备法球属性池ID	掉落上品彰显状态限制1（走状态限制表，即满足状态限制之后才会在掉落的时候彰显出来，装备默认的上品紫光，极品橙光）	掉落极品彰显状态限制2（走状态限制表，即满足状态限制之后才会在掉落的时候彰显出来，装备默认的上品紫光，极品橙光）	宝石装备位域（1圆、2方、4正）	神器标识	神器特殊战力	神技BUFFID	神技BUFF几率（绝对几率，万分比，不足一万以一万为分母，单件装备为分子，超过一万以总值为分母，每次触发时去掉已CD的）	BUFF的CD（秒）	BUFF持续时间（毫秒）	神器单件激活所需部位	神器激活属性ID	女图标前景ID	女图标背景ID 
61102180	1	神·泣冰	6	8	11	5171	7200	0	999	611	0	-1	0	0	0	0	0	0	1	0	203	13000	83	11186	10	61102180	10060	10611810	3	30611810	20611810	100611820	3	0	0	1	item00_119	11_0_6h	0	泠露泣冰，凛风入魅。	1000	212987	1000028	61102180	1000004	0	0	0	60680000	60680001	7	1	112243	2007	800	5	3000	7	100611830	item00_119	11_0_6h
71102180	1	神·梦溪护肩	7	8	11	5165	7200	0	999	711	0	-1	0	0	0	0	0	0	1	0	5	40000	82	11187	10	71102180	10070	10711810	3	30711810	20711810	100711820	2	0	0	1	item00_119	11_0_7h	0	恍然梦中所游，碧溪潺潺。	1000	147451	1000061	71102180	1000004	0	0	0	60780000	60780001	7	1	57818	2008	800	5	3000	8	100711830	item00_119	11_0_7h
81102180	1	神·梦溪帽	8	8	11	5164	7200	0	999	811	0	-1	0	0	0	0	0	0	1	0	5	40000	82	11188	10	81102180	10080	10811810	3	30811810	20811810	100811820	2	0	0	1	item00_119	11_0_8h	0	恍然梦中所游，碧溪潺潺。	1000	147451	1000060	81102180	1000004	0	0	0	60880000	60880001	7	1	112243	2009	800	5	3000	9	100811830	item00_119	11_0_8h
91102180	1	神·梦溪靴	9	8	11	5179	7200	0	999	911	0	-1	0	0	0	0	0	0	1	0	5	40000	82	11189	10	91102180	10090	10911810	3	30911810	20911810	100911820	2	0	0	1	item00_119	11_0_9h	0	恍然梦中所游，碧溪潺潺。	1000	147451	1000054	91102180	1000004	0	0	0	60980000	60980001	7	1	112243	2010	800	5	3000	0	100911830	item00_119	11_0_9h
1102190	1	神·狱冰	0	9	11	6180	7200	0	999	11	0	-1	0	0	0	0	0	0	1	0	5	56000	91	11190	10	1102190	10000	10011910	3	30011910	20011910	100011920	1	0	0	1	item00_119	11_0_0h	0	鸿蒙始寒，天地狱冰。	1000	155643	1000024	1102190	1000004	0	0	0	60090000	60090001	7	1	508149	2001	800	5	3000	1	100011930	item00_119	11_0_0h
11102190	1	神·天阙衣	1	9	11	6186	7200	0	999	111	0	-1	0	0	0	0	0	0	1	0	5	56000	91	11191	10	11102190	10010	10111910	3	30111910	20111910	100111920	1	0	0	1	item00_119	11_0_1h	0	天阙游云万年梦，破空倒挂离恨天。	1000	155643	1000032	11102190	1000004	0	0	0	60190000	60190001	7	1	306108	2002	800	5	3000	2	100111930	item00_119	11_0_1h
21102190	1	神·天阙带	2	9	11	6196	7200	0	999	211	0	-1	0	0	0	0	0	0	1	0	5	56000	91	11192	10	21102190	10020	10211910	3	30211910	20211910	100211920	1	0	0	1	item00_119	11_0_2h	0	天阙游云万年梦，破空倒挂离恨天。	1000	155643	1000033	21102190	1000004	0	0	0	60290000	60290001	7	1	208157	2003	800	5	3000	3	100211930	item00_119	11_0_2h
31102190	1	神·天阙	3	9	11	6193	7200	0	999	311	0	-1	0	0	0	0	0	0	1	0	5	56000	91	11193	10	31102190	10030	10311910	3	30311910	20311910	100311920	1	0	0	1	item00_119	11_0_3h	0	天阙游云万年梦，破空倒挂离恨天。	1000	155643	1000029	31102190	1000004	0	0	0	60390000	60390001	7	1	306108	2004	800	5	3000	4	100311930	item00_119	11_0_3h
41102190	1	神·天阙护腕	4	9	11	6195	7200	0	999	411	0	-1	0	0	0	0	0	0	1	0	5	48000	92	11194	10	41102190	10040	10411910	3	30411910	20411910	100411920	2	0	0	1	item00_119	11_0_4h	0	天阙游云万年梦，破空倒挂离恨天。	1000	147451	1000030	41102190	1000004	0	0	0	60490000	60490001	7	1	208157	2005	800	5	3000	5	100411930	item00_119	11_0_4h
51102190	1	神·冰歌	5	9	11	6180	7200	0	999	511	0	-1	0	0	0	0	0	0	1	0	203	16000	93	11195	10	51102190	10050	10511910	3	30511910	20511910	100511920	3	0	0	1	item00_119	11_0_5h	0	雪霁初晴，冰歌绕城。	1000	212987	1000031	51102190	1000004	0	0	0	60590000	60590001	7	1	202037	2006	800	5	3000	6	100511930	item00_119	11_0_5h
61102190	1	神·雪霁	6	9	11	6191	7200	0	999	611	0	-1	0	0	0	0	0	0	1	0	203	16000	93	11196	10	61102190	10060	10611910	3	30611910	20611910	100611920	3	0	0	1	item00_119	11_0_6h	0	雪霁初晴，冰歌绕城。	1000	212987	1000028	61102190	1000004	0	0	0	60690000	60690001	7	1	202037	2007	800	5	3000	7	100611930	item00_119	11_0_6h
71102190	1	神·天阙护肩	7	9	11	6185	7200	0	999	711	0	-1	0	0	0	0	0	0	1	0	5	48000	92	11197	10	71102190	10070	10711910	3	30711910	20711910	100711920	2	0	0	1	item00_119	11_0_7h	0	天阙游云万年梦，破空倒挂离恨天。	1000	147451	1000061	71102190	1000004	0	0	0	60790000	60790001	7	1	104072	2008	800	5	3000	8	100711930	item00_119	11_0_7h
81102190	1	神·天阙盔	8	9	11	6184	7200	0	999	811	0	-1	0	0	0	0	0	0	1	0	5	48000	92	11198	10	81102190	10080	10811910	3	30811910	20811910	100811920	2	0	0	1	item00_119	11_0_8h	0	天阙游云万年梦，破空倒挂离恨天。	1000	147451	1000060	81102190	1000004	0	0	0	60890000	60890001	7	1	202037	2009	800	5	3000	9	100811930	item00_119	11_0_8h
91102190	1	神·天阙靴	9	9	11	6199	7200	0	999	911	0	-1	0	0	0	0	0	0	1	0	5	48000	92	11199	10	91102190	10090	10911910	3	30911910	20911910	100911920	2	0	0	1	item00_119	11_0_9h	0	天阙游云万年梦，破空倒挂离恨天。	1000	147451	1000054	91102190	1000004	0	0	0	60990000	60990001	7	1	202037	2010	800	5	3000	0	100911930	item00_119	11_0_9h
2100110	1	语迟	0	1	21	1	7200	0	999	21	0	-1	0	0	0	0	0	0	1	0	5	120	11	2110	0	0	10000	10021100	1	30021100	0	0	0	0	0	1	0	21_0_0	0	料峭春意风吹雨，姹紫嫣红花语迟。	1000	0	1000026	2100110	1000004	0	0	0	60010000	60010001	7	0	0	0	0	0	0	-1	0	0	21_0_0
12100110	1	花语裳	1	1	21	1	7200	0	999	121	0	-1	0	0	0	0	0	0	1	0	5	120	11	2111	0	0	10010	10121100	1	30121100	0	0	0	0	0	1	0	21_0_1	0	霓裳解语花，红唇谁在笑？日斜柳暗花嫣，醉卧春色少年。	1000	0	1000032	12100110	1000004	0	0	0	60110000	60110001	7	0	0	0	0	0	0	-1	0	0	21_0_1
22100110	1	花语带	2	1	21	1	7200	0	999	221	0	-1	0	0	0	0	0	0	1	0	5	120	11	2112	0	0	10020	10221100	1	30221100	0	0	0	0	0	1	0	21_0_2	0	霓裳解语花，红唇谁在笑？日斜柳暗花嫣，醉卧春色少年。	1000	0	1000033	22100110	1000004	0	0	0	60210000	60210001	7	0	0	0	0	0	0	-1	0	0	21_0_2
32100110	1	花语裙	3	1	21	1	7200	0	999	321	0	-1	0	0	0	0	0	0	1	0	5	120	11	2113	0	0	10030	10321100	1	30321100	0	0	0	0	0	1	0	21_0_3	0	霓裳解语花，红唇谁在笑？日斜柳暗花嫣，醉卧春色少年。	1000	0	1000029	32100110	1000004	0	0	0	60310000	60310001	7	0	0	0	0	0	0	-1	0	0	21_0_3
42100110	1	花语护腕	4	1	21	1	7200	0	999	421	0	-1	0	0	0	0	0	0	1	0	5	100	12	2114	0	0	10040	10421100	1	30421100	0	0	0	0	0	1	0	21_0_4	0	霓裳解语花，红唇谁在笑？日斜柳暗花嫣，醉卧春色少年。	1000	0	1000030	42100110	1000004	0	0	0	60410000	60410001	7	0	0	0	0	0	0	-1	0	0	21_0_4
52100110	1	月华	5	1	21	1	7200	0	999	521	0	-1	0	0	0	0	0	0	1	0	203	25	13	2115	0	0	10050	10521100	1	30521100	0	0	0	0	0	1	0	21_0_5	0	月华流照，昙花瑞现。	1000	0	1000031	52100110	1000004	0	0	0	60510000	60510001	7	0	0	0	0	0	0	-1	0	0	21_0_5
62100110	1	昙瑞	6	1	21	1	7200	0	999	621	0	-1	0	0	0	0	0	0	1	0	203	25	13	2116	0	0	10060	10621100	1	30621100	0	0	0	0	0	1	0	21_0_6	0	月华流照，昙花瑞现。	1000	0	1000028	62100110	1000004	0	0	0	60610000	60610001	7	0	0	0	0	0	0	-1	0	0	21_0_6
72100110	1	花语护肩	7	1	21	1	7200	0	999	721	0	-1	0	0	0	0	0	0	1	0	5	100	12	2117	0	0	10070	10721100	1	30721100	0	0	0	0	0	1	0	21_0_7	0	霓裳解语花，红唇谁在笑？日斜柳暗花嫣，醉卧春色少年。	1000	0	1000061	72100110	1000004	0	0	0	60710000	60710001	7	0	0	0	0	0	0	-1	0	0	21_0_7
82100110	1	花语冠	8	1	21	1	7200	0	999	821	0	-1	0	0	0	0	0	0	1	0	5	100	12	2118	0	0	10080	10821100	1	30821100	0	0	0	0	0	1	0	21_0_8	0	霓裳解语花，红唇谁在笑？日斜柳暗花嫣，醉卧春色少年。	1000	0	1000060	82100110	1000004	0	0	0	60810000	60810001	7	0	0	0	0	0	0	-1	0	0	21_0_8
92100110	1	花语履	9	1	21	1	7200	0	999	921	0	-1	0	0	0	0	0	0	1	0	5	100	12	2119	0	0	10090	10921100	1	30921100	0	0	0	0	0	1	0	21_0_9	0	霓裳解语花，红唇谁在笑？日斜柳暗花嫣，醉卧春色少年。	1000	0	1000054	92100110	1000004	0	0	0	60910000	60910001	7	0	0	0	0	0	0	-1	0	0	21_0_9
2100120	1	映莲	0	2	21	20	7200	0	999	21	0	-1	0	0	0	0	0	0	1	0	5	530	21	2120	0	2100120	10000	10021200	2	30021200	0	0	0	0	0	1	0	21_0_0	0	接天莲叶无穷碧，映日荷花别样红。	1000	147467	1000026	2100120	1000004	0	0	0	60020000	60020001	7	0	0	0	0	0	0	-1	0	0	21_0_0
12100120	1	红莲裳	1	2	21	30	7200	0	999	121	0	-1	0	0	0	0	0	0	1	0	5	530	21	2121	0	12100120	10010	10121200	2	30121200	0	0	0	0	0	1	0	21_0_1	0	莲渚愁红荡碧波，吴娃齐唱采莲歌。	1000	147467	1000032	12100120	1000004	0	0	0	60120000	60120001	7	0	0	0	0	0	0	-1	0	0	21_0_1
22100120	1	红莲带	2	2	21	50	7200	0	999	221	0	-1	0	0	0	0	0	0	1	0	5	530	21	2122	0	22100120	10020	10221200	2	30221200	0	0	0	0	0	1	0	21_0_2	0	莲渚愁红荡碧波，吴娃齐唱采莲歌。	1000	147467	1000033	22100120	1000004	0	0	0	60220000	60220001	7	0	0	0	0	0	0	-1	0	0	21_0_2
32100120	1	红莲裙	3	2	21	40	7200	0	999	321	0	-1	0	0	0	0	0	0	1	0	5	530	21	2123	0	32100120	10030	10321200	2	30321200	0	0	0	0	0	1	0	21_0_3	0	莲渚愁红荡碧波，吴娃齐唱采莲歌。	1000	147467	1000029	32100120	1000004	0	0	0	60320000	60320001	7	0	0	0	0	0	0	-1	0	0	21_0_3
42100120	1	红莲护腕	4	2	21	45	7200	0	999	421	0	-1	0	0	0	0	0	0	1	0	5	440	22	2124	0	42100120	10040	10421200	2	30421200	0	0	0	0	0	1	0	21_0_4	0	莲渚愁红荡碧波，吴娃齐唱采莲歌。	1000	139291	1000030	42100120	1000004	0	0	0	60420000	60420001	7	0	0	0	0	0	0	-1	0	0	21_0_4
52100120	1	青涟	5	2	21	20	7200	0	999	521	0	-1	0	0	0	0	0	0	1	0	203	75	23	2125	0	52100120	10050	10521200	2	30521200	0	0	0	0	0	1	0	21_0_5	0	绿筱媚青涟,娇荷浮琬琰。	1000	204827	1000031	52100120	1000004	0	0	0	60520000	60520001	7	0	0	0	0	0	0	-1	0	0	21_0_5
62100120	1	鱼玑	6	2	21	38	7200	0	999	621	0	-1	0	0	0	0	0	0	1	0	203	75	23	2126	0	62100120	10060	10621200	2	30621200	0	0	0	0	0	1	0	21_0_6	0	鱼玑闲坐，艳如红莲。	1000	204827	1000028	62100120	1000004	0	0	0	60620000	60620001	7	0	0	0	0	0	0	-1	0	0	21_0_6
72100120	1	红莲护肩	7	2	21	35	7200	0	999	721	0	-1	0	0	0	0	0	0	1	0	5	440	22	2127	0	72100120	10070	10721200	2	30721200	0	0	0	0	0	1	0	21_0_7	0	莲渚愁红荡碧波，吴娃齐唱采莲歌。	1000	139291	1000061	72100120	1000004	0	0	0	60720000	60720001	7	0	0	0	0	0	0	-1	0	0	21_0_7
82100120	1	红莲冠	8	2	21	25	7200	0	999	821	0	-1	0	0	0	0	0	0	1	0	5	440	22	2128	0	82100120	10080	10821200	2	30821200	0	0	0	0	0	1	0	21_0_8	0	莲渚愁红荡碧波，吴娃齐唱采莲歌。	1000	139291	1000060	82100120	1000004	0	0	0	60820000	60820001	7	0	0	0	0	0	0	-1	0	0	21_0_8
92100120	1	红莲履	9	2	21	55	7200	0	999	921	0	-1	0	0	0	0	0	0	1	0	5	440	22	2129	0	92100120	10090	10921200	2	30921200	0	0	0	0	0	1	0	21_0_9	0	莲渚愁红荡碧波，吴娃齐唱采莲歌。	1000	139291	1000054	92100120	1000004	0	0	0	60920000	60920001	7	0	0	0	0	0	0	-1	0	0	21_0_9
2100130	1	风舞	0	3	21	60	7200	0	999	21	0	-1	0	0	0	0	0	0	1	0	5	960	31	2130	0	2100130	10000	10021300	3	30021300	0	0	0	0	0	1	0	21_0_0	0	罗衾风舞，袅袅叠红。彼有佳人，婀娜多姿。	1000	147483	1000026	2100130	1000004	0	0	0	60030000	60030001	7	0	0	0	0	0	0	-1	0	0	21_0_0
12100130	1	舞风裳	1	3	21	66	7200	0	999	121	0	-1	0	0	0	0	0	0	1	0	5	960	31	2131	0	12100130	10010	10121300	3	30121300	0	0	0	0	0	1	0	21_0_1	0	风吹仙袂飘飘举，犹似霓裳羽衣舞。	1000	147483	1000032	12100130	1000004	0	0	0	60130000	60130001	7	0	0	0	0	0	0	-1	0	0	21_0_1
22100130	1	舞风带	2	3	21	76	7200	0	999	221	0	-1	0	0	0	0	0	0	1	0	5	960	31	2132	0	22100130	10020	10221300	3	30221300	0	0	0	0	0	1	0	21_0_2	0	风吹仙袂飘飘举，犹似霓裳羽衣舞。	1000	147483	1000033	22100130	1000004	0	0	0	60230000	60230001	7	0	0	0	0	0	0	-1	0	0	21_0_2
32100130	1	舞风裙	3	3	21	73	7200	0	999	321	0	-1	0	0	0	0	0	0	1	0	5	960	31	2133	0	32100130	10030	10321300	3	30321300	0	0	0	0	0	1	0	21_0_3	0	风吹仙袂飘飘举，犹似霓裳羽衣舞。	1000	147483	1000029	32100130	1000004	0	0	0	60330000	60330001	7	0	0	0	0	0	0	-1	0	0	21_0_3
42100130	1	舞风护腕	4	3	21	75	7200	0	999	421	0	-1	0	0	0	0	0	0	1	0	5	800	32	2134	0	42100130	10040	10421300	3	30421300	0	0	0	0	0	1	0	21_0_4	0	风吹仙袂飘飘举，犹似霓裳羽衣舞。	1000	139323	1000030	42100130	1000004	0	0	0	60430000	60430001	7	0	0	0	0	0	0	-1	0	0	21_0_4
52100130	1	绯惑	5	3	21	60	7200	0	999	521	0	-1	0	0	0	0	0	0	1	0	203	180	33	2135	0	52100130	10050	10521300	3	30521300	0	0	0	0	0	1	0	21_0_5	0	蜜色绯绯，惑而不蛊。	1000	204859	1000031	52100130	1000004	0	0	0	60530000	60530001	7	0	0	0	0	0	0	-1	0	0	21_0_5
62100130	1	洛魂	6	3	21	71	7200	0	999	621	0	-1	0	0	0	0	0	0	1	0	203	180	33	2136	0	62100130	10060	10621300	3	30621300	0	0	0	0	0	1	0	21_0_6	0	翩若惊鸿洛神现，其魂惊世殊。	1000	204859	1000028	62100130	1000004	0	0	0	60630000	60630001	7	0	0	0	0	0	0	-1	0	0	21_0_6
72100130	1	舞风护肩	7	3	21	65	7200	0	999	721	0	-1	0	0	0	0	0	0	1	0	5	800	32	2137	0	72100130	10070	10721300	3	30721300	0	0	0	0	0	1	0	21_0_7	0	风吹仙袂飘飘举，犹似霓裳羽衣舞。	1000	139323	1000061	72100130	1000004	0	0	0	60730000	60730001	7	0	0	0	0	0	0	-1	0	0	21_0_7
82100130	1	舞风冠	8	3	21	64	7200	0	999	821	0	-1	0	0	0	0	0	0	1	0	5	800	32	2138	0	82100130	10080	10821300	3	30821300	0	0	0	0	0	1	0	21_0_8	0	风吹仙袂飘飘举，犹似霓裳羽衣舞。	1000	139323	1000060	82100130	1000004	0	0	0	60830000	60830001	7	0	0	0	0	0	0	-1	0	0	21_0_8
92100130	1	舞风履	9	3	21	79	7200	0	999	921	0	-1	0	0	0	0	0	0	1	0	5	800	32	2139	0	92100130	10090	10921300	3	30921300	0	0	0	0	0	1	0	21_0_9	0	风吹仙袂飘飘举，犹似霓裳羽衣舞。	1000	139323	1000054	92100130	1000004	0	0	0	60930000	60930001	7	0	0	0	0	0	0	-1	0	0	21_0_9
2100140	1	芍泪	0	4	21	1080	7200	0	999	21	0	-1	0	0	0	0	0	0	1	0	5	1100	41	2140	0	2100140	10000	10021400	3	30021400	0	0	0	0	0	1	0	21_0_0	0	有情芍药含春泪,无力蔷薇卧晓枝。	1000	147515	1000026	2100140	1000004	0	0	0	60040000	60040001	7	0	0	0	0	0	0	-1	0	0	21_0_0
12100140	1	梨雨裳	1	4	21	1086	7200	0	999	121	0	-1	0	0	0	0	0	0	1	0	5	1100	41	2141	0	12100140	10010	10121400	3	30121400	0	0	0	0	0	1	0	21_0_1	0	玉容寂寞泪阑干，梨花一枝春带雨。	1000	147515	1000032	12100140	1000004	0	0	0	60140000	60140001	7	0	0	0	0	0	0	-1	0	0	21_0_1
22100140	1	梨雨带	2	4	21	1096	7200	0	999	221	0	-1	0	0	0	0	0	0	1	0	5	1100	41	2142	0	22100140	10020	10221400	3	30221400	0	0	0	0	0	1	0	21_0_2	0	玉容寂寞泪阑干，梨花一枝春带雨。	1000	147515	1000033	22100140	1000004	0	0	0	60240000	60240001	7	0	0	0	0	0	0	-1	0	0	21_0_2
32100140	1	梨雨裤	3	4	21	1093	7200	0	999	321	0	-1	0	0	0	0	0	0	1	0	5	1100	41	2143	0	32100140	10030	10321400	3	30321400	0	0	0	0	0	1	0	21_0_3	0	玉容寂寞泪阑干，梨花一枝春带雨。	1000	147515	1000029	32100140	1000004	0	0	0	60340000	60340001	7	0	0	0	0	0	0	-1	0	0	21_0_3
42100140	1	梨雨护腕	4	4	21	1095	7200	0	999	421	0	-1	0	0	0	0	0	0	1	0	5	900	42	2144	0	42100140	10040	10421400	3	30421400	0	0	0	0	0	1	0	21_0_4	0	玉容寂寞泪阑干，梨花一枝春带雨。	1000	139387	1000030	42100140	1000004	0	0	0	60440000	60440001	7	0	0	0	0	0	0	-1	0	0	21_0_4
52100140	1	珠翠	5	4	21	1080	7200	0	999	521	0	-1	0	0	0	0	0	0	1	0	203	330	43	2145	0	52100140	10050	10521400	3	30521400	0	0	0	0	0	1	0	21_0_5	0	芙蓉不及美人妆，水殿风来珠翠香。	1000	204923	1000031	52100140	1000004	0	0	0	60540000	60540001	7	0	0	0	0	0	0	-1	0	0	21_0_5
62100140	1	沐雨	6	4	21	1091	7200	0	999	621	0	-1	0	0	0	0	0	0	1	0	203	330	43	2146	0	62100140	10060	10621400	3	30621400	0	0	0	0	0	1	0	21_0_6	0	悠然沐雨徐行，春色满山花漫天。	1000	204923	1000028	62100140	1000004	0	0	0	60640000	60640001	7	0	0	0	0	0	0	-1	0	0	21_0_6
72100140	1	梨雨护肩	7	4	21	1085	7200	0	999	721	0	-1	0	0	0	0	0	0	1	0	5	900	42	2147	0	72100140	10070	10721400	3	30721400	0	0	0	0	0	1	0	21_0_7	0	玉容寂寞泪阑干，梨花一枝春带雨。	1000	139387	1000061	72100140	1000004	0	0	0	60740000	60740001	7	0	0	0	0	0	0	-1	0	0	21_0_7
82100140	1	梨雨冠	8	4	21	1084	7200	0	999	821	0	-1	0	0	0	0	0	0	1	0	5	900	42	2148	0	82100140	10080	10821400	3	30821400	0	0	0	0	0	1	0	21_0_8	0	玉容寂寞泪阑干，梨花一枝春带雨。	1000	139387	1000060	82100140	1000004	0	0	0	60840000	60840001	7	0	0	0	0	0	0	-1	0	0	21_0_8
92100140	1	梨雨履	9	4	21	1099	7200	0	999	921	0	-1	0	0	0	0	0	0	1	0	5	900	42	2149	0	92100140	10090	10921400	3	30921400	0	0	0	0	0	1	0	21_0_9	0	玉容寂寞泪阑干，梨花一枝春带雨。	1000	139387	1000054	92100140	1000004	0	0	0	60940000	60940001	7	0	0	0	0	0	0	-1	0	0	21_0_9
2100150	1	回雪	0	5	21	2100	7200	0	999	21	0	-1	0	0	0	0	0	0	1	0	5	1300	51	2150	0	2100150	10000	10021500	3	30021500	0	0	0	0	0	1	0	21_0_0	0	轻云蔽月，流风回雪。	1000	147579	1000026	2100150	1000004	0	0	0	60050000	60050001	7	0	0	0	0	0	0	-1	0	0	21_0_0
12100150	1	雪心裳	1	5	21	2106	7200	0	999	121	0	-1	0	0	0	0	0	0	1	0	5	1300	51	2151	0	12100150	10010	10121500	3	30121500	0	0	0	0	0	1	0	21_0_1	0	雪心玉壶，迷梦百转。	1000	147579	1000032	12100150	1000004	0	0	0	60150000	60150001	7	0	0	0	0	0	0	-1	0	0	21_0_1
22100150	1	雪心带	2	5	21	2116	7200	0	999	221	0	-1	0	0	0	0	0	0	1	0	5	1300	51	2152	0	22100150	10020	10221500	3	30221500	0	0	0	0	0	1	0	21_0_2	0	雪心玉壶，迷梦百转。	1000	147579	1000033	22100150	1000004	0	0	0	60250000	60250001	7	0	0	0	0	0	0	-1	0	0	21_0_2
32100150	1	雪心裙	3	5	21	2113	7200	0	999	321	0	-1	0	0	0	0	0	0	1	0	5	1300	51	2153	0	32100150	10030	10321500	3	30321500	0	0	0	0	0	1	0	21_0_3	0	雪心玉壶，迷梦百转。	1000	147579	1000029	32100150	1000004	0	0	0	60350000	60350001	7	0	0	0	0	0	0	-1	0	0	21_0_3
42100150	1	雪心护腕	4	5	21	2115	7200	0	999	421	0	-1	0	0	0	0	0	0	1	0	5	1100	52	2154	0	42100150	10040	10421500	3	30421500	0	0	0	0	0	1	0	21_0_4	0	雪心玉壶，迷梦百转。	1000	139515	1000030	42100150	1000004	0	0	0	60450000	60450001	7	0	0	0	0	0	0	-1	0	0	21_0_4
52100150	1	风媚	5	5	21	2100	7200	0	999	521	0	-1	0	0	0	0	0	0	1	0	203	350	53	2155	0	52100150	10050	10521500	3	30521500	0	0	0	0	0	1	0	21_0_5	0	寒雪靡靡风，婀娜笑百媚。	1000	205051	1000031	52100150	1000004	0	0	0	60550000	60550001	7	0	0	0	0	0	0	-1	0	0	21_0_5
62100150	1	雪瞳	6	5	21	2111	7200	0	999	621	0	-1	0	0	0	0	0	0	1	0	203	350	53	2156	0	62100150	10060	10621500	3	30621500	0	0	0	0	0	1	0	21_0_6	0	落雪簌簌，明明如瞳。	1000	205051	1000028	62100150	1000004	0	0	0	60650000	60650001	7	0	0	0	0	0	0	-1	0	0	21_0_6
72100150	1	雪心护肩	7	5	21	2105	7200	0	999	721	0	-1	0	0	0	0	0	0	1	0	5	1100	52	2157	0	72100150	10070	10721500	3	30721500	0	0	0	0	0	1	0	21_0_7	0	雪心玉壶，迷梦百转。	1000	139515	1000061	72100150	1000004	0	0	0	60750000	60750001	7	0	0	0	0	0	0	-1	0	0	21_0_7
82100150	1	雪心冠	8	5	21	2104	7200	0	999	821	0	-1	0	0	0	0	0	0	1	0	5	1100	52	2158	0	82100150	10080	10821500	3	30821500	0	0	0	0	0	1	0	21_0_8	0	雪心玉壶，迷梦百转。	1000	139515	1000060	82100150	1000004	0	0	0	60850000	60850001	7	0	0	0	0	0	0	-1	0	0	21_0_8
92100150	1	雪心履	9	5	21	2119	7200	0	999	921	0	-1	0	0	0	0	0	0	1	0	5	1100	52	2159	0	92100150	10090	10921500	3	30921500	0	0	0	0	0	1	0	21_0_9	0	雪心玉壶，迷梦百转。	1000	139515	1000054	92100150	1000004	0	0	0	60950000	60950001	7	0	0	0	0	0	0	-1	0	0	21_0_9
2100160	1	兰心	0	6	21	3120	7200	0	999	21	0	-1	0	0	0	0	0	0	1	0	5	1700	61	2160	0	2100160	10000	10021600	3	30021600	0	0	0	0	0	1	0	21_0_0	0	空谷幽兰心焉寄，清风甘露意谁通？	1000	155643	1000026	2100160	1000004	0	0	0	60060000	60060001	7	0	0	0	0	0	0	-1	0	0	21_0_0
12100160	1	古兰衣	1	6	21	3126	7200	0	999	121	0	-1	0	0	0	0	0	0	1	0	5	1700	61	2161	0	12100160	10010	10121600	3	30121600	0	0	0	0	0	1	0	21_0_1	0	古兰初绽蝶先闻，罗裳轻舞人不来。	1000	155643	1000032	12100160	1000004	0	0	0	60160000	60160001	7	0	0	0	0	0	0	-1	0	0	21_0_1
22100160	1	古兰带	2	6	21	3136	7200	0	999	221	0	-1	0	0	0	0	0	0	1	0	5	1700	61	2162	0	22100160	10020	10221600	3	30221600	0	0	0	0	0	1	0	21_0_2	0	古兰初绽蝶先闻，罗裳轻舞人不来。	1000	155643	1000033	22100160	1000004	0	0	0	60260000	60260001	7	0	0	0	0	0	0	-1	0	0	21_0_2
32100160	1	古兰裙	3	6	21	3133	7200	0	999	321	0	-1	0	0	0	0	0	0	1	0	5	1700	61	2163	0	32100160	10030	10321600	3	30321600	0	0	0	0	0	1	0	21_0_3	0	古兰初绽蝶先闻，罗裳轻舞人不来。	1000	155643	1000029	32100160	1000004	0	0	0	60360000	60360001	7	0	0	0	0	0	0	-1	0	0	21_0_3
42100160	1	古兰护腕	4	6	21	3135	7200	0	999	421	0	-1	0	0	0	0	0	0	1	0	5	1400	62	2164	0	42100160	10040	10421600	3	30421600	0	0	0	0	0	1	0	21_0_4	0	古兰初绽蝶先闻，罗裳轻舞人不来。	1000	147451	1000030	42100160	1000004	0	0	0	60460000	60460001	7	0	0	0	0	0	0	-1	0	0	21_0_4
