抽奖序号	世界科技	有效标志位	抽奖类型	道具ID	抽到的奖励数量	帮贡普抽	帮贡首抽概率	帮贡10连抽(必保池)概率	帮贡隐性必保池概率	绑元抽奖概率	绑元首抽概率	绑元10连抽(必保池)概率	绑元隐性必保池概率	状态限制ID	帮贡必保清除	绑元必保清除	广播范围	活动标识
64	4	1	0	410540011	1	80	0	0	0	100	0	0	0	90007033	0	0	0	0
65	4	1	0	410540021	1	80	0	0	0	100	0	0	0	90007033	0	0	0	0
66	4	1	0	410560001	1	0	0	0	0	0	0	0	0	90007026	0	0	0	0
67	4	1	0	410560002	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
68	4	1	0	410560003	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
69	4	1	0	410560004	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
70	4	1	0	410560005	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
71	4	1	0	410560006	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
72	4	1	0	410560007	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
73	4	1	0	410560008	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
74	4	1	0	410560009	1	0	0	0	0	0	0	0	0	90007026	0	0	0	0
75	4	1	0	410560010	1	0	0	0	0	0	0	0	0	90007026	0	0	0	0
76	4	1	0	410560011	1	0	0	100	0	100	0	0	0	90007033	0	0	0	0
77	4	1	0	410400001	2	2500	0	0	0	0	0	0	0	0	0	0	0	0
78	4	1	0	410400001	18	0	0	0	0	2000	0	0	0	0	0	0	0	0
79	4	1	0	410300001	1	0	0	0	0	500	0	0	0	0	0	0	0	0
80	4	1	0	410300000	1	100	0	0	0	1500	0	0	0	0	0	0	0	0
81	4	1	0	410900300	10	1500	0	0	0	0	0	0	0	0	0	0	0	0
82	4	1	0	410900300	50	0	0	0	0	1000	0	0	0	0	0	0	0	0
83	4	1	0	410900400	1	10	0	0	0	0	0	0	0	0	0	0	0	0
84	4	1	0	410900400	20	0	0	0	0	2000	0	0	0	0	0	0	0	0
1	5	1	0	410110001	1	1500	10000	1500	0	0	0	0	0	0	0	0	0	0
2	5	1	0	410110002	1	1500	0	1500	0	0	0	0	0	0	0	0	0	0
3	5	1	0	410110003	1	1500	0	1500	0	0	0	0	0	0	0	0	0	0
4	5	1	0	410110004	1	1500	0	1500	0	0	0	0	0	0	0	0	0	0
5	5	1	0	410120001	1	800	0	1000	0	1350	0	0	0	90009301	0	0	0	0
6	5	1	0	410120002	1	800	0	1000	0	1350	0	0	0	0	0	0	0	0
7	5	1	0	410120003	1	800	0	1000	0	1350	0	0	0	0	0	0	0	0
8	5	1	0	410120004	1	800	0	1000	0	1350	10000	0	0	0	0	0	0	0
9	5	1	0	410120005	1	800	0	1000	0	1350	0	0	0	0	0	0	0	0
10	5	1	0	410120006	1	800	0	1000	0	1350	0	0	0	90009306	0	0	0	0
11	5	1	0	410130001	1	100	0	200	0	500	0	0	0	0	0	0	0	0
12	5	1	0	410130002	1	100	0	200	0	500	0	0	0	0	0	0	0	0
13	5	1	0	410130003	1	100	0	200	0	500	0	0	0	0	0	0	0	0
14	5	1	0	410130004	1	100	0	200	0	500	0	0	0	90009204	0	0	0	0
15	5	1	0	410130005	1	100	0	200	0	500	0	0	0	90009205	0	0	0	0
16	5	1	0	410130006	1	100	0	200	0	500	0	0	0	0	0	0	0	0
17	5	1	0	410130007	1	100	0	200	0	500	0	0	0	0	0	0	0	0
18	5	1	0	410130008	1	100	0	200	0	500	0	0	0	0	0	0	0	0
19	5	1	0	410130009	1	100	0	200	0	500	0	0	0	90009209	0	0	0	0
20	5	1	0	410130010	1	100	0	200	0	500	0	0	0	90009210	0	0	0	0
21	5	1	0	410130011	1	100	0	200	0	500	0	0	0	90009211	0	0	0	0
22	5	1	0	410130012	1	100	0	200	0	500	0	0	0	90009212	0	0	0	0
23	5	1	0	410130013	1	100	0	200	0	500	0	0	0	90009213	0	0	0	0
24	5	1	0	410130014	1	100	0	200	0	500	0	0	0	90009214	0	0	0	0
25	5	1	0	410130015	1	100	0	200	0	500	0	0	0	90009215	0	0	0	0
26	5	1	0	410140001	1	0	0	0	1000	50	0	0	0	90009101	2	2	1	0
27	5	1	0	410140002	1	0	0	0	1000	50	0	1000	0	90009102	2	2	1	0
28	5	1	0	410140003	1	0	0	0	1000	50	0	0	0	90009103	2	2	1	0
29	5	1	0	410140004	1	0	0	0	1000	50	0	0	0	90009104	2	2	1	0
30	5	1	0	410140005	1	0	0	0	1000	50	0	1000	0	70007100	2	2	1	0
31	5	1	0	410140006	1	0	0	0	1000	50	0	1000	0	0	2	2	1	0
32	5	1	0	410140007	1	0	0	0	1000	50	0	1000	0	90009107	2	2	1	0
33	5	1	0	410140008	1	0	0	0	1000	50	0	0	0	0	2	2	1	0
34	5	1	0	410140009	1	0	0	0	1000	50	0	0	0	90009109	2	2	1	0
35	5	1	0	410140010	1	0	0	0	1000	50	0	1000	0	90009110	2	2	1	0
36	5	1	0	410140011	1	0	0	0	2000	50	0	1000	0	70007300	2	2	1	0
37	5	1	0	410140021	1	0	0	0	1500	50	0	800	0	70007301	2	2	1	0
38	5	1	0	410140021	1	0	0	450	13500	150	0	2400	0	70007308	2	2	1	0
39	5	1	0	410140021	1	0	0	50	1500	50	0	800	0	70007304	2	2	1	0
40	5	1	0	410140021	1	0	0	50	1500	50	0	800	0	70007305	2	2	1	0
41	5	1	0	410140021	1	0	0	50	1500	50	0	800	0	70007306	2	2	1	0
42	5	1	0	410160001	1	0	0	0	0	5	0	0	1000	0	2	2	2	1
43	5	1	0	410160002	1	0	0	0	0	5	0	0	1000	0	2	2	2	1
44	5	1	0	410160003	1	0	0	0	0	5	0	0	1000	0	2	2	2	1
45	5	1	0	410160004	1	0	0	0	0	5	0	0	1000	70007100	2	2	2	1
46	5	1	0	410160005	1	0	0	0	0	5	0	0	1000	70007200	2	2	2	1
47	5	1	0	410160006	1	0	0	0	0	5	0	0	1000	0	2	2	2	1
48	5	1	0	410160007	1	0	0	0	0	5	0	0	1000	90009007	2	2	2	1
49	5	1	0	410160008	1	0	0	0	0	5	0	0	1000	0	2	2	2	1
50	5	1	0	410160009	1	0	0	0	0	5	0	0	1000	0	2	2	2	1
51	5	1	0	410160010	1	0	0	0	0	5	0	0	1000	0	2	2	2	1
52	5	1	0	410160011	1	0	0	0	0	5	0	0	1000	70000105	2	2	2	1
53	5	1	0	410160011	1	0	0	0	0	5	0	0	5000	40052805	2	2	2	1
54	5	1	0	410540001	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
55	5	1	0	410540002	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
56	5	1	0	410540003	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
57	5	1	0	410540004	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
58	5	1	0	410540005	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
59	5	1	0	410540006	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
60	5	1	0	410540007	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
61	5	1	0	410540008	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
62	5	1	0	410540009	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
63	5	1	0	410540010	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
64	5	1	0	410540011	1	80	0	0	0	100	0	0	0	90007033	0	0	0	0
65	5	1	0	410540021	1	80	0	0	0	100	0	0	0	90007033	0	0	0	0
66	5	1	0	410560001	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
67	5	1	0	410560002	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
68	5	1	0	410560003	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
69	5	1	0	410560004	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
70	5	1	0	410560005	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
71	5	1	0	410560006	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
72	5	1	0	410560007	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
73	5	1	0	410560008	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
74	5	1	0	410560009	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
75	5	1	0	410560010	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
76	5	1	0	410560011	1	0	0	100	0	100	0	0	0	90007033	0	0	0	0
77	5	1	0	410400001	2	2500	0	0	0	0	0	0	0	0	0	0	0	0
78	5	1	0	410400001	18	0	0	0	0	2000	0	0	0	0	0	0	0	0
79	5	1	0	410300001	1	0	0	0	0	500	0	0	0	0	0	0	0	0
80	5	1	0	410300000	1	100	0	0	0	1500	0	0	0	0	0	0	0	0
81	5	1	0	410900300	10	1500	0	0	0	0	0	0	0	0	0	0	0	0
82	5	1	0	410900300	50	0	0	0	0	1000	0	0	0	0	0	0	0	0
83	5	1	0	410900400	1	10	0	0	0	0	0	0	0	0	0	0	0	0
84	5	1	0	410900400	20	0	0	0	0	2000	0	0	0	0	0	0	0	0
85	5	1	0	410300002	1	0	0	0	0	100	0	0	0	0	0	0	0	0
1	6	1	0	410110001	1	1500	10000	1500	0	0	0	0	0	0	0	0	0	0
2	6	1	0	410110002	1	1500	0	1500	0	0	0	0	0	0	0	0	0	0
3	6	1	0	410110003	1	1500	0	1500	0	0	0	0	0	0	0	0	0	0
4	6	1	0	410110004	1	1500	0	1500	0	0	0	0	0	0	0	0	0	0
5	6	1	0	410120001	1	800	0	1000	0	1350	0	0	0	90009301	0	0	0	0
6	6	1	0	410120002	1	800	0	1000	0	1350	0	0	0	0	0	0	0	0
7	6	1	0	410120003	1	800	0	1000	0	1350	0	0	0	0	0	0	0	0
8	6	1	0	410120004	1	800	0	1000	0	1350	10000	0	0	0	0	0	0	0
9	6	1	0	410120005	1	800	0	1000	0	1350	0	0	0	0	0	0	0	0
10	6	1	0	410120006	1	800	0	1000	0	1350	0	0	0	90009306	0	0	0	0
11	6	1	0	410130001	1	100	0	200	0	500	0	0	0	0	0	0	0	0
12	6	1	0	410130002	1	100	0	200	0	500	0	0	0	0	0	0	0	0
13	6	1	0	410130003	1	100	0	200	0	500	0	0	0	0	0	0	0	0
14	6	1	0	410130004	1	100	0	200	0	500	0	0	0	90009204	0	0	0	0
15	6	1	0	410130005	1	100	0	200	0	500	0	0	0	90009205	0	0	0	0
16	6	1	0	410130006	1	100	0	200	0	500	0	0	0	0	0	0	0	0
17	6	1	0	410130007	1	100	0	200	0	500	0	0	0	0	0	0	0	0
18	6	1	0	410130008	1	100	0	200	0	500	0	0	0	0	0	0	0	0
19	6	1	0	410130009	1	100	0	200	0	500	0	0	0	90009209	0	0	0	0
20	6	1	0	410130010	1	100	0	200	0	500	0	0	0	90009210	0	0	0	0
21	6	1	0	410130011	1	100	0	200	0	500	0	0	0	90009211	0	0	0	0
22	6	1	0	410130012	1	100	0	200	0	500	0	0	0	90009212	0	0	0	0
23	6	1	0	410130013	1	100	0	200	0	500	0	0	0	90009213	0	0	0	0
24	6	1	0	410130014	1	100	0	200	0	500	0	0	0	90009214	0	0	0	0
25	6	1	0	410130015	1	100	0	200	0	500	0	0	0	90009215	0	0	0	0
26	6	1	0	410140001	1	0	0	0	1000	50	0	0	0	90009101	2	2	1	0
27	6	1	0	410140002	1	0	0	0	1000	50	0	1000	0	90009102	2	2	1	0
28	6	1	0	410140003	1	0	0	0	1000	50	0	0	0	90009103	2	2	1	0
29	6	1	0	410140004	1	0	0	0	1000	50	0	0	0	90009104	2	2	1	0
30	6	1	0	410140005	1	0	0	0	1000	50	0	1000	0	70007100	2	2	1	0
31	6	1	0	410140006	1	0	0	0	1000	50	0	1000	0	0	2	2	1	0
32	6	1	0	410140007	1	0	0	0	1000	50	0	1000	0	90009107	2	2	1	0
33	6	1	0	410140008	1	0	0	0	1000	50	0	0	0	0	2	2	1	0
34	6	1	0	410140009	1	0	0	0	1000	50	0	0	0	90009109	2	2	1	0
35	6	1	0	410140010	1	0	0	0	1000	50	0	1000	0	90009110	2	2	1	0
36	6	1	0	410140011	1	0	0	0	2000	50	0	1000	0	70007300	2	2	1	0
37	6	1	0	410140021	1	0	0	0	1500	50	0	800	0	70007301	2	2	1	0
38	6	1	0	410140021	1	0	0	450	13500	150	0	2400	0	70007308	2	2	1	0
39	6	1	0	410140021	1	0	0	50	1500	50	0	800	0	70007304	2	2	1	0
40	6	1	0	410140021	1	0	0	50	1500	50	0	800	0	70007305	2	2	1	0
41	6	1	0	410140021	1	0	0	50	1500	50	0	800	0	70007306	2	2	1	0
42	6	1	0	410160001	1	0	0	0	0	5	0	0	1000	0	2	2	2	1
43	6	1	0	410160002	1	0	0	0	0	5	0	0	1000	0	2	2	2	1
44	6	1	0	410160003	1	0	0	0	0	5	0	0	1000	0	2	2	2	1
45	6	1	0	410160004	1	0	0	0	0	5	0	0	1000	70007100	2	2	2	1
46	6	1	0	410160005	1	0	0	0	0	5	0	0	1000	70007200	2	2	2	1
47	6	1	0	410160006	1	0	0	0	0	5	0	0	1000	0	2	2	2	1
48	6	1	0	410160007	1	0	0	0	0	5	0	0	1000	90009007	2	2	2	1
49	6	1	0	410160008	1	0	0	0	0	5	0	0	1000	0	2	2	2	1
50	6	1	0	410160009	1	0	0	0	0	5	0	0	1000	0	2	2	2	1
51	6	1	0	410160010	1	0	0	0	0	5	0	0	1000	0	2	2	2	1
52	6	1	0	410160011	1	0	0	0	0	5	0	0	1000	70000105	2	2	2	1
53	6	1	0	410160011	1	0	0	0	0	5	0	0	5000	40052805	2	2	2	1
54	6	1	0	410540001	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
55	6	1	0	410540002	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
56	6	1	0	410540003	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
57	6	1	0	410540004	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
58	6	1	0	410540005	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
59	6	1	0	410540006	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
60	6	1	0	410540007	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
61	6	1	0	410540008	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
62	6	1	0	410540009	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
63	6	1	0	410540010	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
64	6	1	0	410540011	1	80	0	0	0	100	0	0	0	90007033	0	0	0	0
65	6	1	0	410540021	1	80	0	0	0	100	0	0	0	90007033	0	0	0	0
66	6	1	0	410560001	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
67	6	1	0	410560002	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
68	6	1	0	410560003	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
69	6	1	0	410560004	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
70	6	1	0	410560005	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
71	6	1	0	410560006	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
72	6	1	0	410560007	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
73	6	1	0	410560008	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
74	6	1	0	410560009	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
75	6	1	0	410560010	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
76	6	1	0	410560011	1	0	0	100	0	100	0	0	0	90007033	0	0	0	0
77	6	1	0	410400001	2	2500	0	0	0	0	0	0	0	0	0	0	0	0
78	6	1	0	410400001	18	0	0	0	0	2000	0	0	0	0	0	0	0	0
79	6	1	0	410300001	1	0	0	0	0	500	0	0	0	0	0	0	0	0
80	6	1	0	410300000	1	100	0	0	0	1500	0	0	0	0	0	0	0	0
81	6	1	0	410900300	10	1500	0	0	0	0	0	0	0	0	0	0	0	0
82	6	1	0	410900300	50	0	0	0	0	1000	0	0	0	0	0	0	0	0
83	6	1	0	410900400	1	10	0	0	0	0	0	0	0	0	0	0	0	0
84	6	1	0	410900400	20	0	0	0	0	2000	0	0	0	0	0	0	0	0
85	6	1	0	410300002	1	0	0	0	0	100	0	0	0	0	0	0	0	0
1	7	1	0	410110001	1	1500	10000	1500	0	0	0	0	0	0	0	0	0	0
2	7	1	0	410110002	1	1500	0	1500	0	0	0	0	0	0	0	0	0	0
3	7	1	0	410110003	1	1500	0	1500	0	0	0	0	0	0	0	0	0	0
4	7	1	0	410110004	1	1500	0	1500	0	0	0	0	0	0	0	0	0	0
5	7	1	0	410120001	1	800	0	1000	0	1350	0	0	0	90009301	0	0	0	0
6	7	1	0	410120002	1	800	0	1000	0	1350	0	0	0	0	0	0	0	0
7	7	1	0	410120003	1	800	0	1000	0	1350	0	0	0	0	0	0	0	0
8	7	1	0	410120004	1	800	0	1000	0	1350	10000	0	0	0	0	0	0	0
9	7	1	0	410120005	1	800	0	1000	0	1350	0	0	0	0	0	0	0	0
10	7	1	0	410120006	1	800	0	1000	0	1350	0	0	0	90009306	0	0	0	0
11	7	1	0	410130001	1	100	0	200	0	500	0	0	0	0	0	0	0	0
12	7	1	0	410130002	1	100	0	200	0	500	0	0	0	0	0	0	0	0
13	7	1	0	410130003	1	100	0	200	0	500	0	0	0	0	0	0	0	0
14	7	1	0	410130004	1	100	0	200	0	500	0	0	0	90009204	0	0	0	0
15	7	1	0	410130005	1	100	0	200	0	500	0	0	0	90009205	0	0	0	0
16	7	1	0	410130006	1	100	0	200	0	500	0	0	0	0	0	0	0	0
17	7	1	0	410130007	1	100	0	200	0	500	0	0	0	0	0	0	0	0
18	7	1	0	410130008	1	100	0	200	0	500	0	0	0	0	0	0	0	0
19	7	1	0	410130009	1	100	0	200	0	500	0	0	0	90009209	0	0	0	0
20	7	1	0	410130010	1	100	0	200	0	500	0	0	0	90009210	0	0	0	0
21	7	1	0	410130011	1	100	0	200	0	500	0	0	0	90009211	0	0	0	0
22	7	1	0	410130012	1	100	0	200	0	500	0	0	0	90009212	0	0	0	0
23	7	1	0	410130013	1	100	0	200	0	500	0	0	0	90009213	0	0	0	0
24	7	1	0	410130014	1	100	0	200	0	500	0	0	0	90009214	0	0	0	0
25	7	1	0	410130015	1	100	0	200	0	500	0	0	0	90009215	0	0	0	0
26	7	1	0	410140001	1	0	0	0	1000	50	0	0	0	90009101	2	2	1	0
27	7	1	0	410140002	1	0	0	0	1000	50	0	1000	0	90009102	2	2	1	0
28	7	1	0	410140003	1	0	0	0	1000	50	0	0	0	90009103	2	2	1	0
29	7	1	0	410140004	1	0	0	0	1000	50	0	0	0	90009104	2	2	1	0
30	7	1	0	410140005	1	0	0	0	1000	50	0	1000	0	70007100	2	2	1	0
31	7	1	0	410140006	1	0	0	0	1000	50	0	1000	0	0	2	2	1	0
32	7	1	0	410140007	1	0	0	0	1000	50	0	1000	0	90009107	2	2	1	0
33	7	1	0	410140008	1	0	0	0	1000	50	0	0	0	0	2	2	1	0
34	7	1	0	410140009	1	0	0	0	1000	50	0	0	0	90009109	2	2	1	0
35	7	1	0	410140010	1	0	0	0	1000	50	0	1000	0	90009110	2	2	1	0
36	7	1	0	410140011	1	0	0	0	2000	50	0	1000	0	70007300	2	2	1	0
37	7	1	0	410140021	1	0	0	0	1500	50	0	800	0	70007301	2	2	1	0
38	7	1	0	410140021	1	0	0	450	13500	150	0	2400	0	70007308	2	2	1	0
39	7	1	0	410140021	1	0	0	50	1500	50	0	800	0	70007304	2	2	1	0
40	7	1	0	410140021	1	0	0	50	1500	50	0	800	0	70007305	2	2	1	0
41	7	1	0	410140021	1	0	0	50	1500	50	0	800	0	70007306	2	2	1	0
42	7	1	0	410160001	1	0	0	0	0	5	0	0	1000	0	2	2	2	1
43	7	1	0	410160002	1	0	0	0	0	5	0	0	1000	0	2	2	2	1
44	7	1	0	410160003	1	0	0	0	0	5	0	0	1000	0	2	2	2	1
45	7	1	0	410160004	1	0	0	0	0	5	0	0	1000	70007100	2	2	2	1
46	7	1	0	410160005	1	0	0	0	0	5	0	0	1000	70007200	2	2	2	1
47	7	1	0	410160006	1	0	0	0	0	5	0	0	1000	0	2	2	2	1
48	7	1	0	410160007	1	0	0	0	0	5	0	0	1000	90009007	2	2	2	1
49	7	1	0	410160008	1	0	0	0	0	5	0	0	1000	0	2	2	2	1
50	7	1	0	410160009	1	0	0	0	0	5	0	0	1000	0	2	2	2	1
51	7	1	0	410160010	1	0	0	0	0	5	0	0	1000	0	2	2	2	1
52	7	1	0	410160011	1	0	0	0	0	5	0	0	1000	70000105	2	2	2	1
53	7	1	0	410160011	1	0	0	0	0	5	0	0	5000	40052805	2	2	2	1
54	7	1	0	410540001	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
55	7	1	0	410540002	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
56	7	1	0	410540003	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
57	7	1	0	410540004	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
58	7	1	0	410540005	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
59	7	1	0	410540006	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
60	7	1	0	410540007	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
61	7	1	0	410540008	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
62	7	1	0	410540009	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
63	7	1	0	410540010	1	80	0	0	0	100	0	0	0	90007026	0	0	0	0
64	7	1	0	410540011	1	80	0	0	0	100	0	0	0	90007033	0	0	0	0
65	7	1	0	410540021	1	80	0	0	0	100	0	0	0	90007033	0	0	0	0
66	7	1	0	410560001	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
67	7	1	0	410560002	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
68	7	1	0	410560003	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
69	7	1	0	410560004	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
70	7	1	0	410560005	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
71	7	1	0	410560006	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
72	7	1	0	410560007	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
73	7	1	0	410560008	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
74	7	1	0	410560009	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
75	7	1	0	410560010	1	0	0	100	0	100	0	0	0	90007026	0	0	0	0
76	7	1	0	410560011	1	0	0	100	0	100	0	0	0	90007033	0	0	0	0
77	7	1	0	410400001	2	2500	0	0	0	0	0	0	0	0	0	0	0	0
78	7	1	0	410400001	18	0	0	0	0	2000	0	0	0	0	0	0	0	0
79	7	1	0	410300001	1	0	0	0	0	500	0	0	0	0	0	0	0	0
80	7	1	0	410300000	1	100	0	0	0	1500	0	0	0	0	0	0	0	0
81	7	1	0	410900300	10	1500	0	0	0	0	0	0	0	0	0	0	0	0
82	7	1	0	410900300	50	0	0	0	0	1000	0	0	0	0	0	0	0	0
83	7	1	0	410900400	1	10	0	0	0	0	0	0	0	0	0	0	0	0
84	7	1	0	410900400	20	0	0	0	0	2000	0	0	0	0	0	0	0	0
85	7	1	0	410300002	1	0	0	0	0	100	0	0	0	0	0	0	0	0
1	8	1	0	410110001	1	1500	10000	1500	0	0	0	0	0	0	0	0	0	0
2	8	1	0	410110002	1	1500	0	1500	0	0	0	0	0	0	0	0	0	0
3	8	1	0	410110003	1	1500	0	1500	0	0	0	0	0	0	0	0	0	0
4	8	1	0	410110004	1	1500	0	1500	0	0	0	0	0	0	0	0	0	0
5	8	1	0	410120001	1	800	0	1000	0	1350	0	0	0	90009301	0	0	0	0
6	8	1	0	410120002	1	800	0	1000	0	1350	0	0	0	0	0	0	0	0
7	8	1	0	410120003	1	800	0	1000	0	1350	0	0	0	0	0	0	0	0
8	8	1	0	410120004	1	800	0	1000	0	1350	10000	0	0	0	0	0	0	0
9	8	1	0	410120005	1	800	0	1000	0	1350	0	0	0	0	0	0	0	0
10	8	1	0	410120006	1	800	0	1000	0	1350	0	0	0	90009306	0	0	0	0
11	8	1	0	410130001	1	100	0	200	0	500	0	0	0	0	0	0	0	0
12	8	1	0	410130002	1	100	0	200	0	500	0	0	0	0	0	0	0	0
13	8	1	0	410130003	1	100	0	200	0	500	0	0	0	0	0	0	0	0
14	8	1	0	410130004	1	100	0	200	0	500	0	0	0	90009204	0	0	0	0
15	8	1	0	410130005	1	100	0	200	0	500	0	0	0	90009205	0	0	0	0
16	8	1	0	410130006	1	100	0	200	0	500	0	0	0	0	0	0	0	0
17	8	1	0	410130007	1	100	0	200	0	500	0	0	0	0	0	0	0	0
18	8	1	0	410130008	1	100	0	200	0	500	0	0	0	0	0	0	0	0
19	8	1	0	410130009	1	100	0	200	0	500	0	0	0	90009209	0	0	0	0
20	8	1	0	410130010	1	100	0	200	0	500	0	0	0	90009210	0	0	0	0
21	8	1	0	410130011	1	100	0	200	0	500	0	0	0	90009211	0	0	0	0
22	8	1	0	410130012	1	100	0	200	0	500	0	0	0	90009212	0	0	0	0
23	8	1	0	410130013	1	100	0	200	0	500	0	0	0	90009213	0	0	0	0
24	8	1	0	410130014	1	100	0	200	0	500	0	0	0	90009214	0	0	0	0
25	8	1	0	410130015	1	100	0	200	0	500	0	0	0	90009215	0	0	0	0
26	8	1	0	410140001	1	0	0	0	1000	50	0	0	0	90009101	2	2	1	0
27	8	1	0	410140002	1	0	0	0	1000	50	0	1000	0	90009102	2	2	1	0
28	8	1	0	410140003	1	0	0	0	1000	50	0	0	0	90009103	2	2	1	0
29	8	1	0	410140004	1	0	0	0	1000	50	0	0	0	90009104	2	2	1	0
30	8	1	0	410140005	1	0	0	0	1000	50	0	1000	0	70007100	2	2	1	0
31	8	1	0	410140006	1	0	0	0	1000	50	0	1000	0	0	2	2	1	0
32	8	1	0	410140007	1	0	0	0	1000	50	0	1000	0	90009107	2	2	1	0
33	8	1	0	410140008	1	0	0	0	1000	50	0	0	0	0	2	2	1	0
34	8	1	0	410140009	1	0	0	0	1000	50	0	0	0	90009109	2	2	1	0
35	8	1	0	410140010	1	0	0	0	1000	50	0	1000	0	90009110	2	2	1	0
36	8	1	0	410140011	1	0	0	0	2000	50	0	1000	0	70007300	2	2	1	0
37	8	1	0	410140021	1	0	0	0	1500	50	0	800	0	70007301	2	2	1	0
38	8	1	0	410140021	1	0	0	450	13500	150	0	2400	0	70007308	2	2	1	0
39	8	1	0	410140021	1	0	0	50	1500	50	0	800	0	70007304	2	2	1	0
40	8	1	0	410140021	1	0	0	50	1500	50	0	800	0	70007305	2	2	1	0
41	8	1	0	410140021	1	0	0	50	1500	50	0	800	0	70007306	2	2	1	0
42	8	1	0	410160001	1	0	0	0	0	5	0	0	1000	0	2	2	2	1
43	8	1	0	410160002	1	0	0	0	0	5	0	0	1000	0	2	2	2	1
44	8	1	0	410160003	1	0	0	0	0	5	0	0	1000	0	2	2	2	1
45	8	1	0	410160004	1	0	0	0	0	5	0	0	1000	70007100	2	2	2	1
46	8	1	0	410160005	1	0	0	0	0	5	0	0	1000	70007200	2	2	2	1
47	8	1	0	410160006	1	0	0	0	0	5	0	0	1000	0	2	2	2	1
48	8	1	0	410160007	1	0	0	0	0	5	0	0	1000	90009007	2	2	2	1
49	8	1	0	410160008	1	0	0	0	0	5	0	0	1000	0	2	2	2	1
50	8	1	0	410160009	1	0	0	0	0	5	0	0	1000	0	2	2	2	1
51	8	1	0	410160010	1	0	0	0	0	5	0	0	1000	0	2	2	2	1
52	8	1	0	410160011	1	0	0	0	0	5	0	0	1000	70000105	2	2	2	1
53	8	1	0	410160011	1	0	0	0	0	5	0	0	5000	40052805	2	2	2	1
