建筑ID	等级	有效标示	消耗类型（0帮派经验，1货币，2道具）	消耗参数1	消耗参数2	消耗类型（1货币，2道具）	消耗参数1	消耗参数2	灵元金钱库大小（只针对于2天书、3百草有效）	每日皇族下发的灵元金钱（只针对于2天书、3百草有效）	升级增加帮派人数上限（只对1教务处有效）	提升帮派成员观碑玩法收益	提升帮派离线观碑收益	提升帮派帮派任务收益	提升帮派宝库收益	提升帮派成员攻防收益	提升帮派成员攻防能力	提升帮派仓库大小（只对5万宝有效）	提升帮派秘库大小（只对5万宝有效）	升级限制	精英成员数量	升级消耗天地异变控制系数	堂口描述字段	堂口描述字段	堂口描述字段
5	2	1	0	0	150000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1001	帮派成员可制造<color=#aa62fc>紫色武器、衣服</color>	帮主、副帮主、长老、堂主可学习<color=#7e00ff>2级</color>铸造技能	0
5	3	1	0	0	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1001	帮派成员可制造<color=#aa62fc>紫色腰带、裤子</color>	帮主、副帮主、长老、堂主可学习<color=#7e00ff>3级</color>铸造技能	0
5	4	1	0	0	250000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002	帮派成员可制造<color=#aa62fc>紫色项链、戒指</color>	帮主、副帮主、长老、堂主可学习<color=#7e00ff>4级</color>铸造技能	0
5	5	1	0	0	300000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004201	0	1002	帮派成员可制造<color=#ff7e00>橙色武器、衣服</color>	帮主、副帮主、长老、堂主可学习<color=#7e00ff>5级</color>铸造技能	0
5	6	1	0	0	360000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004201	0	1002	帮派成员可制造<color=#ff7e00>橙色腰带、裤子</color>	帮主、副帮主、长老、堂主可学习<color=#7e00ff>6级</color>铸造技能	0
5	7	1	0	0	420000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004201	0	1003	帮派成员可制造<color=#ff7e00>橙色项链、戒指</color>	帮主、副帮主、长老、堂主可学习<color=#7e00ff>7级</color>铸造技能	0
5	8	1	0	0	480000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004202	0	1003	帮派成员可制造<color=#00d0d2>青色武器、衣服</color>	帮主、副帮主、长老、堂主可学习<color=#7e00ff>8级</color>铸造技能	0
5	9	1	0	0	630000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004202	0	1003	帮派成员可制造<color=#00d0d2>青色腰带、裤子</color>	帮主、副帮主、长老、堂主可学习<color=#7e00ff>9级</color>铸造技能	0
5	10	1	0	0	780000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004202	0	1004	帮派成员可制造<color=#00d0d2>青色项链、戒指</color>	帮主、副帮主、长老、堂主可学习<color=#7e00ff>10级</color>铸造技能	0
5	11	1	0	0	930000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004203	0	1004	帮派成员可制造<color=#ff3e3e>红色武器、衣服</color>	帮主、副帮主、长老、堂主可学习<color=#7e00ff>11级</color>铸造技能	0
5	12	1	0	0	1330000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004203	0	1004	帮派成员可制造<color=#ff3e3e>红色腰带、裤子</color>	帮主、副帮主、长老、堂主可学习<color=#7e00ff>12级</color>铸造技能	0
5	13	1	0	0	1730000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004203	0	1005	帮派成员可制造<color=#ff3e3e>红色项链、戒指</color>	帮主、副帮主、长老、堂主可学习<color=#7e00ff>13级</color>铸造技能	0
5	14	1	0	0	2130000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004204	0	1005	帮派成员可制造<color=#ff3efd>粉色武器</color>	帮主、副帮主、长老、堂主可学习<color=#7e00ff>14级</color>铸造技能	0
5	15	1	0	0	2530000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004204	0	1006	帮派成员可制造<color=#ff3efd>粉色衣服</color>	帮主、副帮主、长老、堂主可学习<color=#7e00ff>15级</color>铸造技能	0
5	16	1	0	0	2930000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004204	0	1006	帮派成员可制造<color=#ff3efd>粉色腰带</color>	帮主、副帮主、长老、堂主可学习<color=#7e00ff>16级</color>铸造技能	0
5	17	1	0	0	3330000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004205	0	1007	帮派成员可制造<color=#ff3efd>粉色裤子</color>	帮主、副帮主、长老、堂主可学习<color=#7e00ff>17级</color>铸造技能	0
5	18	1	0	0	3730000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004205	0	1007	帮派成员可制造<color=#ff3efd>粉色项链</color>	帮主、副帮主、长老、堂主可学习<color=#7e00ff>18级</color>铸造技能	0
5	19	1	0	0	4130000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004205	0	1008	帮派成员可制造<color=#ff3efd>粉色戒指</color>	帮主、副帮主、长老、堂主可学习<color=#7e00ff>19级</color>铸造技能	0
5	20	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1008	帮主、副帮主、长老、堂主可学习<color=#7e00ff>20级</color>铸造技能	0	0
