属性池ID(1位类型<1白点2精炼属性池3蓝色属性池4法球属性池5称号属性池（5开头，5000+2位流水++1位流水+1位流水：占段走流水号），6系统（活动或玩法或系统ID,70（仙道秘法，2位职业+2位大境界+1位小层次）），7符印属性池（8+5位携带类型+2位流水）8坐骑外观属性池（80+外观ID，8+坐骑ID+1位流水）9伙伴属性池>+2位部位+2位职业+1位颜色+1位魂神+1位流水)(白色属性最多3条，蓝色属性最多5条，装备下上极品按照第一条白色属性品质来算)	副键流水号	有效标志	属性类型(1，为属性值；2为百分比属性，3，为主动技能；4为被动技能；5为技能天赋，6为主动攻击法球，7为被击触发法球，8为破招法球，9为格挡法球，10符印天地人(<0无，1天，2地，3人>)	属性枚举类型（法球对应的技能iD）	生成几率（法球的触发几率）	付费生成几率	品质1下属性等级（法球CD，单位秒），符印1档属性	品质2下属性等级（法球对应的技能等级），符印2档属性	品质3下属性等级，法球的时候代表法球加到玩家身上是否处于CD中（0是加上后要先走一遍CD、1是加上后可以立马被触发），，符印3档属性	品质4下属性等级，符印4档属性	品质5下属性等级，符印5档属性	品质6下属性等级，符印6档属性	品质7下属性等级，符印7档属性	品质8下属性等级，符印8档属性	品质9下属性等级，符印9档属性	品质10下属性等级，符印10档属性	品质11下属性等级（逆天封顶值，实际上不存在第11档，必定逆天时才用），符印10档属性满	品质1下属性的战力值	品质2下属性的战力值	品质3下属性的战力值	品质4下属性的战力值	品质5下属性的战力值	品质6下属性的战力值	品质7下属性的战力值	品质8下属性的战力值	品质9下属性的战力值	品质10下属性的战力值	品质11下属性的战力值	品质系数ID	通用参数(强化时为放大系数，精炼时为所属星级)，符印的话（0无，1天，2地，3人） 
20121200	4	1	1	1068	10000	10000	177	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	201	4
20121200	5	1	1	1010	10000	10000	140	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	201	5
20121200	6	1	1	1008	10000	10000	160	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	201	6
20121200	7	1	1	1068	10000	10000	266	0	0	0	0	0	0	0	0	0	0	318	0	0	0	0	0	0	0	0	0	0	201	7
20121200	8	1	1	1008	10000	10000	220	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	201	8
20121200	9	1	1	1010	10000	10000	320	0	0	0	0	0	0	0	0	0	0	385	0	0	0	0	0	0	0	0	0	0	201	9
20121200	10	1	1	1068	10000	10000	354	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	201	10
20221200	1	1	1	1072	10000	10000	1134	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	201	1
20221200	2	1	1	1006	10000	10000	80	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	201	2
20221200	3	1	1	1075	10000	10000	100	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	201	3
20221200	4	1	1	1072	10000	10000	2268	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	201	4
20221200	5	1	1	1006	10000	10000	140	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	201	5
20221200	6	1	1	1075	10000	10000	160	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	201	6
20221200	7	1	1	1072	10000	10000	3401	0	0	0	0	0	0	0	0	0	0	318	0	0	0	0	0	0	0	0	0	0	201	7
20221200	8	1	1	1075	10000	10000	220	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	201	8
20221200	9	1	1	1006	10000	10000	320	0	0	0	0	0	0	0	0	0	0	385	0	0	0	0	0	0	0	0	0	0	201	9
20221200	10	1	1	1072	10000	10000	4535	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	201	10
20321200	1	1	1	1071	10000	10000	89	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	201	1
20321200	2	1	1	1010	10000	10000	80	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	201	2
20321200	3	1	1	1008	10000	10000	100	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	201	3
20321200	4	1	1	1071	10000	10000	177	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	201	4
20321200	5	1	1	1010	10000	10000	140	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	201	5
20321200	6	1	1	1008	10000	10000	160	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	201	6
20321200	7	1	1	1071	10000	10000	266	0	0	0	0	0	0	0	0	0	0	318	0	0	0	0	0	0	0	0	0	0	201	7
20321200	8	1	1	1008	10000	10000	220	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	201	8
20321200	9	1	1	1010	10000	10000	320	0	0	0	0	0	0	0	0	0	0	385	0	0	0	0	0	0	0	0	0	0	201	9
20321200	10	1	1	1071	10000	10000	354	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	201	10
20421200	1	1	1	1065	10000	10000	29	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	201	1
20421200	2	1	1	1007	10000	10000	80	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	201	2
20421200	3	1	1	1011	10000	10000	100	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	201	3
20421200	4	1	1	1065	10000	10000	59	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	201	4
20421200	5	1	1	1007	10000	10000	140	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	201	5
20421200	6	1	1	1011	10000	10000	160	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	201	6
20421200	7	1	1	1065	10000	10000	88	0	0	0	0	0	0	0	0	0	0	318	0	0	0	0	0	0	0	0	0	0	201	7
20421200	8	1	1	1011	10000	10000	220	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	201	8
20421200	9	1	1	1007	10000	10000	320	0	0	0	0	0	0	0	0	0	0	385	0	0	0	0	0	0	0	0	0	0	201	9
20421200	10	1	1	1065	10000	10000	118	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	201	10
20521200	1	1	1	1065	10000	10000	29	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	201	1
20521200	2	1	1	1007	10000	10000	80	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	201	2
20521200	3	1	1	1011	10000	10000	100	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	201	3
20521200	4	1	1	1065	10000	10000	59	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	201	4
20521200	5	1	1	1007	10000	10000	140	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	201	5
20521200	6	1	1	1011	10000	10000	160	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	201	6
20521200	7	1	1	1065	10000	10000	88	0	0	0	0	0	0	0	0	0	0	318	0	0	0	0	0	0	0	0	0	0	201	7
20521200	8	1	1	1011	10000	10000	220	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	201	8
20521200	9	1	1	1007	10000	10000	320	0	0	0	0	0	0	0	0	0	0	385	0	0	0	0	0	0	0	0	0	0	201	9
20521200	10	1	1	1065	10000	10000	118	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	201	10
20621200	1	1	1	1065	10000	10000	29	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	201	1
20621200	2	1	1	1006	10000	10000	80	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	201	2
20621200	3	1	1	1075	10000	10000	100	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	201	3
20621200	4	1	1	1065	10000	10000	59	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	201	4
20621200	5	1	1	1006	10000	10000	140	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	201	5
20621200	6	1	1	1075	10000	10000	160	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	201	6
20621200	7	1	1	1065	10000	10000	88	0	0	0	0	0	0	0	0	0	0	318	0	0	0	0	0	0	0	0	0	0	201	7
20621200	8	1	1	1075	10000	10000	220	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	201	8
20621200	9	1	1	1006	10000	10000	320	0	0	0	0	0	0	0	0	0	0	385	0	0	0	0	0	0	0	0	0	0	201	9
20621200	10	1	1	1065	10000	10000	118	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	201	10
20721200	1	1	1	1072	10000	10000	1134	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	201	1
20721200	2	1	1	1006	10000	10000	80	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	201	2
20721200	3	1	1	1075	10000	10000	100	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	201	3
20721200	4	1	1	1072	10000	10000	2268	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	201	4
20721200	5	1	1	1006	10000	10000	140	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	201	5
20721200	6	1	1	1075	10000	10000	160	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	201	6
20721200	7	1	1	1072	10000	10000	3401	0	0	0	0	0	0	0	0	0	0	318	0	0	0	0	0	0	0	0	0	0	201	7
20721200	8	1	1	1075	10000	10000	220	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	201	8
20721200	9	1	1	1006	10000	10000	320	0	0	0	0	0	0	0	0	0	0	385	0	0	0	0	0	0	0	0	0	0	201	9
20721200	10	1	1	1072	10000	10000	4535	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	201	10
20821200	1	1	1	1070	10000	10000	79	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	201	1
20821200	2	1	1	1074	10000	10000	80	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	201	2
20821200	3	1	1	1005	10000	10000	100	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	201	3
20821200	4	1	1	1070	10000	10000	159	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	201	4
20821200	5	1	1	1074	10000	10000	140	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	201	5
20821200	6	1	1	1005	10000	10000	160	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	201	6
20821200	7	1	1	1070	10000	10000	239	0	0	0	0	0	0	0	0	0	0	318	0	0	0	0	0	0	0	0	0	0	201	7
20821200	8	1	1	1005	10000	10000	220	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	201	8
20821200	9	1	1	1074	10000	10000	320	0	0	0	0	0	0	0	0	0	0	385	0	0	0	0	0	0	0	0	0	0	201	9
20821200	10	1	1	1070	10000	10000	319	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	201	10
20921200	1	1	1	1072	10000	10000	1134	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	201	1
20921200	2	1	1	1074	10000	10000	80	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	201	2
20921200	3	1	1	1005	10000	10000	100	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	201	3
20921200	4	1	1	1072	10000	10000	2268	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	201	4
20921200	5	1	1	1074	10000	10000	140	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	201	5
20921200	6	1	1	1005	10000	10000	160	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	201	6
20921200	7	1	1	1072	10000	10000	3401	0	0	0	0	0	0	0	0	0	0	318	0	0	0	0	0	0	0	0	0	0	201	7
20921200	8	1	1	1005	10000	10000	220	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	201	8
20921200	9	1	1	1074	10000	10000	320	0	0	0	0	0	0	0	0	0	0	385	0	0	0	0	0	0	0	0	0	0	201	9
20921200	10	1	1	1072	10000	10000	4535	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	201	10
20021300	1	1	1	1070	10000	10000	143	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	201	1
20021300	2	1	1	1007	10000	10000	104	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	201	2
20021300	3	1	1	1011	10000	10000	130	0	0	0	0	0	0	0	0	0	0	364	0	0	0	0	0	0	0	0	0	0	201	3
20021300	4	1	1	1070	10000	10000	286	0	0	0	0	0	0	0	0	0	0	467	0	0	0	0	0	0	0	0	0	0	201	4
20021300	5	1	1	1007	10000	10000	182	0	0	0	0	0	0	0	0	0	0	537	0	0	0	0	0	0	0	0	0	0	201	5
20021300	6	1	1	1011	10000	10000	208	0	0	0	0	0	0	0	0	0	0	618	0	0	0	0	0	0	0	0	0	0	201	6
20021300	7	1	1	1070	10000	10000	429	0	0	0	0	0	0	0	0	0	0	701	0	0	0	0	0	0	0	0	0	0	201	7
20021300	8	1	1	1011	10000	10000	286	0	0	0	0	0	0	0	0	0	0	771	0	0	0	0	0	0	0	0	0	0	201	8
20021300	9	1	1	1007	10000	10000	416	0	0	0	0	0	0	0	0	0	0	848	0	0	0	0	0	0	0	0	0	0	201	9
20021300	10	1	1	1070	10000	10000	573	0	0	0	0	0	0	0	0	0	0	936	0	0	0	0	0	0	0	0	0	0	201	10
20121300	1	1	1	1068	10000	10000	159	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	201	1
20121300	2	1	1	1010	10000	10000	104	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	201	2
20121300	3	1	1	1008	10000	10000	130	0	0	0	0	0	0	0	0	0	0	364	0	0	0	0	0	0	0	0	0	0	201	3
20121300	4	1	1	1068	10000	10000	319	0	0	0	0	0	0	0	0	0	0	467	0	0	0	0	0	0	0	0	0	0	201	4
20121300	5	1	1	1010	10000	10000	182	0	0	0	0	0	0	0	0	0	0	537	0	0	0	0	0	0	0	0	0	0	201	5
20121300	6	1	1	1008	10000	10000	208	0	0	0	0	0	0	0	0	0	0	618	0	0	0	0	0	0	0	0	0	0	201	6
20121300	7	1	1	1068	10000	10000	478	0	0	0	0	0	0	0	0	0	0	701	0	0	0	0	0	0	0	0	0	0	201	7
20121300	8	1	1	1008	10000	10000	286	0	0	0	0	0	0	0	0	0	0	771	0	0	0	0	0	0	0	0	0	0	201	8
20121300	9	1	1	1010	10000	10000	416	0	0	0	0	0	0	0	0	0	0	848	0	0	0	0	0	0	0	0	0	0	201	9
20121300	10	1	1	1068	10000	10000	637	0	0	0	0	0	0	0	0	0	0	936	0	0	0	0	0	0	0	0	0	0	201	10
20221300	1	1	1	1072	10000	10000	2072	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	201	1
20221300	2	1	1	1006	10000	10000	104	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	201	2
20221300	3	1	1	1075	10000	10000	130	0	0	0	0	0	0	0	0	0	0	364	0	0	0	0	0	0	0	0	0	0	201	3
20221300	4	1	1	1072	10000	10000	4145	0	0	0	0	0	0	0	0	0	0	467	0	0	0	0	0	0	0	0	0	0	201	4
20221300	5	1	1	1006	10000	10000	182	0	0	0	0	0	0	0	0	0	0	537	0	0	0	0	0	0	0	0	0	0	201	5
20221300	6	1	1	1075	10000	10000	208	0	0	0	0	0	0	0	0	0	0	618	0	0	0	0	0	0	0	0	0	0	201	6
20221300	7	1	1	1072	10000	10000	6216	0	0	0	0	0	0	0	0	0	0	701	0	0	0	0	0	0	0	0	0	0	201	7
20221300	8	1	1	1075	10000	10000	286	0	0	0	0	0	0	0	0	0	0	771	0	0	0	0	0	0	0	0	0	0	201	8
20221300	9	1	1	1006	10000	10000	416	0	0	0	0	0	0	0	0	0	0	848	0	0	0	0	0	0	0	0	0	0	201	9
20221300	10	1	1	1072	10000	10000	8289	0	0	0	0	0	0	0	0	0	0	936	0	0	0	0	0	0	0	0	0	0	201	10
20321300	1	1	1	1071	10000	10000	159	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	201	1
20321300	2	1	1	1010	10000	10000	104	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	201	2
20321300	3	1	1	1008	10000	10000	130	0	0	0	0	0	0	0	0	0	0	364	0	0	0	0	0	0	0	0	0	0	201	3
20321300	4	1	1	1071	10000	10000	319	0	0	0	0	0	0	0	0	0	0	467	0	0	0	0	0	0	0	0	0	0	201	4
20321300	5	1	1	1010	10000	10000	182	0	0	0	0	0	0	0	0	0	0	537	0	0	0	0	0	0	0	0	0	0	201	5
20321300	6	1	1	1008	10000	10000	208	0	0	0	0	0	0	0	0	0	0	618	0	0	0	0	0	0	0	0	0	0	201	6
20321300	7	1	1	1071	10000	10000	478	0	0	0	0	0	0	0	0	0	0	701	0	0	0	0	0	0	0	0	0	0	201	7
20321300	8	1	1	1008	10000	10000	286	0	0	0	0	0	0	0	0	0	0	771	0	0	0	0	0	0	0	0	0	0	201	8
20321300	9	1	1	1010	10000	10000	416	0	0	0	0	0	0	0	0	0	0	848	0	0	0	0	0	0	0	0	0	0	201	9
20321300	10	1	1	1071	10000	10000	637	0	0	0	0	0	0	0	0	0	0	936	0	0	0	0	0	0	0	0	0	0	201	10
20421300	1	1	1	1065	10000	10000	53	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	201	1
20421300	2	1	1	1007	10000	10000	104	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	201	2
20421300	3	1	1	1011	10000	10000	130	0	0	0	0	0	0	0	0	0	0	364	0	0	0	0	0	0	0	0	0	0	201	3
20421300	4	1	1	1065	10000	10000	106	0	0	0	0	0	0	0	0	0	0	467	0	0	0	0	0	0	0	0	0	0	201	4
20421300	5	1	1	1007	10000	10000	182	0	0	0	0	0	0	0	0	0	0	537	0	0	0	0	0	0	0	0	0	0	201	5
20421300	6	1	1	1011	10000	10000	208	0	0	0	0	0	0	0	0	0	0	618	0	0	0	0	0	0	0	0	0	0	201	6
20421300	7	1	1	1065	10000	10000	159	0	0	0	0	0	0	0	0	0	0	701	0	0	0	0	0	0	0	0	0	0	201	7
20421300	8	1	1	1011	10000	10000	286	0	0	0	0	0	0	0	0	0	0	771	0	0	0	0	0	0	0	0	0	0	201	8
20421300	9	1	1	1007	10000	10000	416	0	0	0	0	0	0	0	0	0	0	848	0	0	0	0	0	0	0	0	0	0	201	9
20421300	10	1	1	1065	10000	10000	212	0	0	0	0	0	0	0	0	0	0	936	0	0	0	0	0	0	0	0	0	0	201	10
20521300	1	1	1	1065	10000	10000	53	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	201	1
20521300	2	1	1	1007	10000	10000	104	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	201	2
20521300	3	1	1	1011	10000	10000	130	0	0	0	0	0	0	0	0	0	0	364	0	0	0	0	0	0	0	0	0	0	201	3
20521300	4	1	1	1065	10000	10000	106	0	0	0	0	0	0	0	0	0	0	467	0	0	0	0	0	0	0	0	0	0	201	4
20521300	5	1	1	1007	10000	10000	182	0	0	0	0	0	0	0	0	0	0	537	0	0	0	0	0	0	0	0	0	0	201	5
20521300	6	1	1	1011	10000	10000	208	0	0	0	0	0	0	0	0	0	0	618	0	0	0	0	0	0	0	0	0	0	201	6
20521300	7	1	1	1065	10000	10000	159	0	0	0	0	0	0	0	0	0	0	701	0	0	0	0	0	0	0	0	0	0	201	7
20521300	8	1	1	1011	10000	10000	286	0	0	0	0	0	0	0	0	0	0	771	0	0	0	0	0	0	0	0	0	0	201	8
20521300	9	1	1	1007	10000	10000	416	0	0	0	0	0	0	0	0	0	0	848	0	0	0	0	0	0	0	0	0	0	201	9
20521300	10	1	1	1065	10000	10000	212	0	0	0	0	0	0	0	0	0	0	936	0	0	0	0	0	0	0	0	0	0	201	10
20621300	1	1	1	1065	10000	10000	53	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	201	1
20621300	2	1	1	1006	10000	10000	104	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	201	2
20621300	3	1	1	1075	10000	10000	130	0	0	0	0	0	0	0	0	0	0	364	0	0	0	0	0	0	0	0	0	0	201	3
20621300	4	1	1	1065	10000	10000	106	0	0	0	0	0	0	0	0	0	0	467	0	0	0	0	0	0	0	0	0	0	201	4
20621300	5	1	1	1006	10000	10000	182	0	0	0	0	0	0	0	0	0	0	537	0	0	0	0	0	0	0	0	0	0	201	5
20621300	6	1	1	1075	10000	10000	208	0	0	0	0	0	0	0	0	0	0	618	0	0	0	0	0	0	0	0	0	0	201	6
20621300	7	1	1	1065	10000	10000	159	0	0	0	0	0	0	0	0	0	0	701	0	0	0	0	0	0	0	0	0	0	201	7
20621300	8	1	1	1075	10000	10000	286	0	0	0	0	0	0	0	0	0	0	771	0	0	0	0	0	0	0	0	0	0	201	8
20621300	9	1	1	1006	10000	10000	416	0	0	0	0	0	0	0	0	0	0	848	0	0	0	0	0	0	0	0	0	0	201	9
20621300	10	1	1	1065	10000	10000	212	0	0	0	0	0	0	0	0	0	0	936	0	0	0	0	0	0	0	0	0	0	201	10
20721300	1	1	1	1072	10000	10000	2072	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	201	1
20721300	2	1	1	1006	10000	10000	104	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	201	2
20721300	3	1	1	1075	10000	10000	130	0	0	0	0	0	0	0	0	0	0	364	0	0	0	0	0	0	0	0	0	0	201	3
20721300	4	1	1	1072	10000	10000	4145	0	0	0	0	0	0	0	0	0	0	467	0	0	0	0	0	0	0	0	0	0	201	4
20721300	5	1	1	1006	10000	10000	182	0	0	0	0	0	0	0	0	0	0	537	0	0	0	0	0	0	0	0	0	0	201	5
20721300	6	1	1	1075	10000	10000	208	0	0	0	0	0	0	0	0	0	0	618	0	0	0	0	0	0	0	0	0	0	201	6
20721300	7	1	1	1072	10000	10000	6216	0	0	0	0	0	0	0	0	0	0	701	0	0	0	0	0	0	0	0	0	0	201	7
20721300	8	1	1	1075	10000	10000	286	0	0	0	0	0	0	0	0	0	0	771	0	0	0	0	0	0	0	0	0	0	201	8
20721300	9	1	1	1006	10000	10000	416	0	0	0	0	0	0	0	0	0	0	848	0	0	0	0	0	0	0	0	0	0	201	9
20721300	10	1	1	1072	10000	10000	8289	0	0	0	0	0	0	0	0	0	0	936	0	0	0	0	0	0	0	0	0	0	201	10
20821300	1	1	1	1070	10000	10000	143	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	201	1
20821300	2	1	1	1074	10000	10000	104	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	201	2
20821300	3	1	1	1005	10000	10000	130	0	0	0	0	0	0	0	0	0	0	364	0	0	0	0	0	0	0	0	0	0	201	3
20821300	4	1	1	1070	10000	10000	286	0	0	0	0	0	0	0	0	0	0	467	0	0	0	0	0	0	0	0	0	0	201	4
20821300	5	1	1	1074	10000	10000	182	0	0	0	0	0	0	0	0	0	0	537	0	0	0	0	0	0	0	0	0	0	201	5
20821300	6	1	1	1005	10000	10000	208	0	0	0	0	0	0	0	0	0	0	618	0	0	0	0	0	0	0	0	0	0	201	6
20821300	7	1	1	1070	10000	10000	429	0	0	0	0	0	0	0	0	0	0	701	0	0	0	0	0	0	0	0	0	0	201	7
20821300	8	1	1	1005	10000	10000	286	0	0	0	0	0	0	0	0	0	0	771	0	0	0	0	0	0	0	0	0	0	201	8
20821300	9	1	1	1074	10000	10000	416	0	0	0	0	0	0	0	0	0	0	848	0	0	0	0	0	0	0	0	0	0	201	9
20821300	10	1	1	1070	10000	10000	573	0	0	0	0	0	0	0	0	0	0	936	0	0	0	0	0	0	0	0	0	0	201	10
20921300	1	1	1	1072	10000	10000	2072	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	201	1
20921300	2	1	1	1074	10000	10000	104	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	201	2
20921300	3	1	1	1005	10000	10000	130	0	0	0	0	0	0	0	0	0	0	364	0	0	0	0	0	0	0	0	0	0	201	3
20921300	4	1	1	1072	10000	10000	4145	0	0	0	0	0	0	0	0	0	0	467	0	0	0	0	0	0	0	0	0	0	201	4
20921300	5	1	1	1074	10000	10000	182	0	0	0	0	0	0	0	0	0	0	537	0	0	0	0	0	0	0	0	0	0	201	5
20921300	6	1	1	1005	10000	10000	208	0	0	0	0	0	0	0	0	0	0	618	0	0	0	0	0	0	0	0	0	0	201	6
20921300	7	1	1	1072	10000	10000	6216	0	0	0	0	0	0	0	0	0	0	701	0	0	0	0	0	0	0	0	0	0	201	7
20921300	8	1	1	1005	10000	10000	286	0	0	0	0	0	0	0	0	0	0	771	0	0	0	0	0	0	0	0	0	0	201	8
20921300	9	1	1	1074	10000	10000	416	0	0	0	0	0	0	0	0	0	0	848	0	0	0	0	0	0	0	0	0	0	201	9
20921300	10	1	1	1072	10000	10000	8289	0	0	0	0	0	0	0	0	0	0	936	0	0	0	0	0	0	0	0	0	0	201	10
20021400	1	1	1	1070	10000	10000	210	0	0	0	0	0	0	0	0	0	0	407	0	0	0	0	0	0	0	0	0	0	201	1
20021400	2	1	1	1007	10000	10000	140	0	0	0	0	0	0	0	0	0	0	538	0	0	0	0	0	0	0	0	0	0	201	2
20021400	3	1	1	1011	10000	10000	175	0	0	0	0	0	0	0	0	0	0	636	0	0	0	0	0	0	0	0	0	0	201	3
20021400	4	1	1	1070	10000	10000	420	0	0	0	0	0	0	0	0	0	0	817	0	0	0	0	0	0	0	0	0	0	201	4
20021400	5	1	1	1007	10000	10000	245	0	0	0	0	0	0	0	0	0	0	940	0	0	0	0	0	0	0	0	0	0	201	5
20021400	6	1	1	1011	10000	10000	280	0	0	0	0	0	0	0	0	0	0	1081	0	0	0	0	0	0	0	0	0	0	201	6
20021400	7	1	1	1070	10000	10000	630	0	0	0	0	0	0	0	0	0	0	1225	0	0	0	0	0	0	0	0	0	0	201	7
20021400	8	1	1	1011	10000	10000	385	0	0	0	0	0	0	0	0	0	0	1348	0	0	0	0	0	0	0	0	0	0	201	8
