品质主ID	副ID（0普通生成用，1免费重铸用，2付费重铸用……10~19各种掉落用，20~29各种制造用）	有效标志位	品质0出现几率	品质1出现几率	品质2出现几率	品质3出现几率	品质4出现几率	品质5出现几率	品质6出现几率	品质7出现几率	品质8出现几率	品质9出现几率	品质0步数	品质1步数	品质2步数	品质3步数	品质4步数	品质5步数	品质6步数	品质7步数	品质8步数	品质9步数	品质0升级成功率	品质1升级成功率	品质2升级成功率	品质3升级成功率	品质4升级成功率	品质5升级成功率	品质6升级成功率	品质7升级成功率	品质8升级成功率	品质9升级成功率	品质0暴击成功率	品质1暴击成功率	品质2暴击成功率	品质3暴击成功率	品质4暴击成功率	品质5暴击成功率	品质6暴击成功率	品质7暴击成功率	品质8暴击成功率	品质9暴击成功率
631	2	1	10000	0	0	0	0	0	0	0	0	0	7	7	7	6	7	7	8	33	33	82	6000	6000	6000	6000	6000	6000	6000	2800	2800	2000	8000	8000	8000	8000	8000	8000	8000	4000	4000	0
701	0	1	3750	1250	3750	1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
701	1	1	10000	0	0	0	0	0	0	0	0	0	10000	0	0	4	6	6	9	11	22	44	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
701	2	1	10000	0	0	0	0	0	0	0	0	0	10000	0	0	2	3	3	5	6	11	44	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
701	8	1	0	0	0	0	0	0	0	0	0	10000	10000	0	0	1	1	1	1	1	2	8	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	0	0	0	0	0	0	0	0	0	0
701	10	1	7500	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
701	11	1	0	0	7500	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
701	12	1	0	0	0	0	7500	1900	600	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
701	13	1	0	0	0	0	0	0	0	7500	1900	600	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
701	14	1	3750	1250	3750	1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
701	20	1	4480	3200	320	1600	320	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
701	21	1	0	0	0	1600	320	80	6000	1600	320	80	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
701	22	1	3360	2400	240	3120	624	156	75	20	4	1	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
701	23	1	0	0	0	1600	320	80	6000	1600	320	80	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
711	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	2000	2000	2000	2000	2000	2000	2000	0	0	0
711	1	1	10000	0	0	0	0	0	0	0	0	0	4	4	5	4	5	5	6	24	36	60	10000	10000	10000	10000	10000	10000	10000	8000	8000	2500	2000	2000	2000	2000	2000	2000	2000	0	0	0
711	2	1	10000	0	0	0	0	0	0	0	0	0	2	2	3	2	3	3	3	13	19	32	10000	10000	10000	10000	10000	10000	10000	8000	8000	2500	8000	8000	8000	8000	8000	8000	8000	4000	4000	0
721	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	2000	2000	2000	2000	2000	2000	2000	0	0	0
721	1	1	10000	0	0	0	0	0	0	0	0	0	6	6	7	6	7	7	8	40	40	80	9000	9000	9000	9000	9000	9000	9000	5000	5000	2500	100	100	100	100	100	100	100	0	0	0
721	2	1	10000	0	0	0	0	0	0	0	0	0	3	3	4	3	4	4	4	21	21	42	9000	9000	9000	9000	9000	9000	9000	5000	5000	2500	8000	8000	8000	8000	8000	8000	8000	4000	4000	0
731	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	2000	2000	2000	2000	2000	2000	2000	0	0	0
731	1	1	10000	0	0	0	0	0	0	0	0	0	8	8	10	8	10	10	11	55	55	110	6000	6000	6000	6000	6000	6000	6000	3500	3500	2000	100	100	100	100	100	100	100	0	0	0
731	2	1	10000	0	0	0	0	0	0	0	0	0	4	4	5	4	5	5	6	29	29	58	6000	6000	6000	6000	6000	6000	6000	3500	3500	2000	8000	8000	8000	8000	8000	8000	8000	4000	4000	0
801	0	1	3750	1250	3750	1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
801	1	1	10000	0	0	0	0	0	0	0	0	0	10000	0	0	4	6	10	9	18	36	72	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
801	2	1	10000	0	0	0	0	0	0	0	0	0	10000	0	0	2	3	5	5	9	18	72	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
801	8	1	0	0	0	0	0	0	0	0	0	10000	10000	0	0	1	1	1	1	1	2	8	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	0	0	0	0	0	0	0	0	0	0
801	10	1	7500	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
801	11	1	0	0	7500	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
801	12	1	0	0	0	0	7500	1900	600	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
801	13	1	0	0	0	0	0	0	0	7500	1900	600	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
801	14	1	3750	1250	3750	1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
801	20	1	4480	3200	320	1600	320	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
801	21	1	0	0	0	1600	320	80	6000	1600	320	80	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
801	22	1	3360	2400	240	3120	624	156	75	20	4	1	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
801	23	1	0	0	0	1600	320	80	6000	1600	320	80	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
811	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	2000	2000	2000	2000	2000	2000	2000	0	0	0
811	1	1	10000	0	0	0	0	0	0	0	0	0	5	5	5	6	5	6	7	28	42	70	10000	10000	10000	10000	10000	10000	10000	8000	8000	2500	2000	2000	2000	2000	2000	2000	2000	0	0	0
811	2	1	10000	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3	4	15	22	37	10000	10000	10000	10000	10000	10000	10000	8000	8000	2500	8000	8000	8000	8000	8000	8000	8000	4000	4000	0
821	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	2000	2000	2000	2000	2000	2000	2000	0	0	0
821	1	1	10000	0	0	0	0	0	0	0	0	0	7	7	7	8	7	8	10	50	50	100	9000	9000	9000	9000	9000	9000	9000	5000	5000	2500	100	100	100	100	100	100	100	0	0	0
821	2	1	10000	0	0	0	0	0	0	0	0	0	4	4	4	4	4	4	5	26	26	53	9000	9000	9000	9000	9000	9000	9000	5000	5000	2500	8000	8000	8000	8000	8000	8000	8000	4000	4000	0
831	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	2000	2000	2000	2000	2000	2000	2000	0	0	0
831	1	1	10000	0	0	0	0	0	0	0	0	0	10	10	10	11	10	11	14	70	70	140	6000	6000	6000	6000	6000	6000	6000	3500	3500	2000	100	100	100	100	100	100	100	0	0	0
831	2	1	10000	0	0	0	0	0	0	0	0	0	5	5	5	6	5	6	7	37	37	74	6000	6000	6000	6000	6000	6000	6000	3500	3500	2000	8000	8000	8000	8000	8000	8000	8000	4000	4000	0
901	0	1	3750	1250	3750	1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
901	1	1	10000	0	0	0	0	0	0	0	0	0	10000	0	0	4	6	12	9	22	44	88	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
901	2	1	10000	0	0	0	0	0	0	0	0	0	10000	0	0	2	3	6	5	11	22	88	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
901	8	1	0	0	0	0	0	0	0	0	0	10000	10000	0	0	1	1	1	1	1	2	8	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	0	0	0	0	0	0	0	0	0	0
901	10	1	7500	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
901	11	1	0	0	7500	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
901	12	1	0	0	0	0	7500	1900	600	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
901	13	1	0	0	0	0	0	0	0	7500	1900	600	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
901	14	1	3750	1250	3750	1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
901	20	1	4480	3200	320	1600	320	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
901	21	1	0	0	0	1600	320	80	6000	1600	320	80	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
901	22	1	3360	2400	240	3120	624	156	75	20	4	1	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
901	23	1	0	0	0	1600	320	80	6000	1600	320	80	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
911	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	2000	2000	2000	2000	2000	2000	2000	0	0	0
911	1	1	10000	0	0	0	0	0	0	0	0	0	8	8	8	7	8	8	9	36	54	90	10000	10000	10000	10000	10000	10000	10000	8000	8000	2500	2000	2000	2000	2000	2000	2000	2000	0	0	0
911	2	1	10000	0	0	0	0	0	0	0	0	0	5	5	5	5	5	5	6	24	36	60	10000	10000	10000	10000	10000	10000	10000	8000	8000	2500	8000	8000	8000	8000	8000	8000	8000	4000	4000	0
921	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	2000	2000	2000	2000	2000	2000	2000	0	0	0
921	1	1	10000	0	0	0	0	0	0	0	0	0	11	11	11	10	11	11	13	65	65	130	9000	9000	9000	9000	9000	9000	9000	5000	5000	2500	100	100	100	100	100	100	100	0	0	0
921	2	1	10000	0	0	0	0	0	0	0	0	0	7	7	7	7	7	7	9	43	43	87	9000	9000	9000	9000	9000	9000	9000	5000	5000	2500	8000	8000	8000	8000	8000	8000	8000	4000	4000	0
931	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	2000	2000	2000	2000	2000	2000	2000	0	0	0
931	1	1	10000	0	0	0	0	0	0	0	0	0	15	15	15	14	15	15	18	90	90	180	6000	6000	6000	6000	6000	6000	6000	3500	3500	2000	100	100	100	100	100	100	100	0	0	0
931	2	1	10000	0	0	0	0	0	0	0	0	0	10	10	10	9	10	10	12	60	60	120	6000	6000	6000	6000	6000	6000	6000	3500	3500	2000	8000	8000	8000	8000	8000	8000	8000	4000	4000	0
102	0	1	1500	500	6000	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
102	1	1	10000	0	0	0	0	0	0	0	0	0	10000	0	0	1	1	6	3	3	6	12	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
102	2	1	10000	0	0	0	0	0	0	0	0	0	10000	0	0	1	1	3	3	3	3	12	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
102	8	1	0	0	0	0	0	0	0	0	0	10000	10000	0	0	1	1	1	1	1	2	8	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	0	0	0	0	0	0	0	0	0	0
102	10	1	7500	2500	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
102	11	1	0	0	7500	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
102	12	1	0	0	0	0	7500	1900	600	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
102	13	1	0	0	0	0	0	0	0	7500	1900	600	10000	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
102	14	1	3750	1250	3750	1250	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
112	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	0	0	0	0	0	0	0	0	0	0
112	1	1	10000	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	4	6	10	10000	10000	10000	10000	10000	10000	10000	10000	10000	2500	0	0	0	0	0	0	0	0	0	0
112	2	1	10000	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	4	6	10	10000	10000	10000	10000	10000	10000	10000	10000	10000	2500	8000	8000	8000	8000	8000	8000	8000	4000	4000	0
122	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
122	1	1	10000	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	2	3	5	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
122	2	1	10000	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	2	3	5	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
202	0	1	3750	1250	3750	1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
202	1	1	10000	0	0	0	0	0	0	0	0	0	10000	0	0	3	5	5	8	9	18	36	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
202	2	1	10000	0	0	0	0	0	0	0	0	0	10000	0	0	2	3	3	4	5	9	36	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
202	8	1	0	0	0	0	0	0	0	0	0	10000	10000	0	0	1	1	1	1	1	2	8	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	0	0	0	0	0	0	0	0	0	0
202	10	1	7500	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
202	11	1	0	0	7500	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
202	12	1	0	0	0	0	7500	1900	600	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
202	13	1	0	0	0	0	0	0	0	7500	1900	600	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
202	14	1	3750	1250	3750	1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
212	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	2000	2000	2000	2000	2000	2000	2000	0	0	0
212	1	1	10000	0	0	0	0	0	0	0	0	0	3	2	3	2	3	3	4	16	24	40	10000	10000	10000	10000	10000	10000	10000	8000	8000	2500	2000	2000	2000	2000	2000	2000	2000	0	0	0
212	2	1	10000	0	0	0	0	0	0	0	0	0	3	2	3	2	3	3	4	16	24	40	10000	10000	10000	10000	10000	10000	10000	8000	8000	2500	8000	8000	8000	8000	8000	8000	8000	4000	4000	0
222	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	2000	2000	2000	2000	2000	2000	2000	0	0	0
222	1	1	10000	0	0	0	0	0	0	0	0	0	4	3	4	3	4	4	6	11	12	45	9000	9000	9000	9000	9000	9000	9000	1917	1917	1875	100	100	100	100	100	100	100	0	0	0
222	2	1	10000	0	0	0	0	0	0	0	0	0	4	3	4	3	4	4	6	11	12	45	9000	9000	9000	9000	9000	9000	9000	1917	1917	1875	8000	8000	8000	8000	8000	8000	8000	4000	4000	0
232	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	2000	2000	2000	2000	2000	2000	2000	0	0	0
232	1	1	10000	0	0	0	0	0	0	0	0	0	6	4	6	4	6	6	8	26	27	80	6000	6000	6000	6000	6000	6000	6000	2319	2319	2000	100	100	100	100	100	100	100	0	0	0
232	2	1	10000	0	0	0	0	0	0	0	0	0	6	4	6	4	6	6	8	26	27	80	6000	6000	6000	6000	6000	6000	6000	2319	2319	2000	8000	8000	8000	8000	8000	8000	8000	4000	4000	0
302	0	1	3750	1250	3750	1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
302	1	1	10000	0	0	0	0	0	0	0	0	0	10000	0	0	4	8	5	12	9	18	36	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
302	2	1	10000	0	0	0	0	0	0	0	0	0	10000	0	0	2	4	3	6	5	9	36	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
302	8	1	0	0	0	0	0	0	0	0	0	10000	10000	0	0	1	1	1	1	1	2	8	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	0	0	0	0	0	0	0	0	0	0
302	10	1	7500	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
302	11	1	0	0	7500	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
302	12	1	0	0	0	0	7500	1900	600	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
302	13	1	0	0	0	0	0	0	0	7500	1900	600	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
302	14	1	3750	1250	3750	1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
312	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	2000	2000	2000	2000	2000	2000	2000	0	0	0
312	1	1	10000	0	0	0	0	0	0	0	0	0	4	4	5	4	5	5	6	24	36	60	10000	10000	10000	10000	10000	10000	10000	8000	8000	2500	2000	2000	2000	2000	2000	2000	2000	0	0	0
312	2	1	10000	0	0	0	0	0	0	0	0	0	3	3	4	3	4	4	5	20	30	50	10000	10000	10000	10000	10000	10000	10000	8000	8000	2500	8000	8000	8000	8000	8000	8000	8000	4000	4000	0
322	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	2000	2000	2000	2000	2000	2000	2000	0	0	0
322	1	1	10000	0	0	0	0	0	0	0	0	0	6	6	7	6	7	7	8	15	15	60	9000	9000	9000	9000	9000	9000	9000	1875	1875	1875	100	100	100	100	100	100	100	0	0	0
322	2	1	10000	0	0	0	0	0	0	0	0	0	5	5	6	5	6	6	7	13	13	50	9000	9000	9000	9000	9000	9000	9000	1875	1875	1875	8000	8000	8000	8000	8000	8000	8000	4000	4000	0
332	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	2000	2000	2000	2000	2000	2000	2000	0	0	0
332	1	1	10000	0	0	0	0	0	0	0	0	0	8	8	10	8	10	10	11	32	33	110	6000	6000	6000	6000	6000	6000	6000	2068	2068	2000	100	100	100	100	100	100	100	0	0	0
332	2	1	10000	0	0	0	0	0	0	0	0	0	7	7	8	7	8	8	9	27	28	92	6000	6000	6000	6000	6000	6000	6000	2068	2068	2000	8000	8000	8000	8000	8000	8000	8000	4000	4000	0
402	0	1	3750	1250	3750	1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
402	1	1	10000	0	0	0	0	0	0	0	0	0	10000	0	0	6	9	6	14	11	22	44	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
402	2	1	10000	0	0	0	0	0	0	0	0	0	10000	0	0	3	5	3	7	6	11	44	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
402	8	1	0	0	0	0	0	0	0	0	0	10000	10000	0	0	1	1	1	1	1	2	8	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	0	0	0	0	0	0	0	0	0	0
402	10	1	7500	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
402	11	1	0	0	7500	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
402	12	1	0	0	0	0	7500	1900	600	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
402	13	1	0	0	0	0	0	0	0	7500	1900	600	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
402	14	1	3750	1250	3750	1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	3000	3000	3000	3000	3000	3000	3000	1000	1000	10
412	0	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	10000	10000	10000	10000	10000	3000	3000	1000	2000	2000	2000	2000	2000	2000	2000	0	0	0
412	1	1	10000	0	0	0	0	0	0	0	0	0	4	4	5	4	5	5	6	24	36	60	10000	10000	10000	10000	10000	10000	10000	8000	8000	2500	2000	2000	2000	2000	2000	2000	2000	0	0	0
