备注	行为ID	有效标志	警戒范围（已*10)	战斗范围（已*10)	待机行走方式（0呆站，9个体巡逻，10群组巡逻）	走路速度（未*10）	奔跑速度（未*10）	camp1阵营1，2阵营2兼敌对，3阵营3和12敌对，21友好(学院攻防：防1攻2)	普攻类型1	普攻1概率(万分比)	普攻类型2	普攻2概率(万分比)	普攻类型3	普攻2概率(万分比)	普通攻击间隔(毫秒)	普通攻击对象(0普通，8炮塔，16固定朝向)	是否回位补给	回位是否重置	尸体存在时间	免疫的debuff类型	"免疫被击硬直和击退(1免疫普攻，2免疫普攻、技能带来的,3免疫一切被击硬直和击退)"	采集读条cmd	读条时间（毫秒）	单位类型，位域：0是普通单位，1是机械单位(不能被加血)、2是免疫XP技能、4是免疫宠物攻击单位	出生范围	攻击范围（已*10）	游荡范围（游荡的距离，已*10，单位M）	采集消耗主键	采集消耗副键
测试	2999001	1	0	0	0	14	38	2	10001	3333	10002	3333	10003	3334	2000	0	0	0	1	0	0	0	0	0	0	0	0	0	0
测试	2999002	1	0	0	0	14	38	2	10001	3333	10002	3333	10003	3334	2000	0	0	0	1	0	0	0	0	0	0	0	0	0	0
测试	2999003	1	0	0	0	14	38	2	10001	3333	10002	3333	10003	3334	2000	0	0	0	1	0	0	0	0	0	0	0	0	0	0
虚空之界-吱吱	3011010	1	6	20	0	14	38	2	20005	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	100	7	0	0	0
虚空之界-阵眼	3011013	1	2	8	0	0	0	2	0	0	0	0	0	0	2000	0	0	0	0	0	2	0	0	0	0	0	0	0	0
虚空之界-下一关	3011014	1	2	8	0	0	0	2	0	0	0	0	0	0	2000	0	0	0	0	0	2	0	0	0	0	0	0	0	0
虚空之界近战精英-慢速-低攻速	3011015	1	10	100	0	14	20	2	10001	3334	10001	3333	10001	3333	3000	0	0	0	1	0	1	0	0	0	20	2.5	0	0	0
虚空之界近战精英-中速-中攻速	3011016	1	10	100	0	14	35	2	10001	3334	10001	3333	10001	3333	2000	0	0	0	1	0	1	0	0	0	20	2.5	0	0	0
虚空之界近战精英-快速-高攻速	3011017	1	10	100	0	14	50	2	10001	3334	10001	3333	10001	3333	1000	0	0	0	1	0	1	0	0	0	20	2.5	0	0	0
虚空之界法系精英-小黑球	3011018	1	10	100	0	14	35	2	20005	10000	0	0	0	0	2000	0	0	0	1	0	1	0	0	0	20	7	0	0	0
虚空之界-剑客	3011019	1	50	100	0	14	38	2	41001	3333	41002	3333	41004	3334	1000	0	0	0	1	0	1	0	0	0	20	2.5	0	0	0
虚空之界-御灵	3011020	1	50	100	0	14	38	2	42001	3333	42002	3333	42004	3334	1000	0	0	0	1	0	1	0	0	0	20	5	0	0	0
虚空之界-刀客	3011021	1	50	100	0	14	38	2	43001	3333	43002	3333	43004	3334	1000	0	0	0	1	0	1	0	0	0	20	2.5	0	0	0
虚空之界-弓手	3011022	1	50	100	0	14	38	2	44001	3333	44002	3333	44004	3334	1000	0	0	0	1	0	1	0	0	0	20	7	0	0	0
虚空之界近战精英-快速-血族暗刺	3011023	1	10	100	0	14	50	2	10012	3334	10012	3333	10012	3333	1000	0	0	0	1	0	1	0	0	0	20	4.5	0	0	0
虚空之界近战精英-慢速-低攻速	3011024	1	10	100	0	14	20	2	10001	3334	10001	3333	10001	3333	3000	0	0	0	1	0	1	0	0	0	20	2.5	0	0	0
虚空之界4-魔将·斩月	3014001	1	50	100	0	18	65	2	22005	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	100	4	0	0	0
虚空之界4-魔将·魔童	3014002	1	50	100	0	18	57	2	22013	5000	220131	5000	0	0	1000	0	0	0	1	0	3	0	0	0	100	9	0	0	0
战役-骷髅守卫	3101001	1	10	100	0	14	35	2	10001	5000	10002	5000	0	0	2000	0	0	0	1	0	1	0	0	0	20	2.5	0	0	0
战役-骷髅射手	3101002	1	10	100	0	14	35	2	10005	10000	0	0	0	0	2000	0	0	0	1	0	1	0	0	0	20	7	0	0	0
战役-地宫守卫	3101011	1	10	100	0	14	40	2	10001	5000	10003	5000	0	0	2000	0	0	0	1	0	1	0	0	0	20	2.5	0	0	0
战役-豺狼射手	3101012	1	10	100	0	14	40	2	10005	10000	0	0	0	0	2000	0	0	0	1	0	1	0	0	0	20	7	0	0	0
战役-嗜血宝珠	3101020	1	0	100	0	0	0	2	0	0	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	20	0	0	0	0
战役-静心宝珠	3101021	1	0	100	0	0	0	21	0	0	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	20	0	0	0	0
战役-凝翠	3101030	1	10	100	0	14	40	2	20009	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	20	2.5	0	0	0
战役-冰护法	3102001	1	10	100	0	14	35	2	21229	5000	21230	5000	0	0	2000	0	0	0	1	0	3	0	0	0	20	6	0	0	0
战役法系BOSS-寒冰女王	3102002	1	10	100	0	14	35	2	22052	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	20	7	0	0	0
战役近战小怪-中速-中攻速-蝙蝠	3103001	1	10	100	0	14	35	2	10004	10000	0	0	0	0	2000	0	0	0	1	0	0	0	0	0	20	7	0	0	0
战役近战小怪-中速-中攻速-蝙蝠	3103002	1	10	100	0	14	35	2	10004	10000	0	0	0	0	2000	0	0	0	1	0	0	0	0	0	20	7	0	0	0
战役-小怪近战专用	3104001	1	10	100	0	14	35	2	10001	5000	10002	5000	0	0	2000	0	0	0	1	0	1	0	0	0	20	2.5	0	0	0
战役-风神师	3104002	1	10	100	0	14	35	2	20005	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	20	7	0	0	0
九层妖塔定点机关	3401010	1	100	100	0	0	0	2	0	0	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	20	20	0	0	0
九层妖塔妖族神珠	3401011	1	0	0	0	0	0	2	0	0	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	0	0	0	0	0
九层妖塔野狼	3401012	1	10	100	0	14	38	2	10001	10000	0	0	0	0	1000	0	0	0	1	0	0	0	0	0	20	2.5	0	0	0
九层妖塔野狼王	3401013	1	10	100	0	14	38	2	10001	10000	0	0	0	0	1000	0	0	0	1	0	2	0	0	0	20	3	0	0	0
九层妖塔刀锋魔妖	3401014	1	10	100	0	18	40	2	22013	5000	220131	5000	0	0	1000	0	0	0	1	0	3	0	0	0	20	9	0	0	0
九层妖塔自爆小妖	3401015	1	50	10	0	18	50	2	21253	10000	0	0	0	0	2000	0	0	0	1	0	0	0	0	0	20	3	0	0	0
九层妖塔-剑主傀儡	3401016	1	30	100	0	12	30	2	10001	10000	0	0	0	0	3000	0	0	0	1	0	2	0	0	0	20	3	0	0	0
九层妖塔-治疗师	3401017	1	30	100	0	14	35	2	20005	10000	0	0	0	0	2000	0	0	0	1	0	1	0	0	0	20	7	0	0	0
九层妖塔神将模型	3401018	1	10	100	0	14	35	2	10001	3334	10001	3333	10001	3333	2000	0	0	0	1	0	2	0	0	0	20	2.5	0	0	0
九层妖塔-火灵	3401019	1	10	1000	0	14	35	2	20013	10000	0	0	0	0	4000	0	0	0	1	0	3	0	0	0	20	6	0	0	0
九层妖塔-红夜叉	3401020	1	10	100	0	14	38	2	10001	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	20	2.5	0	0	0
世界材料天地守护者	3501201	1	10	10	0	14	38	1	21266	10000	0	0	0	0	2000	0	0	0	1	0	0	0	0	0	20	3	0	0	0
污秽之物传送门	3501101	1	100	100	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
渡劫计时器	3601001	1	100	100	0	0	0	21	0	0	0	0	0	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
游泳仙果儿	3911001	1	50	100	0	7	14	2	21350	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	50	8	0	0	0
观灵阁-刀客	3930102	1	10	100	0	14	40	2	43001	3333	43002	3333	43004	3334	1000	0	0	0	1	0	1	0	0	0	20	2.5	0	0	0
观灵阁-弓手	3930103	1	10	100	0	14	40	2	44001	3333	44002	3333	44004	3334	1000	0	0	0	1	0	1	0	0	0	20	7	0	0	0
观灵阁-剑客	3930104	1	10	100	0	14	40	2	41001	3333	41002	3333	41004	3334	1000	0	0	0	1	0	1	0	0	0	20	2.5	0	0	0
观灵阁-御灵	3930105	1	10	100	0	14	40	2	42001	3333	42002	3333	42004	3334	1000	0	0	0	1	0	1	0	0	0	20	5	0	0	0
MOBA-小兵	4101001	1	6	7	0	25	27	1	10101	10000	0	0	0	0	2000	0	0	0	1	0	1	0	0	0	0	2	0	0	0
MOBA-小兵	4101009	1	6	7	0	25	27	1	10101	10000	0	0	0	0	2000	0	0	0	1	0	1	0	0	0	0	2	0	0	0
MOBA-小兵	4101010	1	6	7	0	25	27	1	10203	10000	0	0	0	0	2000	0	0	0	1	0	1	0	0	0	0	6	0	0	0
MOBA-塔	4101002	1	7.5	7.5	0	0	0	1	10202	10000	0	0	0	0	1000	8	0	0	1	0	3	0	0	1	0	7	0	0	0
MOBA-基地	4101003	1	10	10	0	0	0	1	0	10000	0	0	0	0	2000	8	0	0	1	0	3	0	0	1	0	0	0	0	0
MOBA-小兵	4101004	1	6	7	0	25	27	2	10101	10000	0	0	0	0	2000	0	0	0	1	0	1	0	0	0	0	2	0	0	0
MOBA-小兵	4101011	1	6	7	0	25	27	2	10101	10000	0	0	0	0	2000	0	0	0	1	0	1	0	0	0	0	2	0	0	0
MOBA-小兵	4101012	1	6	7	0	25	27	2	10203	10000	0	0	0	0	2000	0	0	0	1	0	1	0	0	0	0	6	0	0	0
MOBA-塔	4101005	1	7.5	7.5	0	0	0	2	10201	10000	0	0	0	0	1000	8	0	0	1	0	3	0	0	1	0	7	0	0	0
MOBA-基地	4101006	1	10	10	0	0	0	2	0	10000	0	0	0	0	2000	8	0	0	1	0	3	0	0	1	0	0	0	0	0
MOBA-百里虚	4101021	1	5	5	0	30	32	3	10101	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	0	2	0	0	0
MOBA-神国七律	4101031	1	8	9	0	30	32	1	10204	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	0	8	0	0	0
MOBA-尊灵宫四人组	4101041	1	8	9	0	30	32	2	10204	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	0	8	0	0	0
争灵会占领点	4102001	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
兽灵大典-野狼	4103031	1	4	8	0	14	38	3	10101	6667	22038	3333	0	0	2500	0	1	0	2	0	1	0	0	0	0	2.5	0	0	0
兽灵大典-野鱼人	4103041	1	4	8	0	14	38	3	10101	6667	22052	3333	0	0	2500	0	1	0	2	0	1	0	0	0	0	2	0	0	0
兽灵大典剑意采集	4103021	1	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	3	101	10000	0	0	0	0	0	0
兽灵大典-蓝塔	4103002	1	8	8	0	0	0	1	10205	10000	0	0	0	0	2000	8	0	0	2	0	3	0	0	1	0	8	0	0	0
兽灵大典-红塔	4103005	1	8	8	0	0	0	2	10206	10000	0	0	0	0	2000	8	0	0	2	0	3	0	0	1	0	8	0	0	0
血凝城-门口小怪-近战	4201017	1	8	100	0	20	22	2	10001	3333	10002	3333	10003	3334	2000	0	0	0	3	0	2	0	0	0	10	2	0	0	0
血凝城-门口小怪-近战(快速移动）	4201018	1	30	100	0	20	22	2	10001	3333	10002	3333	10003	3334	2000	0	0	0	3	0	2	0	0	0	10	2	0	0	0
血凝城-门口小怪-雪灵	4201013	1	95	95	0	14	22	2	20002	10000	0	0	0	0	4000	0	0	0	3	0	2	0	0	0	10	100	0	0	0
血凝城-大BOSS	4201003	1	15	30	0	14	22	2	10001	3333	10002	3333	10003	3334	2000	0	0	0	1	0	2	0	0	0	20	3.5	0	0	0
血凝城-大BOSS幻象	4201026	1	95	95	0	0	0	2	21047	10000	0	0	0	0	6000	0	0	0	3	0	2	0	0	0	10	100	0	0	0
血凝城-小宝箱采集	4201006	1	0	0	0	0	0	21	0	0	0	0	0	0	2000	0	0	0	0	0	2	4201006	1000	0	0	0	0	30401	1
血凝城-大宝箱采集	4201008	1	0	0	0	0	0	21	0	0	0	0	0	0	2000	0	0	0	0	0	2	4201008	10000	0	0	0	0	0	0
血凝城-小BOSS	4201016	1	7	30	0	14	22	2	10001	3333	10002	3333	10003	3334	2000	0	0	0	1	0	2	0	0	0	20	3.5	0	0	0
血凝城-铁门	4201025	1	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	600	0	0	0	0	0	0	0	0	0	0
血凝城-镖车	4203001	1	0	1000	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
血凝城-魔将·火骨	4203002	1	20	50	0	14	40	2	22009	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	100	9	0	0	0
广成子	4302001	1	50	100	0	14	38	2	20005	3333	20005	3333	20005	3334	2000	0	0	0	1	0	3	0	0	0	50	7	0	0	0
鬼王	4302002	1	50	100	0	14	38	2	20005	3333	20005	3333	20005	3334	2000	0	0	0	1	0	3	0	0	0	50	7	0	0	0
帝江	4302003	1	50	100	0	14	38	2	10001	3333	10001	3333	10001	3334	2000	0	0	0	1	0	3	0	0	0	50	2.5	0	0	0
烛九阴	4302004	1	50	100	0	14	38	2	22048	10000	0	0	0	0	3000	0	0	0	1	0	3	0	0	0	50	4	0	0	0
祝融	4302005	1	50	100	0	14	38	2	22009	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	50	8	0	0	0
共工	4302006	1	50	100	0	14	38	2	22052	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	50	7	0	0	0
强良	4302007	1	50	100	0	14	38	2	22044	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	50	5	0	0	0
奢比尸	4302008	1	10	100	0	14	38	2	22038	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	20	7	0	0	0
玄冥	4302009	1	10	100	0	14	38	2	22041	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	20	7	0	0	0
后土	4302010	1	50	100	0	14	38	2	22056	3334	22056	3333	22056	3333	3000	0	0	0	1	0	3	0	0	0	50	2.5	0	0	0
竞技场守护者	4302011	1	50	100	0	14	38	2	10001	3334	10001	3333	10001	3333	2000	0	0	0	1	0	3	0	0	0	50	2.5	0	0	0
离线竞技场-剑客型	4302012	1	50	100	0	14	38	2	1001	3333	1002	3333	1003	3334	1000	0	0	0	1	0	1	0	0	0	50	2.5	0	0	0
离线竞技场-御灵型	4302013	1	50	100	0	14	38	2	2001	3333	2002	3333	2003	3334	1000	0	0	0	1	0	1	0	0	0	50	8	0	0	0
离线竞技场-刀客型	4302014	1	50	100	0	14	38	2	3001	3333	3002	3333	3003	3334	1000	0	0	0	1	0	1	0	0	0	50	2.5	0	0	0
离线竞技场-弓手型	4302015	1	50	100	0	14	38	2	4001	3333	4002	3333	4003	3334	1000	0	0	0	1	0	1	0	0	0	50	12	0	0	0
盟主争夺（旧）-龙柱	4401001	1	0	0	0	0	0	3	0	0	0	0	0	0	2000	0	0	0	1	0	3	0	0	1	0	7	0	0	0
盟主争夺（旧）-攻方神兽	4401011	1	8	9	0	30	32	2	10001	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	0	8	0	0	0
盟主争夺（旧）-守方神兽	4401012	1	8	9	0	30	32	1	10001	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	0	8	0	0	0
攻城战-中立龙柱	4402001	1	0	0	0	0	0	5	0	0	0	0	0	0	2000	0	0	0	1	0	3	0	0	1	0	7	0	0	0
攻城战-阵营1龙柱	4402002	1	0	0	0	0	0	1	0	0	0	0	0	0	2000	0	0	0	1	0	3	0	0	1	0	7	0	0	0
攻城战-阵营2龙柱	4402003	1	0	0	0	0	0	2	0	0	0	0	0	0	2000	0	0	0	1	0	3	0	0	1	0	7	0	0	0
攻城战-阵营3龙柱	4402004	1	0	0	0	0	0	3	0	0	0	0	0	0	2000	0	0	0	1	0	3	0	0	1	0	7	0	0	0
攻城战-阵营4龙柱	4402005	1	0	0	0	0	0	4	0	0	0	0	0	0	2000	0	0	0	1	0	3	0	0	1	0	7	0	0	0
攻城战-城池神兽	4402006	1	10	50	0	0	0	5	10001	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	0	7	0	0	0
攻城战-阵营1复活点守卫	4402012	1	20	30	0	0	0	1	21353	10000	0	0	0	0	5000	0	0	0	1	0	3	0	0	1	0	7	0	0	0
攻城战-阵营2复活点守卫	4402013	1	20	30	0	0	0	2	21353	10000	0	0	0	0	5000	0	0	0	1	0	3	0	0	1	0	7	0	0	0
攻城战-阵营3复活点守卫	4402014	1	20	30	0	0	0	3	21353	10000	0	0	0	0	5000	0	0	0	1	0	3	0	0	1	0	7	0	0	0
攻城战-阵营4复活点守卫	4402015	1	20	30	0	0	0	4	21353	10000	0	0	0	0	5000	0	0	0	1	0	3	0	0	1	0	7	0	0	0
骷髅守卫	2035001	1	100	20	0	14	38	2	10001	10000	0	0	0	0	2000	0	0	0	1	0	1	0	0	0	8	2	0	0	0
骷髅射手	2035002	1	100	20	0	14	38	2	10001	10000	0	0	0	0	2000	0	0	0	1	0	1	0	0	0	8	2	0	0	0
嗜血狼妖	2035003	1	100	20	0	14	23	2	10001	5000	21003	5000	0	0	2000	0	0	0	1	0	1	0	0	0	8	2.5	0	0	0
食尸鬼	2035004	1	10	20	0	14	73	2	10001	10000	0	0	0	0	2000	0	0	0	1	0	1	0	0	0	10	2	0	0	0
刺牙	2035005	1	10	20	0	14	73	2	10001	10000	0	0	0	0	2000	0	0	0	1	0	1	0	0	0	10	2	0	0	0
BOSS-蓝精灵	2035010	1	8	20	0	14	38	2	10001	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	20	3	0	0	0
教院男学生	7001204	1	10	20	0	14	38	1	10001	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	20	3	0	0	0
教院女学生	7001205	1	10	20	0	14	38	1	10204	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	20	3	0	0	0
灵宠大暴走-喵喵普攻	7001210	1	100	100	0	10	10	2	21279	10000	0	0	0	0	7000	0	0	0	2	0	3	0	0	0	100	10	0	0	0
灵宠大暴走-菇菇普攻	7001212	1	100	100	0	10	10	2	21285	10000	0	0	0	0	7000	0	0	0	2	0	3	0	0	0	100	10	0	0	0
灵宠大暴走-树人普攻	7001213	1	100	100	0	10	10	2	21286	10000	0	0	0	0	7000	0	0	0	2	0	3	0	0	0	100	10	0	0	0
教院守卫	7001211	1	4	20	0	14	38	1	10001	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	20	3	0	0	0
学院攻防攻方据点大将	7001220	1	3	20	0	14	38	2	10207	5000	10208	5000	0	0	2000	0	0	0	1	0	3	0	0	0	100	2.5	0	0	0
金钱宝库（紫）	7001301	1	0	0	0	0	0	21	0	0	0	0	0	0	2000	0	0	0	0	0	3	101	10000	0	0	0	0	0	0
金钱宝库（蓝）	7001302	1	0	0	0	0	0	21	0	0	0	0	0	0	2000	0	0	0	0	0	3	101	5000	0	0	0	0	0	0
学院宝库小怪	7010001	1	10	100	0	14	38	2	10001	10000	0	0	0	0	2000	0	0	0	3	0	1	0	0	0	20	2.5	0	0	0
学院宝库-宝箱采集	7010256	1	0	0	0	0	0	21	0	0	0	0	0	0	2000	0	0	0	0	0	2	4201006	1000	0	0	0	0	30206	1
玄奘之界剑池	7101101	1	0	0	0	0	0	21	0	0	0	0	0	0	2000	0	0	0	1	0	3	7101101	5000	0	0	0	0	0	0
玄奘之界名剑	7101105	1	0	0	0	0	0	21	0	0	0	0	0	0	2000	0	0	0	1	0	3	7101105	7000	0	0	0	0	0	0
玄奘之界剑谱	7101109	1	0	0	0	0	0	21	0	0	0	0	0	0	2000	0	0	0	1	0	3	7101109	3000	0	0	0	0	0	0
玄奘之界小怪近战	7101201	1	5	12	0	14	38	2	10001	10000	0	0	0	0	2000	0	0	0	0	0	0	0	0	0	20	2.5	4	0	0
玄奘之界小怪远程	7101203	1	5	12	0	14	38	2	10004	10000	0	0	0	0	2000	0	0	0	0	0	0	0	0	0	20	7	4	0	0
玄奘之界BOSS	7101204	1	5	12	0	14	38	2	10001	3333	10002	3333	10003	3334	2000	0	0	0	15	0	3	0	0	0	20	6.5	4	0	0
玄奘之界任务BOSS	7101205	1	5	12	0	14	38	2	10013	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	20	8	2	0	0
玄奘之界BOSS-雷系魔将	7101206	1	5	12	0	14	38	2	21151	10000	0	0	0	0	2000	0	0	0	15	0	3	0	0	0	20	7	0	0	0
玄奘之界BOSS-铜魔将	7101207	1	5	12	0	14	38	2	22056	10000	0	0	0	0	2000	0	0	0	15	0	3	0	0	0	20	6	0	0	0
玄奘之界BOSS-腾小明	7101208	1	5	12	0	14	38	2	22030	10000	0	0	0	0	2000	0	0	0	15	0	3	0	0	0	20	6	0	0	0
玄奘之界皇族禁军	7101231	1	10	10	0	0	0	3	21214	10000	0	0	0	0	2000	0	0	0	0	0	3	0	0	0	20	10	0	0	0
玄奘之界灵宫阵灵	7101232	1	10	10	0	0	0	4	21214	10000	0	0	0	0	2000	0	0	0	0	0	3	0	0	0	20	10	0	0	0
玄奘之界南岭高手	7101233	1	10	10	0	0	0	5	21214	10000	0	0	0	0	2000	0	0	0	0	0	3	0	0	0	20	10	0	0	0
超大树	7101254	1	100	100	0	10	10	2	21307	10000	0	0	0	0	7000	0	0	0	2	0	3	0	0	0	100	10	0	0	0
大鱼干	7101255	1	100	100	0	10	10	2	21309	10000	0	0	0	0	7000	0	0	0	2	0	3	0	0	0	100	10	0	0	0
八嘎僵尸	7101256	1	100	100	0	10	10	2	21311	10000	0	0	0	0	7000	0	0	0	2	0	3	0	0	0	100	10	0	0	0
啊吼息	7101257	1	100	100	0	10	10	2	21313	10000	0	0	0	0	7000	0	0	0	2	0	3	0	0	0	100	10	0	0	0
野外BOSS-余嬷嬷	1036100	1	0	10	0	14	38	2	10001	3333	10002	3333	10003	3334	2000	0	0	0	4	0	3	0	0	0	20	3.5	3	0	0
野外BOSS-血族副将	1036101	1	0	10	0	14	38	2	10024	3333	10025	3333	10026	3334	2000	0	0	0	4	0	3	0	0	0	20	3.5	0	0	0
偷BUFF	3201001	1	8	1000	0	20	38	2	10001	10000	0	0	0	0	2000	0	0	0	0	0	0	0	0	0	10	2.5	0	0	0
经验宝宝	3201002	1	8	1000	0	20	60	2	0	0	0	0	0	0	2000	0	0	0	0	0	0	0	0	0	10	2.5	0	0	0
敌方魂木	3201003	1	0	0	0	0	0	2	0	0	0	0	0	0	2000	8	0	0	1	0	3	0	0	1	0	7	0	0	0
打魂木	3201004	1	10	1000	0	14	38	2	22056	10000	0	0	0	0	2000	0	0	0	0	0	0	0	0	0	10	2.5	0	0	0
本方魂木	3201005	1	0	0	0	0	0	1	0	0	0	0	0	0	2000	8	0	0	1	0	3	0	0	1	0	7	0	0	0
驭灵墓北君	3201006	1	30	1000	0	20	50	2	10001	10000	0	0	0	0	2000	0	0	0	0	0	2	0	0	0	50	3.5	0	0	0
上古遗迹-暗金宝箱	3202001	1	20	100	0	0	0	2	0	0	0	0	0	0	2000	0	0	0	0	0	3	0	0	0	50	0	0	0	0
上古遗迹-黄金宝箱	3202002	1	20	100	0	0	0	2	0	0	0	0	0	0	2000	0	0	0	0	0	3	0	0	0	50	0	0	0	0
上古遗迹-移动宝箱	3202003	1	20	100	0	30	50	2	0	0	0	0	0	0	2000	0	0	0	0	0	3	0	0	0	50	0	0	0	0
魔将·冰魔将	3202095	1	90	100	0	50	50	21	22052	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	100	9	0	0	0
魔将·魔童	3202100	1	90	100	0	50	57	21	22013	5000	220131	5000	0	0	1000	0	0	0	1	0	3	0	0	0	100	12	0	0	0
魔将·斩月	3202018	1	90	100	0	50	65	21	22005	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	100	4	0	0	0
魔将·雷魔神	3202019	1	90	100	0	40	50	21	22063	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	100	6	0	0	0
魔将·磐钢	3202017	1	90	100	0	30	50	21	22001	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	100	6	0	0	0
驭灵墓2--光圈	3202140	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
驭灵墓-小怪1	3202106	1	50	100	0	14	28	2	10001	3334	10002	3333	10003	3333	2000	0	0	0	3	0	0	0	0	0	50	3	0	0	0
驭灵墓-小怪2	3202108	1	50	100	0	14	28	2	10001	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	50	3	0	0	0
驭灵墓-小怪3	3202113	1	50	100	0	14	28	2	10001	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	50	2.5	0	0	0
驭灵墓-精英怪1	3202127	1	50	100	0	14	28	2	41001	3333	41002	3333	41004	3334	1000	0	0	0	1	0	2	0	0	0	50	2.5	0	0	0
驭灵墓-精英怪2	3202128	1	50	100	0	14	28	2	43001	3333	43003	3333	43004	3334	1000	0	0	0	1	0	2	0	0	0	50	2.5	0	0	0
驭灵墓-精英怪3	3202129	1	50	100	0	14	28	2	43001	3333	43003	3333	43004	3334	1000	0	0	0	1	0	2	0	0	0	50	2.5	0	0	0
驭灵墓-精英怪4	3202130	1	50	100	0	14	28	2	42001	3333	42002	3333	42004	3334	1000	0	0	0	1	0	2	0	0	0	50	5	0	0	0
驭灵墓-BOSS1	3202131	1	50	100	0	14	28	2	44001	3333	44003	3333	44004	3334	1000	0	0	0	1	0	2	0	0	0	50	7	0	0	0
驭灵墓-BOSS2	3202132	1	50	100	0	14	28	2	10001	3334	10001	3333	10001	3333	1000	0	0	0	1	0	2	0	0	0	50	2.5	0	0	0
驭灵墓-BOSS3	3202133	1	50	100	0	14	28	2	10001	3334	10001	3333	10001	3333	1000	0	0	0	1	0	2	0	0	0	50	2.5	0	0	0
驭灵墓-BOSS4	3202134	1	50	100	0	14	28	2	10001	3334	10001	3333	10001	3333	2000	0	0	0	1	0	2	0	0	0	50	2.5	0	0	0
驭灵墓-BOSS5	3202135	1	50	100	0	14	28	2	10001	3334	10001	3333	10001	3333	2000	0	0	0	1	0	2	0	0	0	50	2.5	0	0	0
驭灵墓-BOSS6	3202136	1	50	100	0	14	28	2	10001	3334	10001	3333	10001	3333	1000	0	0	0	1	0	2	0	0	0	50	2.5	0	0	0
驭灵墓-黑金棍	3202145	1	90	100	0	20	28	2	22033	10000	0	0	0	0	2000	0	0	0	0	0	3	0	0	0	0	6	0	0	0
驭灵墓-腾小明	3202146	1	90	100	0	20	28	2	22030	10000	0	0	0	0	2000	0	0	0	0	0	3	0	0	0	50	6	0	0	0
驭灵墓-混魔将	3202147	1	90	100	0	20	28	2	22064	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	50	6	0	0	0
驭灵墓-巫师	3202148	1	100	100	0	20	28	2	20005	10000	0	0	0	0	1000	0	0	0	3	0	2	0	0	0	50	6	0	0	0
驭灵墓-魔将·圣魔	3202149	1	90	100	0	0	0	2	22017	10000	0	0	0	0	5000	0	0	0	1	0	3	0	0	0	50	18	0	0	0
驭灵墓2-本方魂木	3202150	1	0	0	0	0	0	1	0	0	0	0	0	0	2000	8	0	0	1	0	3	0	0	1	0	7	0	0	0
驭灵墓3-光球	3203001	1	50	100	0	14	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0
