道具ID(9位，4位表现分类+3位等级+2位流水；道具ID首位从3开始，由于道具和装备同一套规划，所以ID段划分。300000000~900000000之间为道具，卡牌为5开头。9为虚拟装备)	有效标志	道具名	表现分类，对应另外一张配置表，这里配的是表现分类ID，规则就是道具ID的前四位	颜色(0白（废弃不要用），1绿，2蓝，3紫，4橙，5青，6红，7粉)	背包位置(0普通道具背包，1碎片)	有效期，-1为无限期，大于0则为道具的存在时间，单位为秒	绑定方式(0不绑定，1获得绑定，2使用绑定)	消耗数量，每次使用道具消耗的数量，碎片类的在TIPS上显示就是合成的数量	叠加上限	出售货币（填0不可出售-出售价格必须为1、大于10000表示道具）	出售价格	等级限制下限	等级限制上限	境界限制下限	境界限制上限	无用字段（原来是次数限制，但已经改成走消耗系统了）	效果对象（0角色，1宠物）	效果类型（0无用，1事件，2drop型宝箱（客户端不预览，dropid+成就ID+是否播放表现），3永久属性，4经文碎片（自动使用），5获得灵宠，6获得招式，7获得法器，8获得血脉，9获得血脉精血，10灵宠灵元，11灵宠亲密度，12战斗力宝箱(掉落id+战力)，13次数限制，14成就触发，15使用技能，16称号，17藏宝图（事件ID、展示奖励ID、地点ID），18获得坐骑（参数1坐骑ID，参数2持续时间），19提升膜拜等级（叁数1物品使用要求的玩家光荣榜等级、叁数2物品使用后玩家光荣榜的等级），20获得学院DKP，21醒酒道具，22灵宠技能书，23获得组队经验加成状态（参数1：加成后的百分比(双倍就是200)，参数2：加成的时间：单位秒），24周月卡（参数1类型位域<月卡2+周卡1>，参数2持续时间<单位秒>，25情缘赏花道具(不能销毁），26reward型宝箱（客户端有预览，可以自动使用，参数1ID，参数2是否弹黑框），27修炼酒，28奖励多选，29时装激活，30限时时装，31喜帖，32红包参数1填祝福ID,33改名道具，34改性别道具，36地宫钥匙，37主播礼物--可能没用了）	效果参数1（类型为0则无用，事件ID，掉落ID，属性枚举，经文类别，成就ID下限）	效果参数2（类型为0则无用，技能等级，掉落无用，属性数值，事件无用，次数无用，称号无用，成就ID上限）	效果参数3（成就触发次数）	效果参数4（0标识此绑定继续走掉落规则决定是否绑定，1标识由服务器通用规则来决定是否绑定）	任选礼包展示（如果坐骑礼包、宠物礼包这种的选择类道具，这个地方配一个NPC_type来显示模型）	特殊消耗类型（0无特殊消耗，1对应消耗表ID）	特殊消耗参数1(0无用，1为对应消耗表的副ID)	状态限制ID(特殊消耗参数2)	地点限制ID(特殊消耗参数3)	删除方式(0无，1跳副本删除)	是否自动使用(0不自动，1为自动使用，需与掉落配合)	获得广播说明(位域，0不广播，1掉落拾取，2开宝箱,4制造广播，2^3~2^12(8184)世界科技1~10广播,2^13全世界广播,2^14当前地图广播,2^15本阵营广播,2^16上品广播,2^17极品广播,2^18帮派广播,2^19小队广播)	拍卖分类	摆摊价格	特殊标示位（位域，1该道具是否可以赠送）	读条类型	读条时间，毫秒	男图标前景ID（后面要改名成FontImageID_male）	女图标前景ID	男图标背景ID（后面要改名成BackImageID_male）	女图标背景ID	掉落图标ID	掉落特效ID	合成预览ID(根据职业不同配置不同，示例（六个职业）100111001|100111002|100111003|100111004|100111005|100111006)	道具描述	来源对象ID	掉落飞入特效ID	使用后触发脚本	掉落彰显状态限制（走状态限制表，即满足状态限制之后才会在掉落的时候彰显出来）	掉落彰显表现（1紫色光柱、2橙色光柱）	物品品质（0无，1魂，2神）	使用文字	标签类型(1可鉴定，2可合成，3可魂化，4可镶嵌）装备是默认为可装备的	道具阶级	UI飞入特效（0默认飞入特效，1稀有装备、2稀有碎片、3上古装备、4上古碎片、5其他） 
300150840	1	上古四阶帽子碎片	3214	4	0	-1	0	5	5	5	150	1084	7999	0	999	0	0	2	210854	2616	0	1	19999084	50742	1	0	0	0	0	16377	104	300150840	0	0	0	0	0	item51_048	item51_048	0	1000062	0	四阶头饰的碎片，凑齐<color=#7fff94>5</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币180000</color>	300150840	2	0	0	0	0	合成	2	4	4
300150940	1	上古四阶鞋子碎片	3214	4	0	-1	0	5	5	5	150	1099	7999	0	999	0	0	2	210954	2616	0	1	19999085	50742	1	0	0	0	0	16377	107	300150940	0	0	0	0	0	item51_049	item51_049	0	1000062	0	四阶鞋子的碎片，凑齐<color=#7fff94>5</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币180000</color>	300150940	2	0	0	0	0	合成	2	4	4
300150050	1	上古五阶武器碎片	3214	4	0	-1	0	8	8	5	180	2100	7999	0	999	0	0	2	210055	2616	0	1	19999076	50752	1	0	0	0	0	16377	100	300150050	0	0	0	0	0	item51_040	item51_040	0	1000062	0	五阶武器的碎片，凑齐<color=#7fff94>8</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币295000</color>	300150050	2	0	0	0	0	合成	2	5	4
300150150	1	上古五阶护甲碎片	3214	4	0	-1	0	8	8	5	180	2106	7999	0	999	0	0	2	210155	2616	0	1	19999077	50752	1	0	0	0	0	16377	101	300150150	0	0	0	0	0	item51_041	item51_041	0	1000062	0	五阶护甲的碎片，凑齐<color=#7fff94>8</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币295000</color>	300150150	2	0	0	0	0	合成	2	5	4
300150250	1	上古五阶腰带碎片	3214	4	0	-1	0	8	8	5	180	2116	7999	0	999	0	0	2	210255	2616	0	1	19999078	50752	1	0	0	0	0	16377	103	300150250	0	0	0	0	0	item51_042	item51_042	0	1000062	0	五阶腰带的碎片，凑齐<color=#7fff94>8</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币295000</color>	300150250	2	0	0	0	0	合成	2	5	4
300150350	1	上古五阶裤子碎片	3214	4	0	-1	0	8	8	5	180	2113	7999	0	999	0	0	2	210355	2616	0	1	19999079	50752	1	0	0	0	0	16377	102	300150350	0	0	0	0	0	item51_043	item51_043	0	1000062	0	五阶裤裙的碎片，凑齐<color=#7fff94>8</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币295000</color>	300150350	2	0	0	0	0	合成	2	5	4
300150450	1	上古五阶护腕碎片	3214	4	0	-1	0	8	8	5	150	2115	7999	0	999	0	0	2	210455	2616	0	1	19999080	50752	1	0	0	0	0	16377	106	300150450	0	0	0	0	0	item51_044	item51_044	0	1000062	0	五阶护腕的碎片，凑齐<color=#7fff94>8</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币295000</color>	300150450	2	0	0	0	0	合成	2	5	4
300150550	1	上古五阶项链碎片	3214	4	0	-1	0	8	8	203	35	2100	7999	0	999	0	0	2	210555	2616	0	1	19999081	50752	1	0	0	0	0	16377	108	300150550	0	0	0	0	0	item51_045	item51_045	0	1000062	0	五阶项链的碎片，凑齐<color=#7fff94>8</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币295000</color>	300150550	2	0	0	0	0	合成	2	5	4
300150650	1	上古五阶戒指碎片	3214	4	0	-1	0	8	8	203	35	2111	7999	0	999	0	0	2	210655	2616	0	1	19999082	50752	1	0	0	0	0	16377	109	300150650	0	0	0	0	0	item51_046	item51_046	0	1000062	0	五阶戒指的碎片，凑齐<color=#7fff94>8</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币295000</color>	300150650	2	0	0	0	0	合成	2	5	4
300150750	1	上古五阶护肩碎片	3214	4	0	-1	0	8	8	5	150	2105	7999	0	999	0	0	2	210755	2616	0	1	19999083	50752	1	0	0	0	0	16377	105	300150750	0	0	0	0	0	item51_047	item51_047	0	1000062	0	五阶护肩的碎片，凑齐<color=#7fff94>8</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币295000</color>	300150750	2	0	0	0	0	合成	2	5	4
300150850	1	上古五阶帽子碎片	3214	4	0	-1	0	8	8	5	150	2104	7999	0	999	0	0	2	210855	2616	0	1	19999084	50752	1	0	0	0	0	16377	104	300150850	0	0	0	0	0	item51_048	item51_048	0	1000062	0	五阶头饰的碎片，凑齐<color=#7fff94>8</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币295000</color>	300150850	2	0	0	0	0	合成	2	5	4
300150950	1	上古五阶鞋子碎片	3214	4	0	-1	0	8	8	5	150	2119	7999	0	999	0	0	2	210955	2616	0	1	19999085	50752	1	0	0	0	0	16377	107	300150950	0	0	0	0	0	item51_049	item51_049	0	1000062	0	五阶鞋子的碎片，凑齐<color=#7fff94>8</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币295000</color>	300150950	2	0	0	0	0	合成	2	5	4
300150060	1	上古六阶武器碎片	3214	4	0	-1	0	10	10	5	180	3120	7999	0	999	0	0	2	210056	2616	0	1	19999076	50762	1	0	0	0	0	16377	100	300150060	0	0	0	0	0	item51_040	item51_040	0	1000062	0	六阶武器的碎片，凑齐<color=#7fff94>10</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币450000</color>	300150060	2	0	0	0	0	合成	2	6	4
300150160	1	上古六阶护甲碎片	3214	4	0	-1	0	10	10	5	180	3126	7999	0	999	0	0	2	210156	2616	0	1	19999077	50762	1	0	0	0	0	16377	101	300150160	0	0	0	0	0	item51_041	item51_041	0	1000062	0	六阶护甲的碎片，凑齐<color=#7fff94>10</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币450000</color>	300150160	2	0	0	0	0	合成	2	6	4
300150260	1	上古六阶腰带碎片	3214	4	0	-1	0	10	10	5	180	3136	7999	0	999	0	0	2	210256	2616	0	1	19999078	50762	1	0	0	0	0	16377	103	300150260	0	0	0	0	0	item51_042	item51_042	0	1000062	0	六阶腰带的碎片，凑齐<color=#7fff94>10</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币450000</color>	300150260	2	0	0	0	0	合成	2	6	4
300150360	1	上古六阶裤子碎片	3214	4	0	-1	0	10	10	5	180	3133	7999	0	999	0	0	2	210356	2616	0	1	19999079	50762	1	0	0	0	0	16377	102	300150360	0	0	0	0	0	item51_043	item51_043	0	1000062	0	六阶裤裙的碎片，凑齐<color=#7fff94>10</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币450000</color>	300150360	2	0	0	0	0	合成	2	6	4
300150460	1	上古六阶护腕碎片	3214	4	0	-1	0	10	10	5	150	3135	7999	0	999	0	0	2	210456	2616	0	1	19999080	50762	1	0	0	0	0	16377	106	300150460	0	0	0	0	0	item51_044	item51_044	0	1000062	0	六阶护腕的碎片，凑齐<color=#7fff94>10</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币450000</color>	300150460	2	0	0	0	0	合成	2	6	4
300150560	1	上古六阶项链碎片	3214	4	0	-1	0	10	10	203	35	3120	7999	0	999	0	0	2	210556	2616	0	1	19999081	50762	1	0	0	0	0	16377	108	300150560	0	0	0	0	0	item51_045	item51_045	0	1000062	0	六阶项链的碎片，凑齐<color=#7fff94>10</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币450000</color>	300150560	2	0	0	0	0	合成	2	6	4
300150660	1	上古六阶戒指碎片	3214	4	0	-1	0	10	10	203	35	3131	7999	0	999	0	0	2	210656	2616	0	1	19999082	50762	1	0	0	0	0	16377	109	300150660	0	0	0	0	0	item51_046	item51_046	0	1000062	0	六阶戒指的碎片，凑齐<color=#7fff94>10</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币450000</color>	300150660	2	0	0	0	0	合成	2	6	4
300150760	1	上古六阶护肩碎片	3214	4	0	-1	0	10	10	5	150	3125	7999	0	999	0	0	2	210756	2616	0	1	19999083	50762	1	0	0	0	0	16377	105	300150760	0	0	0	0	0	item51_047	item51_047	0	1000062	0	六阶护肩的碎片，凑齐<color=#7fff94>10</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币450000</color>	300150760	2	0	0	0	0	合成	2	6	4
300150860	1	上古六阶帽子碎片	3214	4	0	-1	0	10	10	5	150	3124	7999	0	999	0	0	2	210856	2616	0	1	19999084	50762	1	0	0	0	0	16377	104	300150860	0	0	0	0	0	item51_048	item51_048	0	1000062	0	六阶头饰的碎片，凑齐<color=#7fff94>10</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币450000</color>	300150860	2	0	0	0	0	合成	2	6	4
300150960	1	上古六阶鞋子碎片	3214	4	0	-1	0	10	10	5	150	3139	7999	0	999	0	0	2	210956	2616	0	1	19999085	50762	1	0	0	0	0	16377	107	300150960	0	0	0	0	0	item51_049	item51_049	0	1000062	0	六阶鞋子的碎片，凑齐<color=#7fff94>10</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币450000</color>	300150960	2	0	0	0	0	合成	2	6	4
300150070	1	上古七阶武器碎片	3214	4	0	-1	0	15	15	5	180	4140	7999	0	999	0	0	2	210057	2616	0	1	19999076	50772	1	0	0	0	0	16377	100	300150070	0	0	0	0	0	item51_040	item51_040	0	1000062	0	七阶武器的碎片，凑齐<color=#7fff94>15</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币800000</color>	300150070	2	0	0	0	0	合成	2	7	4
300150170	1	上古七阶护甲碎片	3214	4	0	-1	0	15	15	5	180	4146	7999	0	999	0	0	2	210157	2616	0	1	19999077	50772	1	0	0	0	0	16377	101	300150170	0	0	0	0	0	item51_041	item51_041	0	1000062	0	七阶护甲的碎片，凑齐<color=#7fff94>15</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币800000</color>	300150170	2	0	0	0	0	合成	2	7	4
300150270	1	上古七阶腰带碎片	3214	4	0	-1	0	15	15	5	180	4156	7999	0	999	0	0	2	210257	2616	0	1	19999078	50772	1	0	0	0	0	16377	103	300150270	0	0	0	0	0	item51_042	item51_042	0	1000062	0	七阶腰带的碎片，凑齐<color=#7fff94>15</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币800000</color>	300150270	2	0	0	0	0	合成	2	7	4
300150370	1	上古七阶裤子碎片	3214	4	0	-1	0	15	15	5	180	4153	7999	0	999	0	0	2	210357	2616	0	1	19999079	50772	1	0	0	0	0	16377	102	300150370	0	0	0	0	0	item51_043	item51_043	0	1000062	0	七阶裤裙的碎片，凑齐<color=#7fff94>15</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币800000</color>	300150370	2	0	0	0	0	合成	2	7	4
300150470	1	上古七阶护腕碎片	3214	4	0	-1	0	15	15	5	150	4155	7999	0	999	0	0	2	210457	2616	0	1	19999080	50772	1	0	0	0	0	16377	106	300150470	0	0	0	0	0	item51_044	item51_044	0	1000062	0	七阶护腕的碎片，凑齐<color=#7fff94>15</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币800000</color>	300150470	2	0	0	0	0	合成	2	7	4
300150570	1	上古七阶项链碎片	3214	4	0	-1	0	15	15	203	35	4140	7999	0	999	0	0	2	210557	2616	0	1	19999081	50772	1	0	0	0	0	16377	108	300150570	0	0	0	0	0	item51_045	item51_045	0	1000062	0	七阶项链的碎片，凑齐<color=#7fff94>15</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币800000</color>	300150570	2	0	0	0	0	合成	2	7	4
300150670	1	上古七阶戒指碎片	3214	4	0	-1	0	15	15	203	35	4151	7999	0	999	0	0	2	210657	2616	0	1	19999082	50772	1	0	0	0	0	16377	109	300150670	0	0	0	0	0	item51_046	item51_046	0	1000062	0	七阶戒指的碎片，凑齐<color=#7fff94>15</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币800000</color>	300150670	2	0	0	0	0	合成	2	7	4
300150770	1	上古七阶护肩碎片	3214	4	0	-1	0	15	15	5	150	4145	7999	0	999	0	0	2	210757	2616	0	1	19999083	50772	1	0	0	0	0	16377	105	300150770	0	0	0	0	0	item51_047	item51_047	0	1000062	0	七阶护肩的碎片，凑齐<color=#7fff94>15</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币800000</color>	300150770	2	0	0	0	0	合成	2	7	4
300150870	1	上古七阶帽子碎片	3214	4	0	-1	0	15	15	5	150	4144	7999	0	999	0	0	2	210857	2616	0	1	19999084	50772	1	0	0	0	0	16377	104	300150870	0	0	0	0	0	item51_048	item51_048	0	1000062	0	七阶头饰的碎片，凑齐<color=#7fff94>15</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币800000</color>	300150870	2	0	0	0	0	合成	2	7	4
300150970	1	上古七阶鞋子碎片	3214	4	0	-1	0	15	15	5	150	4159	7999	0	999	0	0	2	210957	2616	0	1	19999085	50772	1	0	0	0	0	16377	107	300150970	0	0	0	0	0	item51_049	item51_049	0	1000062	0	七阶鞋子的碎片，凑齐<color=#7fff94>15</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币800000</color>	300150970	2	0	0	0	0	合成	2	7	4
300150080	1	上古八阶武器碎片	3214	4	0	-1	0	20	20	5	180	5160	7999	0	999	0	0	2	210058	2616	0	1	19999076	50782	1	0	0	0	0	16377	100	300150080	0	0	0	0	0	item51_040	item51_040	0	1000062	0	八阶武器的碎片，凑齐<color=#7fff94>20</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币1400000</color>	300150080	2	0	0	0	0	合成	2	8	4
300150180	1	上古八阶护甲碎片	3214	4	0	-1	0	20	20	5	180	5166	7999	0	999	0	0	2	210158	2616	0	1	19999077	50782	1	0	0	0	0	16377	101	300150180	0	0	0	0	0	item51_041	item51_041	0	1000062	0	八阶护甲的碎片，凑齐<color=#7fff94>20</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币1400000</color>	300150180	2	0	0	0	0	合成	2	8	4
300150280	1	上古八阶腰带碎片	3214	4	0	-1	0	20	20	5	180	5176	7999	0	999	0	0	2	210258	2616	0	1	19999078	50782	1	0	0	0	0	16377	103	300150280	0	0	0	0	0	item51_042	item51_042	0	1000062	0	八阶腰带的碎片，凑齐<color=#7fff94>20</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币1400000</color>	300150280	2	0	0	0	0	合成	2	8	4
300150380	1	上古八阶裤子碎片	3214	4	0	-1	0	20	20	5	180	5173	7999	0	999	0	0	2	210358	2616	0	1	19999079	50782	1	0	0	0	0	16377	102	300150380	0	0	0	0	0	item51_043	item51_043	0	1000062	0	八阶裤裙的碎片，凑齐<color=#7fff94>20</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币1400000</color>	300150380	2	0	0	0	0	合成	2	8	4
300150480	1	上古八阶护腕碎片	3214	4	0	-1	0	20	20	5	150	5175	7999	0	999	0	0	2	210458	2616	0	1	19999080	50782	1	0	0	0	0	16377	106	300150480	0	0	0	0	0	item51_044	item51_044	0	1000062	0	八阶护腕的碎片，凑齐<color=#7fff94>20</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币1400000</color>	300150480	2	0	0	0	0	合成	2	8	4
300150580	1	上古八阶项链碎片	3214	4	0	-1	0	20	20	203	35	5160	7999	0	999	0	0	2	210558	2616	0	1	19999081	50782	1	0	0	0	0	16377	108	300150580	0	0	0	0	0	item51_045	item51_045	0	1000062	0	八阶项链的碎片，凑齐<color=#7fff94>20</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币1400000</color>	300150580	2	0	0	0	0	合成	2	8	4
300150680	1	上古八阶戒指碎片	3214	4	0	-1	0	20	20	203	35	5171	7999	0	999	0	0	2	210658	2616	0	1	19999082	50782	1	0	0	0	0	16377	109	300150680	0	0	0	0	0	item51_046	item51_046	0	1000062	0	八阶戒指的碎片，凑齐<color=#7fff94>20</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币1400000</color>	300150680	2	0	0	0	0	合成	2	8	4
300150780	1	上古八阶护肩碎片	3214	4	0	-1	0	20	20	5	150	5165	7999	0	999	0	0	2	210758	2616	0	1	19999083	50782	1	0	0	0	0	16377	105	300150780	0	0	0	0	0	item51_047	item51_047	0	1000062	0	八阶护肩的碎片，凑齐<color=#7fff94>20</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币1400000</color>	300150780	2	0	0	0	0	合成	2	8	4
300150880	1	上古八阶帽子碎片	3214	4	0	-1	0	20	20	5	150	5164	7999	0	999	0	0	2	210858	2616	0	1	19999084	50782	1	0	0	0	0	16377	104	300150880	0	0	0	0	0	item51_048	item51_048	0	1000062	0	八阶头饰的碎片，凑齐<color=#7fff94>20</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币1400000</color>	300150880	2	0	0	0	0	合成	2	8	4
300150980	1	上古八阶鞋子碎片	3214	4	0	-1	0	20	20	5	150	5179	7999	0	999	0	0	2	210958	2616	0	1	19999085	50782	1	0	0	0	0	16377	107	300150980	0	0	0	0	0	item51_049	item51_049	0	1000062	0	八阶鞋子的碎片，凑齐<color=#7fff94>20</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币1400000</color>	300150980	2	0	0	0	0	合成	2	8	4
300150090	1	上古九阶武器碎片	3214	4	0	-1	0	25	25	5	180	6180	7999	0	999	0	0	2	210059	2616	0	1	19999076	50792	1	0	0	0	0	16377	100	300150090	0	0	0	0	0	item51_040	item51_040	0	1000062	0	九阶武器的碎片，凑齐<color=#7fff94>25</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币2250000</color>	300150090	2	0	0	0	0	合成	2	9	4
300150190	1	上古九阶护甲碎片	3214	4	0	-1	0	25	25	5	180	6186	7999	0	999	0	0	2	210159	2616	0	1	19999077	50792	1	0	0	0	0	16377	101	300150190	0	0	0	0	0	item51_041	item51_041	0	1000062	0	九阶护甲的碎片，凑齐<color=#7fff94>25</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币2250000</color>	300150190	2	0	0	0	0	合成	2	9	4
300150290	1	上古九阶腰带碎片	3214	4	0	-1	0	25	25	5	180	6196	7999	0	999	0	0	2	210259	2616	0	1	19999078	50792	1	0	0	0	0	16377	103	300150290	0	0	0	0	0	item51_042	item51_042	0	1000062	0	九阶腰带的碎片，凑齐<color=#7fff94>25</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币2250000</color>	300150290	2	0	0	0	0	合成	2	9	4
300150390	1	上古九阶裤子碎片	3214	4	0	-1	0	25	25	5	180	6193	7999	0	999	0	0	2	210359	2616	0	1	19999079	50792	1	0	0	0	0	16377	102	300150390	0	0	0	0	0	item51_043	item51_043	0	1000062	0	九阶裤裙的碎片，凑齐<color=#7fff94>25</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币2250000</color>	300150390	2	0	0	0	0	合成	2	9	4
300150490	1	上古九阶护腕碎片	3214	4	0	-1	0	25	25	5	150	6195	7999	0	999	0	0	2	210459	2616	0	1	19999080	50792	1	0	0	0	0	16377	106	300150490	0	0	0	0	0	item51_044	item51_044	0	1000062	0	九阶护腕的碎片，凑齐<color=#7fff94>25</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币2250000</color>	300150490	2	0	0	0	0	合成	2	9	4
300150590	1	上古九阶项链碎片	3214	4	0	-1	0	25	25	203	35	6180	7999	0	999	0	0	2	210559	2616	0	1	19999081	50792	1	0	0	0	0	16377	108	300150590	0	0	0	0	0	item51_045	item51_045	0	1000062	0	九阶项链的碎片，凑齐<color=#7fff94>25</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币2250000</color>	300150590	2	0	0	0	0	合成	2	9	4
300150690	1	上古九阶戒指碎片	3214	4	0	-1	0	25	25	203	35	6191	7999	0	999	0	0	2	210659	2616	0	1	19999082	50792	1	0	0	0	0	16377	109	300150690	0	0	0	0	0	item51_046	item51_046	0	1000062	0	九阶戒指的碎片，凑齐<color=#7fff94>25</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币2250000</color>	300150690	2	0	0	0	0	合成	2	9	4
300150790	1	上古九阶护肩碎片	3214	4	0	-1	0	25	25	5	150	6185	7999	0	999	0	0	2	210759	2616	0	1	19999083	50792	1	0	0	0	0	16377	105	300150790	0	0	0	0	0	item51_047	item51_047	0	1000062	0	九阶护肩的碎片，凑齐<color=#7fff94>25</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币2250000</color>	300150790	2	0	0	0	0	合成	2	9	4
300150890	1	上古九阶帽子碎片	3214	4	0	-1	0	25	25	5	150	6184	7999	0	999	0	0	2	210859	2616	0	1	19999084	50792	1	0	0	0	0	16377	104	300150890	0	0	0	0	0	item51_048	item51_048	0	1000062	0	九阶头饰的碎片，凑齐<color=#7fff94>25</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币2250000</color>	300150890	2	0	0	0	0	合成	2	9	4
300150990	1	上古九阶鞋子碎片	3214	4	0	-1	0	25	25	5	150	6199	7999	0	999	0	0	2	210959	2616	0	1	19999085	50792	1	0	0	0	0	16377	107	300150990	0	0	0	0	0	item51_049	item51_049	0	1000062	0	九阶鞋子的碎片，凑齐<color=#7fff94>25</color>片并消耗一定铜币可以合成<color=#7fff94>上古品质</color>装备。\n<color=#7fff94>合成消耗：铜币2250000</color>	300150990	2	0	0	0	0	合成	2	9	4
300200101	1	论语残页	3002	3	0	-1	1	1	999	203	2000	1	7999	0	999	0	0	4	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	item40_001	item40_001	0	1000161	0	用于合成或感悟升级《论语》经文	300200101	3	0	0	0	0	合成	0	0	0
300200102	1	诗经残页	3002	3	0	-1	1	1	999	203	2000	1	7999	0	999	0	0	4	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	item40_002	item40_002	0	1000161	0	用于合成或感悟升级《诗经》经文	300200102	3	0	0	0	0	合成	0	0	0
