地图ID	地图类型(PVE为1，PVP为2，3离线竞技场-死了不黑屏）	"扩展功能（0不可用轻功，1是可用轻功，2可以上坐骑，4坐骑可以飞,8有经验衰减，16官员buff不生效，32是否可上交通坐骑,64是否根据固定的阵营关系计算PK关系，128灵兽是否出战，256是否允许队伍操作，512地图是否禁止祝福，1024是可用双人交互动作,2048原地复活是否无敌（可不配，客户端不处理，占用）"	是否为战场	世界地图位置	任务追踪切页类型（1有切页，0无切页）	切页初始页数(1任务、2组队、3玩法)	地图HUD类型;0未初始化状态，1多人和平地图，2多人对战地图，3单人地图，4MOBA地图	地图类型（0和平地图，1PK地图，2活动地图（需要处理强制阵营等），现在只有0有特殊处理，1和2都未处理，但是要配置）	左上角显示按钮规则(就是那三个按钮和灵兽头像的互斥规则了)	副本评分ID	该副本是否刷出篝火（0否，1是）	是否屏蔽自动战斗	"右下角默认显示-位域（单位：0显示技能按钮群,1显示主按钮群；二位：0显示?号，1屏蔽加号）"	进入副本是否默认自动战斗	副本次数限制ID	是否公共地图(1是，0不是)（处理1：若为0则进入打断挖宝状态）	同屏人数少	同屏人数中	同屏人数多	进入副本默认自动战斗延迟	"头顶显示(0不显示任何头衔,1帮派,2情侣,4称号,8阵营职位,16同帮派玩家血条特殊颜色显示)"	助战礼包奖励	助战礼包次数限制	是否为助战地图（0是不可助战地图、1是可助战地图）	血条显示(个位-0不显示，1怪物持续显示，2怪物进战显示；十位-0不显示，1角色持续显示，2角色进战显示)	客户端专用扩展字段（位域：0啥也没有，1显示修炼小提示，2待加……………………）	名字
8049	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	0	15	0	0	0	22	0	闻言碑九
8050	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	0	15	0	0	0	22	0	闻言碑十
8051	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	西辰碑一
8052	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	西辰碑二
8053	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	西辰碑三
8054	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	西辰碑四
8055	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	西辰碑五
8056	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	西辰碑六
8057	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	西辰碑七
8058	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	西辰碑八
8059	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	西辰碑九
8060	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	西辰碑十
8061	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	听雨碑一
8062	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	听雨碑二
8063	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	听雨碑三
8064	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	听雨碑四
8065	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	听雨碑五
8066	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	听雨碑六
8067	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	听雨碑七
8068	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	听雨碑八
8069	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	听雨碑九
8070	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	听雨碑十
8071	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	烟暖碑一
8072	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	烟暖碑二
8073	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	烟暖碑三
8074	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	烟暖碑四
8075	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	烟暖碑五
8076	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	烟暖碑六
8077	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	烟暖碑七
8078	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	烟暖碑八
8079	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	烟暖碑九
8080	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	烟暖碑十
8081	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	白山碑一
8082	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	白山碑二
8083	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	白山碑三
8084	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	白山碑四
8085	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	白山碑五
8086	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	白山碑六
8087	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	白山碑七
8088	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	白山碑八
8089	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	白山碑九
8090	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	白山碑十
8091	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	孤松碑一
8092	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	孤松碑二
8093	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	孤松碑三
8094	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	孤松碑四
8095	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	孤松碑五
8096	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	孤松碑六
8097	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	孤松碑七
8098	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	孤松碑八
8099	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	孤松碑九
8100	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	孤松碑十
8101	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	梧桐碑一
8102	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	梧桐碑二
8103	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	梧桐碑三
8104	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	梧桐碑四
8105	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	梧桐碑五
8106	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	梧桐碑六
8107	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	梧桐碑七
8108	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	梧桐碑八
8109	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	梧桐碑九
8110	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	梧桐碑十
8111	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	风雪碑一
8112	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	风雪碑二
8113	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	风雪碑三
8114	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	风雪碑四
8115	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	风雪碑五
8116	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	风雪碑六
8117	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	风雪碑七
8118	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	风雪碑八
8119	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	风雪碑九
8120	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	风雪碑十
8121	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	云霞碑一
8122	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	云霞碑二
8123	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	云霞碑三
8124	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	云霞碑四
8125	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	云霞碑五
8126	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	云霞碑六
8127	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	云霞碑七
8128	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	云霞碑八
8129	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	云霞碑九
8130	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	云霞碑十
8131	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	梦泽碑一
8132	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	梦泽碑二
8133	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	梦泽碑三
8134	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	梦泽碑四
8135	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	梦泽碑五
8136	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	梦泽碑六
8137	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	梦泽碑七
8138	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	梦泽碑八
8139	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	梦泽碑九
8140	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	梦泽碑十
8141	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	青烟碑一
8142	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	青烟碑二
8143	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	青烟碑三
8144	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	青烟碑四
8145	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	青烟碑五
8146	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	青烟碑六
8147	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	青烟碑七
8148	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	青烟碑八
8149	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	青烟碑九
8150	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	青烟碑十
8151	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	星辰碑一
8152	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	星辰碑二
8153	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	星辰碑三
8154	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	星辰碑四
8155	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	星辰碑五
8156	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	星辰碑六
8157	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	星辰碑七
8158	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	星辰碑八
8159	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	星辰碑九
8160	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	星辰碑十
8161	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	暮寒碑一
8162	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	暮寒碑二
8163	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	暮寒碑三
8164	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	暮寒碑四
8165	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	暮寒碑五
8166	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	暮寒碑六
8167	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	暮寒碑七
8168	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	暮寒碑八
8169	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	暮寒碑九
8170	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	暮寒碑十
8171	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	虚无碑一
8172	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	虚无碑二
8173	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	虚无碑三
8174	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	虚无碑四
8175	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	虚无碑五
8176	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	虚无碑六
8177	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	虚无碑七
8178	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	虚无碑八
8179	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	虚无碑九
8180	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	虚无碑十
8181	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	劫炎碑一
8182	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	劫炎碑二
8183	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	劫炎碑三
8184	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	劫炎碑四
8185	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	劫炎碑五
8186	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	劫炎碑六
8187	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	劫炎碑七
8188	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	劫炎碑八
8189	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	劫炎碑九
8190	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	劫炎碑十
8191	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	战天碑一
8192	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	战天碑二
8193	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	战天碑三
8194	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	战天碑四
8195	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	战天碑五
8196	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	战天碑六
8197	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	战天碑七
8198	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	战天碑八
8199	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	战天碑九
8200	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	战天碑十
8251	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	雪岩碑-第1关
8252	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	雪岩碑-第2关
8253	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	雪岩碑-第3关
8254	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	雪岩碑-第4关
8255	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	雪岩碑-第5关
8256	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	雪岩碑-第6关
8257	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	雪岩碑-第7关
8258	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	雪岩碑-第8关
8259	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	雪岩碑-第9关
8260	1	128	0	8001	0	0	3	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	雪岩碑-第10关
9001	1	128	0	9001	0	0	3	2	0	0	0	0	10	0	0	0	5	10	15	0	15	0	0	0	22	0	没用
9002	1	128	0	9001	0	0	3	2	0	0	0	0	10	0	0	0	5	10	15	0	15	0	0	0	22	0	没用
9003	1	128	0	9001	0	0	3	2	0	0	0	0	10	0	0	0	5	10	15	0	15	0	0	0	22	0	没用
9004	1	128	0	9001	0	0	3	2	0	0	0	0	10	0	0	0	5	10	15	0	15	0	0	0	22	0	封魔塔一
9005	1	128	0	9001	0	0	3	2	0	0	0	0	10	0	0	0	5	10	15	0	15	0	0	0	22	0	封魔塔二
9006	1	128	0	9001	0	0	3	2	0	0	0	0	10	0	0	0	5	10	15	0	15	0	0	0	22	0	封魔塔三
9007	1	128	0	9001	0	0	3	2	0	0	0	0	10	0	0	0	5	10	15	0	15	0	0	0	22	0	封魔塔四
9008	1	128	0	9001	0	0	3	2	0	0	0	0	10	0	0	0	5	10	15	0	15	0	0	0	22	0	封魔塔五
9009	1	128	0	9001	0	0	3	2	0	0	0	0	10	0	0	0	5	10	15	0	15	0	0	0	22	0	封魔塔六
9010	1	128	0	9001	0	0	3	2	0	0	0	0	10	0	0	0	5	10	15	0	15	0	0	0	22	0	封魔塔七
9011	1	128	0	9001	0	0	3	2	0	0	0	0	10	0	0	0	5	10	15	0	15	0	0	0	22	0	封魔塔八
9012	1	128	0	9001	0	0	3	2	0	0	0	0	10	0	0	0	5	10	15	0	15	0	0	0	22	0	封魔塔九
9013	1	128	0	9001	0	0	3	2	0	0	0	0	10	0	0	0	5	10	15	0	15	0	0	0	22	0	封魔塔十
9014	1	128	0	9001	0	0	3	2	0	0	0	0	10	0	0	0	5	10	15	0	15	0	0	0	22	0	封魔塔十一
9015	1	128	0	9001	0	0	3	2	0	0	0	0	10	0	0	0	5	10	15	0	15	0	0	0	22	0	封魔塔十二
9016	1	128	0	9001	0	0	3	2	0	0	0	0	10	0	0	0	5	10	15	0	15	0	0	0	22	0	封魔塔十三
9017	1	128	0	9001	0	0	3	2	0	0	0	0	10	0	0	0	5	10	15	0	15	0	0	0	22	0	封魔塔十四
9018	1	128	0	9001	0	0	3	2	0	0	0	0	10	0	0	0	5	10	15	0	15	0	0	0	22	0	封魔塔十五
9019	1	128	0	9001	0	0	3	2	0	0	0	0	10	0	0	0	5	10	15	0	15	0	0	0	22	0	封魔塔十六
9020	1	128	0	9001	0	0	3	2	0	0	0	0	10	0	0	0	5	10	15	0	15	0	0	0	22	0	封魔塔十七
