备注	BUFF的ID(ID规则：弹道ID+2位流水号；如果是场景系统等没相关弹道的buff地图ID+2流水号，任务相关1000-1999)	一级分类（只在免疫、叠加计算使用了，其他时候都没用了，1属性改变，2生命恢复，4治疗加成，8无敌，16变身，32特殊，64减速、128沉默、256变羊、512定身、1024眩晕、2048昏睡、4096击退）	二级分类（如果两个buff一级分类相同，但是需要区分为不同类的buff，则使用二级分类）	BUFF类型（1、buff|2、debuff|3、场景buff(3类型buff，先不要用，应该无效））	BUFF等级（副主键，buff等级）	优先级（buff的优先级，优先级低的同类型buff会被高优先级替换）	叠加上限（buff的最大叠加层数，最大99）	触发方式（1时间触发(一般用在dot和hot等有触发间隔的)，2获得触发（关联属性计算改变），3被击触发，4攻击触发，5被击触发另外BUFF，6攻击触发另外BUFF，7移动触发）	CD类型ID（加上BUFF时检测的CD，仅是BUFF的CD，与技能无关）	CD时间(毫秒，具体的CD时间)	时间持续类型（1、墙上时间|2、在线时间|3、永久(NPC出生自带BUFF需要配成永久的)|4、时间叠加类buff墙上时间|5、时间叠加类buff在线时间|6、在某个时间前一直存在）	删除方式（0、不可删除|1、时间到删除|2、死亡删除|4、可以驱散删除|8、跳地图删除|16、使用技能删除|32、跳副本删除|64、被击删除|128、主动攻击删除|256、移动删除）	被击删除次数（被击删除时，才有效）	效果个数（效果个数，需要与后面的个数保持一致|当debuff类型为“受伤转化为施术者回血”时，占用第一个效果的“数值参数”填写转化百分比）	持续时间1（此效果的存在时间，单位毫秒，与buff时间一样则填写-1，如果时间比buff时间短，则此效果要填在后面）	触发间隔1（此效果的触发间隔，单位毫秒，加BUFF瞬间就生效则填写0(之后不再重复生效)，伤害类的DOT一定要填生效间隔的；当一级分类里为位移型hpdot（4194305），则触发间隔为移动距离）	生效条件1（关联至condition（跟程序确认一下））	关联效果id1（关联至skill_effect_cfg中的ID）	百分比参数1（关联的百分比）	数值参数1（关联的数值|当debuff类型为“受伤转化为施术者回血”时，占用第一个效果的“数值参数”填写转化百分比）	暴击率1（效果的单独暴击率）	暴击系数1（效果的单独暴击系数）	持续时间2	触发间隔2	生效条件2	关联效果id2	百分比参数2	数值参数2	暴击率2	暴击系数2	持续时间3	触发间隔3	生效条件3	关联效果id3	百分比参数3	数值参数3	暴击率3	暴击系数3	持续时间4	触发间隔4	生效条件4	关联效果id4	百分比参数4	数值参数4	暴击率4	暴击系数4	客户端表现ID	BUFF广播级别(0不广播，1广播)	BUFF的状态限制ID(关联状态限制表) 
群拉符文2增加防御和反弹	3023101	1	3023101	1	31	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	32	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	33	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	34	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	35	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	36	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	37	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	38	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	39	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	40	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	41	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	42	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	43	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	44	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	45	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	46	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	47	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	48	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	49	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	50	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	51	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	52	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	53	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	54	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	55	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	56	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	57	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	58	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	59	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	60	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	61	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	62	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	63	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	64	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	65	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	66	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	67	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	68	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	69	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	70	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	71	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	72	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	73	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	74	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文2增加防御和反弹	3023101	1	3023101	1	75	1	1	2	0	0	2	15	0	3	-1	0	0	3002	25	0	0	0	-1	0	0	3004	25	0	0	0	-1	0	0	5031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
群拉符文3-断刃-攻击、移速下降	3024101	1	3024101	2	1	1	1	2	0	0	2	15	0	3	-1	0	0	3001	-25	0	0	0	-1	0	0	3003	-25	0	0	0	-1	0	0	2007	-30	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	1	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	2	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	3	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	4	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	5	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	6	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	7	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	8	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	9	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	10	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	11	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	12	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	13	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	14	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	15	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	16	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	17	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	18	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	19	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	20	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	21	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	22	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	23	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	24	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	25	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	26	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	27	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	28	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	29	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	30	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	31	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	32	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	33	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	34	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	35	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	36	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	37	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	38	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	39	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	40	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	41	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	42	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	43	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	44	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	45	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	46	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	47	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	48	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	49	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	50	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	51	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	52	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	53	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	54	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	55	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	56	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	57	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	58	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	59	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	60	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	61	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	62	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
旋风斩伤害	3031101	32	303101	1	63	1	1	1	0	0	1	11	0	1	-1	800	0	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
