步骤ID（9位，7位AI主ID+1位AI条目+1位步骤序号）	VALID	行为优先级	行为类型（0放技能，2召黑户，3召白户，5跑到点，12删白户，14触发事件，15召群组，20删群组，22逃距离，23传送，24删黑户）	行为参数1	行为参数2	行为参数3	行为参数4	行为参数5	行为参数6	行为参数7	行为参数8	行为参数9	行为参数10	行为参数11	行为参数12	行为参数13	行为参数14	行为参数15	行为参数16	行为参数17	行为参数18	行为参数19	客户端脚本ID（其实是参数20）
900860501	1	0	14	90080005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900860601	1	0	14	90080011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900860701	1	0	14	90080012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900860801	1	0	14	90080013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900860901	1	0	14	90080014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900861001	1	0	14	90080015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900960101	1	0	14	90090001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900960201	1	0	14	90090002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900960301	1	0	14	90090003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900960401	1	0	14	90090004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900960501	1	0	14	90090005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900960601	1	0	14	90090011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900960701	1	0	14	90090012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900960801	1	0	14	90090013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900960901	1	0	14	90090014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900961001	1	0	14	90090015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901060101	1	0	14	90100001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901060201	1	0	14	90100002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901060301	1	0	14	90100003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901060401	1	0	14	90100004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901060501	1	0	14	90100005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901060601	1	0	14	90100011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901060701	1	0	14	90100012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901060801	1	0	14	90100013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901060901	1	0	14	90100014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901061001	1	0	14	90100015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901160101	1	0	14	90110001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901160201	1	0	14	90110002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901160301	1	0	14	90110003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901160401	1	0	14	90110004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901160501	1	0	14	90110005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901160601	1	0	14	90110011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901160701	1	0	14	90110012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901160801	1	0	14	90110013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901160901	1	0	14	90110014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901161001	1	0	14	90110015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901260101	1	0	14	90120001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901260201	1	0	14	90120002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901260301	1	0	14	90120003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901260401	1	0	14	90120004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901260501	1	0	14	90120005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901260601	1	0	14	90120011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901260701	1	0	14	90120012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901260801	1	0	14	90120013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901260901	1	0	14	90120014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901261001	1	0	14	90120015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901360101	1	0	14	90130001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901360201	1	0	14	90130002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901360301	1	0	14	90130003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901360401	1	0	14	90130004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901360501	1	0	14	90130005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901360601	1	0	14	90130011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901360701	1	0	14	90130012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901360801	1	0	14	90130013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901360901	1	0	14	90130014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901361001	1	0	14	90130015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901460101	1	0	14	90140001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901460201	1	0	14	90140002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901460301	1	0	14	90140003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901460401	1	0	14	90140004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901460501	1	0	14	90140005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901460601	1	0	14	90140011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901460701	1	0	14	90140012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901460801	1	0	14	90140013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901460901	1	0	14	90140014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901461001	1	0	14	90140015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901560101	1	0	14	90150001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901560201	1	0	14	90150002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901560301	1	0	14	90150003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901560401	1	0	14	90150004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901560501	1	0	14	90150005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901560601	1	0	14	90150011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901560701	1	0	14	90150012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901560801	1	0	14	90150013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901560901	1	0	14	90150014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901561001	1	0	14	90150015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901660101	1	0	14	90160001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901660201	1	0	14	90160002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901660301	1	0	14	90160003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901660401	1	0	14	90160004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901660501	1	0	14	90160005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901660601	1	0	14	90160011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901660701	1	0	14	90160012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901660801	1	0	14	90160013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901660901	1	0	14	90160014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901661001	1	0	14	90160015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901760101	1	0	14	90170001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901760201	1	0	14	90170002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901760301	1	0	14	90170003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901760401	1	0	14	90170004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901760501	1	0	14	90170005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901760601	1	0	14	90170011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901760701	1	0	14	90170012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901760801	1	0	14	90170013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901760901	1	0	14	90170014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901761001	1	0	14	90170015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901860101	1	0	14	90180001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901860201	1	0	14	90180002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901860301	1	0	14	90180003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901860401	1	0	14	90180004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901860501	1	0	14	90180005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901860601	1	0	14	90180011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901860701	1	0	14	90180012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901860801	1	0	14	90180013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901860901	1	0	14	90180014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901861001	1	0	14	90180015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901960101	1	0	14	90190001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901960201	1	0	14	90190002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901960301	1	0	14	90190003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901960401	1	0	14	90190004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901960501	1	0	14	90190005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901960601	1	0	14	90190011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901960701	1	0	14	90190012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901960801	1	0	14	90190013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901960901	1	0	14	90190014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901961001	1	0	14	90190015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
902060101	1	0	14	90200001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
902060201	1	0	14	90200002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
902060301	1	0	14	90200003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
902060401	1	0	14	90200004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
902060501	1	0	14	90200005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
902060601	1	0	14	90200011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
902060701	1	0	14	90200012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
902060801	1	0	14	90200013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
902060901	1	0	14	90200014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
902061001	1	0	14	90200015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900150202	1	0	24	0	10	9001502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900140111	1	0	0	0	22015	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900111101	1	2	0	0	22053	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900111111	1	1	0	0	22054	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900111121	1	0	0	0	22055	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900112101	1	1	0	2	22057	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900112111	1	0	0	0	22058	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900113101	1	0	0	0	22059	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900113111	1	0	0	0	22060	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900114101	1	0	0	0	22061	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900114111	1	0	0	0	22062	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900150112	1	0	2	9001152	1	10	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
900115301	1	0	0	2	22032	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900115111	1	0	0	0	22031	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900115101	1	0	2	9001153	1	20	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
900116101	1	0	0	0	22039	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900116111	1	0	0	0	220401	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900116121	1	0	23	0	3	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900116112	1	0	0	10	22040	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900116201	1	0	0	0	22042	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800200101	1	0	0	2	21079	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800200201	1	0	0	2	21083	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800200211	1	0	0	0	21110	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800200301	1	0	0	0	21003	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800200401	1	0	0	0	21148	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800200501	1	0	0	0	21055	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800200601	1	0	0	0	21127	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800200701	1	0	0	0	21027	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800200801	1	0	0	0	21025	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800200901	1	0	0	0	21030	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800201001	1	0	0	0	21042	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800201101	1	0	0	0	21018	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800201111	1	0	0	0	21023	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800201201	1	0	0	0	21084	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800201211	1	0	0	0	21028	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800201301	1	0	0	0	21039	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800201401	1	0	0	0	21010	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800201501	1	0	0	0	21085	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800201601	1	0	0	0	21087	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800210101	1	0	0	0	21146	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800210201	1	0	0	0	21147	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800210301	1	0	0	0	21006	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800210401	1	0	0	0	21034	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800210501	1	0	0	0	21033	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800210601	1	0	0	0	21001	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800210701	1	0	0	0	21078	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800241001	1	0	0	0	21092	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800241101	1	0	0	0	21079	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800241111	1	0	0	0	21001	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800250101	1	0	0	0	1012	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800250111	1	0	0	0	21171	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800250201	1	0	0	0	1013	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800250301	1	0	0	0	1022	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800250401	1	0	0	0	1023	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800250501	1	0	0	0	103201	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800250502	1	0	0	0	103202	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800250503	1	0	0	0	103203	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800250504	1	0	0	0	103204	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800250505	1	0	0	0	103205	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800250601	1	0	0	0	103301	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800250602	1	0	0	0	103302	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800250603	1	0	0	0	103303	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800250604	1	0	0	0	103304	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800250605	1	0	0	0	103305	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800250701	1	0	0	0	1042	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800250801	1	0	0	0	1043	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800251101	1	0	0	0	2012	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800251111	1	0	0	0	201201	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800251201	1	0	0	0	2013	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800251301	1	0	0	0	2022	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800251401	1	0	0	0	2023	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800251501	1	0	0	0	2032	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800251601	1	0	0	0	2033	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800251701	1	0	0	0	2042	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800251801	1	0	0	0	2043	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800252101	1	0	0	0	3012	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800252201	1	0	0	0	3013	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800252301	1	0	0	0	3022	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800252401	1	0	0	0	3023	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800252501	1	0	0	0	3032	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800252601	1	0	0	0	3033	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800252701	1	0	0	0	3042	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800252801	1	0	0	0	3043	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800253101	1	0	0	0	4012	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800253201	1	0	0	0	4013	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800253301	1	0	0	0	4022	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800253401	1	0	0	0	4023	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800253501	1	0	0	0	4032	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800253601	1	0	0	0	4033	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800253701	1	0	0	0	4042	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800253801	1	0	0	0	4043	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800254101	1	0	0	0	1011	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800254201	1	0	0	0	1021	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800254301	1	0	0	0	103101	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800254302	1	0	0	0	103102	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800254303	1	0	0	0	103103	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800254304	1	0	0	0	103104	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800254305	1	0	0	0	103105	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800254401	1	0	0	0	1041	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800255101	1	0	0	0	2011	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800255201	1	0	0	0	2021	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800255301	1	0	0	0	2031	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800255401	1	0	0	0	2041	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800256101	1	0	0	0	3011	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800256201	1	0	0	0	3021	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800256301	1	0	0	0	3031	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800256401	1	0	0	0	3041	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800257101	1	0	0	0	4011	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800257201	1	0	0	0	4021	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800257301	1	0	0	0	4031	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800257401	1	0	0	0	4041	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800258101	1	0	0	0	1101	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800258201	1	0	0	0	2101	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800258301	1	0	0	0	3101	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800258401	1	0	0	0	4101	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800260101	1	0	0	0	21116	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800260201	1	0	0	0	21117	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800260301	1	0	0	0	21110	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800260401	1	0	0	0	21112	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800260501	1	0	0	0	21113	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800260601	1	0	0	0	21114	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800260701	1	0	0	0	21120	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800260801	1	0	0	0	21121	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800260901	1	0	0	0	21122	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800261001	1	0	0	0	21123	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800261101	1	0	0	0	21124	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800262101	1	0	0	0	21172	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800262201	1	0	0	0	21173	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800262301	1	0	0	0	21174	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800262401	1	0	0	0	21175	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800262501	1	0	0	0	21176	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800262601	1	0	0	0	21177	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800262701	1	0	0	0	21182	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800262801	1	0	0	0	21183	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800270101	1	0	0	0	21191	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800270301	1	0	0	0	21157	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800270401	1	0	0	0	21158	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800270411	1	0	0	0	21030	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
