成就ID(普通历练通关：1~300，普通历练三星：301~600，历练章节通关：601~650，历练章节满星：651~700，主线及系统开放：701~770，境界突破：771~800，目标成就：801~1700，目标零散1701~2100，魂装配方：2101~2140，七日成就2141~2300，充值首购2301~2350,祝福2351~2450，坐骑2451~2500，引导页2501~2600，引导成就2601-2650，灵宠购买限制2701~2800，封魔塔boss击杀成就2801~2850，海外首充成就2851~2900，仙道秘法成就2901~3000)	有效标志位	最大进度	完成类型(0自动完成，1手动完成)	前置成就ID	奖励道具ID	奖励道具数	奖励货币类型	奖励货币数	特殊奖励ID（已经改成通过reward_id来做，而不是drop了）	广播类型	广播内容	广播限制	触发成就1	触发成就2	触发成就3	触发成就4	触发成就5	触发事件	成就类型（0是普通成就，1是经脉成就，2是战灵碑成就）	状态限制(仅领取时有效，自动完成的不会有效果)	成就点数	触发祝福ID	触发邮件ID	增加战力值	触发脚本	待领奖时触发脚本	描述
180	1	1	0	0	0	0	0	0	20011810	0	0	0	618	0	0	0	0	0	2	0	0	401018	0	0	0	0	[长生碑]第十八碑第10关
181	1	1	0	0	0	0	0	0	20011901	0	0	0	619	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十九碑第1关
182	1	1	0	0	0	0	0	0	20011902	0	0	0	619	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十九碑第2关
183	1	1	0	0	0	0	0	0	20011903	0	0	0	619	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十九碑第3关
184	1	1	0	0	0	0	0	0	20011904	0	0	0	619	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十九碑第4关
185	1	1	0	0	0	0	0	0	20011905	0	0	0	619	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十九碑第5关
186	1	1	0	0	0	0	0	0	20011906	0	0	0	619	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十九碑第6关
187	1	1	0	0	0	0	0	0	20011907	0	0	0	619	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十九碑第7关
188	1	1	0	0	0	0	0	0	20011908	0	0	0	619	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十九碑第8关
189	1	1	0	0	0	0	0	0	20011909	0	0	0	619	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十九碑第9关
190	1	1	0	0	0	0	0	0	20011910	0	0	0	619	0	0	0	0	0	2	0	0	401019	0	0	0	0	[长生碑]第十九碑第10关
191	1	1	0	0	0	0	0	0	20012001	0	0	0	620	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十碑第1关
192	1	1	0	0	0	0	0	0	20012002	0	0	0	620	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十碑第2关
193	1	1	0	0	0	0	0	0	20012003	0	0	0	620	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十碑第3关
194	1	1	0	0	0	0	0	0	20012004	0	0	0	620	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十碑第4关
195	1	1	0	0	0	0	0	0	20012005	0	0	0	620	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十碑第5关
196	1	1	0	0	0	0	0	0	20012006	0	0	0	620	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十碑第6关
197	1	1	0	0	0	0	0	0	20012007	0	0	0	620	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十碑第7关
198	1	1	0	0	0	0	0	0	20012008	0	0	0	620	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十碑第8关
199	1	1	0	0	0	0	0	0	20012009	0	0	0	620	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十碑第9关
250	1	1	0	0	0	0	0	0	20012010	0	0	0	620	0	0	0	0	0	2	0	0	401020	0	0	0	0	[长生碑]第二十碑第10关
200	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	秘境通关成就
201	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	归墟通关成就
202	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	世界BOSS通关成就
203	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	上古遗迹通关成就
204	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	迷宫通关成就
205	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	青藤院通关成就
206	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	九层妖塔通关成就
207	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	402003	0	0	0	0	封魔塔通关成就
208	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	通关三九天劫·一
209	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	通关三九天劫·二
210	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	通关三九天劫·三
211	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	通关三九天劫·四
212	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	通关三九天劫·五
213	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	通关三九天劫·六
214	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	通关三九天劫·七
251	1	1	0	0	0	0	0	0	20012601	0	0	0	625	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第三碑（新）第1关
252	1	1	0	0	0	0	0	0	20012602	0	0	0	625	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第三碑（新）第2关
253	1	1	0	0	0	0	0	0	20012603	0	0	0	625	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第三碑（新）第3关
254	1	1	0	0	0	0	0	0	20012604	0	0	0	625	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第三碑（新）第4关
255	1	1	0	0	0	0	0	0	20012605	0	0	0	625	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第三碑（新）第5关
256	1	1	0	0	0	0	0	0	20012606	0	0	0	625	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第三碑（新）第6关
257	1	1	0	0	0	0	0	0	20012607	0	0	0	625	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第三碑（新）第7关
258	1	1	0	0	0	0	0	0	20012608	0	0	0	625	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第三碑（新）第8关
259	1	1	0	0	0	0	0	0	20012609	0	0	0	625	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第三碑（新）第9关
260	1	1	0	0	0	0	0	0	20012610	0	0	0	625	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第三碑（新）第10关
261	1	1	0	0	0	0	0	0	20012101	0	0	0	621	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十一碑（新）第1关
262	1	1	0	0	0	0	0	0	20012102	0	0	0	621	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十一碑（新）第2关
263	1	1	0	0	0	0	0	0	20012103	0	0	0	621	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十一碑（新）第3关
264	1	1	0	0	0	0	0	0	20012104	0	0	0	621	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十一碑（新）第4关
265	1	1	0	0	0	0	0	0	20012105	0	0	0	621	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十一碑（新）第5关
266	1	1	0	0	0	0	0	0	20012106	0	0	0	621	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十一碑（新）第6关
267	1	1	0	0	0	0	0	0	20012107	0	0	0	621	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十一碑（新）第7关
268	1	1	0	0	0	0	0	0	20012108	0	0	0	621	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十一碑（新）第8关
269	1	1	0	0	0	0	0	0	20012109	0	0	0	621	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十一碑（新）第9关
270	1	1	0	0	0	0	0	0	20012110	0	0	0	621	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十一碑（新）第10关
271	1	1	0	0	0	0	0	0	20012201	0	0	0	622	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十二碑（新）第1关
272	1	1	0	0	0	0	0	0	20012202	0	0	0	622	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十二碑（新）第2关
273	1	1	0	0	0	0	0	0	20012203	0	0	0	622	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十二碑（新）第3关
274	1	1	0	0	0	0	0	0	20012204	0	0	0	622	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十二碑（新）第4关
275	1	1	0	0	0	0	0	0	20012205	0	0	0	622	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十二碑（新）第5关
276	1	1	0	0	0	0	0	0	20012206	0	0	0	622	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十二碑（新）第6关
277	1	1	0	0	0	0	0	0	20012207	0	0	0	622	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十二碑（新）第7关
278	1	1	0	0	0	0	0	0	20012208	0	0	0	622	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十二碑（新）第8关
279	1	1	0	0	0	0	0	0	20012209	0	0	0	622	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十二碑（新）第9关
280	1	1	0	0	0	0	0	0	20012210	0	0	0	622	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十二碑（新）第10关
281	1	1	0	0	0	0	0	0	20012301	0	0	0	623	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十三碑（新）第1关
282	1	1	0	0	0	0	0	0	20012302	0	0	0	623	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十三碑（新）第2关
283	1	1	0	0	0	0	0	0	20012303	0	0	0	623	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十三碑（新）第3关
284	1	1	0	0	0	0	0	0	20012304	0	0	0	623	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十三碑（新）第4关
285	1	1	0	0	0	0	0	0	20012305	0	0	0	623	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十三碑（新）第5关
286	1	1	0	0	0	0	0	0	20012306	0	0	0	623	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十三碑（新）第6关
287	1	1	0	0	0	0	0	0	20012307	0	0	0	623	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十三碑（新）第7关
288	1	1	0	0	0	0	0	0	20012308	0	0	0	623	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十三碑（新）第8关
289	1	1	0	0	0	0	0	0	20012309	0	0	0	623	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十三碑（新）第9关
290	1	1	0	0	0	0	0	0	20012310	0	0	0	623	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十三碑（新）第10关
291	1	1	0	0	0	0	0	0	20012401	0	0	0	624	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十四碑（新）第1关
292	1	1	0	0	0	0	0	0	20012402	0	0	0	624	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十四碑（新）第2关
293	1	1	0	0	0	0	0	0	20012403	0	0	0	624	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十四碑（新）第3关
294	1	1	0	0	0	0	0	0	20012404	0	0	0	624	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十四碑（新）第4关
295	1	1	0	0	0	0	0	0	20012405	0	0	0	624	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十四碑（新）第5关
296	1	1	0	0	0	0	0	0	20012406	0	0	0	624	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十四碑（新）第6关
297	1	1	0	0	0	0	0	0	20012407	0	0	0	624	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十四碑（新）第7关
298	1	1	0	0	0	0	0	0	20012408	0	0	0	624	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十四碑（新）第8关
299	1	1	0	0	0	0	0	0	20012409	0	0	0	624	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十四碑（新）第9关
300	1	1	0	0	0	0	0	0	20012410	0	0	0	624	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第二十四碑（新）第10关
301	1	3	0	0	0	0	0	0	0	0	0	0	651	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练1-1三星记录
302	1	3	0	0	0	0	0	0	0	0	0	0	651	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练1-2三星记录
303	1	3	0	0	0	0	0	0	0	0	0	0	651	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练1-3三星记录
304	1	3	0	0	0	0	0	0	0	0	0	0	651	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练1-4三星记录
305	1	3	0	0	0	0	0	0	0	0	0	0	651	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练1-5三星记录
306	1	3	0	0	0	0	0	0	0	0	0	0	651	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练1-5三星记录
307	1	3	0	0	0	0	0	0	0	0	0	0	651	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练1-5三星记录
308	1	3	0	0	0	0	0	0	0	0	0	0	651	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练1-5三星记录
309	1	3	0	0	0	0	0	0	0	0	0	0	651	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练1-5三星记录
310	1	3	0	0	0	0	0	0	0	0	0	0	651	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练1-5三星记录
311	1	3	0	0	0	0	0	0	0	0	0	0	652	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练2-1三星记录
312	1	3	0	0	0	0	0	0	0	0	0	0	652	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练2-2三星记录
313	1	3	0	0	0	0	0	0	0	0	0	0	652	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练2-3三星记录
314	1	3	0	0	0	0	0	0	0	0	0	0	652	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练2-4三星记录
315	1	3	0	0	0	0	0	0	0	0	0	0	652	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练2-5三星记录
316	1	3	0	0	0	0	0	0	0	0	0	0	652	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练2-5三星记录
317	1	3	0	0	0	0	0	0	0	0	0	0	652	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练2-5三星记录
318	1	3	0	0	0	0	0	0	0	0	0	0	652	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练2-5三星记录
319	1	3	0	0	0	0	0	0	0	0	0	0	652	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练2-5三星记录
320	1	3	0	0	0	0	0	0	0	0	0	0	652	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练2-5三星记录
321	1	3	0	0	0	0	0	0	0	0	0	0	653	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练3-1三星记录
322	1	3	0	0	0	0	0	0	0	0	0	0	653	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练3-2三星记录
323	1	3	0	0	0	0	0	0	0	0	0	0	653	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练3-3三星记录
324	1	3	0	0	0	0	0	0	0	0	0	0	653	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练3-4三星记录
325	1	3	0	0	0	0	0	0	0	0	0	0	653	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练3-5三星记录
326	1	3	0	0	0	0	0	0	0	0	0	0	653	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练3-1三星记录
327	1	3	0	0	0	0	0	0	0	0	0	0	653	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练3-2三星记录
328	1	3	0	0	0	0	0	0	0	0	0	0	653	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练3-3三星记录
329	1	3	0	0	0	0	0	0	0	0	0	0	653	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练3-4三星记录
330	1	3	0	0	0	0	0	0	0	0	0	0	653	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练3-5三星记录
331	1	3	0	0	0	0	0	0	0	0	0	0	654	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练4-1三星记录
332	1	3	0	0	0	0	0	0	0	0	0	0	654	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练4-2三星记录
333	1	3	0	0	0	0	0	0	0	0	0	0	654	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练4-3三星记录
334	1	3	0	0	0	0	0	0	0	0	0	0	654	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练4-4三星记录
335	1	3	0	0	0	0	0	0	0	0	0	0	654	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练4-5三星记录
336	1	3	0	0	0	0	0	0	0	0	0	0	654	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练4-6三星记录
337	1	3	0	0	0	0	0	0	0	0	0	0	654	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练4-7三星记录
338	1	3	0	0	0	0	0	0	0	0	0	0	654	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练4-8三星记录
339	1	3	0	0	0	0	0	0	0	0	0	0	654	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练4-9三星记录
340	1	3	0	0	0	0	0	0	0	0	0	0	654	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练4-10三星记录
341	1	3	0	0	0	0	0	0	0	0	0	0	655	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练5-1三星记录
342	1	3	0	0	0	0	0	0	0	0	0	0	655	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练5-2三星记录
343	1	3	0	0	0	0	0	0	0	0	0	0	655	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练5-3三星记录
344	1	3	0	0	0	0	0	0	0	0	0	0	655	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练5-4三星记录
345	1	3	0	0	0	0	0	0	0	0	0	0	655	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练5-5三星记录
346	1	3	0	0	0	0	0	0	0	0	0	0	655	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练5-6三星记录
347	1	3	0	0	0	0	0	0	0	0	0	0	655	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练5-7三星记录
348	1	3	0	0	0	0	0	0	0	0	0	0	655	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练5-8三星记录
349	1	3	0	0	0	0	0	0	0	0	0	0	655	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练5-9三星记录
350	1	3	0	0	0	0	0	0	0	0	0	0	655	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练5-10三星记录
351	1	3	0	0	0	0	0	0	0	0	0	0	656	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练6-1三星记录
352	1	3	0	0	0	0	0	0	0	0	0	0	656	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练6-2三星记录
353	1	3	0	0	0	0	0	0	0	0	0	0	656	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练6-3三星记录
354	1	3	0	0	0	0	0	0	0	0	0	0	656	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练6-4三星记录
355	1	3	0	0	0	0	0	0	0	0	0	0	656	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练6-5三星记录
356	1	3	0	0	0	0	0	0	0	0	0	0	656	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练6-6三星记录
357	1	3	0	0	0	0	0	0	0	0	0	0	656	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练6-7三星记录
358	1	3	0	0	0	0	0	0	0	0	0	0	656	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练6-8三星记录
359	1	3	0	0	0	0	0	0	0	0	0	0	656	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练6-9三星记录
360	1	3	0	0	0	0	0	0	0	0	0	0	656	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练6-10三星记录
361	1	3	0	0	0	0	0	0	0	0	0	0	657	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练7-1三星记录
362	1	3	0	0	0	0	0	0	0	0	0	0	657	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练7-2三星记录
363	1	3	0	0	0	0	0	0	0	0	0	0	657	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练7-3三星记录
364	1	3	0	0	0	0	0	0	0	0	0	0	657	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练7-4三星记录
365	1	3	0	0	0	0	0	0	0	0	0	0	657	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练7-5三星记录
366	1	3	0	0	0	0	0	0	0	0	0	0	657	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练7-6三星记录
367	1	3	0	0	0	0	0	0	0	0	0	0	657	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练7-7三星记录
368	1	3	0	0	0	0	0	0	0	0	0	0	657	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练7-8三星记录
369	1	3	0	0	0	0	0	0	0	0	0	0	657	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练7-9三星记录
370	1	3	0	0	0	0	0	0	0	0	0	0	657	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练7-10三星记录
371	1	3	0	0	0	0	0	0	0	0	0	0	658	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练8-1三星记录
372	1	3	0	0	0	0	0	0	0	0	0	0	658	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练8-2三星记录
373	1	3	0	0	0	0	0	0	0	0	0	0	658	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练8-3三星记录
374	1	3	0	0	0	0	0	0	0	0	0	0	658	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练8-4三星记录
375	1	3	0	0	0	0	0	0	0	0	0	0	658	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练8-5三星记录
376	1	3	0	0	0	0	0	0	0	0	0	0	658	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练8-6三星记录
377	1	3	0	0	0	0	0	0	0	0	0	0	658	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练8-7三星记录
378	1	3	0	0	0	0	0	0	0	0	0	0	658	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练8-8三星记录
379	1	3	0	0	0	0	0	0	0	0	0	0	658	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练8-9三星记录
380	1	3	0	0	0	0	0	0	0	0	0	0	658	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练8-10三星记录
381	1	3	0	0	0	0	0	0	0	0	0	0	659	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练9-1三星记录
382	1	3	0	0	0	0	0	0	0	0	0	0	659	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练9-2三星记录
383	1	3	0	0	0	0	0	0	0	0	0	0	659	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练9-3三星记录
384	1	3	0	0	0	0	0	0	0	0	0	0	659	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练9-4三星记录
385	1	3	0	0	0	0	0	0	0	0	0	0	659	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练9-5三星记录
386	1	3	0	0	0	0	0	0	0	0	0	0	659	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练9-6三星记录
387	1	3	0	0	0	0	0	0	0	0	0	0	659	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练9-7三星记录
388	1	3	0	0	0	0	0	0	0	0	0	0	659	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练9-8三星记录
389	1	3	0	0	0	0	0	0	0	0	0	0	659	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练9-9三星记录
390	1	3	0	0	0	0	0	0	0	0	0	0	659	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练9-10三星记录
391	1	3	0	0	0	0	0	0	0	0	0	0	660	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练10-1三星记录
392	1	3	0	0	0	0	0	0	0	0	0	0	660	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练10-2三星记录
393	1	3	0	0	0	0	0	0	0	0	0	0	660	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练10-3三星记录
394	1	3	0	0	0	0	0	0	0	0	0	0	660	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练10-4三星记录
395	1	3	0	0	0	0	0	0	0	0	0	0	660	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练10-5三星记录
396	1	3	0	0	0	0	0	0	0	0	0	0	660	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练10-6三星记录
397	1	3	0	0	0	0	0	0	0	0	0	0	660	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练10-7三星记录
398	1	3	0	0	0	0	0	0	0	0	0	0	660	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练10-8三星记录
399	1	3	0	0	0	0	0	0	0	0	0	0	660	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练10-9三星记录
400	1	3	0	0	0	0	0	0	0	0	0	0	660	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练10-10三星记录
401	1	3	0	0	0	0	0	0	0	0	0	0	661	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练11-1三星记录
402	1	3	0	0	0	0	0	0	0	0	0	0	661	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练11-2三星记录
403	1	3	0	0	0	0	0	0	0	0	0	0	661	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练11-3三星记录
404	1	3	0	0	0	0	0	0	0	0	0	0	661	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练11-4三星记录
405	1	3	0	0	0	0	0	0	0	0	0	0	661	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练11-5三星记录
406	1	3	0	0	0	0	0	0	0	0	0	0	661	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练11-6三星记录
407	1	3	0	0	0	0	0	0	0	0	0	0	661	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练11-7三星记录
408	1	3	0	0	0	0	0	0	0	0	0	0	661	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练11-8三星记录
409	1	3	0	0	0	0	0	0	0	0	0	0	661	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练11-9三星记录
410	1	3	0	0	0	0	0	0	0	0	0	0	661	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练11-10三星记录
411	1	3	0	0	0	0	0	0	0	0	0	0	662	0	0	0	0	0	0	0	0	0	0	0	0	0	普通历练12-1三星记录
