AI主ID（基本就是NPCID）	AI副ID（不能超过10条）	VALID	触发次数	触发CD	条件类型（0进战第N秒，2进战后每隔N秒，6当前位置坐标，8自身HP百分比，11自身HP数值，14附近有玩家，16仇人身上有BUFF，18自己身上有BUFF，19全图玩家进入仇恨列表，20仇恨列表人数，21全图玩家进入警戒范围，22警戒范围人数）	条件参数1	条件参数2	条件参数3	条件参数4	条件参数5	初始CD(进入战斗N秒后才开始判断)	行为步骤数（不能超过5步）	步骤1延迟	步骤1ID（9位，7位AI主ID+1位AI条目+1位步骤序号）	步骤2延迟	步骤2ID	步骤3延迟	步骤3ID	步骤4延迟	步骤4ID	步骤5延迟	步骤5ID
9007604	1	1	1	0	22	1	1	0	0	0	0	1	0	900760401	0	0	0	0	0	0	0	0
9007605	1	1	1	0	22	1	1	0	0	0	0	1	0	900760501	0	0	0	0	0	0	0	0
9007606	1	1	1	0	22	1	1	0	0	0	0	1	0	900760601	0	0	0	0	0	0	0	0
9007607	1	1	1	0	22	1	1	0	0	0	0	1	0	900760701	0	0	0	0	0	0	0	0
9007608	1	1	1	0	22	1	1	0	0	0	0	1	0	900760801	0	0	0	0	0	0	0	0
9007609	1	1	1	0	22	1	1	0	0	0	0	1	0	900760901	0	0	0	0	0	0	0	0
9007610	1	1	1	0	22	1	1	0	0	0	0	1	0	900761001	0	0	0	0	0	0	0	0
9008601	1	1	1	0	22	1	1	0	0	0	0	1	0	900860101	0	0	0	0	0	0	0	0
9008602	1	1	1	0	22	1	1	0	0	0	0	1	0	900860201	0	0	0	0	0	0	0	0
9008603	1	1	1	0	22	1	1	0	0	0	0	1	0	900860301	0	0	0	0	0	0	0	0
9008604	1	1	1	0	22	1	1	0	0	0	0	1	0	900860401	0	0	0	0	0	0	0	0
9008605	1	1	1	0	22	1	1	0	0	0	0	1	0	900860501	0	0	0	0	0	0	0	0
9008606	1	1	1	0	22	1	1	0	0	0	0	1	0	900860601	0	0	0	0	0	0	0	0
9008607	1	1	1	0	22	1	1	0	0	0	0	1	0	900860701	0	0	0	0	0	0	0	0
9008608	1	1	1	0	22	1	1	0	0	0	0	1	0	900860801	0	0	0	0	0	0	0	0
9008609	1	1	1	0	22	1	1	0	0	0	0	1	0	900860901	0	0	0	0	0	0	0	0
9008610	1	1	1	0	22	1	1	0	0	0	0	1	0	900861001	0	0	0	0	0	0	0	0
9009601	1	1	1	0	22	1	1	0	0	0	0	1	0	900960101	0	0	0	0	0	0	0	0
9009602	1	1	1	0	22	1	1	0	0	0	0	1	0	900960201	0	0	0	0	0	0	0	0
9009603	1	1	1	0	22	1	1	0	0	0	0	1	0	900960301	0	0	0	0	0	0	0	0
9009604	1	1	1	0	22	1	1	0	0	0	0	1	0	900960401	0	0	0	0	0	0	0	0
9009605	1	1	1	0	22	1	1	0	0	0	0	1	0	900960501	0	0	0	0	0	0	0	0
9009606	1	1	1	0	22	1	1	0	0	0	0	1	0	900960601	0	0	0	0	0	0	0	0
9009607	1	1	1	0	22	1	1	0	0	0	0	1	0	900960701	0	0	0	0	0	0	0	0
9009608	1	1	1	0	22	1	1	0	0	0	0	1	0	900960801	0	0	0	0	0	0	0	0
9009609	1	1	1	0	22	1	1	0	0	0	0	1	0	900960901	0	0	0	0	0	0	0	0
9009610	1	1	1	0	22	1	1	0	0	0	0	1	0	900961001	0	0	0	0	0	0	0	0
9010601	1	1	1	0	22	1	1	0	0	0	0	1	0	901060101	0	0	0	0	0	0	0	0
9010602	1	1	1	0	22	1	1	0	0	0	0	1	0	901060201	0	0	0	0	0	0	0	0
9010603	1	1	1	0	22	1	1	0	0	0	0	1	0	901060301	0	0	0	0	0	0	0	0
9010604	1	1	1	0	22	1	1	0	0	0	0	1	0	901060401	0	0	0	0	0	0	0	0
9010605	1	1	1	0	22	1	1	0	0	0	0	1	0	901060501	0	0	0	0	0	0	0	0
9010606	1	1	1	0	22	1	1	0	0	0	0	1	0	901060601	0	0	0	0	0	0	0	0
9010607	1	1	1	0	22	1	1	0	0	0	0	1	0	901060701	0	0	0	0	0	0	0	0
9010608	1	1	1	0	22	1	1	0	0	0	0	1	0	901060801	0	0	0	0	0	0	0	0
9010609	1	1	1	0	22	1	1	0	0	0	0	1	0	901060901	0	0	0	0	0	0	0	0
9010610	1	1	1	0	22	1	1	0	0	0	0	1	0	901061001	0	0	0	0	0	0	0	0
9011601	1	1	1	0	22	1	1	0	0	0	0	1	0	901160101	0	0	0	0	0	0	0	0
9011602	1	1	1	0	22	1	1	0	0	0	0	1	0	901160201	0	0	0	0	0	0	0	0
9011603	1	1	1	0	22	1	1	0	0	0	0	1	0	901160301	0	0	0	0	0	0	0	0
9011604	1	1	1	0	22	1	1	0	0	0	0	1	0	901160401	0	0	0	0	0	0	0	0
9011605	1	1	1	0	22	1	1	0	0	0	0	1	0	901160501	0	0	0	0	0	0	0	0
9011606	1	1	1	0	22	1	1	0	0	0	0	1	0	901160601	0	0	0	0	0	0	0	0
9011607	1	1	1	0	22	1	1	0	0	0	0	1	0	901160701	0	0	0	0	0	0	0	0
9011608	1	1	1	0	22	1	1	0	0	0	0	1	0	901160801	0	0	0	0	0	0	0	0
9011609	1	1	1	0	22	1	1	0	0	0	0	1	0	901160901	0	0	0	0	0	0	0	0
9011610	1	1	1	0	22	1	1	0	0	0	0	1	0	901161001	0	0	0	0	0	0	0	0
9012601	1	1	1	0	22	1	1	0	0	0	0	1	0	901260101	0	0	0	0	0	0	0	0
9012602	1	1	1	0	22	1	1	0	0	0	0	1	0	901260201	0	0	0	0	0	0	0	0
9012603	1	1	1	0	22	1	1	0	0	0	0	1	0	901260301	0	0	0	0	0	0	0	0
9012604	1	1	1	0	22	1	1	0	0	0	0	1	0	901260401	0	0	0	0	0	0	0	0
9012605	1	1	1	0	22	1	1	0	0	0	0	1	0	901260501	0	0	0	0	0	0	0	0
9012606	1	1	1	0	22	1	1	0	0	0	0	1	0	901260601	0	0	0	0	0	0	0	0
9012607	1	1	1	0	22	1	1	0	0	0	0	1	0	901260701	0	0	0	0	0	0	0	0
9012608	1	1	1	0	22	1	1	0	0	0	0	1	0	901260801	0	0	0	0	0	0	0	0
9012609	1	1	1	0	22	1	1	0	0	0	0	1	0	901260901	0	0	0	0	0	0	0	0
9012610	1	1	1	0	22	1	1	0	0	0	0	1	0	901261001	0	0	0	0	0	0	0	0
9013601	1	1	1	0	22	1	1	0	0	0	0	1	0	901360101	0	0	0	0	0	0	0	0
9013602	1	1	1	0	22	1	1	0	0	0	0	1	0	901360201	0	0	0	0	0	0	0	0
9013603	1	1	1	0	22	1	1	0	0	0	0	1	0	901360301	0	0	0	0	0	0	0	0
9013604	1	1	1	0	22	1	1	0	0	0	0	1	0	901360401	0	0	0	0	0	0	0	0
9013605	1	1	1	0	22	1	1	0	0	0	0	1	0	901360501	0	0	0	0	0	0	0	0
9013606	1	1	1	0	22	1	1	0	0	0	0	1	0	901360601	0	0	0	0	0	0	0	0
9013607	1	1	1	0	22	1	1	0	0	0	0	1	0	901360701	0	0	0	0	0	0	0	0
9013608	1	1	1	0	22	1	1	0	0	0	0	1	0	901360801	0	0	0	0	0	0	0	0
9013609	1	1	1	0	22	1	1	0	0	0	0	1	0	901360901	0	0	0	0	0	0	0	0
9013610	1	1	1	0	22	1	1	0	0	0	0	1	0	901361001	0	0	0	0	0	0	0	0
9014601	1	1	1	0	22	1	1	0	0	0	0	1	0	901460101	0	0	0	0	0	0	0	0
9014602	1	1	1	0	22	1	1	0	0	0	0	1	0	901460201	0	0	0	0	0	0	0	0
9014603	1	1	1	0	22	1	1	0	0	0	0	1	0	901460301	0	0	0	0	0	0	0	0
9014604	1	1	1	0	22	1	1	0	0	0	0	1	0	901460401	0	0	0	0	0	0	0	0
9014605	1	1	1	0	22	1	1	0	0	0	0	1	0	901460501	0	0	0	0	0	0	0	0
9014606	1	1	1	0	22	1	1	0	0	0	0	1	0	901460601	0	0	0	0	0	0	0	0
9014607	1	1	1	0	22	1	1	0	0	0	0	1	0	901460701	0	0	0	0	0	0	0	0
9014608	1	1	1	0	22	1	1	0	0	0	0	1	0	901460801	0	0	0	0	0	0	0	0
9014609	1	1	1	0	22	1	1	0	0	0	0	1	0	901460901	0	0	0	0	0	0	0	0
9014610	1	1	1	0	22	1	1	0	0	0	0	1	0	901461001	0	0	0	0	0	0	0	0
9015601	1	1	1	0	22	1	1	0	0	0	0	1	0	901560101	0	0	0	0	0	0	0	0
9015602	1	1	1	0	22	1	1	0	0	0	0	1	0	901560201	0	0	0	0	0	0	0	0
9015603	1	1	1	0	22	1	1	0	0	0	0	1	0	901560301	0	0	0	0	0	0	0	0
9015604	1	1	1	0	22	1	1	0	0	0	0	1	0	901560401	0	0	0	0	0	0	0	0
9015605	1	1	1	0	22	1	1	0	0	0	0	1	0	901560501	0	0	0	0	0	0	0	0
9015606	1	1	1	0	22	1	1	0	0	0	0	1	0	901560601	0	0	0	0	0	0	0	0
9015607	1	1	1	0	22	1	1	0	0	0	0	1	0	901560701	0	0	0	0	0	0	0	0
9015608	1	1	1	0	22	1	1	0	0	0	0	1	0	901560801	0	0	0	0	0	0	0	0
9015609	1	1	1	0	22	1	1	0	0	0	0	1	0	901560901	0	0	0	0	0	0	0	0
9015610	1	1	1	0	22	1	1	0	0	0	0	1	0	901561001	0	0	0	0	0	0	0	0
9016601	1	1	1	0	22	1	1	0	0	0	0	1	0	901660101	0	0	0	0	0	0	0	0
9016602	1	1	1	0	22	1	1	0	0	0	0	1	0	901660201	0	0	0	0	0	0	0	0
9016603	1	1	1	0	22	1	1	0	0	0	0	1	0	901660301	0	0	0	0	0	0	0	0
9016604	1	1	1	0	22	1	1	0	0	0	0	1	0	901660401	0	0	0	0	0	0	0	0
9016605	1	1	1	0	22	1	1	0	0	0	0	1	0	901660501	0	0	0	0	0	0	0	0
9016606	1	1	1	0	22	1	1	0	0	0	0	1	0	901660601	0	0	0	0	0	0	0	0
9016607	1	1	1	0	22	1	1	0	0	0	0	1	0	901660701	0	0	0	0	0	0	0	0
9016608	1	1	1	0	22	1	1	0	0	0	0	1	0	901660801	0	0	0	0	0	0	0	0
9016609	1	1	1	0	22	1	1	0	0	0	0	1	0	901660901	0	0	0	0	0	0	0	0
9016610	1	1	1	0	22	1	1	0	0	0	0	1	0	901661001	0	0	0	0	0	0	0	0
9017601	1	1	1	0	22	1	1	0	0	0	0	1	0	901760101	0	0	0	0	0	0	0	0
9017602	1	1	1	0	22	1	1	0	0	0	0	1	0	901760201	0	0	0	0	0	0	0	0
9017603	1	1	1	0	22	1	1	0	0	0	0	1	0	901760301	0	0	0	0	0	0	0	0
9017604	1	1	1	0	22	1	1	0	0	0	0	1	0	901760401	0	0	0	0	0	0	0	0
9017605	1	1	1	0	22	1	1	0	0	0	0	1	0	901760501	0	0	0	0	0	0	0	0
9017606	1	1	1	0	22	1	1	0	0	0	0	1	0	901760601	0	0	0	0	0	0	0	0
9017607	1	1	1	0	22	1	1	0	0	0	0	1	0	901760701	0	0	0	0	0	0	0	0
9017608	1	1	1	0	22	1	1	0	0	0	0	1	0	901760801	0	0	0	0	0	0	0	0
9017609	1	1	1	0	22	1	1	0	0	0	0	1	0	901760901	0	0	0	0	0	0	0	0
9017610	1	1	1	0	22	1	1	0	0	0	0	1	0	901761001	0	0	0	0	0	0	0	0
9018601	1	1	1	0	22	1	1	0	0	0	0	1	0	901860101	0	0	0	0	0	0	0	0
9018602	1	1	1	0	22	1	1	0	0	0	0	1	0	901860201	0	0	0	0	0	0	0	0
9018603	1	1	1	0	22	1	1	0	0	0	0	1	0	901860301	0	0	0	0	0	0	0	0
9018604	1	1	1	0	22	1	1	0	0	0	0	1	0	901860401	0	0	0	0	0	0	0	0
9018605	1	1	1	0	22	1	1	0	0	0	0	1	0	901860501	0	0	0	0	0	0	0	0
9018606	1	1	1	0	22	1	1	0	0	0	0	1	0	901860601	0	0	0	0	0	0	0	0
9018607	1	1	1	0	22	1	1	0	0	0	0	1	0	901860701	0	0	0	0	0	0	0	0
9018608	1	1	1	0	22	1	1	0	0	0	0	1	0	901860801	0	0	0	0	0	0	0	0
9018609	1	1	1	0	22	1	1	0	0	0	0	1	0	901860901	0	0	0	0	0	0	0	0
9018610	1	1	1	0	22	1	1	0	0	0	0	1	0	901861001	0	0	0	0	0	0	0	0
9019601	1	1	1	0	22	1	1	0	0	0	0	1	0	901960101	0	0	0	0	0	0	0	0
9019602	1	1	1	0	22	1	1	0	0	0	0	1	0	901960201	0	0	0	0	0	0	0	0
9019603	1	1	1	0	22	1	1	0	0	0	0	1	0	901960301	0	0	0	0	0	0	0	0
9019604	1	1	1	0	22	1	1	0	0	0	0	1	0	901960401	0	0	0	0	0	0	0	0
9019605	1	1	1	0	22	1	1	0	0	0	0	1	0	901960501	0	0	0	0	0	0	0	0
9019606	1	1	1	0	22	1	1	0	0	0	0	1	0	901960601	0	0	0	0	0	0	0	0
9019607	1	1	1	0	22	1	1	0	0	0	0	1	0	901960701	0	0	0	0	0	0	0	0
9019608	1	1	1	0	22	1	1	0	0	0	0	1	0	901960801	0	0	0	0	0	0	0	0
9019609	1	1	1	0	22	1	1	0	0	0	0	1	0	901960901	0	0	0	0	0	0	0	0
9019610	1	1	1	0	22	1	1	0	0	0	0	1	0	901961001	0	0	0	0	0	0	0	0
9020601	1	1	1	0	22	1	1	0	0	0	0	1	0	902060101	0	0	0	0	0	0	0	0
9020602	1	1	1	0	22	1	1	0	0	0	0	1	0	902060201	0	0	0	0	0	0	0	0
9020603	1	1	1	0	22	1	1	0	0	0	0	1	0	902060301	0	0	0	0	0	0	0	0
9020604	1	1	1	0	22	1	1	0	0	0	0	1	0	902060401	0	0	0	0	0	0	0	0
9020605	1	1	1	0	22	1	1	0	0	0	0	1	0	902060501	0	0	0	0	0	0	0	0
9020606	1	1	1	0	22	1	1	0	0	0	0	1	0	902060601	0	0	0	0	0	0	0	0
9020607	1	1	1	0	22	1	1	0	0	0	0	1	0	902060701	0	0	0	0	0	0	0	0
9020608	1	1	1	0	22	1	1	0	0	0	0	1	0	902060801	0	0	0	0	0	0	0	0
9020609	1	1	1	0	22	1	1	0	0	0	0	1	0	902060901	0	0	0	0	0	0	0	0
9020610	1	1	1	0	22	1	1	0	0	0	0	1	0	902061001	0	0	0	0	0	0	0	0
9001111	1	1	65534	1	2	9	0	0	0	0	0	1	0	900111101	0	0	0	0	0	0	0	0
9001111	2	1	65534	1	2	14	0	0	0	0	2	2	0	900111111	1	900111121	0	0	0	0	0	0
9001111	3	1	65534	1	2	100	0	0	0	0	3	1	0	900111121	0	0	0	0	0	0	0	0
9001121	1	1	65534	20	8	0	50	0	0	0	0	1	0	900112101	0	0	0	0	0	0	0	0
9001121	2	1	65534	1	2	10	0	0	0	0	7	1	0	900112111	0	0	0	0	0	0	0	0
9001121	3	1	65534	1	18	21067101	1	0	0	0	0	1	0	900112111	0	0	0	0	0	0	0	0
9001131	1	1	65534	1	2	8	0	0	0	0	4	1	0	900113101	0	0	0	0	0	0	0	0
9001131	2	1	65534	1	2	9	0	0	0	0	3	1	0	900113111	0	0	0	0	0	0	0	0
9001141	1	1	65534	1	2	10	0	0	0	0	3	2	0	900114101	1	900114111	0	0	0	0	0	0
9001141	2	1	65534	1	2	15	0	0	0	0	5	1	0	900114111	0	0	0	0	0	0	0	0
9001151	1	1	65534	1	2	20	0	0	0	0	9	1	0	900115101	0	0	0	0	0	0	0	0
9001151	2	1	65534	1	2	20	0	0	0	0	5	2	0	900115111	2	900150112	0	0	0	0	0	0
9001153	1	1	65534	1	0	1	0	0	0	0	0	1	0	900115301	0	0	0	0	0	0	0	0
9001161	1	1	65534	7	2	7	0	0	0	0	0	1	0	900116101	0	0	0	0	0	0	0	0
9001161	2	1	65534	20	2	20	0	0	0	0	0	1	0	900116111	0	0	0	0	0	0	0	0
9001161	3	1	65534	20	18	22040101	1	0	0	0	0	2	0	900116121	1	900116112	0	0	0	0	0	0
9001162	1	1	65534	11	2	11	0	0	0	0	0	1	0	900116201	0	0	0	0	0	0	0	0
9001162	2	1	65534	20	2	20	0	0	0	0	0	1	0	900116111	0	0	0	0	0	0	0	0
9001171	1	1	65534	13	2	13	0	0	0	0	0	1	0	900117101	0	0	0	0	0	0	0	0
9001171	2	1	65534	20	18	22049101	0	0	0	0	0	1	0	900117111	0	0	0	0	0	0	0	0
9001171	3	1	65534	20	18	22050101	0	0	0	0	0	1	0	900117121	0	0	0	0	0	0	0	0
9001171	4	1	65534	20	18	22049102	0	0	0	0	0	1	0	900117131	0	0	0	0	0	0	0	0
9001172	1	1	65534	1	2	8	0	0	0	0	0	1	0	900117201	0	0	0	0	0	0	0	0
9001181	1	1	65534	23	2	23	0	0	0	0	0	1	0	900118101	0	0	0	0	0	0	0	0
9001181	2	1	65534	1	2	16	0	0	0	0	0	3	0	900118111	1	900118112	2	900118113	0	0	0	0
9001181	3	1	65534	20	8	0	40	0	0	0	0	1	0	900110181	0	0	0	0	0	0	0	0
8002001	1	1	65534	1	2	15	0	0	0	0	2	1	0	800200101	0	0	0	0	0	0	0	0
8002002	1	1	65534	1	2	20	0	0	0	0	5	1	0	800200201	0	0	0	0	0	0	0	0
8002002	2	1	65534	1	2	10	0	0	0	0	5	1	0	800200211	0	0	0	0	0	0	0	0
8002003	1	1	65534	1	2	15	0	0	0	0	5	1	0	800200301	0	0	0	0	0	0	0	0
8002004	1	1	65534	1	2	15	0	0	0	0	5	1	0	800200401	0	0	0	0	0	0	0	0
8002005	1	1	65534	1	2	15	0	0	0	0	2	1	0	800200501	0	0	0	0	0	0	0	0
8002006	1	1	65534	1	2	10	0	0	0	0	5	1	0	800200601	0	0	0	0	0	0	0	0
8002007	1	1	65534	1	2	15	0	0	0	0	3	1	0	800200701	0	0	0	0	0	0	0	0
8002008	1	1	65534	1	2	15	0	0	0	0	5	1	0	800200801	0	0	0	0	0	0	0	0
8002009	1	1	65534	1	2	7	0	0	0	0	5	1	0	800200901	0	0	0	0	0	0	0	0
8002010	1	1	65534	1	2	12	0	0	0	0	7	1	0	800201001	0	0	0	0	0	0	0	0
8002011	1	1	65534	1	2	12	0	0	0	0	5	1	0	800201101	0	0	0	0	0	0	0	0
8002011	2	1	65534	1	2	15	0	0	0	0	5	1	0	800201111	0	0	0	0	0	0	0	0
8002012	1	1	65534	1	2	12	0	0	0	0	5	1	0	800201201	0	0	0	0	0	0	0	0
8002012	2	1	65534	1	2	15	0	0	0	0	5	1	0	800201211	0	0	0	0	0	0	0	0
8002013	1	1	65534	1	2	20	0	0	0	0	5	1	0	800201301	0	0	0	0	0	0	0	0
8002014	1	1	65534	1	2	15	0	0	0	0	5	1	0	800201401	0	0	0	0	0	0	0	0
8002015	1	1	65534	1	2	18	0	0	0	0	5	1	0	800201501	0	0	0	0	0	0	0	0
8002101	1	1	65534	1	2	12	0	0	0	0	5	1	0	800210101	0	0	0	0	0	0	0	0
8002102	1	1	65534	1	2	12	0	0	0	0	5	1	0	800210201	0	0	0	0	0	0	0	0
8002103	1	1	65534	1	2	15	0	0	0	0	5	1	0	800210301	0	0	0	0	0	0	0	0
8002104	1	1	65534	1	2	15	0	0	0	0	5	1	0	800210401	0	0	0	0	0	0	0	0
8002105	1	1	65534	1	2	16	0	0	0	0	5	1	0	800210501	0	0	0	0	0	0	0	0
8002106	1	1	65534	1	2	16	0	0	0	0	5	1	0	800210601	0	0	0	0	0	0	0	0
8002107	1	1	65534	1	2	12	0	0	0	0	1	1	0	800210701	0	0	0	0	0	0	0	0
8002410	1	1	65534	1	2	15	0	0	0	0	5	1	0	800241001	0	0	0	0	0	0	0	0
8002411	1	1	65534	1	2	20	0	0	0	0	5	1	0	800241101	0	0	0	0	0	0	0	0
8002411	1	1	65534	1	2	12	0	0	0	0	5	1	0	800241111	0	0	0	0	0	0	0	0
8002501	1	1	65534	1	2	9	0	0	0	0	7	1	0	800250101	0	0	0	0	0	0	0	0
8002501	2	1	65534	1	2	10	0	0	0	0	7	1	0	800250111	0	0	0	0	0	0	0	0
8002502	1	1	65534	1	2	9	0	0	0	0	7	1	0	800250201	0	0	0	0	0	0	0	0
8002502	2	1	65534	1	2	10	0	0	0	0	7	1	0	800250111	0	0	0	0	0	0	0	0
8002503	1	1	65534	1	2	16	0	0	0	0	7	1	0	800250301	0	0	0	0	0	0	0	0
8002503	2	1	65534	1	2	10	0	0	0	0	7	1	0	800250111	0	0	0	0	0	0	0	0
8002504	1	1	65534	1	2	16	0	0	0	0	7	1	0	800250401	0	0	0	0	0	0	0	0
8002504	2	1	65534	1	2	10	0	0	0	0	7	1	0	800250111	0	0	0	0	0	0	0	0
8002505	1	1	65534	1	2	20	0	0	0	0	7	5	0	800250501	1	800250502	2	800250503	3	800250504	4	800250505
8002505	2	1	65534	1	2	10	0	0	0	0	7	1	0	800250111	0	0	0	0	0	0	0	0
8002506	1	1	65534	1	2	20	0	0	0	0	7	5	0	800250601	1	800250602	2	800250603	3	800250604	4	800250605
8002506	2	1	65534	1	2	10	0	0	0	0	7	1	0	800250111	0	0	0	0	0	0	0	0
8002507	1	1	65534	1	2	25	0	0	0	0	7	1	0	800250701	0	0	0	0	0	0	0	0
8002507	2	1	65534	1	2	10	0	0	0	0	7	1	0	800250111	0	0	0	0	0	0	0	0
8002508	1	1	65534	1	2	25	0	0	0	0	7	1	0	800250801	0	0	0	0	0	0	0	0
8002508	2	1	65534	1	2	10	0	0	0	0	7	1	0	800250111	0	0	0	0	0	0	0	0
8002511	1	1	65534	1	2	15	0	0	0	0	5	2	0	800251101	1	800251111	0	0	0	0	0	0
8002511	2	1	65534	1	2	12	0	0	0	0	5	1	0	800250111	0	0	0	0	0	0	0	0
8002512	1	1	65534	1	2	15	0	0	0	0	5	1	0	800251201	0	0	0	0	0	0	0	0
8002512	2	1	65534	1	2	12	0	0	0	0	5	1	0	800250111	0	0	0	0	0	0	0	0
8002513	1	1	65534	1	2	9	0	0	0	0	5	1	0	800251301	0	0	0	0	0	0	0	0
8002513	2	1	65534	1	2	12	0	0	0	0	5	1	0	800250111	0	0	0	0	0	0	0	0
8002514	1	1	65534	1	2	9	0	0	0	0	5	1	0	800251401	0	0	0	0	0	0	0	0
8002514	2	1	65534	1	2	12	0	0	0	0	5	1	0	800250111	0	0	0	0	0	0	0	0
8002515	1	1	65534	1	2	24	0	0	0	0	5	1	0	800251501	0	0	0	0	0	0	0	0
8002515	2	1	65534	1	2	12	0	0	0	0	5	1	0	800250111	0	0	0	0	0	0	0	0
8002516	1	1	65534	1	2	24	0	0	0	0	5	1	0	800251601	0	0	0	0	0	0	0	0
8002516	2	1	65534	1	2	12	0	0	0	0	5	1	0	800250111	0	0	0	0	0	0	0	0
8002517	1	1	65534	1	2	25	0	0	0	0	5	1	0	800251701	0	0	0	0	0	0	0	0
8002517	2	1	65534	1	2	12	0	0	0	0	5	1	0	800250111	0	0	0	0	0	0	0	0
8002518	1	1	65534	1	2	25	0	0	0	0	5	1	0	800251801	0	0	0	0	0	0	0	0
8002518	2	1	65534	1	2	12	0	0	0	0	5	1	0	800250111	0	0	0	0	0	0	0	0
8002521	1	1	65534	1	2	8	0	0	0	0	8	1	0	800252101	0	0	0	0	0	0	0	0
8002521	2	1	65534	1	2	15	0	0	0	0	8	1	0	800250111	0	0	0	0	0	0	0	0
8002522	1	1	65534	1	2	8	0	0	0	0	8	1	0	800252201	0	0	0	0	0	0	0	0
8002522	2	1	65534	1	2	15	0	0	0	0	8	1	0	800250111	0	0	0	0	0	0	0	0
8002523	1	1	65534	1	2	15	0	0	0	0	8	1	0	800252301	0	0	0	0	0	0	0	0
8002523	2	1	65534	1	2	15	0	0	0	0	8	1	0	800250111	0	0	0	0	0	0	0	0
8002524	1	1	65534	1	2	15	0	0	0	0	8	1	0	800252401	0	0	0	0	0	0	0	0
8002524	2	1	65534	1	2	15	0	0	0	0	8	1	0	800250111	0	0	0	0	0	0	0	0
8002525	1	1	65534	1	2	22	0	0	0	0	8	1	0	800252501	0	0	0	0	0	0	0	0
8002525	2	1	65534	1	2	15	0	0	0	0	8	1	0	800250111	0	0	0	0	0	0	0	0
8002526	1	1	65534	1	2	22	0	0	0	0	8	1	0	800252601	0	0	0	0	0	0	0	0
8002526	2	1	65534	1	2	15	0	0	0	0	8	1	0	800250111	0	0	0	0	0	0	0	0
8002527	1	1	65534	1	2	25	0	0	0	0	8	1	0	800252701	0	0	0	0	0	0	0	0
8002527	2	1	65534	1	2	15	0	0	0	0	8	1	0	800250111	0	0	0	0	0	0	0	0
8002528	1	1	65534	1	2	25	0	0	0	0	8	1	0	800252801	0	0	0	0	0	0	0	0
8002528	2	1	65534	1	2	15	0	0	0	0	8	1	0	800250111	0	0	0	0	0	0	0	0
8002531	1	1	65534	1	2	16	0	0	0	0	6	1	0	800253101	0	0	0	0	0	0	0	0
8002531	2	1	65534	1	2	10	0	0	0	0	6	1	0	800250111	0	0	0	0	0	0	0	0
8002532	1	1	65534	1	2	16	0	0	0	0	6	1	0	800253201	0	0	0	0	0	0	0	0
8002532	2	1	65534	1	2	10	0	0	0	0	6	1	0	800250111	0	0	0	0	0	0	0	0
8002533	1	1	65534	1	2	23	0	0	0	0	6	1	0	800253301	0	0	0	0	0	0	0	0
8002533	2	1	65534	1	2	10	0	0	0	0	6	1	0	800250111	0	0	0	0	0	0	0	0
8002534	1	1	65534	1	2	23	0	0	0	0	6	1	0	800253401	0	0	0	0	0	0	0	0
8002534	2	1	65534	1	2	10	0	0	0	0	6	1	0	800250111	0	0	0	0	0	0	0	0
8002535	1	1	65534	1	2	9	0	0	0	0	6	1	0	800253501	0	0	0	0	0	0	0	0
8002535	2	1	65534	1	2	10	0	0	0	0	6	1	0	800250111	0	0	0	0	0	0	0	0
8002536	1	1	65534	1	2	9	0	0	0	0	6	1	0	800253601	0	0	0	0	0	0	0	0
8002536	2	1	65534	1	2	10	0	0	0	0	6	1	0	800250111	0	0	0	0	0	0	0	0
8002537	1	1	65534	1	2	25	0	0	0	0	6	1	0	800253701	0	0	0	0	0	0	0	0
8002537	2	1	65534	1	2	10	0	0	0	0	6	1	0	800250111	0	0	0	0	0	0	0	0
8002538	1	1	65534	1	2	25	0	0	0	0	6	1	0	800253801	0	0	0	0	0	0	0	0
8002538	2	1	65534	1	2	10	0	0	0	0	6	1	0	800250111	0	0	0	0	0	0	0	0
8002541	1	1	65534	1	2	9	0	0	0	0	7	1	0	800254101	0	0	0	0	0	0	0	0
8002541	2	1	65534	1	2	10	0	0	0	0	7	1	0	800250111	0	0	0	0	0	0	0	0
8002542	1	1	65534	1	2	16	0	0	0	0	7	1	0	800254201	0	0	0	0	0	0	0	0
8002542	2	1	65534	1	2	10	0	0	0	0	7	1	0	800250111	0	0	0	0	0	0	0	0
8002543	1	1	65534	1	2	22	0	0	0	0	7	1	0	800254301	1	800254302	2	800254303	3	800254304	4	800254305
8002543	2	1	65534	1	2	10	0	0	0	0	7	1	0	800250111	0	0	0	0	0	0	0	0
8002544	1	1	65534	1	2	30	0	0	0	0	7	1	0	800254401	0	0	0	0	0	0	0	0
8002544	2	1	65534	1	2	10	0	0	0	0	7	1	0	800250111	0	0	0	0	0	0	0	0
8002551	1	1	65534	1	2	15	0	0	0	0	5	1	0	800255101	0	0	0	0	0	0	0	0
8002551	2	1	65534	1	2	12	0	0	0	0	5	1	0	800250111	0	0	0	0	0	0	0	0
8002552	1	1	65534	1	2	9	0	0	0	0	5	1	0	800255201	0	0	0	0	0	0	0	0
8002552	2	1	65534	1	2	12	0	0	0	0	5	1	0	800250111	0	0	0	0	0	0	0	0
8002553	1	1	65534	1	2	24	0	0	0	0	5	1	0	800255301	0	0	0	0	0	0	0	0
8002553	2	1	65534	1	2	12	0	0	0	0	5	1	0	800250111	0	0	0	0	0	0	0	0
